Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1999-11-18,28.3,31.1,24.88,27.36,62546300,0.0,0.0
1999-11-19,26.7,26.74,24.76,25.11,15234100,0.0,0.0
1999-11-22,25.69,27.36,24.92,27.36,6577800,0.0,0.0
1999-11-23,26.43,27.13,24.88,24.88,5975600,0.0,0.0
1999-11-24,24.95,26.08,24.88,25.54,4843200,0.0,0.0
1999-11-26,25.42,25.81,25.34,25.61,1729400,0.0,0.0
1999-11-29,25.5,26.39,25.23,26.2,4074700,0.0,0.0
1999-11-30,26.12,26.7,25.46,26.24,4310000,0.0,0.0
1999-12-01,26.24,27.01,26.04,26.7,2957300,0.0,0.0
1999-12-02,27.21,27.99,26.86,27.44,3069800,0.0,0.0
1999-12-03,27.95,28.41,27.56,27.68,3041600,0.0,0.0
1999-12-06,28.14,28.88,28.1,28.45,2250700,0.0,0.0
1999-12-07,28.45,28.61,27.56,28.14,2215900,0.0,0.0
1999-12-08,28.14,28.37,27.87,28.1,1887800,0.0,0.0
1999-12-09,28.14,28.57,28.14,28.49,2029000,0.0,0.0
1999-12-10,28.41,28.57,27.83,27.83,1664700,0.0,0.0
1999-12-13,28.3,28.76,27.6,28.3,4020500,0.0,0.0
1999-12-14,28.22,28.22,26.16,26.74,2328900,0.0,0.0
1999-12-15,26.12,26.31,25.5,25.93,2917700,0.0,0.0
1999-12-16,26.12,29.39,26.12,29.39,2583900,0.0,0.0
1999-12-17,28.84,29.31,28.26,28.57,3708000,0.0,0.0
1999-12-20,28.76,29.19,28.69,29.15,1196800,0.0,0.0
1999-12-21,29.04,29.04,28.61,29.0,2259400,0.0,0.0
1999-12-22,29.0,29.58,28.8,29.58,1905700,0.0,0.0
1999-12-23,29.54,31.1,29.5,30.94,2159400,0.0,0.0
1999-12-27,31.06,33.08,30.82,32.84,2029600,0.0,0.0
1999-12-28,33.74,38.25,33.54,38.25,3560000,0.0,0.0
1999-12-29,39.18,49.17,39.14,44.78,10518500,0.0,0.0
1999-12-30,47.27,49.75,46.18,49.29,6671100,0.0,0.0
1999-12-31,49.44,49.71,47.42,48.08,1931100,0.0,0.0
2000-01-03,48.98,49.09,41.9,44.78,4674300,0.0,0.0
2000-01-04,42.37,42.83,40.27,41.36,4765000,0.0,0.0
2000-01-05,41.2,41.36,37.51,38.79,5758600,0.0,0.0
2000-01-06,38.33,38.56,36.15,37.31,2534400,0.0,0.0
2000-01-07,36.73,41.01,36.69,40.42,2819600,0.0,0.0
2000-01-10,42.91,43.3,42.02,42.87,2148400,0.0,0.0
2000-01-11,42.87,42.87,41.32,42.29,1855900,0.0,0.0
2000-01-12,42.29,42.29,39.84,41.43,1429800,0.0,0.0
2000-01-13,42.52,43.42,41.05,42.06,1134300,0.0,0.0
2000-01-14,41.67,43.15,41.67,42.52,1316900,0.0,0.0
2000-01-18,42.68,45.32,42.37,44.47,2101700,0.0,0.0
2000-01-19,44.78,44.78,43.42,43.53,2624800,0.0,0.0
2000-01-20,44.0,44.08,41.98,42.37,2007900,0.0,0.0
2000-01-21,42.99,43.15,41.32,42.76,1918300,0.0,0.0
2000-01-24,42.6,44.66,42.29,42.6,2095800,0.0,0.0
2000-01-25,42.76,43.3,41.32,42.1,1153700,0.0,0.0
2000-01-26,42.25,43.07,42.21,42.48,1022300,0.0,0.0
2000-01-27,43.46,43.84,41.82,42.56,868500,0.0,0.0
2000-01-28,43.22,43.22,41.94,42.33,1609200,0.0,0.0
2000-01-31,42.02,42.06,40.27,41.16,1040300,0.0,0.0
2000-02-01,41.2,44.78,41.2,44.16,1404200,0.0,0.0
2000-02-02,44.7,47.58,44.51,47.58,1945100,0.0,0.0
2000-02-03,46.76,48.35,45.9,48.35,1779500,0.0,0.0
2000-02-04,48.35,48.35,46.64,47.42,1145600,0.0,0.0
2000-02-07,48.31,49.75,47.42,49.44,1274200,0.0,0.0
2000-02-08,50.22,51.11,48.66,49.13,1169700,0.0,0.0
2000-02-09,48.28,48.94,47.07,47.11,1182800,0.0,0.0
2000-02-10,47.89,49.01,46.84,47.69,1066800,0.0,0.0
2000-02-11,47.58,47.77,46.53,46.88,751700,0.0,0.0
2000-02-14,46.8,47.85,46.53,47.54,837600,0.0,0.0
2000-02-15,47.62,51.62,47.62,50.92,2017500,0.0,0.0
2000-02-16,49.75,50.92,49.36,50.37,1801700,0.0,0.0
2000-02-17,50.37,60.33,48.28,60.33,944900,0.0,0.0
2000-02-18,55.04,59.63,54.77,58.3,4060000,0.0,0.0
2000-02-22,59.7,60.56,55.97,56.9,2227900,0.0,0.0
2000-02-23,56.98,62.5,56.98,61.57,1690000,0.0,0.0
2000-02-24,63.05,71.79,62.5,66.39,2956300,0.0,0.0
2000-02-25,64.29,70.86,64.21,67.24,2048200,0.0,0.0
2000-02-28,67.24,67.9,61.1,62.81,1675300,0.0,0.0
2000-02-29,63.09,66.47,63.01,64.6,958000,0.0,0.0
2000-03-01,64.99,69.5,64.83,67.87,1037800,0.0,0.0
2000-03-02,68.37,68.41,63.75,65.49,1188300,0.0,0.0
2000-03-03,65.26,69.5,65.26,67.17,1215800,0.0,0.0
2000-03-06,70.28,100.75,69.97,98.88,5693400,0.0,0.0
2000-03-07,97.02,100.13,81.47,88.31,7710800,0.0,0.0
2000-03-08,90.8,94.53,87.07,94.53,3953900,0.0,0.0
2000-03-09,91.42,95.77,90.18,95.15,2514500,0.0,0.0
2000-03-10,95.15,96.32,87.07,88.31,2479300,0.0,0.0
2000-03-13,80.89,86.41,80.54,81.63,2626700,0.0,0.0
2000-03-14,82.71,84.58,73.93,75.48,3522900,0.0,0.0
2000-03-15,79.68,79.68,70.43,71.05,3046200,0.0,0.0
2000-03-16,72.14,76.5,69.65,73.42,2769500,0.0,0.0
2000-03-17,74.2,78.98,73.46,75.33,1563800,0.0,0.0
2000-03-20,74.9,75.56,70.28,70.74,1420600,0.0,0.0
2000-03-21,68.88,71.52,65.77,71.52,2528200,0.0,0.0
2000-03-22,70.63,75.21,67.83,74.28,1967900,0.0,0.0
2000-03-23,74.16,76.96,72.76,74.44,1951800,0.0,0.0
2000-03-24,73.85,75.25,72.3,74.63,1230500,0.0,0.0
2000-03-27,73.5,74.32,70.39,71.05,846700,0.0,0.0
2000-03-28,70.9,75.83,70.59,74.09,1392500,0.0,0.0
2000-03-29,74.01,75.25,68.41,69.65,1250300,0.0,0.0
2000-03-30,67.28,69.97,61.65,65.3,2034200,0.0,0.0
2000-03-31,65.92,65.92,55.97,64.68,3732900,0.0,0.0
2000-04-03,64.06,64.21,57.06,60.95,2030800,0.0,0.0
2000-04-04,60.95,63.67,51.0,58.15,3519800,0.0,0.0
2000-04-05,57.68,62.11,56.05,60.29,2109100,0.0,0.0
2000-04-06,61.18,65.3,60.36,65.3,1375000,0.0,0.0
2000-04-07,66.86,77.74,66.58,75.87,2975200,0.0,0.0
2000-04-10,75.87,75.87,65.53,66.62,2956000,0.0,0.0
2000-04-11,62.81,65.22,61.92,62.77,1896100,0.0,0.0
2000-04-12,60.95,61.72,51.62,53.48,4351500,0.0,0.0
2000-04-13,54.73,60.33,54.11,55.97,3736500,0.0,0.0
2000-04-14,54.57,55.62,50.37,51.42,2862600,0.0,0.0
2000-04-17,49.79,51.39,45.44,49.44,2757500,0.0,0.0
2000-04-18,48.51,54.73,46.72,54.11,3758200,0.0,0.0
2000-04-19,54.11,55.93,52.24,54.26,2423900,0.0,0.0
2000-04-20,54.65,57.06,54.34,55.93,1453000,0.0,0.0
2000-04-24,54.18,57.45,52.9,56.98,1698500,0.0,0.0
2000-04-25,58.85,59.43,55.97,55.97,1123200,0.0,0.0
2000-04-26,59.16,59.2,56.98,57.14,976500,0.0,0.0
2000-04-27,55.43,57.99,55.35,56.44,2281200,0.0,0.0
2000-04-28,55.97,56.01,54.07,55.12,1779300,0.0,0.0
2000-05-01,55.12,59.86,55.12,59.31,1895600,0.0,0.0
2000-05-02,61.1,64.76,60.6,62.67,4259400,0.0,0.0
2000-05-03,60.64,60.95,55.74,56.9,2327300,0.0,0.0
2000-05-04,56.9,56.9,54.88,56.13,1188300,0.0,0.0
2000-05-05,56.09,58.11,55.74,56.87,1263300,0.0,0.0
2000-05-08,57.14,57.14,52.59,52.71,1078200,0.0,0.0
2000-05-09,53.17,53.8,48.86,49.87,1718500,0.0,0.0
2000-05-10,49.13,49.56,47.11,47.89,1601400,0.0,0.0
2000-05-11,48.2,49.36,47.27,47.62,1681900,0.0,0.0
2000-05-12,52.24,60.95,51.15,56.32,13565900,0.0,0.0
2000-05-15,55.97,56.59,52.94,54.84,4442800,0.0,0.0
2000-05-16,56.05,60.29,54.73,55.04,5770800,0.0,0.0
2000-05-17,51.77,52.09,47.77,48.51,12450700,0.0,0.0
2000-05-18,48.51,49.09,44.16,44.16,6153400,0.0,0.0
2000-05-19,45.21,46.45,41.12,41.43,5261000,0.0,0.0
2000-05-22,41.67,42.29,37.28,38.79,7820600,0.0,0.0
2000-05-23,38.52,39.34,35.18,36.07,5214600,0.0,0.0
2000-05-24,35.92,37.28,33.58,36.69,7957200,0.0,0.0
2000-05-25,36.85,42.76,36.23,42.76,7678000,0.0,0.0
2000-05-26,41.67,42.6,40.0,40.42,4956300,0.0,0.0
2000-05-30,41.16,47.54,41.09,46.88,5338800,0.0,0.0
2000-05-31,46.02,48.63,45.24,45.79,4408300,0.0,0.0
2000-06-01,46.29,47.46,45.24,45.4,3948200,0.0,0.0
2000-06-02,45.71,51.0,45.71,50.84,17086300,0.0,0.0
2000-06-05,50.37,52.09,47.58,49.13,10643100,0.0,0.0
2000-06-06,46.76,46.95,42.95,44.16,12180700,0.0,0.0
2000-06-07,43.53,44.93,40.74,41.67,11422300,0.0,0.0
2000-06-08,41.67,43.42,41.55,42.99,9571200,0.0,0.0
2000-06-09,43.38,45.28,43.38,44.08,9270100,0.0,0.0
2000-06-12,45.17,45.17,40.58,41.05,5674900,0.0,0.0
2000-06-13,40.11,44.62,40.11,42.95,7718300,0.0,0.0
2000-06-14,44.0,44.47,41.67,42.13,5610800,0.0,0.0
2000-06-15,42.25,42.25,40.31,41.01,6797700,0.0,0.0
2000-06-16,41.16,41.4,38.56,38.95,6487600,0.0,0.0
2000-06-19,38.64,42.91,38.64,42.29,6811400,0.0,0.0
2000-06-20,42.87,47.19,42.52,45.79,11718100,0.0,0.0
2000-06-21,45.63,49.71,45.59,48.82,8977600,0.0,0.0
2000-06-22,49.6,49.64,46.25,47.11,6733700,0.0,0.0
2000-06-23,45.98,48.2,45.94,46.72,3969400,0.0,0.0
2000-06-26,46.64,47.46,46.06,46.72,3824300,0.0,0.0
2000-06-27,46.57,47.77,46.1,46.92,4110100,0.0,0.0
2000-06-28,48.98,49.87,48.35,49.44,9895100,0.0,0.0
2000-06-29,49.68,49.71,46.64,47.19,8660700,0.0,0.0
2000-06-30,47.69,49.44,45.81,45.87,8280200,0.0,0.0
2000-07-03,46.02,46.14,44.62,45.83,3195600,0.0,0.0
2000-07-05,44.86,45.21,43.3,43.69,5399900,0.0,0.0
2000-07-06,43.53,43.81,42.48,42.99,4201400,0.0,0.0
2000-07-07,43.53,43.81,41.51,41.98,5992200,0.0,0.0
2000-07-10,42.13,43.69,42.06,42.6,5362700,0.0,0.0
2000-07-11,42.29,42.64,41.12,41.86,4176600,0.0,0.0
2000-07-12,43.18,43.92,42.33,42.91,3792400,0.0,0.0
2000-07-13,42.91,45.09,42.76,44.16,5840500,0.0,0.0
2000-07-14,44.47,48.66,44.47,47.93,7603500,0.0,0.0
2000-07-17,47.81,50.34,47.42,48.66,6166100,0.0,0.0
2000-07-18,48.51,48.51,46.02,47.65,3661500,0.0,0.0
2000-07-19,47.27,47.3,45.24,46.06,3539000,0.0,0.0
2000-07-20,45.94,47.46,33.58,33.58,3551600,0.0,0.0
2000-07-21,32.03,32.03,28.76,29.89,36442000,0.0,0.0
2000-07-24,31.1,31.21,29.7,30.78,13987100,0.0,0.0
2000-07-25,30.51,30.78,27.83,27.83,9135700,0.0,0.0
2000-07-26,28.57,29.0,26.63,26.74,11385300,0.0,0.0
2000-07-27,27.52,27.95,25.11,25.34,9849600,0.0,0.0
2000-07-28,25.96,26.04,24.57,25.65,9616900,0.0,0.0
2000-07-31,25.54,26.24,24.95,25.34,8053100,0.0,0.0
2000-08-01,25.3,25.61,24.57,25.19,5931000,0.0,0.0
2000-08-02,24.95,25.61,24.57,24.95,6748800,0.0,0.0
2000-08-03,24.33,25.5,23.98,25.5,8592100,0.0,0.0
2000-08-04,25.19,25.77,24.64,24.92,5152400,0.0,0.0
2000-08-07,25.27,25.65,24.22,24.72,5560800,0.0,0.0
2000-08-08,24.68,24.68,23.75,24.14,5116100,0.0,0.0
2000-08-09,24.1,24.8,23.94,24.45,4680500,0.0,0.0
2000-08-10,24.29,24.76,24.06,24.25,3123600,0.0,0.0
2000-08-11,24.72,25.38,24.22,25.27,3431200,0.0,0.0
2000-08-14,26.12,27.09,25.81,27.05,5536000,0.0,0.0
2000-08-15,27.21,27.52,26.43,26.43,4487400,0.0,0.0
2000-08-16,26.59,27.05,25.89,27.05,3141300,0.0,0.0
2000-08-17,26.82,29.39,26.82,28.92,9532400,0.0,0.0
2000-08-18,35.92,36.15,34.24,35.06,17783600,0.0,0.0
2000-08-21,36.23,37.63,35.64,37.63,8576100,0.0,0.0
2000-08-22,37.55,37.63,36.73,37.63,4971500,0.0,0.0
2000-08-23,37.24,37.66,36.89,37.63,3263600,0.0,0.0
2000-08-24,37.55,37.74,36.77,37.16,3031000,0.0,0.0
2000-08-25,37.12,37.35,36.11,36.38,2444100,0.0,0.0
2000-08-28,36.27,36.62,35.6,36.46,3708800,0.0,0.0
2000-08-29,36.46,39.8,36.38,39.18,6009000,0.0,0.0
2000-08-30,39.37,39.76,37.86,38.17,3459700,0.0,0.0
2000-08-31,38.33,38.64,37.16,37.94,3479900,0.0,0.0
2000-09-01,37.74,38.99,37.39,38.48,3138200,0.0,0.0
2000-09-05,38.36,38.87,38.09,38.44,2044900,0.0,0.0
2000-09-06,38.36,38.79,37.2,37.31,2235400,0.0,0.0
2000-09-07,37.31,38.64,36.85,38.48,2123000,0.0,0.0
2000-09-08,37.66,37.98,36.77,36.85,2015700,0.0,0.0
2000-09-11,36.69,36.69,34.83,35.29,2978800,0.0,0.0
2000-09-12,34.71,35.99,34.21,34.21,2830200,0.0,0.0
2000-09-13,35.29,35.29,33.31,34.21,3523200,0.0,0.0
2000-09-14,34.59,35.6,34.55,34.67,3569000,0.0,0.0
2000-09-15,34.63,36.58,34.59,35.45,3772700,0.0,0.0
2000-09-18,35.53,35.88,32.65,33.58,4730600,0.0,0.0
2000-09-19,33.31,33.58,32.34,33.51,3198000,0.0,0.0
2000-09-20,33.31,33.51,32.18,32.65,1968100,0.0,0.0
2000-09-21,32.73,32.73,29.23,29.85,2929700,0.0,0.0
2000-09-22,29.89,31.1,29.77,31.1,3445200,0.0,0.0
2000-09-25,31.25,32.3,29.97,30.05,2388400,0.0,0.0
2000-09-26,30.16,30.67,28.06,28.1,3050100,0.0,0.0
2000-09-27,28.72,29.07,27.6,28.61,3916700,0.0,0.0
2000-09-28,28.65,30.12,28.65,29.82,4224600,0.0,0.0
2000-09-29,30.05,30.94,29.74,30.43,3677400,0.0,0.0
2000-10-02,30.55,31.95,30.55,31.45,3008200,0.0,0.0
2000-10-03,31.72,34.52,31.29,33.04,5556000,0.0,0.0
2000-10-04,32.88,36.46,32.65,35.99,5531100,0.0,0.0
2000-10-05,36.03,36.03,33.97,34.28,3998800,0.0,0.0
2000-10-06,34.71,34.79,31.83,32.46,2791800,0.0,0.0
2000-10-09,32.42,32.42,31.17,31.52,2161500,0.0,0.0
2000-10-10,32.11,32.92,30.08,30.82,3090400,0.0,0.0
2000-10-11,29.85,30.05,27.87,28.49,5527800,0.0,0.0
2000-10-12,29.11,29.31,26.94,27.83,4176600,0.0,0.0
2000-10-13,27.05,28.02,26.63,27.6,5075400,0.0,0.0
2000-10-16,27.91,30.28,27.71,28.88,4157200,0.0,0.0
2000-10-17,28.96,29.0,26.51,26.94,2883200,0.0,0.0
2000-10-18,25.23,26.39,24.41,25.42,5637800,0.0,0.0
2000-10-19,26.43,27.95,26.31,27.21,4599800,0.0,0.0
2000-10-20,27.21,29.66,27.17,28.96,4653600,0.0,0.0
2000-10-23,28.96,32.26,28.3,31.76,5035100,0.0,0.0
2000-10-24,31.76,31.87,29.54,29.89,3616000,0.0,0.0
2000-10-25,27.91,28.18,26.28,26.51,5268500,0.0,0.0
2000-10-26,26.51,27.71,26.12,27.36,6379000,0.0,0.0
2000-10-27,28.53,29.39,27.95,28.45,4527100,0.0,0.0
2000-10-30,27.87,28.61,27.21,28.3,2719500,0.0,0.0
2000-10-31,28.37,29.62,28.37,28.8,3913000,0.0,0.0
2000-11-01,28.61,29.42,28.34,29.11,3398100,0.0,0.0
2000-11-02,29.31,30.28,29.15,29.93,3432700,0.0,0.0
2000-11-03,29.62,29.66,28.49,29.11,2376700,0.0,0.0
2000-11-06,29.19,29.19,28.53,28.84,2365800,0.0,0.0
2000-11-07,28.37,28.8,28.34,28.57,2191500,0.0,0.0
2000-11-08,28.57,29.39,27.33,27.6,2386300,0.0,0.0
2000-11-09,27.75,27.75,25.85,27.09,3967300,0.0,0.0
2000-11-10,26.12,26.59,24.45,24.53,4960100,0.0,0.0
2000-11-13,24.37,25.34,23.67,24.45,5977200,0.0,0.0
2000-11-14,25.11,26.78,25.03,26.51,3953100,0.0,0.0
2000-11-15,26.59,27.44,26.28,26.98,2409800,0.0,0.0
2000-11-16,26.7,27.17,25.65,25.89,2773900,0.0,0.0
2000-11-17,27.36,29.54,27.25,29.46,7868000,0.0,0.0
2000-11-20,29.15,29.19,27.25,27.75,4141000,0.0,0.0
2000-11-21,30.24,31.41,28.8,30.24,10100600,0.0,0.0
2000-11-22,30.24,30.47,28.3,29.85,3668400,0.0,0.0
2000-11-24,30.4,32.03,30.28,31.68,1746500,0.0,0.0
2000-11-27,31.68,32.3,31.1,31.41,2995400,0.0,0.0
2000-11-28,31.41,32.81,31.37,31.52,3540100,0.0,0.0
2000-11-29,32.11,33.58,31.76,33.51,4385100,0.0,0.0
2000-11-30,32.96,33.08,31.48,32.46,4962600,0.0,0.0
2000-12-01,32.92,34.01,32.81,32.96,3628600,0.0,0.0
2000-12-04,32.38,33.0,31.41,31.72,2895100,0.0,0.0
2000-12-05,32.81,34.63,32.69,34.24,5472300,0.0,0.0
2000-12-06,34.36,35.41,32.34,32.34,4366900,0.0,0.0
2000-12-07,32.65,34.13,31.95,33.58,3059900,0.0,0.0
2000-12-08,35.06,37.24,34.9,36.96,4409900,0.0,0.0
2000-12-11,36.46,36.89,35.45,35.92,3181200,0.0,0.0
2000-12-12,36.3,36.5,35.45,35.6,2134100,0.0,0.0
2000-12-13,36.77,36.93,35.95,36.19,4095500,0.0,0.0
2000-12-14,36.23,37.08,36.11,36.85,4246800,0.0,0.0
2000-12-15,36.85,37.12,33.89,35.37,6050900,0.0,0.0
2000-12-18,35.37,36.23,35.02,35.45,3403400,0.0,0.0
2000-12-19,35.45,37.24,35.33,35.49,3278500,0.0,0.0
2000-12-20,33.97,34.01,31.45,32.65,4698600,0.0,0.0
2000-12-21,32.65,33.49,31.02,31.95,4023700,0.0,0.0
2000-12-22,31.8,34.67,31.76,34.01,2558700,0.0,0.0
2000-12-26,34.05,34.32,32.96,33.27,1579000,0.0,0.0
2000-12-27,33.31,34.83,33.31,34.79,3748400,0.0,0.0
2000-12-28,34.59,35.06,33.82,34.4,1763200,0.0,0.0
2000-12-29,34.44,35.1,33.35,34.05,2069300,0.0,0.0
2001-01-02,33.51,33.51,30.51,31.64,2261600,0.0,0.0
2001-01-03,30.55,35.14,29.58,34.9,4502600,0.0,0.0
