Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2001-11-29,12.7,13.72,12.67,13.17,371100,0.0,0.0
2001-11-30,13.17,13.53,13.17,13.53,165300,0.0,0.0
2001-12-03,13.5,13.5,13.07,13.07,127500,0.0,0.0
2001-12-04,13.07,13.07,12.55,12.55,95400,0.0,0.0
2001-12-05,12.74,14.02,12.74,13.91,598200,0.0,0.0
2001-12-06,13.98,13.98,13.82,13.82,157200,0.0,0.0
2001-12-07,13.83,13.91,13.72,13.91,215100,0.0,0.0
2001-12-10,13.88,13.89,13.84,13.86,119100,0.0,0.0
2001-12-11,13.85,13.95,13.84,13.84,378600,0.0,0.0
2001-12-12,13.83,13.83,13.31,13.37,114600,0.0,0.0
2001-12-13,13.36,13.53,13.25,13.25,113700,0.0,0.0
2001-12-14,13.23,13.23,12.82,12.93,233400,0.0,0.0
2001-12-17,12.96,13.28,12.96,12.96,106200,0.0,0.0
2001-12-18,12.98,13.15,12.96,12.96,101400,0.0,0.0
2001-12-19,12.96,12.98,12.88,12.98,157800,0.0,0.0
2001-12-20,13.03,13.5,13.03,13.37,97200,0.0,0.0
2001-12-21,13.45,14.51,13.44,14.34,659400,0.0,0.0
2001-12-24,14.32,14.56,14.29,14.48,50700,0.0,0.0
2001-12-26,14.51,14.85,14.48,14.54,378000,0.0,0.0
2001-12-27,14.94,15.07,14.61,14.84,349200,0.0,0.0
2001-12-28,14.92,14.92,14.83,14.88,295500,0.0,0.0
2001-12-31,14.89,15.73,14.77,15.73,255900,0.0,0.0
2002-01-02,15.33,15.33,15.07,15.11,132300,0.0,0.0
2002-01-03,15.08,15.08,14.32,14.32,89700,0.0,0.0
2002-01-04,14.32,14.42,12.96,13.44,346500,0.0,0.0
2002-01-07,13.44,13.63,12.6,13.22,601500,0.0,0.0
2002-01-08,13.14,13.22,12.81,13.0,442200,0.0,0.0
2002-01-09,13.01,13.15,13.0,13.03,60000,0.0,0.0
2002-01-10,13.03,13.41,13.03,13.31,216300,0.0,0.0
2002-01-11,13.6,13.99,13.58,13.75,340800,0.0,0.0
2002-01-14,13.75,13.82,13.56,13.56,230700,0.0,0.0
2002-01-15,13.99,14.65,13.99,14.55,1030200,0.0,0.0
2002-01-16,14.52,14.97,14.39,14.83,526200,0.0,0.0
2002-01-17,14.86,15.11,14.86,14.92,42900,0.0,0.0
2002-01-18,14.89,15.18,14.77,14.96,70500,0.0,0.0
2002-01-22,14.96,14.96,14.45,14.77,130800,0.0,0.0
2002-01-23,14.8,14.91,14.77,14.83,38700,0.0,0.0
2002-01-24,14.86,14.92,14.54,14.62,125100,0.0,0.0
2002-01-25,14.67,14.96,14.53,14.83,88800,0.0,0.0
2002-01-28,14.88,15.08,14.47,14.64,75300,0.0,0.0
2002-01-29,14.65,14.73,14.64,14.66,27300,0.0,0.0
2002-01-30,14.67,14.77,14.58,14.75,67800,0.0,0.0
2002-01-31,14.78,14.89,14.69,14.81,36600,0.0,0.0
2002-02-01,14.84,14.92,14.84,14.89,9000,0.0,0.0
2002-02-04,14.86,14.86,14.64,14.65,13200,0.0,0.0
2002-02-05,14.58,14.59,14.5,14.51,39300,0.0,0.0
2002-02-06,14.48,14.48,14.39,14.45,54300,0.0,0.0
2002-02-07,14.07,14.18,13.85,14.13,216000,0.0,0.0
2002-02-08,14.12,14.18,14.07,14.16,71100,0.0,0.0
2002-02-11,14.13,14.39,14.1,14.35,21600,0.0,0.0
2002-02-12,14.39,14.61,14.39,14.61,14100,0.0,0.0
2002-02-13,14.54,14.58,14.2,14.23,74100,0.0,0.0
2002-02-14,14.26,14.26,14.04,14.12,58500,0.0,0.0
2002-02-15,14.09,14.1,14.07,14.1,17100,0.0,0.0
2002-02-19,14.13,14.16,14.05,14.07,9900,0.0,0.0
2002-02-20,14.04,14.47,13.88,13.98,88500,0.0,0.0
2002-02-21,13.91,14.03,13.85,14.03,132300,0.0,0.0
2002-02-22,14.03,14.21,14.03,14.2,45600,0.0,0.0
2002-02-25,14.16,14.32,14.16,14.23,25800,0.0,0.0
2002-02-26,14.26,14.32,14.23,14.26,88800,0.0,0.0
2002-02-27,14.28,14.42,14.21,14.26,127200,0.0,0.0
2002-02-28,14.29,14.29,14.07,14.16,22500,0.0,0.0
2002-03-01,14.16,14.16,13.77,13.88,219000,0.0,0.0
2002-03-04,13.85,13.98,13.77,13.88,129300,0.0,0.0
2002-03-05,13.88,13.88,13.66,13.82,269100,0.0,0.0
2002-03-06,13.79,13.91,13.71,13.79,501000,0.0,0.0
2002-03-07,13.34,13.34,12.9,12.93,13530300,0.0,0.0
2002-03-08,12.97,13.15,12.81,13.12,3135000,0.0,0.0
2002-03-11,13.12,13.34,12.96,13.28,3147600,0.0,0.0
2002-03-12,13.12,13.26,13.09,13.22,1657800,0.0,0.0
2002-03-13,13.12,13.23,13.12,13.18,777900,0.0,0.0
2002-03-14,13.28,13.66,13.25,13.63,2705400,0.0,0.0
2002-03-15,13.63,14.05,13.55,14.02,1723200,0.0,0.0
2002-03-18,13.91,14.01,13.83,13.99,1295700,0.0,0.0
2002-03-19,13.96,14.26,13.91,14.23,929400,0.0,0.0
2002-03-20,14.23,14.23,14.06,14.09,565200,0.0,0.0
2002-03-21,14.05,14.1,13.85,14.07,522600,0.0,0.0
2002-03-22,14.02,14.08,13.96,13.99,916500,0.0,0.0
2002-03-25,13.91,14.04,13.83,13.93,437400,0.0,0.0
2002-03-26,13.91,14.23,13.91,14.23,936900,0.0,0.0
2002-03-27,14.23,14.26,14.21,14.24,357600,0.0,0.0
2002-03-28,14.26,14.56,14.26,14.54,1013100,0.0,0.0
2002-04-01,14.54,14.57,14.42,14.55,524700,0.0,0.0
2002-04-02,14.54,14.54,14.18,14.23,2018400,0.0,0.0
2002-04-03,14.23,14.23,13.81,13.86,1195500,0.0,0.0
2002-04-04,13.86,13.98,13.85,13.91,602100,0.0,0.0
2002-04-05,13.99,14.07,13.94,14.07,483600,0.0,0.0
2002-04-08,14.07,14.23,13.9,14.23,510900,0.0,0.0
2002-04-09,14.28,14.78,14.28,14.77,594600,0.0,0.0
2002-04-10,14.77,15.1,14.77,15.1,833400,0.0,0.0
2002-04-11,15.06,15.18,14.99,15.08,537300,0.0,0.0
2002-04-12,15.05,15.13,14.99,15.05,784800,0.0,0.0
2002-04-15,15.27,15.4,15.15,15.24,968400,0.0,0.0
2002-04-16,15.27,15.41,15.27,15.38,818400,0.0,0.0
2002-04-17,15.4,15.56,15.33,15.49,177600,0.0,0.0
2002-04-18,15.49,15.56,15.18,15.52,707400,0.0,0.0
2002-04-19,15.56,15.82,15.56,15.81,841500,0.0,0.0
2002-04-22,15.89,15.89,15.7,15.78,594900,0.0,0.0
2002-04-23,15.78,16.13,15.75,16.13,795600,0.0,0.0
2002-04-24,16.17,16.3,16.17,16.24,714900,0.0,0.0
2002-04-25,17.23,18.18,17.18,18.18,3794400,0.0,0.0
2002-04-26,18.15,18.15,17.74,17.94,1054200,0.0,0.0
2002-04-29,17.99,18.15,17.71,17.8,524700,0.0,0.0
