Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1986-08-13,0.0,0.16,0.15,0.15,18899200,0.0,0.0
1986-08-14,0.0,0.17,0.16,0.16,4160000,0.0,0.0
1986-08-15,0.0,0.16,0.16,0.16,4332800,0.0,0.0
1986-08-18,0.0,0.16,0.15,0.15,2828800,0.0,0.0
1986-08-19,0.0,0.16,0.16,0.16,2060800,0.0,0.0
1986-08-20,0.0,0.16,0.16,0.16,684800,0.0,0.0
1986-08-21,0.0,0.17,0.16,0.16,883200,0.0,0.0
1986-08-22,0.0,0.17,0.16,0.16,1734400,0.0,0.0
1986-08-25,0.0,0.16,0.16,0.16,627200,0.0,0.0
1986-08-26,0.0,0.16,0.16,0.16,793600,0.0,0.0
1986-08-27,0.0,0.16,0.16,0.16,2540800,0.0,0.0
1986-08-28,0.0,0.16,0.15,0.15,1555200,0.0,0.0
1986-08-29,0.0,0.16,0.15,0.15,1548800,0.0,0.0
1986-09-02,0.0,0.17,0.16,0.16,1068800,0.0,0.0
1986-09-03,0.0,0.17,0.16,0.16,403200,0.0,0.0
1986-09-04,0.0,0.19,0.18,0.18,1804800,0.0,0.0
1986-09-05,0.0,0.19,0.18,0.18,2137600,0.0,0.0
1986-09-08,0.0,0.18,0.18,0.18,492800,0.0,0.0
1986-09-09,0.0,0.19,0.18,0.18,499200,0.0,0.0
1986-09-10,0.0,0.2,0.19,0.19,934400,0.0,0.0
1986-09-11,0.0,0.18,0.17,0.17,1798400,0.0,0.0
1986-09-12,0.0,0.18,0.17,0.17,1286400,0.0,0.0
1986-09-15,0.0,0.2,0.19,0.19,998400,0.0,0.0
1986-09-16,0.0,0.2,0.2,0.2,1254400,0.0,0.0
1986-09-17,0.0,0.22,0.21,0.21,1356800,0.0,0.0
1986-09-18,0.0,0.22,0.21,0.21,352000,0.0,0.0
1986-09-19,0.0,0.22,0.21,0.21,1024000,0.0,0.0
1986-09-22,0.0,0.21,0.2,0.2,780800,0.0,0.0
1986-09-23,0.0,0.2,0.2,0.2,1798400,0.0,0.0
1986-09-24,0.0,0.21,0.2,0.2,1312000,0.0,0.0
1986-09-25,0.0,0.2,0.19,0.19,1657600,0.0,0.0
1986-09-26,0.0,0.2,0.19,0.19,768000,0.0,0.0
1986-09-29,0.0,0.2,0.2,0.2,473600,0.0,0.0
1986-09-30,0.0,0.21,0.2,0.2,192000,0.0,0.0
1986-10-01,0.0,0.21,0.2,0.2,371200,0.0,0.0
1986-10-02,0.0,0.21,0.2,0.2,224000,0.0,0.0
1986-10-03,0.0,0.2,0.2,0.2,44800,0.0,0.0
1986-10-06,0.0,0.21,0.2,0.2,128000,0.0,0.0
1986-10-07,0.0,0.21,0.2,0.2,198400,0.0,0.0
1986-10-08,0.0,0.21,0.2,0.2,204800,0.0,0.0
1986-10-09,0.0,0.21,0.2,0.2,793600,0.0,0.0
1986-10-10,0.0,0.21,0.2,0.2,224000,0.0,0.0
1986-10-13,0.0,0.21,0.2,0.2,454400,0.0,0.0
1986-10-14,0.0,0.21,0.2,0.2,480000,0.0,0.0
1986-10-15,0.0,0.21,0.2,0.2,352000,0.0,0.0
1986-10-16,0.0,0.21,0.2,0.2,352000,0.0,0.0
1986-10-17,0.0,0.21,0.2,0.2,83200,0.0,0.0
1986-10-20,0.0,0.21,0.2,0.2,44800,0.0,0.0
1986-10-21,0.0,0.21,0.21,0.21,326400,0.0,0.0
1986-10-22,0.0,0.22,0.21,0.21,1100800,0.0,0.0
1986-10-23,0.0,0.22,0.21,0.21,742400,0.0,0.0
1986-10-24,0.0,0.24,0.23,0.23,1651200,0.0,0.0
1986-10-27,0.0,0.24,0.23,0.23,729600,0.0,0.0
1986-10-28,0.0,0.24,0.23,0.23,1804800,0.0,0.0
1986-10-29,0.0,0.26,0.26,0.26,11667200,0.0,0.0
1986-10-30,0.0,0.27,0.27,0.27,2150400,0.0,0.0
1986-10-31,0.0,0.27,0.27,0.27,1990400,0.0,0.0
1986-11-03,0.0,0.26,0.26,0.26,1388800,0.0,0.0
1986-11-04,0.0,0.26,0.25,0.25,2003200,0.0,0.0
1986-11-05,0.0,0.26,0.25,0.25,1094400,0.0,0.0
1986-11-06,0.0,0.26,0.25,0.25,2329600,0.0,0.0
1986-11-07,0.0,0.26,0.26,0.26,1094400,0.0,0.0
1986-11-10,0.0,0.27,0.26,0.26,2528000,0.0,0.0
1986-11-11,0.0,0.26,0.26,0.26,876800,0.0,0.0
1986-11-12,0.0,0.27,0.26,0.26,441600,0.0,0.0
1986-11-13,0.0,0.26,0.26,0.26,550400,0.0,0.0
1986-11-14,0.0,0.27,0.26,0.26,448000,0.0,0.0
1986-11-17,0.0,0.26,0.26,0.26,684800,0.0,0.0
1986-11-18,0.0,0.26,0.25,0.25,1062400,0.0,0.0
1986-11-19,0.0,0.26,0.25,0.25,364800,0.0,0.0
1986-11-20,0.0,0.26,0.25,0.25,454400,0.0,0.0
1986-11-21,0.0,0.26,0.25,0.25,89600,0.0,0.0
1986-11-24,0.0,0.26,0.25,0.25,256000,0.0,0.0
1986-11-25,0.0,0.26,0.25,0.25,518400,0.0,0.0
1986-11-26,0.0,0.27,0.27,0.27,1664000,0.0,0.0
1986-11-28,0.0,0.28,0.28,0.28,518400,0.0,0.0
1986-12-01,0.0,0.28,0.28,0.28,684800,0.0,0.0
1986-12-02,0.0,0.29,0.28,0.28,908800,0.0,0.0
1986-12-03,0.0,0.28,0.28,0.28,422400,0.0,0.0
1986-12-04,0.0,0.29,0.28,0.28,1484800,0.0,0.0
1986-12-05,0.0,0.29,0.29,0.29,1632000,0.0,0.0
1986-12-08,0.0,0.31,0.3,0.3,2720000,0.0,0.0
1986-12-09,0.0,0.29,0.29,0.29,4563200,0.0,0.0
1986-12-10,0.0,0.29,0.29,0.29,3193600,0.0,0.0
1986-12-11,0.0,0.27,0.27,0.27,7334400,0.0,0.0
1986-12-12,0.0,0.28,0.27,0.27,492800,0.0,0.0
1986-12-15,0.0,0.28,0.27,0.27,281600,0.0,0.0
1986-12-16,0.0,0.27,0.27,0.27,4204800,0.0,0.0
1986-12-17,0.0,0.27,0.26,0.26,3116800,0.0,0.0
1986-12-18,0.0,0.27,0.27,0.27,966400,0.0,0.0
1986-12-19,0.0,0.27,0.27,0.27,620800,0.0,0.0
1986-12-22,0.0,0.28,0.27,0.27,1798400,0.0,0.0
1986-12-23,0.0,0.28,0.28,0.28,3718400,0.0,0.0
1986-12-24,0.0,0.29,0.29,0.29,1536000,0.0,0.0
1986-12-26,0.0,0.29,0.29,0.29,64000,0.0,0.0
1986-12-29,0.0,0.29,0.28,0.28,2348800,0.0,0.0
1986-12-30,0.0,0.29,0.28,0.28,544000,0.0,0.0
1986-12-31,0.0,0.3,0.29,0.29,3520000,0.0,0.0
1987-01-02,0.0,0.3,0.29,0.29,665600,0.0,0.0
1987-01-05,0.0,0.31,0.3,0.3,742400,0.0,0.0
1987-01-06,0.0,0.31,0.31,0.31,3104000,0.0,0.0
1987-01-07,0.0,0.31,0.31,0.31,2368000,0.0,0.0
1987-01-08,0.0,0.32,0.32,0.32,2035200,0.0,0.0
1987-01-09,0.0,0.33,0.32,0.32,1913600,0.0,0.0
1987-01-12,0.0,0.34,0.33,0.33,3257600,0.0,0.0
1987-01-13,0.0,0.35,0.34,0.34,2272000,0.0,0.0
1987-01-14,0.0,0.35,0.35,0.35,2547200,0.0,0.0
1987-01-15,0.0,0.36,0.35,0.35,4601600,0.0,0.0
1987-01-16,0.0,0.36,0.35,0.35,5056000,0.0,0.0
1987-01-19,0.0,0.37,0.37,0.37,7520000,0.0,0.0
1987-01-20,0.0,0.4,0.39,0.39,7116800,0.0,0.0
1987-01-21,0.0,0.4,0.39,0.39,2003200,0.0,0.0
1987-01-22,0.0,0.4,0.39,0.39,2419200,0.0,0.0
1987-01-23,0.0,0.42,0.41,0.41,5996800,0.0,0.0
1987-01-26,0.0,0.41,0.4,0.4,3968000,0.0,0.0
1987-01-27,0.0,0.41,0.41,0.41,1504000,0.0,0.0
1987-01-28,0.0,0.41,0.41,0.41,537600,0.0,0.0
1987-01-29,0.0,0.4,0.39,0.39,1036800,0.0,0.0
1987-01-30,0.0,0.39,0.39,0.39,1440000,0.0,0.0
1987-02-02,0.0,0.39,0.39,0.39,1280000,0.0,0.0
1987-02-03,0.0,0.41,0.39,0.4,8358400,0.0,0.0
1987-02-04,0.0,0.41,0.4,0.41,4492800,0.0,0.0
1987-02-05,0.0,0.42,0.41,0.42,4064000,0.0,0.0
1987-02-06,0.0,0.42,0.41,0.42,2355200,0.0,0.0
1987-02-09,0.0,0.43,0.42,0.42,2316800,0.0,0.0
1987-02-10,0.0,0.43,0.42,0.43,2560000,0.0,0.0
1987-02-11,0.0,0.46,0.42,0.46,4825600,0.0,0.0
1987-02-12,0.0,0.49,0.46,0.49,3750400,0.0,0.0
1987-02-13,0.0,0.51,0.48,0.51,2406400,0.0,0.0
1987-02-17,0.0,0.52,0.5,0.52,2086400,0.0,0.0
1987-02-18,0.0,0.53,0.51,0.52,2284800,0.0,0.0
1987-02-19,0.0,0.53,0.49,0.5,3436800,0.0,0.0
1987-02-20,0.0,0.5,0.45,0.46,9414400,0.0,0.0
1987-02-23,0.0,0.48,0.45,0.47,7590400,0.0,0.0
1987-02-24,0.0,0.5,0.48,0.5,4128000,0.0,0.0
1987-02-25,0.0,0.52,0.5,0.5,3987200,0.0,0.0
1987-02-26,0.0,0.51,0.5,0.5,1881600,0.0,0.0
1987-02-27,0.0,0.52,0.5,0.52,352000,0.0,0.0
1987-03-02,0.0,0.52,0.51,0.52,3379200,0.0,0.0
1987-03-03,0.0,0.58,0.52,0.58,19110400,0.0,0.0
1987-03-04,0.0,0.64,0.6,0.62,10380800,0.0,0.0
1987-03-05,0.0,0.66,0.62,0.63,9196800,0.0,0.0
1987-03-06,0.0,0.64,0.62,0.62,915200,0.0,0.0
1987-03-09,0.0,0.64,0.62,0.64,2707200,0.0,0.0
1987-03-10,0.0,0.65,0.62,0.65,2009600,0.0,0.0
1987-03-11,0.0,0.68,0.64,0.67,18003200,0.0,0.0
1987-03-12,0.67,0.71,0.67,0.7,13001600,0.0,2.0
1987-03-13,0.7,0.76,0.64,0.76,12985600,0.0,0.0
1987-03-16,0.76,0.8,0.75,0.79,10867200,0.0,0.0
1987-03-17,0.79,0.81,0.71,0.76,12432000,0.0,0.0
1987-03-18,0.76,0.77,0.73,0.73,15830400,0.0,0.0
1987-03-19,0.73,0.75,0.73,0.74,9203200,0.0,0.0
1987-03-20,0.74,0.75,0.7,0.71,3155200,0.0,0.0
1987-03-23,0.71,0.74,0.64,0.65,4195200,0.0,0.0
1987-03-24,0.65,0.68,0.65,0.67,6064000,0.0,0.0
1987-03-25,0.67,0.7,0.66,0.68,3779200,0.0,0.0
1987-03-26,0.7,0.74,0.7,0.73,4828800,0.0,0.0
1987-03-27,0.73,0.76,0.72,0.75,3683200,0.0,0.0
1987-03-30,0.75,0.75,0.69,0.71,4614400,0.0,0.0
1987-03-31,0.73,0.8,0.73,0.78,6038400,0.0,0.0
1987-04-01,0.78,0.86,0.73,0.82,7161600,0.0,0.0
1987-04-02,0.85,0.93,0.85,0.91,12108800,0.0,0.0
1987-04-03,0.91,0.94,0.9,0.9,14505600,0.0,0.0
1987-04-06,0.91,0.96,0.91,0.95,9660800,0.0,0.0
1987-04-07,0.95,0.99,0.95,0.96,6822400,0.0,0.0
1987-04-08,0.96,0.98,0.94,0.96,2486400,0.0,0.0
1987-04-09,0.96,0.97,0.9,0.91,3577600,0.0,0.0
1987-04-10,0.91,0.92,0.89,0.9,3724800,0.0,0.0
1987-04-13,0.9,0.91,0.86,0.88,1363200,0.0,0.0
1987-04-14,0.87,0.87,0.81,0.82,5552000,0.0,0.0
1987-04-15,0.82,0.84,0.79,0.84,4128000,0.0,0.0
1987-04-16,0.85,0.98,0.85,0.92,7075200,0.0,0.0
1987-04-20,0.92,0.93,0.87,0.87,1107200,0.0,0.0
1987-04-21,0.87,0.92,0.87,0.92,1648000,0.0,0.0
1987-04-22,0.92,0.95,0.92,0.95,2880000,0.0,0.0
1987-04-23,0.95,0.95,0.94,0.94,1024000,0.0,0.0
1987-04-24,0.94,0.95,0.92,0.94,748800,0.0,0.0
1987-04-27,0.94,0.95,0.92,0.94,3913600,0.0,0.0
1987-04-28,0.94,1.06,0.94,1.04,13129600,0.0,0.0
1987-04-29,1.06,1.12,1.06,1.1,4294400,0.0,0.0
1987-04-30,1.1,1.13,1.09,1.1,7305600,0.0,0.0
1987-05-01,1.1,1.11,1.09,1.11,5907200,0.0,0.0
1987-05-04,1.11,1.11,1.09,1.1,1094400,0.0,0.0
1987-05-05,1.1,1.23,1.09,1.23,5740800,0.0,0.0
1987-05-06,1.23,1.27,1.21,1.21,3500800,0.0,0.0
1987-05-07,1.21,1.24,1.21,1.23,2294400,0.0,0.0
1987-05-08,1.23,1.25,1.21,1.23,1081600,0.0,0.0
1987-05-11,1.23,1.25,1.19,1.2,2195200,0.0,0.0
1987-05-12,1.2,1.21,1.16,1.17,2736000,0.0,0.0
1987-05-13,1.18,1.22,1.18,1.19,2979200,0.0,0.0
1987-05-14,1.2,1.21,1.2,1.2,1376000,0.0,0.0
1987-05-15,1.2,1.21,1.16,1.16,1699200,0.0,0.0
1987-05-18,1.16,1.17,1.06,1.16,7731200,0.0,0.0
1987-05-19,1.16,1.16,1.07,1.07,2598400,0.0,0.0
1987-05-20,1.07,1.09,1.03,1.07,2400000,0.0,0.0
1987-05-21,1.08,1.11,1.08,1.1,4025600,0.0,0.0
1987-05-22,1.1,1.12,1.08,1.1,1795200,0.0,0.0
1987-05-26,1.1,1.11,1.09,1.09,678400,0.0,0.0
1987-05-27,1.09,1.11,1.09,1.09,2249600,0.0,0.0
1987-05-28,1.09,1.11,1.07,1.09,2275200,0.0,0.0
1987-05-29,1.09,1.1,1.08,1.09,4432000,0.0,0.0
1987-06-01,1.09,1.1,1.08,1.08,931200,0.0,0.0
1987-06-02,1.08,1.12,1.08,1.08,1142400,0.0,0.0
1987-06-03,1.08,1.09,1.01,1.01,3289600,0.0,0.0
1987-06-04,1.01,1.03,0.91,0.96,5968000,0.0,0.0
1987-06-05,0.96,0.98,0.88,0.91,11216000,0.0,0.0
1987-06-08,0.86,0.86,0.75,0.78,13366400,0.0,0.0
1987-06-09,0.82,0.88,0.82,0.87,17593600,0.0,0.0
1987-06-10,0.87,0.9,0.79,0.83,9334400,0.0,0.0
1987-06-11,0.83,0.84,0.75,0.75,15100800,0.0,0.0
1987-06-12,0.75,0.81,0.71,0.77,21081600,0.0,0.0
1987-06-15,0.77,0.77,0.64,0.71,15987200,0.0,0.0
1987-06-16,0.72,0.83,0.72,0.83,17817600,0.0,0.0
1987-06-17,0.83,0.88,0.83,0.86,12185600,0.0,0.0
1987-06-18,0.86,0.86,0.82,0.85,4102400,0.0,0.0
1987-06-19,0.85,0.86,0.83,0.84,2713600,0.0,0.0
1987-06-22,0.84,0.86,0.84,0.84,905600,0.0,0.0
1987-06-23,0.84,0.86,0.84,0.84,2617600,0.0,0.0
1987-06-24,0.84,0.85,0.83,0.83,2732800,0.0,0.0
1987-06-25,0.83,0.85,0.77,0.77,2937600,0.0,0.0
1987-06-26,0.77,0.82,0.73,0.82,3638400,0.0,0.0
1987-06-29,0.82,0.82,0.79,0.79,1744000,0.0,0.0
1987-06-30,0.79,0.82,0.79,0.79,3459200,0.0,0.0
1987-07-01,0.79,0.81,0.78,0.79,1020800,0.0,0.0
1987-07-02,0.79,0.81,0.77,0.81,1120000,0.0,0.0
1987-07-06,0.81,0.81,0.76,0.76,2192000,0.0,0.0
1987-07-07,0.76,0.77,0.68,0.69,6492800,0.0,0.0
1987-07-08,0.69,0.78,0.68,0.76,5427200,0.0,0.0
1987-07-09,0.76,0.79,0.74,0.78,4000000,0.0,0.0
1987-07-10,0.78,0.81,0.75,0.75,3449600,0.0,0.0
1987-07-13,0.75,0.76,0.71,0.74,5945600,0.0,0.0
1987-07-14,0.75,0.84,0.75,0.82,6492800,0.0,0.0
1987-07-15,0.81,0.81,0.77,0.78,7180800,0.0,0.0
1987-07-16,0.78,0.78,0.75,0.76,4828800,0.0,0.0
1987-07-17,0.76,0.78,0.76,0.76,1328000,0.0,0.0
1987-07-20,0.76,0.77,0.74,0.75,822400,0.0,0.0
1987-07-21,0.75,0.77,0.74,0.75,3161600,0.0,0.0
1987-07-22,0.75,0.75,0.74,0.74,1680000,0.0,0.0
1987-07-23,0.74,0.75,0.7,0.72,4620800,0.0,0.0
1987-07-24,0.72,0.74,0.71,0.73,1312000,0.0,0.0
1987-07-27,0.73,0.79,0.73,0.79,2185600,0.0,0.0
1987-07-28,0.79,0.79,0.75,0.76,1267200,0.0,0.0
1987-07-29,0.76,0.77,0.7,0.73,4390400,0.0,0.0
1987-07-30,0.73,0.74,0.7,0.74,3257600,0.0,0.0
1987-07-31,0.74,0.76,0.73,0.75,6019200,0.0,0.0
1987-08-03,0.75,0.76,0.73,0.73,1561600,0.0,0.0
1987-08-04,0.73,0.73,0.68,0.72,3472000,0.0,0.0
1987-08-05,0.72,0.74,0.7,0.74,6953600,0.0,0.0
1987-08-06,0.74,0.79,0.72,0.77,9267200,0.0,0.0
1987-08-07,0.79,0.83,0.79,0.83,13011200,0.0,0.0
1987-08-10,0.83,0.86,0.82,0.84,2016000,0.0,0.0
1987-08-11,0.85,0.89,0.85,0.88,5430400,0.0,0.0
1987-08-12,0.88,0.88,0.84,0.84,3040000,0.0,0.0
1987-08-13,0.84,0.86,0.84,0.84,3945600,0.0,0.0
1987-08-14,0.84,0.86,0.82,0.82,1945600,0.0,0.0
1987-08-17,0.82,0.84,0.82,0.84,48000,0.0,0.0
1987-08-18,0.84,0.84,0.77,0.79,2425600,0.0,0.0
1987-08-19,0.79,0.8,0.77,0.8,4595200,0.0,0.0
1987-08-20,0.81,0.84,0.81,0.84,2064000,0.0,0.0
1987-08-21,0.84,0.84,0.81,0.81,454400,0.0,0.0
1987-08-24,0.81,0.83,0.79,0.8,1932800,0.0,0.0
1987-08-25,0.8,0.85,0.79,0.84,4352000,0.0,0.0
1987-08-26,0.84,0.85,0.81,0.81,1897600,0.0,0.0
1987-08-27,0.81,0.81,0.79,0.81,3030400,0.0,0.0
1987-08-28,0.8,0.8,0.75,0.77,3494400,0.0,0.0
1987-08-31,0.76,0.76,0.72,0.73,5763200,0.0,0.0
1987-09-01,0.73,0.79,0.72,0.76,4880000,0.0,0.0
1987-09-02,0.76,0.77,0.74,0.75,2054400,0.0,0.0
1987-09-03,0.76,0.77,0.76,0.76,2089600,0.0,0.0
1987-09-04,0.76,0.78,0.76,0.77,2588800,0.0,0.0
1987-09-08,0.77,0.77,0.73,0.74,3609600,0.0,0.0
1987-09-09,0.74,0.78,0.74,0.76,1328000,0.0,0.0
1987-09-10,0.76,0.83,0.76,0.83,4070400,0.0,0.0
1987-09-11,0.83,0.85,0.82,0.82,3440000,0.0,0.0
1987-09-14,0.82,0.83,0.8,0.8,2768000,0.0,0.0
1987-09-15,0.8,0.81,0.76,0.78,2006400,0.0,0.0
1987-09-16,0.78,0.81,0.77,0.79,3628800,0.0,0.0
1987-09-17,0.79,0.87,0.78,0.85,8064000,0.0,0.0
1987-09-18,0.85,0.88,0.85,0.86,6044800,0.0,0.0
1987-09-21,0.85,0.85,0.8,0.83,4339200,0.0,0.0
1987-09-22,0.83,0.85,0.81,0.85,1411200,0.0,0.0
1987-09-23,0.85,0.86,0.83,0.85,1123200,0.0,0.0
1987-09-24,0.85,0.85,0.83,0.84,342400,0.0,0.0
1987-09-25,0.84,0.86,0.83,0.86,1168000,0.0,0.0
1987-09-28,0.86,0.9,0.85,0.89,6729600,0.0,0.0
1987-09-29,0.89,0.9,0.88,0.9,4099200,0.0,0.0
1987-09-30,0.9,0.9,0.86,0.87,2524800,0.0,0.0
1987-10-01,0.87,0.93,0.86,0.92,4857600,0.0,0.0
1987-10-02,0.92,1.02,0.91,1.01,9689600,0.0,0.0
1987-10-05,1.01,1.03,0.99,1.02,3977600,0.0,0.0
1987-10-06,1.02,1.03,0.96,0.97,5289600,0.0,0.0
1987-10-07,0.97,0.99,0.92,0.93,3347200,0.0,0.0
1987-10-08,0.93,0.93,0.88,0.88,3385600,0.0,0.0
1987-10-09,0.88,0.92,0.88,0.88,2185600,0.0,0.0
1987-10-12,0.88,0.92,0.83,0.87,3462400,0.0,0.0
1987-10-13,0.87,0.9,0.86,0.87,2374400,0.0,0.0
1987-10-14,0.87,0.9,0.87,0.88,1062400,0.0,0.0
1987-10-15,0.88,0.93,0.86,0.9,3385600,0.0,0.0
1987-10-16,0.9,0.91,0.82,0.86,7404800,0.0,0.0
1987-10-19,0.84,0.84,0.68,0.68,7331200,0.0,0.0
1987-10-20,0.68,0.68,0.5,0.6,8611200,0.0,0.0
1987-10-21,0.64,0.68,0.64,0.64,10083200,0.0,0.0
1987-10-22,0.62,0.62,0.55,0.57,5942400,0.0,0.0
1987-10-23,0.56,0.56,0.47,0.49,4265600,0.0,0.0
1987-10-26,0.47,0.47,0.36,0.37,3868800,0.0,0.0
1987-10-27,0.37,0.43,0.32,0.33,7616000,0.0,0.0
1987-10-28,0.33,0.39,0.29,0.33,6966400,0.0,0.0
1987-10-29,0.33,0.47,0.33,0.44,9286400,0.0,0.0
1987-10-30,0.51,0.57,0.51,0.51,13737600,0.0,0.0
1987-11-02,0.51,0.57,0.5,0.57,5712000,0.0,0.0
1987-11-03,0.57,0.57,0.51,0.53,7952000,0.0,0.0
1987-11-04,0.53,0.57,0.51,0.53,5254400,0.0,0.0
1987-11-05,0.54,0.57,0.54,0.54,3091200,0.0,0.0
1987-11-06,0.54,0.55,0.5,0.5,3484800,0.0,0.0
1987-11-09,0.5,0.52,0.47,0.52,3139200,0.0,0.0
1987-11-10,0.51,0.51,0.49,0.51,2105600,0.0,0.0
1987-11-11,0.52,0.54,0.52,0.52,1843200,0.0,0.0
