Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,0.52,0.49,0.49,374600,0.0,0.0
1980-03-18,0.0,0.49,0.48,0.49,211400,0.0,0.0
1980-03-19,0.0,0.5,0.49,0.49,151200,0.0,0.0
1980-03-20,0.0,0.49,0.49,0.49,41000,0.0,0.0
1980-03-21,0.0,0.49,0.46,0.46,553000,0.0,0.0
1980-03-24,0.0,0.47,0.43,0.43,380200,0.0,0.0
1980-03-25,0.0,0.42,0.4,0.42,322600,0.0,0.0
1980-03-26,0.0,0.43,0.42,0.43,98600,0.0,0.0
1980-03-27,0.0,0.42,0.4,0.41,511400,0.0,0.0
1980-03-28,0.0,0.43,0.42,0.43,242600,0.0,0.0
1980-03-31,0.0,0.43,0.42,0.43,60200,0.0,0.0
1980-04-01,0.0,0.44,0.43,0.43,48200,0.0,0.0
1980-04-02,0.0,0.45,0.43,0.44,124800,0.0,0.0
1980-04-03,0.0,0.45,0.44,0.44,124800,0.0,0.0
1980-04-07,0.0,0.43,0.42,0.42,262600,0.0,0.0
1980-04-08,0.0,0.43,0.42,0.43,92200,0.0,0.0
1980-04-09,0.0,0.43,0.43,0.43,48200,0.0,0.0
1980-04-10,0.0,0.44,0.43,0.44,50600,0.0,0.0
1980-04-11,0.0,0.44,0.43,0.44,240200,0.0,0.0
1980-04-14,0.0,0.43,0.43,0.43,160800,0.0,0.0
1980-04-15,0.0,0.43,0.42,0.42,34600,0.0,0.0
1980-04-16,0.0,0.44,0.42,0.43,140200,0.0,1.25
1980-04-17,0.0,0.42,0.41,0.42,180000,0.0,0.0
1980-04-18,0.0,0.43,0.41,0.41,393800,0.0,0.0
1980-04-21,0.0,0.42,0.41,0.41,22600,0.0,0.0
1980-04-22,0.0,0.44,0.41,0.44,387400,0.0,0.0
1980-04-23,0.0,0.44,0.43,0.44,502600,0.0,0.0
1980-04-24,0.0,0.44,0.43,0.44,230600,0.0,0.0
1980-04-25,0.0,0.44,0.43,0.44,144200,0.0,0.0
1980-04-28,0.0,0.45,0.44,0.45,163400,0.0,0.0
1980-04-29,0.0,0.45,0.44,0.44,32200,0.0,0.0
1980-04-30,0.0,0.45,0.44,0.45,99400,0.0,0.0
1980-05-01,0.0,0.45,0.44,0.44,214600,0.0,0.0
1980-05-02,0.0,0.44,0.43,0.44,220800,0.0,0.0
1980-05-05,0.0,0.44,0.43,0.44,265000,0.0,0.0
1980-05-06,0.0,0.44,0.43,0.43,84000,0.0,0.0
1980-05-07,0.0,0.43,0.42,0.43,134600,0.0,0.0
1980-05-08,0.0,0.43,0.43,0.43,108200,0.0,0.0
1980-05-09,0.0,0.44,0.42,0.42,63400,0.0,0.0
1980-05-12,0.0,0.45,0.43,0.44,178600,0.0,0.0
1980-05-13,0.0,0.45,0.44,0.45,73000,0.0,0.0
1980-05-14,0.0,0.46,0.44,0.46,403400,0.0,0.0
1980-05-15,0.0,0.46,0.46,0.46,144000,0.0,0.0
1980-05-16,0.0,0.47,0.46,0.47,144200,0.0,0.0
1980-05-19,0.0,0.49,0.47,0.48,319400,0.0,0.0
1980-05-20,0.0,0.53,0.48,0.53,399400,0.0,0.0
1980-05-21,0.0,0.53,0.51,0.52,291400,0.0,0.0
1980-05-22,0.0,0.52,0.51,0.51,153600,0.0,0.0
1980-05-23,0.0,0.53,0.51,0.51,140200,0.0,0.0
1980-05-27,0.0,0.53,0.52,0.52,192200,0.0,0.0
1980-05-28,0.0,0.53,0.52,0.53,140200,0.0,0.0
1980-05-29,0.0,0.54,0.52,0.53,259400,0.0,0.0
1980-05-30,0.0,0.53,0.52,0.53,98600,0.0,0.0
1980-06-02,0.0,0.53,0.52,0.52,32200,0.0,0.0
1980-06-03,0.0,0.52,0.52,0.52,370600,0.0,0.0
1980-06-04,0.0,0.52,0.52,0.52,274600,0.0,0.0
1980-06-05,0.0,0.55,0.52,0.54,319400,0.0,0.0
1980-06-06,0.0,0.56,0.54,0.56,531400,0.0,0.0
1980-06-09,0.0,0.59,0.56,0.56,422600,0.0,0.0
1980-06-10,0.0,0.56,0.56,0.56,130600,0.0,0.0
1980-06-11,0.0,0.57,0.56,0.57,211200,0.0,0.0
1980-06-12,0.0,0.57,0.56,0.56,409000,0.0,0.0
1980-06-13,0.0,0.58,0.56,0.58,332200,0.0,0.0
1980-06-16,0.0,0.58,0.57,0.57,259200,0.0,0.0
1980-06-17,0.0,0.57,0.56,0.57,132000,0.0,0.0
1980-06-18,0.0,0.57,0.56,0.57,79400,0.0,0.0
1980-06-19,0.0,0.57,0.56,0.56,230600,0.0,0.0
1980-06-20,0.0,0.55,0.54,0.55,108200,0.0,0.0
1980-06-23,0.0,0.57,0.55,0.57,182600,0.0,0.0
1980-06-24,0.0,0.58,0.57,0.57,73000,0.0,0.0
1980-06-25,0.0,0.57,0.56,0.57,314400,0.0,0.0
1980-06-26,0.0,0.6,0.57,0.59,633600,0.0,0.0
1980-06-27,0.0,0.6,0.58,0.59,124800,0.0,0.0
1980-06-30,0.0,0.59,0.58,0.59,470600,0.0,0.0
1980-07-01,0.0,0.6,0.57,0.57,415400,0.0,0.0
1980-07-02,0.0,0.58,0.57,0.58,103200,0.0,0.0
1980-07-03,0.0,0.6,0.59,0.59,74400,0.0,0.0
1980-07-07,0.0,0.6,0.59,0.6,211200,0.0,0.0
1980-07-08,0.0,0.61,0.6,0.61,192200,0.0,0.0
1980-07-09,0.0,0.61,0.59,0.59,314400,0.0,0.0
1980-07-10,0.0,0.59,0.58,0.58,92200,0.0,0.0
1980-07-11,0.0,0.59,0.58,0.59,64800,0.0,0.0
