Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1991-06-26,2.21,2.38,2.21,2.33,16683200,0.0,0.0
1991-06-27,2.38,2.44,2.31,2.35,6160000,0.0,0.0
1991-06-28,2.35,2.41,2.3,2.34,2384400,0.0,0.0
1991-07-01,2.38,2.38,2.33,2.35,1782400,0.0,0.0
1991-07-02,2.38,2.38,2.35,2.38,1270800,0.0,0.0
1991-07-03,2.35,2.38,2.3,2.35,1214800,0.0,0.0
1991-07-05,2.35,2.35,2.27,2.27,230000,0.0,0.0
1991-07-08,2.27,2.35,2.27,2.27,550000,0.0,0.0
1991-07-09,2.31,2.47,2.27,2.44,3100000,0.0,0.0
1991-07-10,2.47,2.64,2.47,2.64,1238400,0.0,0.0
1991-07-11,2.64,2.76,2.58,2.68,2259200,0.0,0.0
1991-07-12,2.73,2.73,2.61,2.64,733200,0.0,0.0
1991-07-15,2.67,2.67,2.61,2.64,404000,0.0,0.0
1991-07-16,2.64,2.79,2.61,2.79,1534000,0.0,0.0
1991-07-17,2.73,2.99,2.73,2.93,3741600,0.0,0.0
1991-07-18,2.93,3.01,2.87,2.93,3756000,0.0,0.0
1991-07-19,2.96,2.96,2.79,2.79,1457200,0.0,0.0
1991-07-22,2.84,2.87,2.79,2.79,499200,0.0,0.0
1991-07-23,2.79,2.81,2.63,2.66,782800,0.0,0.0
1991-07-24,2.64,2.73,2.58,2.58,524000,0.0,0.0
1991-07-25,2.74,2.74,2.65,2.65,211200,0.1296,0.0
1991-07-26,2.63,2.68,2.62,2.68,494400,0.0,0.0
1991-07-29,2.71,2.71,2.62,2.71,77600,0.0,0.0
1991-07-30,2.71,2.93,2.65,2.92,630000,0.0,0.0
1991-07-31,2.92,3.01,2.89,2.98,1389600,0.0,0.0
1991-08-01,3.01,3.01,2.95,3.01,320400,0.0,0.0
1991-08-02,2.98,3.04,2.98,2.98,728000,0.0,0.0
1991-08-05,2.95,3.04,2.92,2.92,746400,0.0,0.0
1991-08-06,2.89,2.95,2.86,2.95,140800,0.0,0.0
1991-08-07,2.95,2.95,2.92,2.95,210400,0.0,0.0
1991-08-08,2.95,2.95,2.92,2.95,448400,0.0,0.0
1991-08-09,2.95,2.95,2.89,2.9,353200,0.0,0.0
1991-08-12,2.86,2.89,2.83,2.89,132400,0.0,0.0
1991-08-13,2.83,2.89,2.83,2.89,131200,0.0,0.0
1991-08-14,2.89,2.92,2.83,2.92,122400,0.0,0.0
1991-08-15,2.92,2.92,2.86,2.92,162000,0.0,0.0
1991-08-16,2.86,2.95,2.86,2.89,92800,0.0,0.0
