Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1998-02-27,14.93,15.47,14.93,14.93,50000,0.0,0
1998-03-02,14.82,14.82,14.61,14.82,75000,0.0,0
1998-03-03,14.71,14.71,14.39,14.71,35000,0.0,0
1998-03-04,13.53,13.53,13.32,13.53,60000,0.0,0
1998-03-05,13.86,13.86,13.86,13.86,400,0.0,0
1998-03-06,13.86,14.07,13.86,13.86,3600,0.0,0
1998-03-09,13.86,14.18,13.64,13.64,3200,0.0,0
1998-03-10,13.64,14.5,13.64,13.96,56800,0.0,0
1998-03-11,13.96,14.18,13.86,13.96,10400,0.0,0
1998-03-12,13.96,14.07,13.86,14.07,3800,0.0,0
1998-03-13,14.18,14.18,14.18,14.18,1000,0.0,0
1998-03-16,14.18,14.18,13.86,13.86,7700,0.0,0
1998-03-17,13.86,13.86,13.53,13.64,28000,0.0,0
1998-03-18,13.64,13.86,13.53,13.86,45700,0.0,0
1998-03-19,13.86,14.93,13.75,14.71,383600,0.0,0
1998-03-20,14.82,15.25,14.82,15.25,275600,0.0,0
1998-03-23,15.25,16.33,14.93,16.22,398600,0.0,0
1998-03-24,16.22,17.08,16.22,16.97,261800,0.0,0
1998-03-25,16.97,17.29,16.75,17.08,135600,0.0,0
1998-03-26,17.08,17.08,16.54,16.86,26300,0.0,0
1998-03-27,16.86,16.97,15.79,16.54,62200,0.0,0
1998-03-30,16.54,17.08,16.54,17.08,49500,0.0,0
1998-03-31,17.08,17.4,17.08,17.29,79000,0.0,0
1998-04-01,17.29,17.72,17.18,17.61,150100,0.0,0
1998-04-02,18.69,20.08,18.69,19.98,140500,0.0,0
1998-04-03,19.98,22.45,18.69,21.27,458700,0.0,0
1998-04-06,21.27,22.34,19.76,20.62,105300,0.0,0
1998-04-07,20.62,20.62,19.01,19.01,152800,0.0,0
1998-04-08,19.01,19.76,18.04,19.33,45100,0.0,0
1998-04-09,19.33,19.76,19.12,19.76,151400,0.0,0
1998-04-13,19.76,19.98,19.23,19.44,85900,0.0,0
1998-04-14,19.44,19.76,19.33,19.55,322900,0.0,0
1998-04-15,19.55,19.65,18.47,18.69,23100,0.0,0
1998-04-16,18.69,18.69,17.94,18.26,55400,0.0,0
1998-04-17,18.26,18.58,18.04,18.58,15100,0.0,0
1998-04-20,18.58,19.01,18.26,19.01,92900,0.0,0
1998-04-21,19.01,19.01,18.69,19.01,23100,0.0,0
1998-04-22,19.01,20.3,19.01,19.76,60900,0.0,0
1998-04-23,19.76,20.19,19.76,20.19,242300,0.0,0
1998-04-24,20.19,20.3,18.9,18.9,100900,0.0,0
1998-04-27,18.9,19.33,17.08,17.94,52200,0.0,0
1998-04-28,17.94,18.8,17.83,18.47,29100,0.0,0
1998-04-29,18.47,19.33,18.04,19.33,101300,0.0,0
1998-04-30,19.33,19.98,19.23,19.76,116300,0.0,0
1998-05-01,19.76,19.87,18.9,19.01,61000,0.0,0
1998-05-04,19.01,19.12,18.26,18.58,58400,0.0,0
1998-05-05,18.58,18.69,17.83,18.26,44000,0.0,0
1998-05-06,18.26,18.9,17.94,18.9,47300,0.0,0
1998-05-07,18.9,19.01,18.37,18.37,230900,0.0,0
1998-05-08,18.69,19.55,18.69,19.44,320700,0.0,0
1998-05-11,19.44,19.55,19.12,19.23,375200,0.0,0
1998-05-12,19.23,19.44,18.9,18.9,333300,0.0,0
1998-05-13,19.01,19.44,19.01,19.23,88100,0.0,0
1998-05-14,19.23,19.33,18.9,19.33,35600,0.0,0
1998-05-15,19.33,19.33,18.47,18.9,69200,0.0,0
1998-05-18,18.9,19.01,18.04,18.47,53200,0.0,0
1998-05-19,18.47,18.9,18.47,18.9,21000,0.0,0
1998-05-20,18.9,18.9,18.04,18.04,14100,0.0,0
1998-05-21,18.04,18.15,16.75,18.15,116400,0.0,0
1998-05-22,17.83,17.83,17.4,17.72,45100,0.0,0
1998-05-26,17.72,18.04,16.43,16.75,119500,0.0,0
1998-05-27,16.75,16.75,16.11,16.54,91100,0.0,0
1998-05-28,16.54,17.61,16.11,17.61,163600,0.0,0
1998-05-29,17.61,19.33,17.61,19.33,121900,0.0,0
1998-06-01,19.33,19.33,18.9,19.01,258500,0.0,0
1998-06-02,19.01,19.33,19.01,19.23,123400,0.0,0
1998-06-03,19.23,19.33,17.83,17.83,180600,0.0,0
1998-06-04,17.83,18.04,17.18,17.83,263200,0.0,0
1998-06-05,18.04,19.76,18.04,19.65,290100,0.0,0
