Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2001-10-30,17.48,17.66,17.42,17.66,45441800,0.0,0.0
2001-10-31,17.74,18.35,17.71,18.08,11104400,0.0,0.0
2001-11-01,18.24,18.39,18.05,18.21,3901800,0.0,0.0
2001-11-02,18.15,18.61,18.14,18.52,4075000,0.0,0.0
2001-11-05,18.78,18.78,18.46,18.52,2763800,0.0,0.0
2001-11-06,18.54,19.13,18.2,19.02,3248200,0.0,0.0
2001-11-07,18.89,18.89,18.34,18.67,2675200,0.0,0.0
2001-11-08,18.56,18.61,18.13,18.43,3404000,0.0,0.0
2001-11-09,18.35,18.35,17.7,18.13,3291600,0.0,0.0
2001-11-12,18.13,18.5,18.0,18.5,973600,0.0,0.0
2001-11-13,18.74,18.74,18.36,18.46,1721800,0.0,0.0
2001-11-14,19.0,19.86,18.8,19.84,4213000,0.0,0.0
2001-11-15,19.73,20.18,19.62,20.18,2310400,0.0,0.0
2001-11-16,20.25,20.38,19.99,20.2,2176200,0.0,0.0
2001-11-19,20.18,20.54,20.03,20.51,2007200,0.0,0.0
2001-11-20,20.42,21.26,20.4,21.07,2803000,0.0,0.0
2001-11-21,21.03,21.46,20.9,21.16,2684000,0.0,0.0
2001-11-23,21.13,21.31,21.13,21.23,287800,0.0,0.0
2001-11-26,21.46,21.69,20.85,20.96,1917400,0.0,0.0
2001-11-27,21.07,21.52,20.84,20.98,1148000,0.0,0.0
2001-11-28,20.96,21.24,20.51,21.13,625200,0.0,0.0
2001-11-29,21.37,21.63,21.19,21.59,1136800,0.0,0.0
2001-11-30,21.63,22.02,21.5,21.95,2960200,0.0,0.0
2001-12-03,21.93,22.15,21.63,22.15,1270800,0.0,0.0
2001-12-04,22.17,22.23,21.8,22.23,794000,0.0,0.0
2001-12-05,22.36,22.41,21.03,21.09,1356200,0.0,0.0
2001-12-06,21.11,21.15,20.44,20.93,902600,0.0,0.0
2001-12-07,20.94,21.03,20.55,20.98,649600,0.0,0.0
2001-12-10,20.98,21.1,20.79,20.83,308000,0.0,0.0
2001-12-11,20.83,21.02,20.6,20.81,892800,0.0,0.0
2001-12-12,20.83,20.83,20.66,20.66,478800,0.0,0.0
2001-12-13,20.55,20.77,20.25,20.77,960600,0.0,0.0
2001-12-14,20.72,20.77,20.44,20.72,813600,0.0,0.0
2001-12-17,20.77,21.28,20.69,21.26,421200,0.0,0.0
2001-12-18,21.37,21.41,21.25,21.28,809200,0.0,0.0
2001-12-19,21.28,21.31,20.61,20.72,1473200,0.0,0.0
2001-12-20,20.62,20.72,20.2,20.25,1312000,0.0,0.0
2001-12-21,20.2,20.2,19.54,19.75,4283800,0.0,0.0
2001-12-24,19.75,19.84,19.69,19.69,900200,0.0,0.0
2001-12-26,19.79,20.07,19.79,19.97,1191600,0.0,0.0
2001-12-27,20.01,20.42,20.01,20.25,1925400,0.0,0.0
2001-12-28,20.27,20.94,20.27,20.94,1714800,0.0,0.0
2001-12-31,21.03,21.69,21.03,21.37,1792800,0.0,0.0
2002-01-02,21.45,21.45,21.03,21.07,1933000,0.0,0.0
2002-01-03,21.07,21.28,20.92,20.92,625600,0.0,0.0
2002-01-04,20.94,21.07,20.25,20.66,2318600,0.0,0.0
2002-01-07,20.66,20.7,20.29,20.3,1916400,0.0,0.0
2002-01-08,20.23,20.66,20.03,20.46,932000,0.0,0.0
