Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1991-11-08,0.53,0.53,0.53,0.53,44014400,0.0,0.0
1991-11-11,0.53,0.53,0.53,0.53,5929600,0.0,0.0
1991-11-12,0.53,0.53,0.53,0.53,6548800,0.0,0.0
1991-11-13,0.53,0.53,0.52,0.52,9529600,0.0,0.0
1991-11-14,0.48,0.5,0.48,0.5,10417600,0.0,0.0
1991-11-15,0.5,0.5,0.47,0.47,10873600,0.0,0.0
1991-11-18,0.47,0.47,0.44,0.44,4436800,0.0,0.0
1991-11-19,0.44,0.46,0.43,0.44,4979200,0.0,0.0
1991-11-20,0.45,0.45,0.44,0.45,486400,0.0,0.0
1991-11-21,0.44,0.44,0.43,0.43,841600,0.0,0.0
1991-11-22,0.43,0.43,0.4,0.41,1305600,0.0,0.0
1991-11-25,0.42,0.44,0.4,0.42,2828800,0.0,0.0
1991-11-26,0.43,0.44,0.42,0.42,1646400,0.0,0.0
1991-11-27,0.43,0.44,0.43,0.44,1689600,0.0,0.0
1991-11-29,0.43,0.44,0.43,0.44,492800,0.0,0.0
1991-12-02,0.44,0.47,0.44,0.45,1017600,0.0,0.0
1991-12-03,0.46,0.47,0.45,0.47,1113600,0.0,0.0
1991-12-04,0.47,0.52,0.47,0.48,4912000,0.0,0.0
1991-12-05,0.47,0.5,0.47,0.49,2524800,0.0,0.0
1991-12-06,0.49,0.49,0.49,0.49,724800,0.0,0.0
1991-12-09,0.49,0.49,0.49,0.49,1179200,0.0,0.0
1991-12-10,0.48,0.48,0.47,0.47,1187200,0.0,0.0
1991-12-11,0.47,0.47,0.45,0.45,990400,0.0,0.0
1991-12-12,0.46,0.47,0.44,0.47,988800,0.0,0.0
1991-12-13,0.47,0.49,0.47,0.48,753600,0.0,0.0
1991-12-16,0.49,0.49,0.47,0.48,1377600,0.0,0.0
1991-12-17,0.47,0.47,0.47,0.47,548800,0.0,0.0
1991-12-18,0.47,0.47,0.44,0.45,993600,0.0,0.0
1991-12-19,0.44,0.44,0.43,0.44,790400,0.0,0.0
1991-12-20,0.45,0.45,0.42,0.44,1028800,0.0,0.0
1991-12-23,0.44,0.47,0.43,0.47,958400,0.0,0.0
1991-12-24,0.46,0.49,0.46,0.49,1214400,0.0,0.0
1991-12-26,0.49,0.52,0.49,0.52,1072000,0.0,0.0
1991-12-27,0.51,0.52,0.49,0.52,1681600,0.0,0.0
1991-12-30,0.52,0.52,0.5,0.51,1315200,0.0,0.0
1991-12-31,0.51,0.52,0.5,0.52,3147200,0.0,0.0
1992-01-02,0.51,0.51,0.49,0.51,728000,0.0,0.0
1992-01-03,0.51,0.52,0.51,0.52,3009600,0.0,0.0
1992-01-06,0.52,0.57,0.52,0.53,9798400,0.0,0.0
1992-01-07,0.53,0.55,0.52,0.54,5996800,0.0,0.0
1992-01-08,0.54,0.58,0.54,0.57,18376000,0.0,0.0
1992-01-09,0.57,0.57,0.55,0.55,4745600,0.0,0.0
1992-01-10,0.56,0.56,0.55,0.55,2241600,0.0,0.0
1992-01-13,0.55,0.57,0.55,0.56,1465600,0.0,0.0
1992-01-14,0.55,0.57,0.55,0.56,2419200,0.0,0.0
1992-01-15,0.56,0.57,0.55,0.56,1452800,0.0,0.0
1992-01-16,0.56,0.58,0.55,0.58,15385600,0.0,0.0
1992-01-17,0.58,0.61,0.57,0.58,4595200,0.0,0.0
1992-01-20,0.58,0.58,0.56,0.56,2064000,0.0,0.0
1992-01-21,0.56,0.57,0.54,0.55,2052800,0.0,0.0
1992-01-22,0.55,0.55,0.54,0.54,1148800,0.0,0.0
1992-01-23,0.54,0.54,0.53,0.54,1174400,0.0,0.0
1992-01-24,0.53,0.54,0.53,0.54,1064000,0.0,0.0
1992-01-27,0.53,0.54,0.52,0.54,1724800,0.0,0.0
1992-01-28,0.53,0.54,0.53,0.53,561600,0.0,0.0
1992-01-29,0.53,0.55,0.52,0.52,2720000,0.0,0.0
1992-01-30,0.52,0.57,0.49,0.54,3827200,0.0,0.0
1992-01-31,0.52,0.53,0.52,0.52,585600,0.0,0.0
1992-02-03,0.52,0.54,0.52,0.54,284800,0.0,0.0
1992-02-04,0.49,0.5,0.46,0.49,9392000,0.0,0.0
1992-02-05,0.49,0.51,0.48,0.48,2843200,0.0,0.0
1992-02-06,0.48,0.49,0.48,0.48,996800,0.0,0.0
1992-02-07,0.49,0.5,0.49,0.49,1348800,0.0,0.0
1992-02-10,0.49,0.49,0.49,0.49,1184000,0.0,0.0
1992-02-11,0.49,0.49,0.48,0.48,2147200,0.0,0.0
1992-02-12,0.49,0.49,0.48,0.49,1521600,0.0,0.0
1992-02-13,0.5,0.5,0.49,0.49,534400,0.0,0.0
1992-02-14,0.49,0.49,0.47,0.47,764800,0.0,0.0
1992-02-18,0.48,0.48,0.47,0.47,553600,0.0,0.0
1992-02-19,0.47,0.47,0.46,0.46,1182400,0.0,0.0
1992-02-20,0.46,0.47,0.44,0.46,580800,0.0,0.0
1992-02-21,0.47,0.47,0.46,0.47,1761600,0.0,0.0
1992-02-24,0.47,0.47,0.45,0.45,601600,0.0,0.0
1992-02-25,0.46,0.46,0.45,0.45,609600,0.0,0.0
1992-02-26,0.46,0.48,0.45,0.47,1526400,0.0,0.0
1992-02-27,0.48,0.48,0.47,0.47,512000,0.0,0.0
1992-02-28,0.47,0.47,0.46,0.47,420800,0.0,0.0
1992-03-02,0.47,0.47,0.46,0.47,387200,0.0,0.0
1992-03-03,0.47,0.47,0.45,0.47,2374400,0.0,0.0
1992-03-04,0.47,0.49,0.47,0.49,1617600,0.0,0.0
1992-03-05,0.5,0.5,0.48,0.48,891200,0.0,0.0
1992-03-06,0.49,0.49,0.47,0.47,545600,0.0,0.0
1992-03-09,0.47,0.47,0.47,0.47,657600,0.0,0.0
1992-03-10,0.47,0.48,0.47,0.47,1262400,0.0,0.0
1992-03-11,0.46,0.47,0.44,0.45,574400,0.0,0.0
1992-03-12,0.44,0.45,0.44,0.44,526400,0.0,0.0
1992-03-13,0.44,0.46,0.44,0.45,1020800,0.0,0.0
1992-03-16,0.45,0.45,0.44,0.44,102400,0.0,0.0
1992-03-17,0.45,0.45,0.44,0.44,819200,0.0,0.0
1992-03-18,0.44,0.45,0.44,0.45,505600,0.0,0.0
1992-03-19,0.44,0.45,0.44,0.44,305600,0.0,0.0
1992-03-20,0.44,0.46,0.44,0.45,457600,0.0,0.0
1992-03-23,0.45,0.46,0.44,0.46,443200,0.0,0.0
1992-03-24,0.46,0.5,0.46,0.49,3633600,0.0,0.0
1992-03-25,0.49,0.49,0.47,0.47,563200,0.0,0.0
1992-03-26,0.47,0.47,0.45,0.46,2016000,0.0,0.0
1992-03-27,0.47,0.47,0.47,0.47,499200,0.0,0.0
1992-03-30,0.47,0.47,0.45,0.46,638400,0.0,0.0
1992-03-31,0.45,0.47,0.45,0.47,1443200,0.0,0.0
1992-04-01,0.46,0.47,0.46,0.47,259200,0.0,0.0
1992-04-02,0.47,0.47,0.47,0.47,278400,0.0,0.0
1992-04-03,0.47,0.47,0.47,0.47,110400,0.0,0.0
1992-04-06,0.47,0.47,0.46,0.47,216000,0.0,0.0
1992-04-07,0.47,0.47,0.45,0.45,561600,0.0,0.0
1992-04-08,0.45,0.45,0.44,0.45,609600,0.0,0.0
1992-04-09,0.45,0.47,0.45,0.47,331200,0.0,0.0
1992-04-10,0.47,0.47,0.46,0.47,2217600,0.0,0.0
1992-04-13,0.47,0.48,0.47,0.47,171200,0.0,0.0
1992-04-14,0.47,0.47,0.47,0.47,249600,0.0,0.0
1992-04-15,0.46,0.47,0.42,0.43,654400,0.0,0.0
1992-04-16,0.44,0.44,0.43,0.43,404800,0.0,0.0
1992-04-20,0.44,0.44,0.42,0.42,912000,0.0,0.0
1992-04-21,0.42,0.42,0.42,0.42,409600,0.0,0.0
1992-04-22,0.42,0.42,0.41,0.42,697600,0.0,0.0
1992-04-23,0.42,0.44,0.41,0.43,664000,0.0,0.0
1992-04-24,0.42,0.42,0.4,0.42,529600,0.0,0.0
1992-04-27,0.42,0.44,0.42,0.44,446400,0.0,0.0
1992-04-28,0.44,0.44,0.43,0.44,188800,0.0,0.0
1992-04-29,0.44,0.44,0.43,0.44,64000,0.0,0.0
1992-04-30,0.43,0.45,0.43,0.45,516800,0.0,0.0
1992-05-01,0.45,0.45,0.44,0.44,30400,0.0,0.0
1992-05-04,0.45,0.46,0.45,0.46,128000,0.0,0.0
1992-05-05,0.45,0.45,0.43,0.44,1209600,0.0,0.0
1992-05-06,0.44,0.44,0.43,0.44,203200,0.0,0.0
1992-05-07,0.44,0.45,0.44,0.45,484800,0.0,0.0
1992-05-08,0.45,0.45,0.44,0.44,49600,0.0,0.0
1992-05-11,0.44,0.45,0.44,0.45,513600,0.0,0.0
1992-05-12,0.44,0.45,0.44,0.44,308800,0.0,0.0
1992-05-13,0.44,0.44,0.43,0.43,388800,0.0,0.0
1992-05-14,0.43,0.43,0.42,0.43,307200,0.0,0.0
1992-05-15,0.42,0.42,0.41,0.42,545600,0.0,0.0
1992-05-18,0.43,0.44,0.43,0.43,172800,0.0,0.0
1992-05-19,0.43,0.43,0.42,0.43,188800,0.0,0.0
1992-05-20,0.42,0.43,0.42,0.42,107200,0.0,0.0
1992-05-21,0.43,0.43,0.42,0.43,102400,0.0,0.0
1992-05-22,0.42,0.44,0.42,0.43,268800,0.0,0.0
1992-05-26,0.42,0.45,0.42,0.44,478400,0.0,0.0
1992-05-27,0.44,0.45,0.44,0.44,264000,0.0,0.0
1992-05-28,0.44,0.44,0.43,0.43,107200,0.0,0.0
1992-05-29,0.43,0.44,0.43,0.44,396800,0.0,0.0
1992-06-01,0.44,0.45,0.44,0.45,219200,0.0,0.0
1992-06-02,0.44,0.47,0.44,0.47,937600,0.0,0.0
