Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1993-10-25,1.12,1.12,0.84,0.84,17200,0.0,0.0
1993-10-26,1.1,1.1,0.77,0.77,189000,0.0,0.0
1993-10-27,0.77,0.77,0.77,0.77,0,0.0,0.0
1993-10-28,0.63,0.75,0.52,0.74,29000,0.0,0.0
1993-10-29,0.78,0.78,0.75,0.75,172800,0.0,0.0
1993-11-01,0.75,0.78,0.75,0.78,76800,0.0,0.0
1993-11-02,0.75,0.78,0.75,0.78,11600,0.0,0.0
1993-11-03,0.77,0.88,0.77,0.86,48000,0.0,0.0
1993-11-04,0.9,0.9,0.86,0.86,24400,0.0,0.0
1993-11-05,0.77,0.9,0.77,0.9,4400,0.0,0.0
1993-11-08,0.9,0.9,0.9,0.9,0,0.0,0.0
1993-11-09,0.78,0.78,0.78,0.78,6600,0.0,0.0
1993-11-10,0.8,0.8,0.8,0.8,50000,0.0,0.0
1993-11-11,0.8,0.8,0.8,0.8,6600,0.0,0.0
1993-11-12,0.8,0.8,0.8,0.8,11600,0.0,0.0
1993-11-15,0.8,0.8,0.8,0.8,30800,0.0,0.0
1993-11-16,0.8,0.91,0.8,0.91,24400,0.0,0.0
1993-11-17,0.8,0.91,0.8,0.82,38400,0.0,0.0
1993-11-18,0.82,0.82,0.82,0.82,55600,0.0,0.0
1993-11-19,0.85,0.86,0.77,0.79,945200,0.0,0.0
1993-11-22,0.79,0.86,0.79,0.85,34000,0.0,0.0
1993-11-23,0.82,0.82,0.82,0.82,5200,0.0,0.0
1993-11-24,0.78,0.8,0.78,0.8,9600,0.0,0.0
1993-11-26,0.79,0.8,0.79,0.8,14000,0.0,0.0
1993-11-29,0.78,0.86,0.78,0.86,48200,0.0,0.0
1993-11-30,0.86,0.86,0.86,0.86,0,0.0,0.0
1993-12-01,0.86,0.86,0.86,0.86,0,0.0,0.0
1993-12-02,0.82,0.84,0.8,0.84,218800,0.0,0.0
1993-12-03,0.82,0.82,0.82,0.82,4400,0.0,0.0
1993-12-06,0.82,0.82,0.82,0.82,3200,0.0,0.0
1993-12-07,0.8,0.8,0.78,0.78,42800,0.0,0.0
1993-12-08,0.84,0.84,0.77,0.78,107600,0.0,0.0
1993-12-09,0.78,0.84,0.77,0.78,358400,0.0,0.0
1993-12-10,0.84,0.84,0.77,0.77,4400,0.0,0.0
1993-12-13,0.78,0.78,0.77,0.78,105600,0.0,0.0
1993-12-14,0.77,0.81,0.77,0.77,224000,0.0,0.0
1993-12-15,0.77,0.77,0.77,0.77,2000,0.0,0.0
1993-12-16,0.8,0.8,0.77,0.77,29000,0.0,0.0
1993-12-17,0.77,0.77,0.77,0.77,0,0.0,0.0
1993-12-20,0.77,0.8,0.77,0.8,28800,0.0,0.0
1993-12-21,0.8,0.8,0.8,0.8,11600,0.0,0.0
1993-12-22,0.8,0.8,0.78,0.8,54600,0.0,0.0
1993-12-23,0.8,0.8,0.77,0.77,7600,0.0,0.0
1993-12-27,0.84,0.84,0.78,0.84,73800,0.0,0.0
1993-12-28,0.84,0.9,0.84,0.9,82000,0.0,0.0
1993-12-29,0.9,1.06,0.88,1.01,270800,0.0,0.0
1993-12-30,1.06,1.06,0.99,0.99,57800,0.0,0.0
1993-12-31,1.05,1.05,0.99,0.99,144000,0.0,0.0
