Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-08-06,13.47,13.81,12.7,13.21,24197800,0.0,0
2009-08-07,13.19,13.68,13.09,13.41,2454300,0.0,0
2009-08-10,13.58,13.58,12.75,13.04,2421000,0.0,0
2009-08-11,13.05,13.06,12.66,12.79,2305400,0.0,0
2009-08-12,13.19,13.23,12.79,13.06,1451300,0.0,0
2009-08-13,13.06,13.65,13.06,13.51,1150600,0.0,0
2009-08-14,13.47,13.88,13.27,13.55,637800,0.0,0
2009-08-17,13.28,13.37,13.23,13.24,254400,0.0,0
2009-08-18,13.46,14.04,13.35,13.94,1446700,0.0,0
2009-08-19,13.75,14.65,13.72,14.61,2070800,0.0,0
2009-08-20,14.66,14.66,14.12,14.5,1882100,0.0,0
2009-08-21,14.52,14.67,14.35,14.55,863600,0.0,0
2009-08-24,14.3,14.57,14.12,14.29,1021600,0.0,0
2009-08-25,14.41,14.61,14.33,14.57,530800,0.0,0
2009-08-26,14.44,14.57,14.0,14.57,708600,0.0,0
2009-08-27,14.57,14.87,14.33,14.83,1161100,0.0,0
2009-08-28,14.78,15.51,14.7,15.08,1295000,0.0,0
2009-08-31,14.98,15.02,14.54,14.86,1004800,0.0,0
2009-09-01,14.9,15.06,13.83,14.57,1383500,0.0,0
2009-09-02,14.5,14.9,14.27,14.44,1293400,0.0,0
2009-09-03,14.67,14.67,13.88,14.25,3657700,0.0,0
2009-09-04,14.49,14.7,14.28,14.5,1158600,0.0,0
2009-09-08,14.5,14.64,14.25,14.45,574900,0.0,0
2009-09-09,14.57,14.57,14.06,14.09,551200,0.0,0
2009-09-10,13.89,14.26,13.84,13.92,415200,0.0,0
2009-09-11,13.88,14.15,13.5,13.78,620300,0.0,0
2009-09-14,13.59,13.8,13.32,13.59,1614500,0.0,0
2009-09-15,14.08,14.17,13.58,14.03,1986900,0.0,0
2009-09-16,14.21,14.49,13.97,14.35,2021100,0.0,0
2009-09-17,14.42,14.61,13.5,13.59,1446400,0.0,0
2009-09-18,13.53,13.9,13.21,13.23,899900,0.0,0
2009-09-21,13.29,13.58,12.96,13.56,553000,0.0,0
2009-09-22,13.85,14.18,13.73,14.08,1114100,0.0,0
2009-09-23,14.39,14.52,14.12,14.21,530300,0.0,0
2009-09-24,14.15,14.57,13.68,14.28,778800,0.0,0
2009-09-25,14.27,14.27,13.96,13.99,468500,0.0,0
2009-09-28,14.14,14.57,13.9,14.41,233600,0.0,0
2009-09-29,14.33,14.57,13.84,13.9,356700,0.0,0
2009-09-30,13.88,14.15,13.85,13.94,512600,0.0,0
2009-10-01,13.88,13.95,13.23,13.32,660500,0.0,0
2009-10-02,13.23,13.36,12.98,13.14,629600,0.0,0
2009-10-05,13.15,13.5,13.06,13.46,188900,0.0,0
2009-10-06,13.67,14.04,13.42,13.45,469400,0.0,0
2009-10-07,13.53,13.56,13.0,13.17,291700,0.0,0
2009-10-08,13.15,13.21,13.01,13.07,557300,0.0,0
2009-10-09,13.05,13.43,13.01,13.27,870500,0.0,0
