Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1973-02-21,0.0,1.57,1.56,1.56,22400,0.0,0.0
1973-02-22,0.0,1.57,1.56,1.56,11200,0.0,0.0
1973-02-23,0.0,1.56,1.55,1.55,52800,0.0,0.0
1973-02-26,0.0,1.55,1.55,1.55,9600,0.0,0.0
1973-02-27,0.0,1.55,1.55,1.55,18400,0.0,0.0
1973-02-28,0.0,1.55,1.55,1.55,29600,0.0,0.0
1973-03-01,0.0,1.55,1.53,1.53,24000,0.00788,0.0
1973-03-02,0.0,1.53,1.52,1.52,36800,0.0,0.0
1973-03-05,0.0,1.53,1.51,1.52,48000,0.0,0.0
1973-03-06,0.0,1.54,1.52,1.54,12800,0.0,0.0
1973-03-07,0.0,1.55,1.53,1.55,97600,0.0,0.0
1973-03-08,0.0,1.55,1.54,1.55,8000,0.0,0.0
1973-03-09,0.0,1.55,1.54,1.54,100800,0.0,0.0
1973-03-12,0.0,1.54,1.53,1.53,57600,0.0,0.0
1973-03-13,0.0,1.52,1.52,1.52,114400,0.0,0.0
1973-03-14,0.0,1.55,1.53,1.55,226400,0.0,0.0
1973-03-15,0.0,1.58,1.55,1.57,74400,0.0,0.0
1973-03-16,0.0,1.57,1.56,1.57,116000,0.0,0.0
1973-03-19,0.0,1.58,1.57,1.58,53600,0.0,0.0
1973-03-20,0.0,1.6,1.57,1.59,40000,0.0,0.0
1973-03-21,0.0,1.62,1.59,1.6,65600,0.0,0.0
1973-03-22,0.0,1.59,1.55,1.55,69600,0.0,0.0
1973-03-23,0.0,1.56,1.55,1.55,20000,0.0,0.0
1973-03-26,0.0,1.58,1.56,1.57,28800,0.0,0.0
1973-03-27,0.0,1.57,1.56,1.57,12000,0.0,0.0
1973-03-28,0.0,1.61,1.56,1.61,38400,0.0,0.0
1973-03-29,0.0,1.67,1.62,1.67,516000,0.0,0.0
1973-03-30,0.0,1.66,1.65,1.65,50400,0.0,0.0
1973-04-02,0.0,1.66,1.65,1.66,12000,0.0,0.0
1973-04-03,0.0,1.68,1.65,1.68,53600,0.0,0.0
1973-04-04,0.0,1.7,1.67,1.7,32800,0.0,0.0
1973-04-05,0.0,1.7,1.68,1.68,21600,0.0,0.0
1973-04-06,0.0,1.69,1.63,1.63,79200,0.0,0.0
1973-04-09,0.0,1.63,1.62,1.63,48000,0.0,0.0
1973-04-10,0.0,1.63,1.6,1.6,125600,0.0,0.0
1973-04-11,0.0,1.59,1.51,1.51,34400,0.0,0.0
1973-04-12,0.0,1.55,1.52,1.55,92800,0.0,0.0
1973-04-13,0.0,1.55,1.54,1.54,13600,0.0,0.0
1973-04-16,0.0,1.55,1.54,1.54,26400,0.0,0.0
1973-04-17,0.0,1.54,1.54,1.54,7200,0.0,0.0
1973-04-18,0.0,1.53,1.51,1.52,31200,0.0,0.0
1973-04-19,0.0,1.52,1.51,1.52,18400,0.0,0.0
1973-04-23,0.0,1.52,1.51,1.51,29600,0.0,0.0
1973-04-24,0.0,1.52,1.51,1.51,40800,0.0,0.0
1973-04-25,0.0,1.5,1.45,1.45,52800,0.0,0.0
1973-04-26,0.0,1.44,1.4,1.41,48800,0.0,0.0
1973-04-27,0.0,1.43,1.42,1.42,68000,0.0,0.0
1973-04-30,0.0,1.44,1.41,1.44,73600,0.0,0.0
1973-05-01,0.0,1.48,1.45,1.48,56800,0.0,0.0
1973-05-02,0.0,1.48,1.47,1.48,27200,0.0,0.0
1973-05-03,0.0,1.51,1.47,1.5,33600,0.0,0.0
1973-05-04,0.0,1.55,1.51,1.55,56000,0.0,0.0
1973-05-07,0.0,1.54,1.51,1.54,51200,0.0,0.0
1973-05-08,0.0,1.54,1.53,1.53,5600,0.0,0.0
1973-05-09,0.0,1.58,1.54,1.58,12800,0.0,0.0
1973-05-10,0.0,1.59,1.57,1.57,59200,0.0,0.0
1973-05-11,0.0,1.57,1.54,1.54,61600,0.0,0.0
1973-05-14,0.0,1.53,1.52,1.52,27200,0.0,0.0
1973-05-15,0.0,1.51,1.49,1.49,12000,0.0,0.0
1973-05-16,0.0,1.49,1.48,1.48,11200,0.0,0.0
1973-05-17,0.0,1.48,1.45,1.45,34400,0.0,0.0
1973-05-18,0.0,1.44,1.38,1.38,18400,0.0,0.0
1973-05-21,0.0,1.38,1.37,1.37,32000,0.0,0.0
1973-05-22,0.0,1.44,1.38,1.44,68000,0.0,0.0
1973-05-23,0.0,1.45,1.44,1.45,24000,0.0,0.0
1973-05-24,0.0,1.48,1.44,1.48,36000,0.0,0.0
1973-05-25,0.0,1.54,1.47,1.54,56800,0.0,0.0
1973-05-29,0.0,1.54,1.52,1.52,44800,0.0,0.0
1973-05-30,0.0,1.52,1.49,1.49,10400,0.0,0.0
1973-05-31,0.0,1.48,1.47,1.47,20800,0.0,0.0
1973-06-01,0.0,1.5,1.48,1.48,29600,0.0,0.0
1973-06-04,0.0,1.48,1.47,1.47,11200,0.0,0.0
1973-06-05,0.0,1.47,1.45,1.45,67200,0.0,0.0
1973-06-06,0.0,1.46,1.45,1.46,8000,0.0,0.0
1973-06-07,0.0,1.49,1.46,1.49,20800,0.0,0.0
1973-06-08,0.0,1.5,1.49,1.5,43200,0.0,0.0
1973-06-11,0.0,1.49,1.49,1.49,5600,0.0,0.0
1973-06-12,0.0,1.52,1.5,1.52,7200,0.0,0.0
1973-06-13,0.0,1.52,1.51,1.51,20800,0.0,0.0
1973-06-14,0.0,1.53,1.51,1.53,32800,0.0,0.0
1973-06-15,0.0,1.52,1.48,1.48,68800,0.0,0.0
1973-06-18,0.0,1.48,1.47,1.47,8800,0.0,0.0
1973-06-19,0.0,1.48,1.46,1.46,105600,0.0,0.0
1973-06-20,0.0,1.48,1.46,1.48,15200,0.0,0.0
1973-06-21,0.0,1.49,1.48,1.48,13600,0.0,0.0
1973-06-22,0.0,1.49,1.48,1.49,23200,0.0,0.0
1973-06-25,0.0,1.49,1.48,1.49,11200,0.0,0.0
1973-06-26,0.0,1.51,1.5,1.5,32800,0.0,0.0
1973-06-27,0.0,1.51,1.5,1.51,55200,0.0,0.0
1973-06-28,0.0,1.61,1.52,1.59,69600,0.0,0.0
1973-06-29,0.0,1.59,1.57,1.57,31200,0.0,0.0
1973-07-02,0.0,1.57,1.56,1.56,6400,0.0,0.0
1973-07-03,0.0,1.56,1.55,1.55,13600,0.0,0.0
1973-07-05,0.0,1.57,1.55,1.57,12000,0.0,0.0
1973-07-06,0.0,1.58,1.57,1.58,32000,0.0,0.0
1973-07-09,0.0,1.58,1.56,1.57,17600,0.0,0.0
1973-07-10,0.0,1.58,1.56,1.56,15200,0.0,0.0
