Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2007-04-02,14.93,14.93,14.26,14.78,9470300,0.0,0
2007-04-03,14.76,14.78,14.01,14.45,7892900,0.0,0
2007-04-04,14.41,14.52,14.25,14.33,4738000,0.0,0
2007-04-05,14.21,15.01,14.17,14.69,4602900,0.0,0
2007-04-09,14.83,14.83,14.32,14.44,3600900,0.0,0
2007-04-10,14.16,14.73,14.09,14.56,3130800,0.0,0
2007-04-11,14.59,15.2,14.36,14.48,3356100,0.0,0
2007-04-12,14.44,14.6,14.31,14.55,2666300,0.0,0
2007-04-13,15.19,15.19,14.47,14.84,2980900,0.0,0
2007-04-16,14.87,15.08,14.87,15.05,1455800,0.0,0
2007-04-17,14.74,15.59,14.62,15.47,1567200,0.0,0
2007-04-18,15.33,15.7,15.13,15.67,1958200,0.0,0
2007-04-19,15.31,16.26,15.29,16.02,1890100,0.0,0
2007-04-20,16.19,16.5,15.91,15.97,2671300,0.0,0
2007-04-23,15.82,15.99,15.56,15.69,1531800,0.0,0
2007-04-24,15.69,15.69,15.53,15.62,1752700,0.0,0
2007-04-25,15.62,15.66,15.32,15.35,1029600,0.0,0
2007-04-26,14.99,15.26,14.93,15.2,1193200,0.0,0
2007-04-27,15.16,15.36,15.01,15.32,734500,0.0,0
2007-04-30,15.31,15.31,15.13,15.19,1581800,0.0,0
2007-05-01,15.13,15.24,15.05,15.19,1468800,0.0,0
2007-05-02,15.13,15.24,15.04,15.17,1460100,0.0,0
2007-05-03,15.19,15.49,15.16,15.38,1243100,0.0,0
2007-05-04,15.31,15.91,15.25,15.75,1242300,0.0,0
2007-05-07,15.73,15.94,15.55,15.92,1482300,0.0,0
2007-05-08,15.61,16.16,15.56,16.12,1294300,0.0,0
2007-05-09,16.0,16.56,15.97,16.22,2454100,0.0,0
2007-05-10,16.06,16.33,15.87,16.0,1278800,0.0,0
2007-05-11,16.01,16.25,15.99,16.24,468300,0.0,0
2007-05-14,16.16,16.19,16.0,16.15,661100,0.0,0
2007-05-15,16.15,16.22,15.79,15.79,1811800,0.0,0
2007-05-16,15.69,15.69,15.47,15.53,1595900,0.0,0
2007-05-17,15.25,15.71,15.23,15.65,893700,0.0,0
2007-05-18,15.61,15.72,15.38,15.5,1201800,0.0,0
2007-05-21,15.49,15.56,15.44,15.53,3019200,0.0,0
2007-05-22,15.63,15.63,15.42,15.45,1490500,0.0,0
2007-05-23,15.44,15.53,15.19,15.42,1014700,0.0,0
2007-05-24,15.16,15.41,15.16,15.17,1404600,0.0,0
2007-05-25,15.17,15.27,15.12,15.16,624200,0.0,0
2007-05-29,14.81,15.19,14.81,15.16,639000,0.0,0
2007-05-30,15.02,15.19,14.97,15.13,1165000,0.0,0
2007-05-31,15.15,15.34,15.08,15.34,953500,0.0,0
2007-06-01,15.39,15.47,14.97,15.1,886100,0.0,0
2007-06-04,14.91,15.16,14.9,15.04,967300,0.0,0
2007-06-05,14.97,15.22,14.89,15.1,847000,0.0,0
2007-06-06,14.99,15.01,14.61,14.74,1072800,0.0,0
2007-06-07,14.61,14.75,14.33,14.37,1127400,0.0,0
2007-06-08,14.39,14.53,14.33,14.5,627600,0.0,0
2007-06-11,14.44,14.63,14.4,14.6,2175300,0.0,0
2007-06-12,14.52,14.77,14.51,14.65,994400,0.0,0
2007-06-13,14.79,14.89,14.66,14.71,829700,0.06,0
2007-06-14,14.67,14.76,14.56,14.66,629800,0.0,0
2007-06-15,14.73,14.89,14.71,14.81,732300,0.0,0
2007-06-18,14.88,14.88,14.66,14.77,810700,0.0,0
2007-06-19,14.65,14.85,14.5,14.51,1422600,0.0,0
2007-06-20,14.46,14.55,14.43,14.53,1922200,0.0,0
