Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1993-03-25,3.06,3.08,3.0,3.02,20047500,0.0,0.0
1993-03-26,3.02,3.08,3.01,3.04,5826000,0.0,0.0
1993-03-29,3.01,3.04,2.98,3.0,2249400,0.0,0.0
1993-03-30,2.98,3.0,2.96,3.0,2520900,0.0,0.0
1993-03-31,2.98,3.08,2.98,3.06,2130900,0.0,0.0
1993-04-01,3.05,3.06,3.02,3.02,1686300,0.0,0.0
1993-04-02,3.02,3.02,3.01,3.01,1596000,0.0,0.0
1993-04-05,3.0,3.0,2.97,2.97,1044300,0.0,0.0
1993-04-06,2.98,3.01,2.98,3.01,458100,0.0,0.0
1993-04-07,3.01,3.13,3.01,3.08,632100,0.0,0.0
1993-04-08,3.06,3.09,3.05,3.05,1555500,0.0,0.0
1993-04-12,3.05,3.06,3.01,3.02,980100,0.0,0.0
1993-04-13,3.01,3.04,3.01,3.04,4521000,0.0,0.0
1993-04-14,3.04,3.05,3.02,3.02,385200,0.0,0.0
1993-04-15,3.04,3.08,3.02,3.06,479100,0.0,0.0
1993-04-16,3.06,3.09,3.06,3.08,317400,0.0,0.0
1993-04-19,3.05,3.08,3.04,3.06,189900,0.0,0.0
1993-04-20,3.06,3.06,2.98,2.98,1680000,0.0,0.0
1993-04-21,2.98,3.0,2.98,3.0,440400,0.0,0.0
1993-04-22,2.98,3.0,2.97,2.98,390900,0.0,0.0
1993-04-23,3.0,3.0,2.96,3.0,700800,0.0,0.0
1993-04-26,2.98,2.98,2.91,2.91,1038300,0.0,0.0
1993-04-27,2.91,2.92,2.91,2.92,604200,0.0,0.0
1993-04-28,2.92,2.92,2.91,2.91,815700,0.0,0.0
1993-04-29,2.92,2.93,2.91,2.91,477600,0.0,0.0
1993-04-30,2.92,3.02,2.92,3.02,1086600,0.0,0.0
1993-05-03,3.01,3.06,3.01,3.06,654600,0.0,0.0
1993-05-04,3.14,3.17,3.13,3.14,1054200,0.0,0.0
1993-05-05,3.25,3.35,3.24,3.35,1123500,0.0,0.0
1993-05-06,3.38,3.38,3.28,3.29,699600,0.0,0.0
1993-05-07,3.26,3.3,3.26,3.28,197400,0.0,0.0
1993-05-10,3.28,3.29,3.22,3.28,288900,0.0,0.0
1993-05-11,3.26,3.29,3.26,3.29,396000,0.0,0.0
1993-05-12,3.28,3.29,3.26,3.29,428400,0.0,0.0
1993-05-13,3.28,3.28,3.18,3.18,135300,0.0,0.0
1993-05-14,3.17,3.2,3.17,3.18,402600,0.0,0.0
1993-05-17,3.18,3.18,3.13,3.16,121800,0.0,0.0
1993-05-18,3.16,3.16,3.14,3.16,91200,0.0,0.0
1993-05-19,3.13,3.24,3.13,3.22,201600,0.0,0.0
1993-05-20,3.24,3.24,3.17,3.2,138900,0.0,0.0
1993-05-21,3.21,3.21,3.18,3.18,244500,0.0,0.0
1993-05-24,3.18,3.2,3.17,3.18,162600,0.0,0.0
1993-05-25,3.14,3.17,3.13,3.13,30300,0.0,0.0
1993-05-26,3.14,3.14,3.04,3.06,139500,0.0,0.0
1993-05-27,3.09,3.12,3.05,3.05,398400,0.0,0.0
1993-05-28,3.06,3.06,3.01,3.02,262800,0.0,0.0
1993-06-01,3.02,3.05,3.0,3.01,204000,0.0,0.0
1993-06-02,3.01,3.04,2.98,2.98,305700,0.0,0.0
1993-06-03,2.98,2.98,2.96,2.96,487800,0.0,0.0
1993-06-04,2.96,2.98,2.93,2.93,240300,0.0,0.0
1993-06-07,2.91,2.93,2.85,2.85,318600,0.0,0.0
1993-06-08,2.83,2.83,2.79,2.79,428700,0.0,0.0
1993-06-09,2.79,2.81,2.76,2.8,1035300,0.0,0.0
1993-06-10,2.79,2.8,2.76,2.79,211200,0.0,0.0
1993-06-11,2.75,2.77,2.73,2.75,1272600,0.0,0.0
1993-06-14,2.75,2.77,2.75,2.76,33300,0.0,0.0
1993-06-15,2.77,2.8,2.69,2.73,552600,0.0,0.0
1993-06-16,2.73,2.75,2.72,2.72,379500,0.0,0.0
1993-06-17,2.73,2.75,2.72,2.72,489900,0.0,0.0
1993-06-18,2.75,2.77,2.73,2.75,551700,0.0,0.0
1993-06-21,2.79,2.86,2.75,2.86,480300,0.1075,0.0
1993-06-22,2.93,2.97,2.92,2.93,938700,0.0,0.0
1993-06-23,2.92,2.97,2.92,2.94,346200,0.0,0.0
1993-06-24,2.95,2.98,2.94,2.98,459300,0.03333,0.0
1993-06-25,3.01,3.09,3.01,3.07,234900,0.0,0.0
1993-06-28,3.09,3.11,3.09,3.09,41400,0.0,0.0
1993-06-29,3.11,3.11,3.09,3.11,312000,0.0,0.0
1993-06-30,3.11,3.19,3.11,3.19,32700,0.0,0.0
