Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-06-15,28.14,28.95,27.71,27.87,17022500,0.0,0
2010-06-16,27.77,28.13,27.42,27.51,2158800,0.0,0
2010-06-17,27.75,27.86,26.81,27.02,1467700,0.0,0
2010-06-18,26.98,27.15,26.39,26.6,1132200,0.0,0
2010-06-21,27.16,28.31,26.6,27.48,1066900,0.0,0
2010-06-22,27.78,28.44,27.29,28.04,1008800,0.0,0
2010-06-23,28.31,28.74,27.45,28.72,1029400,0.0,0
2010-06-24,28.73,29.32,28.1,28.56,1600800,0.0,0
2010-06-25,28.57,28.61,27.51,27.51,640100,0.0,0
2010-06-28,27.85,28.35,27.24,28.12,718200,0.0,0
2010-06-29,27.66,27.71,26.82,27.24,622300,0.0,0
2010-06-30,27.44,28.01,27.15,27.92,402400,0.0,0
2010-07-01,27.66,27.88,25.73,26.0,1023200,0.0,0
2010-07-02,25.95,26.59,25.75,26.47,483700,0.0,0
2010-07-06,26.94,26.94,25.48,25.56,805200,0.0,0
2010-07-07,25.56,26.1,25.02,25.07,583700,0.0,0
2010-07-08,24.92,26.01,24.4,24.89,2176300,0.0,0
2010-07-09,25.07,25.16,24.58,24.85,448600,0.0,0
2010-07-12,24.66,24.74,22.88,22.99,1194500,0.0,0
2010-07-13,23.49,23.99,23.09,23.89,877900,0.0,0
2010-07-14,23.48,23.48,23.27,23.45,885100,0.0,0
2010-07-15,23.33,23.38,22.39,22.73,642100,0.0,0
2010-07-16,22.53,23.29,22.49,22.69,708700,0.0,0
2010-07-19,23.1,23.1,22.35,22.72,306000,0.0,0
2010-07-20,22.51,22.9,22.3,22.37,490100,0.0,0
2010-07-21,22.4,23.23,22.4,22.83,854200,0.0,0
2010-07-22,23.08,23.68,22.95,23.19,322600,0.0,0
2010-07-23,23.07,23.32,22.84,23.29,233300,0.0,0
2010-07-26,23.16,23.28,22.4,22.73,631200,0.0,0
2010-07-27,22.65,23.72,22.52,23.32,537900,0.0,0
2010-07-28,23.2,23.35,22.79,23.29,131300,0.0,0
2010-07-29,23.16,23.34,22.56,22.88,296200,0.0,0
2010-07-30,22.71,23.32,22.58,22.82,220100,0.0,0
2010-08-02,23.28,23.7,22.89,23.62,356600,0.0,0
2010-08-03,23.45,23.7,23.29,23.38,254100,0.0,0
2010-08-04,23.42,23.59,22.86,22.91,412500,0.0,0
2010-08-05,22.53,22.53,20.79,21.27,1554200,0.0,0
2010-08-06,20.8,20.9,19.83,20.42,1221700,0.0,0
2010-08-09,20.59,20.75,20.18,20.56,436800,0.0,0
2010-08-10,20.49,20.49,19.73,19.73,396600,0.0,0
2010-08-11,19.61,19.88,19.2,19.69,578900,0.0,0
2010-08-12,19.68,20.2,19.47,20.0,515200,0.0,0
2010-08-13,19.82,20.04,19.56,19.73,322000,0.0,0
2010-08-16,19.55,19.92,19.5,19.55,190700,0.0,0
2010-08-17,19.62,19.86,19.27,19.83,329500,0.0,0
2010-08-18,19.63,19.88,19.3,19.82,361500,0.0,0
2010-08-19,20.1,20.29,19.56,19.73,655000,0.0,0
2010-08-20,19.65,19.74,19.41,19.62,326700,0.0,0
2010-08-23,19.54,19.9,19.54,19.73,279500,0.0,0
2010-08-24,19.3,19.45,18.23,18.69,762400,0.0,0
2010-08-25,18.26,18.73,18.23,18.59,242700,0.0,0
2010-08-26,18.67,19.11,18.23,18.25,213900,0.0,0
2010-08-27,18.32,18.37,17.37,17.9,378500,0.0,0
2010-08-30,17.9,18.16,17.46,17.69,273200,0.0,0
2010-08-31,17.59,18.0,17.51,17.94,110300,0.0,0
2010-09-01,18.15,18.95,18.06,18.64,257000,0.1,0
2010-09-02,18.78,18.88,18.13,18.68,143800,0.0,0
2010-09-03,18.75,19.33,18.57,19.11,233400,0.0,0
2010-09-07,19.16,19.16,18.71,19.16,188100,0.0,0
2010-09-08,19.15,19.46,18.8,19.01,263000,0.0,0
2010-09-09,19.4,19.4,18.54,18.79,214400,0.0,0
2010-09-10,18.78,19.18,18.7,18.91,136100,0.0,0
2010-09-13,19.12,19.12,18.41,18.82,237700,0.0,0
2010-09-14,18.59,19.53,18.55,19.11,375100,0.0,0
2010-09-15,18.88,19.45,18.88,19.26,245800,0.0,0
2010-09-16,19.26,19.53,18.97,19.22,327700,0.0,0
2010-09-17,19.22,19.7,19.18,19.36,404600,0.0,0
2010-09-20,19.21,19.31,18.46,18.84,379500,0.0,0
2010-09-21,18.9,18.95,18.43,18.55,298500,0.0,0
2010-09-22,18.63,18.82,18.27,18.39,256100,0.0,0
2010-09-23,18.15,18.29,17.74,17.74,319600,0.0,0
2010-09-24,17.93,18.06,17.7,17.76,237000,0.0,0
2010-09-27,17.81,18.37,17.57,18.16,397100,0.0,0
2010-09-28,18.13,18.51,17.96,18.37,204900,0.0,0
2010-09-29,18.4,18.51,17.89,17.91,298300,0.0,0
2010-09-30,18.07,18.1,16.89,17.41,1710100,0.0,0
2010-10-01,17.45,17.82,17.09,17.76,480700,0.0,0
2010-10-04,17.73,17.83,17.26,17.57,271400,0.0,0
2010-10-05,17.64,18.04,17.51,17.95,385200,0.0,0
2010-10-06,17.93,18.19,17.71,17.95,179400,0.0,0
2010-10-07,17.95,18.05,17.51,17.76,176900,0.0,0
2010-10-08,17.73,18.09,17.67,17.97,168900,0.0,0
2010-10-11,18.01,18.47,17.73,18.15,279200,0.0,0
2010-10-12,18.15,19.29,18.1,19.16,608600,0.0,0
2010-10-13,19.38,19.65,19.05,19.14,714000,0.0,0
2010-10-14,19.22,19.69,19.12,19.51,287000,0.0,0
2010-10-15,19.56,19.56,19.15,19.38,250500,0.0,0
2010-10-18,19.35,20.25,19.26,20.0,467600,0.0,0
2010-10-19,20.0,20.26,19.88,19.94,432900,0.0,0
2010-10-20,20.0,20.62,19.75,20.45,394200,0.0,0
2010-10-21,20.58,20.74,20.19,20.61,243700,0.0,0
2010-10-22,20.72,21.21,20.68,21.15,454800,0.0,0
2010-10-25,21.22,21.53,20.9,21.01,329600,0.0,0
2010-10-26,21.2,21.33,20.69,20.88,161600,0.0,0
2010-10-27,20.69,20.87,20.6,20.83,228400,0.0,0
2010-10-28,20.84,20.89,20.31,20.69,166400,0.0,0
2010-10-29,20.62,20.85,20.62,20.7,195000,0.0,0
2010-11-01,20.71,21.12,19.94,20.33,269800,0.0,0
2010-11-02,20.42,20.82,20.02,20.78,279600,0.0,0
2010-11-03,20.74,20.9,20.34,20.69,229500,0.0,0
2010-11-04,21.07,21.07,20.51,20.7,456600,0.0,0
2010-11-05,20.76,21.55,20.67,21.25,474200,0.0,0
2010-11-08,21.26,21.55,20.67,21.44,587400,0.0,0
2010-11-09,21.55,21.7,21.17,21.48,499300,0.0,0
2010-11-10,21.55,21.7,21.21,21.41,159100,0.0,0
2010-11-11,21.2,21.49,20.99,21.3,145900,0.0,0
2010-11-12,21.19,21.37,20.77,20.82,127000,0.0,0
2010-11-15,20.77,21.12,20.73,20.98,136700,0.0,0
2010-11-16,20.79,21.5,20.76,21.2,482000,0.0,0
2010-11-17,21.33,21.36,20.97,21.03,120000,0.0,0
2010-11-18,21.16,21.38,21.02,21.3,142100,0.0,0
2010-11-19,21.3,21.81,20.92,21.57,327900,0.0,0
2010-11-22,21.46,21.51,21.19,21.38,151000,0.0,0
2010-11-23,21.12,21.46,21.12,21.28,104600,0.0,0
2010-11-24,21.11,21.11,19.91,20.58,533700,0.0,0
2010-11-26,20.45,21.18,20.13,20.26,95700,0.0,0
2010-11-29,20.26,20.56,20.01,20.37,198700,0.0,0
2010-11-30,20.28,20.54,20.19,20.51,397000,0.0,0
2010-12-01,20.73,21.06,20.69,20.7,350500,0.1,0
2010-12-02,20.7,21.07,20.7,21.07,177900,0.0,0
2010-12-03,20.83,21.16,20.78,21.12,162200,0.0,0
2010-12-06,21.12,21.78,20.95,21.48,192900,0.0,0
2010-12-07,21.69,21.69,21.11,21.46,133900,0.0,0
2010-12-08,21.39,21.44,20.83,20.97,231300,0.0,0
2010-12-09,21.08,21.12,20.17,20.37,305300,0.0,0
2010-12-10,20.31,20.47,19.82,19.88,388600,0.0,0
2010-12-13,19.84,20.16,19.54,19.92,436100,0.0,0
2010-12-14,19.86,20.27,19.61,19.86,376600,0.0,0
2010-12-15,19.69,20.25,19.51,19.79,411200,0.0,0
2010-12-16,19.84,20.05,19.04,19.08,861100,0.0,0
2010-12-17,18.99,19.28,18.85,19.14,636300,0.0,0
2010-12-20,19.14,19.32,18.87,19.22,429200,0.0,0
2010-12-21,19.26,19.3,19.06,19.22,486300,0.0,0
2010-12-22,19.19,19.31,19.05,19.13,504300,0.0,0
