Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2013-06-27,16.44,17.47,16.2,17.12,8285800,0.0,0
2013-06-28,17.15,17.86,17.13,17.35,717400,0.0,0
2013-07-01,17.38,17.61,17.09,17.09,394200,0.0,0
2013-07-02,17.09,18.3,17.02,17.91,223800,0.0,0
2013-07-03,17.7,17.9,17.4,17.78,103700,0.0,0
2013-07-05,17.52,18.04,17.29,17.91,111800,0.0,0
2013-07-08,17.75,18.15,17.57,17.92,110500,0.0,0
2013-07-09,17.83,18.56,17.76,18.17,206400,0.0,0
2013-07-10,18.14,18.59,17.75,17.8,334900,0.0,0
2013-07-11,17.75,18.31,17.75,18.25,108800,0.0,0
2013-07-12,17.92,18.21,17.9,18.18,114600,0.0,0
2013-07-15,18.04,18.4,17.91,18.23,177300,0.0,0
2013-07-16,17.74,19.24,17.74,18.73,239300,0.0,0
2013-07-17,18.65,19.08,18.38,18.98,139200,0.0,0
2013-07-18,19.1,19.57,18.69,19.41,162000,0.0,0
2013-07-19,19.57,19.93,19.35,19.42,631400,0.0,0
2013-07-22,19.2,19.29,18.84,18.95,492900,0.0,0
2013-07-23,18.91,19.28,18.64,18.84,41500,0.0,0
2013-07-24,18.85,19.28,18.68,19.17,43600,0.0,0
2013-07-25,18.95,20.48,18.64,20.48,232400,0.0,0
2013-07-26,20.61,20.63,19.62,20.12,141300,0.0,0
2013-07-29,20.03,20.5,19.62,20.22,85200,0.0,0
2013-07-30,20.23,20.31,19.38,20.13,94600,0.0,0
2013-07-31,20.31,20.31,19.75,20.03,52500,0.0,0
2013-08-01,19.99,20.31,19.72,20.18,181600,0.0,0
2013-08-02,20.19,20.97,19.73,20.9,224500,0.0,0
2013-08-05,20.9,21.43,20.74,21.24,104800,0.0,0
2013-08-06,21.27,21.53,21.05,21.26,419400,0.0,0
2013-08-07,21.25,21.42,21.1,21.39,82800,0.0,0
2013-08-08,21.43,21.53,21.25,21.5,74100,0.0,0
2013-08-09,21.29,21.54,21.29,21.48,67400,0.0,0
2013-08-12,21.29,21.62,21.29,21.58,116200,0.0,0
2013-08-13,21.56,21.95,21.29,21.81,102400,0.0,0
2013-08-14,21.71,21.81,21.57,21.77,72100,0.0,0
2013-08-15,21.81,21.81,21.25,21.43,280100,0.0,0
2013-08-16,21.41,21.52,21.25,21.48,82200,0.0,0
2013-08-19,21.43,21.56,21.15,21.52,196100,0.0,0
2013-08-20,21.5,22.13,21.31,21.54,138000,0.0,0
2013-08-21,21.5,21.71,21.25,21.46,89000,0.0,0
2013-08-22,21.48,21.71,21.29,21.44,52600,0.0,0
2013-08-23,21.4,21.72,21.31,21.68,38900,0.0,0
2013-08-26,21.68,21.68,21.39,21.41,126500,0.0,0
2013-08-27,21.31,21.35,20.5,20.71,280700,0.0,0
2013-08-28,20.7,20.91,20.41,20.48,78300,0.0,0
2013-08-29,20.37,20.63,19.82,20.58,171500,0.0,0
2013-08-30,20.51,20.65,20.36,20.44,110900,0.0,0
2013-09-03,20.65,21.59,20.3,20.99,94000,0.0,0
2013-09-04,20.93,21.44,20.52,21.44,117900,0.0,0
2013-09-05,21.35,22.13,21.25,21.73,84400,0.0,0
2013-09-06,21.72,22.13,21.42,21.66,103000,0.0,0
2013-09-09,21.68,21.92,21.12,21.4,123700,0.0,0
2013-09-10,21.43,21.66,21.05,21.46,125600,0.0,0
2013-09-11,21.34,21.92,20.98,21.82,124700,0.0,0
2013-09-12,21.81,21.94,21.45,21.52,672200,0.0,0
2013-09-13,21.45,21.92,21.34,21.9,213800,0.0,0
2013-09-16,22.04,22.34,21.67,22.24,187000,0.0,0
2013-09-17,22.2,22.35,21.52,21.65,315500,0.0,0
2013-09-18,21.51,22.36,21.4,22.17,273600,0.0,0
2013-09-19,21.99,22.27,21.58,21.86,336900,0.0,0
2013-09-20,21.77,21.93,21.13,21.33,1170900,0.0,0
2013-09-23,21.34,22.32,21.19,22.23,442400,0.0,0
