Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-09-24,18.55,20.03,18.42,19.91,60450900,0.0,0
2014-09-25,19.46,20.2,19.37,19.89,8430000,0.0,0
2014-09-26,20.0,20.16,19.77,20.06,2504400,0.0,0
2014-09-29,19.97,20.23,19.77,20.04,4832600,0.0,0
2014-09-30,19.94,20.34,19.89,20.21,4103100,0.0,0
2014-10-01,20.03,20.37,19.94,20.22,3915500,0.0,0
2014-10-02,20.14,20.35,20.11,20.14,3121400,0.0,0
2014-10-03,20.17,20.25,19.85,20.04,1585900,0.0,0
2014-10-06,20.09,20.16,19.51,19.53,1208400,0.0,0
2014-10-07,19.46,19.62,19.21,19.43,1508400,0.0,0
2014-10-08,19.08,19.97,19.08,19.63,1649200,0.0,0
2014-10-09,19.84,19.84,19.19,19.4,1229100,0.0,0
2014-10-10,19.32,19.46,19.1,19.22,924000,0.0,0
2014-10-13,19.09,19.55,19.09,19.37,1382800,0.0,0
2014-10-14,19.41,19.66,19.24,19.37,1605800,0.0,0
2014-10-15,19.09,19.15,18.55,18.85,3405400,0.0,0
2014-10-16,18.56,18.94,18.52,18.81,3105800,0.0,0
2014-10-17,18.89,19.04,18.75,18.91,2750600,0.0,0
2014-10-20,18.83,19.31,18.83,19.31,1870600,0.0,0
2014-10-21,19.08,19.78,19.08,19.69,1165500,0.0,0
2014-10-22,19.65,19.84,19.33,19.5,884700,0.0,0
2014-10-23,19.82,19.91,19.49,19.87,1154200,0.0,0
2014-10-24,20.12,20.27,19.65,20.0,1357800,0.0,0
2014-10-27,19.97,20.01,19.61,19.71,2898800,0.0,0
2014-10-28,19.98,20.35,19.78,20.09,1500600,0.0,0
2014-10-29,20.15,20.3,20.02,20.26,1302300,0.0,0
2014-10-30,20.24,20.44,20.1,20.22,1153600,0.0,0
2014-10-31,20.35,20.64,20.16,20.38,1238600,0.0,0
2014-11-03,20.27,20.71,19.98,20.71,1826900,0.0,0
2014-11-04,20.57,20.72,20.3,20.45,1474500,0.1,0
2014-11-05,20.62,20.75,20.4,20.71,1097600,0.0,0
2014-11-06,20.61,21.19,20.58,21.05,1010700,0.0,0
2014-11-07,21.21,21.21,20.76,20.77,600700,0.0,0
2014-11-10,20.83,21.01,20.58,20.75,1531300,0.0,0
2014-11-11,20.77,20.98,20.58,20.74,658300,0.0,0
2014-11-12,20.58,20.78,20.37,20.67,940800,0.0,0
2014-11-13,20.46,20.76,20.43,20.64,1149700,0.0,0
2014-11-14,20.57,20.79,20.57,20.76,1111500,0.0,0
2014-11-17,20.89,20.89,20.41,20.79,992400,0.0,0
2014-11-18,20.83,20.83,20.54,20.56,586000,0.0,0
2014-11-19,20.62,20.79,20.37,20.55,812800,0.0,0
2014-11-20,20.42,20.68,20.36,20.54,745800,0.0,0
2014-11-21,20.75,20.98,20.53,20.59,725200,0.0,0
2014-11-24,20.62,21.11,20.52,21.01,836800,0.0,0
2014-11-25,21.0,21.05,20.81,20.82,701600,0.0,0
2014-11-26,20.89,21.03,20.72,20.99,703700,0.0,0
2014-11-28,20.98,21.74,20.84,21.34,713400,0.0,0
2014-12-01,21.33,21.57,20.35,20.78,2282600,0.0,0
2014-12-02,20.81,21.17,20.62,20.97,1369300,0.0,0
2014-12-03,21.08,21.3,20.96,20.99,1854500,0.0,0
2014-12-04,21.07,21.28,20.87,21.14,1433700,0.0,0
2014-12-05,21.18,21.85,21.18,21.79,1008400,0.0,0
2014-12-08,21.73,21.78,21.38,21.69,2244900,0.0,0
2014-12-09,21.41,21.95,21.23,21.8,1141800,0.0,0
2014-12-10,21.79,22.02,21.33,21.36,631000,0.0,0
2014-12-11,21.53,21.9,21.24,21.39,1709100,0.0,0
2014-12-12,21.24,21.51,21.14,21.19,950800,0.0,0
2014-12-15,21.38,21.49,21.03,21.22,1175100,0.0,0
2014-12-16,21.25,21.55,20.98,21.01,1313900,0.0,0
2014-12-17,20.98,21.49,20.98,21.28,2160100,0.0,0
2014-12-18,21.44,21.78,21.38,21.73,1768500,0.0,0
2014-12-19,21.69,22.18,21.52,21.66,7523100,0.0,0
2014-12-22,21.8,21.9,21.37,21.75,1689600,0.0,0
2014-12-23,21.93,22.09,21.76,22.04,1174600,0.0,0
2014-12-24,22.05,22.17,21.82,22.1,547200,0.0,0
2014-12-26,22.1,22.1,21.88,21.93,304000,0.0,0
2014-12-29,21.83,22.1,21.82,21.98,1071000,0.0,0
2014-12-30,22.06,22.09,21.8,21.82,511800,0.0,0
2014-12-31,21.88,21.91,21.51,21.54,621600,0.0,0
