Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2002-12-06,4.76,5.27,4.74,5.23,27551000,0.0,0.0
2002-12-09,5.21,5.22,5.02,5.12,3149500,0.0,0.0
2002-12-10,5.13,5.28,5.08,5.21,1723000,0.0,0.0
2002-12-11,5.21,5.55,5.16,5.49,2549000,0.0,0.0
2002-12-12,5.49,5.49,5.32,5.35,1355500,0.0,0.0
2002-12-13,5.35,5.36,5.27,5.32,987500,0.0,0.0
2002-12-16,5.3,5.33,5.24,5.26,798000,0.0,0.0
2002-12-17,5.24,5.36,5.22,5.28,1646000,0.0,0.0
2002-12-18,5.27,5.27,5.19,5.2,742000,0.0,0.0
2002-12-19,5.19,5.21,5.14,5.16,684000,0.0,0.0
2002-12-20,5.17,5.44,5.12,5.42,904500,0.0,0.0
2002-12-23,5.41,5.43,5.29,5.29,638500,0.0,0.0
2002-12-24,5.32,5.32,5.24,5.25,218000,0.0,0.0
2002-12-26,5.26,5.26,5.19,5.19,325000,0.0,0.0
2002-12-27,5.18,5.18,5.09,5.12,830500,0.0,0.0
2002-12-30,5.16,5.22,5.13,5.16,1076500,0.0,0.0
2002-12-31,5.15,5.34,5.15,5.32,1778000,0.0,0.0
2003-01-02,5.32,5.36,5.3,5.33,315000,0.0,0.0
2003-01-03,5.33,5.58,5.31,5.58,861500,0.0,0.0
2003-01-06,5.49,5.9,5.49,5.86,1874500,0.0,0.0
2003-01-07,5.85,5.93,5.76,5.85,1383000,0.0,0.0
2003-01-08,5.86,5.89,5.81,5.85,411000,0.0,0.0
2003-01-09,5.86,6.0,5.81,5.98,649000,0.0,0.0
2003-01-10,5.96,6.02,5.94,5.97,844000,0.0,0.0
2003-01-13,5.97,6.06,5.96,6.05,810000,0.0,0.0
2003-01-14,6.05,6.1,5.98,5.99,554000,0.0,0.0
2003-01-15,5.9,5.9,5.7,5.74,1459000,0.0,0.0
2003-01-16,5.73,5.73,5.52,5.53,725000,0.0,0.0
2003-01-17,5.52,5.55,5.46,5.49,590500,0.0,0.0
2003-01-21,5.49,5.51,5.4,5.42,468000,0.0,0.0
2003-01-22,5.4,5.41,5.38,5.38,163500,0.0,0.0
2003-01-23,5.39,5.58,5.38,5.54,476000,0.0,0.0
2003-01-24,5.53,5.74,5.49,5.73,685000,0.0,0.0
2003-01-27,5.7,5.72,5.63,5.64,209000,0.0,0.0
2003-01-28,5.65,5.68,5.61,5.61,364500,0.0,0.0
2003-01-29,5.6,5.73,5.58,5.67,401500,0.0,0.0
2003-01-30,5.67,5.68,5.34,5.39,735000,0.0,0.0
2003-01-31,5.36,5.37,5.12,5.18,2886000,0.0,0.0
2003-02-03,5.18,5.23,5.14,5.16,780000,0.0,0.0
2003-02-04,5.15,5.15,5.07,5.12,740000,0.0,0.0
2003-02-05,5.11,5.12,5.04,5.09,1159000,0.0,0.0
2003-02-06,5.08,5.12,5.05,5.06,1077500,0.0,0.0
2003-02-07,5.07,5.14,5.07,5.13,744500,0.0,0.0
2003-02-10,5.13,5.29,5.13,5.24,278500,0.0,0.0
2003-02-11,5.24,5.31,5.23,5.23,222500,0.0,0.0
2003-02-12,5.21,5.24,5.18,5.23,355500,0.0,0.0
2003-02-13,5.22,5.33,5.22,5.3,265500,0.0,0.0
2003-02-14,5.33,5.46,5.33,5.43,958000,0.0,0.0
2003-02-18,5.46,5.46,5.38,5.43,753500,0.0,0.0
2003-02-19,5.43,5.49,5.41,5.46,420500,0.0,0.0
2003-02-20,5.46,5.5,5.45,5.49,159000,0.0,0.0
2003-02-21,5.49,5.57,5.49,5.53,206000,0.0,0.0
2003-02-24,5.49,5.58,5.49,5.55,182500,0.0,0.0
2003-02-25,5.55,5.58,5.53,5.57,144500,0.0,0.0
2003-02-26,5.58,5.61,5.5,5.53,214000,0.0,0.0
2003-02-27,5.52,5.52,5.28,5.28,945000,0.0,0.0
2003-02-28,5.27,5.34,5.23,5.25,565000,0.0,0.0
