Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1994-11-16,3.96,3.99,3.96,3.96,8343900,0.0,0.0
1994-11-17,3.96,4.02,3.93,4.02,4872000,0.0,0.0
1994-11-18,4.05,4.11,4.02,4.08,1468800,0.0,0.0
1994-11-21,4.11,4.11,3.99,3.99,348600,0.0,0.0
1994-11-22,3.96,3.99,3.8,3.8,709800,0.0,0.0
1994-11-23,3.77,3.83,3.74,3.77,906600,0.0,0.0
1994-11-25,3.77,3.83,3.77,3.83,132600,0.0,0.0
1994-11-28,3.86,3.86,3.77,3.77,280500,0.0,0.0
1994-11-29,3.77,3.8,3.77,3.8,187500,0.0,0.0
1994-11-30,3.77,3.8,3.77,3.77,130800,0.0,0.0
1994-12-01,3.8,3.8,3.65,3.65,794400,0.0,0.0
1994-12-02,3.65,3.65,3.62,3.65,54600,0.0,0.0
1994-12-05,3.65,3.65,3.62,3.65,19800,0.0,0.0
1994-12-06,3.65,3.65,3.62,3.62,91200,0.0,0.0
1994-12-07,3.65,3.65,3.59,3.59,77700,0.0,0.0
1994-12-08,3.59,3.62,3.55,3.55,169200,0.0,0.0
1994-12-09,3.52,3.52,3.43,3.46,272100,0.0,0.0
1994-12-12,3.52,3.62,3.49,3.52,284400,0.0,0.0
1994-12-13,3.52,3.52,3.49,3.49,146100,0.0,0.0
1994-12-14,3.52,3.59,3.52,3.55,442200,0.0,0.0
1994-12-15,3.55,3.62,3.55,3.59,274200,0.0,0.0
1994-12-16,3.62,3.8,3.62,3.8,442500,0.0,0.0
1994-12-19,3.77,3.77,3.71,3.74,47400,0.0,0.0
1994-12-20,3.74,3.8,3.74,3.74,128400,0.0,0.0
1994-12-21,3.77,3.83,3.77,3.83,96600,0.0,0.0
1994-12-22,3.83,3.86,3.77,3.86,248400,0.0,0.0
1994-12-23,3.89,3.96,3.89,3.96,189600,0.0,0.0
1994-12-27,3.96,4.02,3.93,3.99,113700,0.0,0.0
1994-12-28,3.96,3.99,3.96,3.99,62100,0.0,0.0
1994-12-29,3.99,3.99,3.96,3.96,190800,0.0,0.0
1994-12-30,3.96,3.96,3.96,3.96,15900,0.0,0.0
1995-01-03,3.99,3.99,3.89,3.96,93300,0.0,0.0
1995-01-04,3.96,3.99,3.93,3.99,45300,0.0,0.0
1995-01-05,3.99,4.02,3.93,3.99,54300,0.0,0.0
1995-01-06,3.93,3.93,3.86,3.89,294000,0.0,0.0
1995-01-09,3.93,3.93,3.89,3.89,24000,0.0,0.0
1995-01-10,3.89,3.93,3.89,3.93,19200,0.0,0.0
1995-01-11,3.89,3.89,3.89,3.89,10800,0.0,0.0
1995-01-12,3.89,3.89,3.89,3.89,76200,0.0,0.0
1995-01-13,3.89,3.89,3.83,3.89,84600,0.0,0.0
1995-01-16,3.93,3.99,3.93,3.96,834300,0.0,0.0
1995-01-17,3.96,3.96,3.96,3.96,186300,0.0,0.0
1995-01-18,3.96,3.96,3.86,3.89,60900,0.0,0.0
1995-01-19,3.89,3.89,3.86,3.86,48600,0.0,0.0
1995-01-20,3.86,3.86,3.83,3.83,43500,0.0,0.0
1995-01-23,3.86,3.86,3.8,3.83,115200,0.0,0.0
1995-01-24,3.86,3.86,3.86,3.86,35100,0.0,0.0
1995-01-25,3.86,4.05,3.86,3.99,83100,0.0,0.0
1995-01-26,3.99,4.02,3.96,3.96,92100,0.0,0.0
1995-01-27,3.99,3.99,3.96,3.99,24300,0.0,0.0
1995-01-30,3.99,3.99,3.96,3.99,70800,0.0,0.0
1995-01-31,3.99,4.0,3.96,4.0,354000,0.0,0.0
1995-02-01,4.02,4.05,3.99,4.05,133200,0.0,0.0
1995-02-02,4.05,4.17,4.05,4.14,306600,0.0,0.0
1995-02-03,4.11,4.14,4.08,4.14,278700,0.0,0.0
1995-02-06,4.14,4.17,4.11,4.14,227100,0.0,0.0
1995-02-07,4.14,4.14,4.08,4.11,361500,0.0,0.0
1995-02-08,4.11,4.23,4.08,4.2,494400,0.0,0.0
1995-02-09,4.26,4.39,4.26,4.3,214200,0.0,0.0
1995-02-10,4.33,4.33,4.2,4.23,137400,0.0,0.0
1995-02-13,4.23,4.23,4.14,4.17,516300,0.0,0.0
1995-02-14,4.14,4.14,4.02,4.05,1084800,0.0,0.0
1995-02-15,4.05,4.23,4.05,4.23,870000,0.0,0.0
1995-02-16,4.23,4.23,4.17,4.2,347700,0.0,0.0
1995-02-17,4.2,4.2,4.17,4.2,154200,0.0,0.0
1995-02-21,4.2,4.23,4.17,4.23,644400,0.0,0.0
1995-02-22,4.23,4.33,4.23,4.3,874800,0.0,0.0
1995-02-23,4.33,4.36,4.3,4.3,1391700,0.0,0.0
1995-02-24,4.3,4.3,4.2,4.23,830700,0.0,0.0
1995-02-27,4.2,4.23,4.17,4.2,310500,0.0,0.0
1995-02-28,4.26,4.51,4.26,4.51,3169500,0.0,0.0
1995-03-01,4.54,4.82,4.51,4.79,3259200,0.0,0.0
1995-03-02,4.82,4.94,4.79,4.91,2352900,0.0,0.0
1995-03-03,4.91,4.91,4.79,4.79,1156800,0.0,0.0
1995-03-06,4.7,4.76,4.64,4.67,1407900,0.0,0.0
1995-03-07,4.64,4.7,4.64,4.7,1043100,0.0,0.0
1995-03-08,4.73,4.79,4.73,4.73,774300,0.0,0.0
1995-03-09,4.73,4.73,4.7,4.73,480000,0.0,0.0
1995-03-10,4.7,4.73,4.64,4.67,770400,0.0,0.0
1995-03-13,4.7,4.7,4.67,4.67,583200,0.0,0.0
1995-03-14,4.73,4.79,4.67,4.79,1176600,0.0,0.0
1995-03-15,4.79,4.85,4.76,4.79,1154700,0.0,0.0
1995-03-16,4.82,4.82,4.57,4.64,1067100,0.0,0.0
1995-03-17,4.57,4.7,4.57,4.6,1276500,0.0,0.0
1995-03-20,4.6,4.73,4.57,4.73,735000,0.0,0.0
1995-03-21,4.73,4.82,4.64,4.64,1121100,0.0,0.0
1995-03-22,4.67,4.7,4.6,4.7,452700,0.0,0.0
1995-03-23,4.67,4.67,4.6,4.64,672600,0.0,0.0
1995-03-24,4.6,4.73,4.6,4.64,1575600,0.0,0.0
1995-03-27,4.67,4.79,4.67,4.79,937500,0.0,0.0
1995-03-28,4.76,4.82,4.73,4.76,741300,0.0,0.0
1995-03-29,4.76,4.82,4.7,4.7,1026900,0.0,0.0
1995-03-30,4.73,4.73,4.67,4.73,700200,0.0,0.0
1995-03-31,4.79,4.79,4.67,4.73,720300,0.0,0.0
1995-04-03,4.73,4.73,4.67,4.73,462300,0.0,0.0
1995-04-04,4.73,4.76,4.67,4.67,529800,0.0,0.0
1995-04-05,4.6,4.73,4.6,4.6,1110900,0.0,0.0
1995-04-06,4.64,4.67,4.64,4.64,546000,0.0,0.0
1995-04-07,4.67,4.67,4.51,4.51,1371000,0.0,0.0
1995-04-10,4.54,4.73,4.54,4.73,1105500,0.0,0.0
1995-04-11,4.7,4.82,4.7,4.73,620700,0.0,0.0
1995-04-12,4.82,4.98,4.82,4.91,2507400,0.0,0.0
1995-04-13,4.91,5.07,4.91,5.04,1372200,0.0,0.0
1995-04-17,5.07,5.16,5.04,5.04,832800,0.0,0.0
1995-04-18,5.07,5.07,4.98,5.01,2180100,0.0,0.0
1995-04-19,5.01,5.1,4.79,4.88,2268000,0.0,0.0
1995-04-20,4.88,5.04,4.85,4.94,2178300,0.0,0.0
1995-04-21,4.94,4.94,4.88,4.88,675000,0.0,0.0
