Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1986-07-09,7.78,8.05,7.68,8.0,1116800,0.0,0.0
1986-07-10,8.05,8.09,7.78,7.96,595600,0.0,0.0
1986-07-11,7.91,7.96,7.68,7.68,800400,0.0,0.0
1986-07-14,7.73,7.73,7.37,7.46,738000,0.0,0.0
1986-07-15,7.41,7.41,6.78,7.23,2059200,0.0,0.0
1986-07-16,7.23,7.64,7.23,7.37,1160400,0.0,0.0
1986-07-17,7.37,7.46,7.28,7.41,1046000,0.0,0.0
1986-07-18,7.41,7.53,7.28,7.46,1420000,0.0,0.0
1986-07-21,7.46,7.5,7.41,7.46,322800,0.0,0.0
1986-07-22,7.46,7.48,7.41,7.41,390800,0.0,0.0
1986-07-23,7.46,7.46,7.28,7.32,1004000,0.0,0.0
1986-07-24,7.32,7.37,7.14,7.23,1071600,0.0,0.0
1986-07-25,7.23,7.37,7.18,7.32,688400,0.0,0.0
1986-07-28,7.32,7.46,7.25,7.37,414800,0.0,0.0
1986-07-29,7.28,7.41,7.28,7.41,278400,0.0,0.0
1986-07-30,7.32,7.37,7.18,7.37,459200,0.0,0.0
1986-07-31,7.37,7.46,7.28,7.32,1213600,0.0,0.0
1986-08-01,7.28,7.37,7.09,7.09,1118000,0.0,0.0
1986-08-04,7.14,7.14,6.93,7.09,892400,0.0,0.0
1986-08-05,7.09,7.09,6.91,6.96,868800,0.0,0.0
1986-08-06,6.96,7.0,6.64,6.64,550400,0.0,0.0
1986-08-07,6.55,6.59,5.91,6.09,7560000,0.0,0.0
1986-08-08,6.14,6.5,6.09,6.46,2802000,0.0,0.0
1986-08-11,6.55,6.64,6.46,6.64,1428000,0.0,0.0
1986-08-12,6.64,6.87,6.64,6.82,1155200,0.0,0.0
1986-08-13,6.87,7.34,6.82,7.05,865600,0.0,0.0
1986-08-14,7.09,7.14,6.82,6.91,762000,0.0,0.0
1986-08-15,6.91,6.91,6.68,6.82,654400,0.0,0.0
1986-08-18,6.87,7.18,6.73,7.05,606800,0.0,0.0
1986-08-19,7.09,7.09,6.91,6.96,2744000,0.0,0.0
1986-08-20,6.96,6.96,6.82,6.91,500000,0.0,0.0
1986-08-21,6.91,6.96,6.87,6.87,353200,0.0,0.0
1986-08-22,6.91,6.96,6.82,6.82,286000,0.0,0.0
1986-08-25,6.91,6.91,6.64,6.73,766400,0.0,0.0
1986-08-26,6.68,6.82,6.68,6.82,408800,0.0,0.0
1986-08-27,6.82,6.82,6.68,6.78,686400,0.0,0.0
1986-08-28,6.78,6.78,6.64,6.68,286000,0.0,0.0
1986-08-29,6.64,6.73,6.59,6.64,1128800,0.0,0.0
1986-09-02,6.68,6.68,6.32,6.37,916800,0.0,0.0
1986-09-03,6.37,6.5,6.32,6.5,684400,0.0,0.0
1986-09-04,6.55,6.78,6.46,6.78,576800,0.0,0.0
1986-09-05,6.78,6.87,6.55,6.55,961600,0.0,0.0
1986-09-08,6.64,6.64,6.27,6.37,1793200,0.0,0.0
1986-09-09,6.32,6.37,6.18,6.27,388000,0.0,0.0
1986-09-10,6.27,6.27,6.18,6.18,802400,0.0,0.0
1986-09-11,6.23,6.23,5.64,5.77,6240000,0.0,0.0
1986-09-12,5.73,5.77,5.5,5.55,2066800,0.0,0.0
1986-09-15,5.55,5.64,5.41,5.55,1746800,0.0,0.0
1986-09-16,5.5,5.55,5.32,5.41,1547200,0.0,0.0
1986-09-17,5.46,5.46,5.14,5.37,997600,0.0,0.0
1986-09-18,5.37,6.37,5.37,6.37,833200,0.0,0.0
1986-09-19,6.37,6.37,5.96,6.23,928000,0.0,0.0
1986-09-22,6.23,6.32,6.09,6.18,464000,0.0,0.0
1986-09-23,6.23,6.23,5.87,6.0,436400,0.0,0.0
1986-09-24,6.0,6.23,5.91,6.18,649600,0.0,0.0
1986-09-25,6.18,6.18,6.05,6.05,305600,0.0,0.0
1986-09-26,6.05,6.14,6.0,6.05,278400,0.0,0.0
1986-09-29,6.09,6.09,5.87,6.0,724800,0.0,0.0
1986-09-30,5.96,6.37,5.96,6.23,773200,0.0,0.0
1986-10-01,6.32,6.37,6.23,6.23,668400,0.0,0.0
1986-10-02,6.23,6.27,6.23,6.23,592000,0.0,0.0
1986-10-03,6.27,6.27,6.0,6.09,228000,0.0,0.0
1986-10-06,6.18,6.18,6.05,6.14,467600,0.0,0.0
1986-10-07,6.09,6.18,6.09,6.14,176000,0.0,0.0
1986-10-08,6.18,6.27,6.14,6.27,558800,0.0,0.0
1986-10-09,6.27,6.27,6.09,6.14,243200,0.0,0.0
1986-10-10,6.14,6.14,6.0,6.05,238400,0.0,0.0
1986-10-13,6.09,6.09,5.87,5.87,362800,0.0,0.0
1986-10-14,5.87,6.27,5.87,6.18,612000,0.0,0.0
1986-10-15,6.23,6.41,6.18,6.37,606800,0.0,0.0
1986-10-16,6.37,6.41,6.32,6.32,269200,0.0,0.0
1986-10-17,6.37,6.37,6.14,6.18,216000,0.0,0.0
1986-10-20,6.14,6.18,5.87,6.05,595200,0.0,0.0
1986-10-21,6.05,6.05,5.96,5.96,327200,0.0,0.0
1986-10-22,6.05,6.05,5.96,6.0,396000,0.0,0.0
1986-10-23,6.05,6.05,6.0,6.02,1358400,0.0,0.0
1986-10-24,6.05,6.09,6.0,6.05,809600,0.0,0.0
1986-10-27,6.09,6.09,6.0,6.05,305200,0.0,0.0
1986-10-28,6.0,6.18,6.0,6.18,329200,0.0,0.0
1986-10-29,6.18,6.55,6.18,6.46,835600,0.0,0.0
1986-10-30,6.46,6.68,6.41,6.59,973200,0.0,0.0
1986-10-31,6.59,6.59,6.46,6.55,632400,0.0,0.0
1986-11-03,6.46,6.59,6.46,6.55,408800,0.0,0.0
1986-11-04,6.5,6.59,6.5,6.5,283200,0.0,0.0
1986-11-05,6.55,6.55,6.46,6.46,231200,0.0,0.0
1986-11-06,6.46,6.5,6.23,6.41,434000,0.0,0.0
1986-11-07,6.41,6.5,6.37,6.39,517200,0.0,0.0
1986-11-10,6.41,6.41,6.27,6.37,503200,0.0,0.0
1986-11-11,6.41,6.5,6.32,6.5,142000,0.0,0.0
1986-11-12,6.5,6.57,6.46,6.53,669600,0.0,0.0
1986-11-13,6.5,6.55,6.09,6.09,578800,0.0,0.0
1986-11-14,6.05,6.14,5.96,6.09,806000,0.0,0.0
1986-11-17,6.09,6.14,6.0,6.09,734400,0.0,0.0
1986-11-18,6.14,6.14,5.96,6.0,605600,0.0,0.0
1986-11-19,6.05,6.09,5.96,6.05,495600,0.0,0.0
1986-11-20,6.05,6.18,6.05,6.18,828400,0.0,0.0
1986-11-21,6.23,6.55,6.18,6.5,666800,0.0,0.0
1986-11-24,6.41,6.73,6.41,6.64,715600,0.0,0.0
1986-11-25,6.55,6.64,6.5,6.55,424000,0.0,0.0
1986-11-26,6.5,6.59,6.5,6.59,171600,0.0,0.0
1986-11-28,6.59,6.59,6.46,6.55,236000,0.0,0.0
1986-12-01,6.55,6.59,6.41,6.46,596000,0.0,0.0
1986-12-02,6.5,6.53,6.43,6.5,845600,0.0,0.0
1986-12-03,6.46,6.59,6.46,6.59,1016800,0.0,0.0
1986-12-04,6.55,6.68,6.41,6.5,643200,0.0,0.0
1986-12-05,6.46,6.5,6.18,6.23,636400,0.0,0.0
1986-12-08,6.18,6.27,6.05,6.18,712000,0.0,0.0
1986-12-09,6.14,6.23,6.14,6.14,302400,0.0,0.0
1986-12-10,6.18,6.18,6.05,6.09,341200,0.0,0.0
1986-12-11,6.14,6.14,5.77,5.87,1172000,0.0,0.0
1986-12-12,5.96,5.96,5.87,5.87,332000,0.0,0.0
1986-12-15,5.87,6.27,5.82,6.27,768400,0.0,0.0
1986-12-16,6.23,6.32,6.23,6.32,770000,0.0,0.0
1986-12-17,6.32,6.37,6.18,6.18,345200,0.0,0.0
1986-12-18,6.18,6.27,6.05,6.14,349200,0.0,0.0
1986-12-19,6.14,6.18,6.09,6.09,883600,0.0,0.0
1986-12-22,6.14,6.27,6.09,6.18,371600,0.0,0.0
1986-12-23,6.23,6.27,6.05,6.09,282800,0.0,0.0
1986-12-24,6.09,6.09,6.05,6.05,189200,0.0,0.0
1986-12-26,6.05,6.09,6.0,6.09,180000,0.0,0.0
1986-12-29,6.05,6.09,5.91,6.09,462000,0.0,0.0
1986-12-30,6.05,6.09,5.91,5.96,485200,0.0,0.0
1986-12-31,6.02,6.09,5.96,5.96,378400,0.0,0.0
1987-01-02,5.96,6.09,5.91,6.07,363600,0.0,0.0
1987-01-05,6.09,6.68,6.09,6.64,1222000,0.0,0.0
1987-01-06,6.64,6.64,6.41,6.46,1120000,0.0,0.0
1987-01-07,6.55,6.82,6.55,6.82,976800,0.0,0.0
1987-01-08,6.82,7.09,6.78,7.05,1178800,0.0,0.0
1987-01-09,7.05,7.18,7.0,7.09,659600,0.0,0.0
1987-01-12,7.05,7.09,6.87,6.87,1713600,0.0,0.0
1987-01-13,6.87,6.87,6.68,6.87,1000000,0.0,0.0
1987-01-14,6.87,6.91,6.73,6.82,1237600,0.0,0.0
1987-01-15,6.78,6.82,6.5,6.59,2141600,0.0,0.0
1987-01-16,6.59,6.59,6.41,6.46,722400,0.0,0.0
1987-01-19,6.46,6.68,6.46,6.64,1030000,0.0,0.0
1987-01-20,6.68,6.82,6.64,6.78,895200,0.0,0.0
1987-01-21,6.68,6.73,6.55,6.64,923200,0.0,0.0
1987-01-22,6.68,6.82,6.64,6.82,372800,0.0,0.0
1987-01-23,6.82,7.18,6.73,6.87,1741600,0.0,0.0
1987-01-26,6.91,6.91,6.68,6.73,456800,0.0,0.0
1987-01-27,6.73,7.05,6.73,7.05,666400,0.0,0.0
1987-01-28,7.05,7.23,6.96,7.23,937200,0.0,0.0
1987-01-29,7.28,7.32,7.0,7.05,712000,0.0,0.0
1987-01-30,7.09,7.09,6.87,7.07,445200,0.0,0.0
1987-02-02,7.09,7.14,7.0,7.05,483600,0.0,0.0
1987-02-03,7.05,7.05,6.87,6.87,739200,0.0,0.0
1987-02-04,6.91,7.14,6.87,7.09,1103600,0.0,0.0
1987-02-05,7.09,7.41,7.05,7.41,904000,0.0,0.0
1987-02-06,7.37,7.46,7.14,7.14,1008800,0.0,0.0
1987-02-09,7.18,7.18,6.91,6.96,663200,0.0,0.0
1987-02-10,7.05,7.05,6.91,6.96,423600,0.0,0.0
1987-02-11,7.0,7.23,7.0,7.14,394000,0.0,0.0
1987-02-12,7.18,7.73,7.14,7.37,1348800,0.0,0.0
1987-02-13,7.37,7.5,7.18,7.46,1257600,0.0,0.0
1987-02-17,7.5,7.73,7.46,7.68,1275200,0.0,0.0
1987-02-18,7.73,7.96,7.64,7.73,1346000,0.0,0.0
1987-02-19,7.73,7.91,7.73,7.91,432800,0.0,0.0
1987-02-20,7.82,7.96,7.82,7.87,350000,0.0,0.0
1987-02-23,7.87,7.91,7.78,7.8,479200,0.0,0.0
1987-02-24,7.78,7.82,7.73,7.82,934800,0.0,0.0
1987-02-25,7.82,8.0,7.78,7.98,831600,0.0,0.0
1987-02-26,8.0,8.23,8.0,8.14,720000,0.0,0.0
1987-02-27,8.07,8.14,7.96,8.05,314000,0.0,0.0
1987-03-02,8.05,8.05,7.82,7.91,560400,0.0,0.0
1987-03-03,7.87,7.91,7.78,7.87,411200,0.0,0.0
1987-03-04,7.78,8.09,7.78,8.07,508000,0.0,0.0
1987-03-05,8.09,8.23,8.05,8.14,684400,0.0,0.0
1987-03-06,8.14,8.32,8.09,8.14,741200,0.0,0.0
1987-03-09,8.14,8.18,8.03,8.09,481600,0.0,0.0
1987-03-10,8.09,8.23,8.09,8.18,206000,0.0,0.0
1987-03-11,8.18,8.37,8.18,8.32,837600,0.0,0.0
1987-03-12,8.32,8.32,8.18,8.28,597600,0.0,0.0
1987-03-13,8.28,9.19,8.28,8.82,3545200,0.0,0.0
1987-03-16,8.87,8.91,8.82,8.87,504000,0.0,0.0
1987-03-17,8.91,9.19,8.87,9.0,1909600,0.0,0.0
1987-03-18,9.0,9.14,9.0,9.0,1048000,0.0,0.0
1987-03-19,9.0,9.05,8.91,9.0,594800,0.0,0.0
1987-03-20,9.05,9.19,8.91,9.09,1144000,0.0,0.0
1987-03-23,9.09,9.14,9.05,9.05,636800,0.0,0.0
1987-03-24,9.05,9.09,9.0,9.05,490400,0.0,0.0
1987-03-25,9.09,9.09,9.0,9.05,939600,0.0,0.0
1987-03-26,9.09,9.41,9.05,9.28,2110800,0.0,0.0
1987-03-27,9.37,9.41,9.28,9.28,810400,0.0,0.0
1987-03-30,9.28,9.28,8.32,8.55,1305600,0.0,0.0
1987-03-31,8.5,8.82,8.46,8.73,876400,0.0,0.0
1987-04-01,8.55,8.68,8.55,8.64,830000,0.0,0.0
1987-04-02,8.73,8.87,8.59,8.64,566400,0.0,0.0
1987-04-03,8.68,8.78,8.59,8.78,264800,0.0,0.0
1987-04-06,8.78,8.91,8.78,8.91,297600,0.0,0.0
1987-04-07,8.91,9.0,8.64,8.64,304000,0.0,0.0
1987-04-08,8.64,8.78,8.64,8.73,507200,0.0,0.0
1987-04-09,8.73,8.78,8.64,8.73,310400,0.0,0.0
1987-04-10,8.68,8.68,8.64,8.64,442400,0.0,0.0
1987-04-13,8.59,8.64,8.37,8.37,524000,0.0,0.0
1987-04-14,8.37,8.37,7.68,7.73,1610000,0.0,0.0
1987-04-15,7.91,7.96,7.68,7.87,730400,0.0,0.0
1987-04-16,7.87,8.0,7.82,7.91,970800,0.0,0.0
1987-04-20,7.91,8.0,7.82,7.91,482800,0.0,0.0
1987-04-21,7.87,7.91,7.73,7.91,798800,0.0,0.0
1987-04-22,7.91,8.05,7.82,7.82,466800,0.0,0.0
1987-04-23,7.87,7.87,7.68,7.78,288400,0.0,0.0
1987-04-24,7.73,7.78,7.37,7.41,686000,0.0,0.0
1987-04-27,7.41,7.41,7.09,7.23,927200,0.0,0.0
1987-04-28,7.37,7.41,7.28,7.32,978800,0.0,0.0
1987-04-29,7.32,7.37,7.0,7.0,1031200,0.0,0.0
1987-04-30,7.05,7.87,6.91,7.73,1474800,0.0,0.0
1987-05-01,7.73,7.73,7.64,7.68,763600,0.0,0.0
1987-05-04,7.68,7.68,7.5,7.59,791600,0.0,0.0
1987-05-05,7.59,7.59,7.46,7.55,403600,0.0,0.0
1987-05-06,7.5,7.64,7.46,7.59,1174800,0.0,0.0
1987-05-07,7.64,7.68,7.5,7.59,630400,0.0,0.0
1987-05-08,7.64,7.82,7.59,7.78,518800,0.0,0.0
1987-05-11,7.82,8.14,7.73,7.73,783600,0.0,0.0
1987-05-12,7.78,7.82,7.64,7.82,351200,0.0,0.0
1987-05-13,7.82,8.05,7.78,8.0,519200,0.0,0.0
1987-05-14,8.05,8.14,7.91,7.91,436400,0.0,0.0
1987-05-15,7.96,8.18,7.91,8.0,1227600,0.0,0.0
1987-05-18,8.05,8.05,7.91,8.05,665200,0.0,0.0
1987-05-19,7.96,8.05,7.87,7.87,691200,0.0,0.0
1987-05-20,7.96,7.96,7.78,7.82,1437200,0.0,0.0
1987-05-21,7.96,8.05,7.96,7.96,426800,0.0,0.0
1987-05-22,8.0,8.0,7.78,7.87,463600,0.0,0.0
1987-05-26,7.82,7.87,7.73,7.87,851200,0.0,0.0
1987-05-27,7.87,8.05,7.82,7.96,642800,0.0,0.0
1987-05-28,7.96,8.0,7.87,8.0,269600,0.0,0.0
1987-05-29,7.91,8.0,7.82,7.87,454000,0.0,0.0
1987-06-01,7.87,7.87,7.73,7.73,270000,0.0,0.0
1987-06-02,7.73,7.91,7.55,7.55,1157200,0.0,0.0
1987-06-03,7.64,7.78,7.64,7.68,454400,0.0,0.0
1987-06-04,7.68,7.78,7.64,7.73,339600,0.0,0.0
1987-06-05,7.73,8.0,7.73,7.91,298800,0.0,0.0
1987-06-08,7.91,7.96,7.82,7.89,102000,0.0,0.0
1987-06-09,7.96,8.14,7.91,8.05,553200,0.0,0.0
1987-06-10,8.14,8.64,8.05,8.46,1327600,0.0,0.0
1987-06-11,8.5,8.5,8.41,8.5,438000,0.0,0.0
1987-06-12,8.5,8.78,8.41,8.73,802000,0.0,0.0
1987-06-15,8.73,8.78,8.37,8.43,1014000,0.0,0.0
1987-06-16,8.46,8.59,8.41,8.55,950400,0.0,0.0
1987-06-17,8.5,8.59,8.46,8.55,305200,0.0,0.0
1987-06-18,8.46,8.91,8.37,8.64,716400,0.0,0.0
1987-06-19,8.68,8.78,8.41,8.46,1115200,0.0,0.0
1987-06-22,8.55,8.68,8.46,8.62,1788800,0.0,0.0
1987-06-23,8.59,8.64,8.41,8.53,522000,0.0,0.0
