Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1983-08-19,0.0,0.58,0.56,0.56,1996200,0.0,0.0
1983-08-22,0.0,0.58,0.57,0.57,1621800,0.0,0.0
1983-08-23,0.0,0.57,0.57,0.57,1972800,0.0,0.0
1983-08-24,0.0,0.58,0.57,0.57,819000,0.0,0.0
1983-08-25,0.0,0.59,0.58,0.58,347400,0.0,0.0
1983-08-26,0.0,0.6,0.59,0.59,549000,0.0,0.0
1983-08-29,0.0,0.62,0.6,0.6,552600,0.0,0.0
1983-08-30,0.0,0.64,0.63,0.63,777600,0.0,0.0
1983-08-31,0.0,0.64,0.63,0.63,1432800,0.0,0.0
1983-09-01,0.0,0.63,0.63,0.63,271800,0.0,0.0
1983-09-02,0.0,0.64,0.63,0.63,120600,0.0,0.0
1983-09-06,0.0,0.64,0.63,0.63,165600,0.0,0.0
1983-09-07,0.0,0.63,0.62,0.62,1135800,0.0,0.0
1983-09-08,0.0,0.63,0.62,0.62,124200,0.0,0.0
1983-09-09,0.0,0.63,0.63,0.63,82800,0.0,0.0
1983-09-12,0.0,0.63,0.63,0.63,703800,0.0,0.0
1983-09-13,0.0,0.63,0.63,0.63,79200,0.0,0.0
1983-09-14,0.0,0.63,0.63,0.63,77400,0.0,0.0
1983-09-15,0.0,0.63,0.62,0.62,212400,0.0,0.0
1983-09-16,0.0,0.63,0.62,0.62,82800,0.0,0.0
1983-09-19,0.0,0.63,0.62,0.62,39600,0.0,0.0
1983-09-20,0.0,0.63,0.62,0.62,59400,0.0,0.0
1983-09-21,0.0,0.63,0.63,0.63,25200,0.0,0.0
1983-09-22,0.0,0.63,0.63,0.63,90000,0.0,0.0
1983-09-23,0.0,0.63,0.63,0.63,37800,0.0,0.0
1983-09-26,0.0,0.63,0.63,0.63,304200,0.0,0.0
1983-09-27,0.0,0.63,0.63,0.63,46800,0.0,0.0
1983-09-28,0.0,0.63,0.63,0.63,27000,0.0,0.0
1983-09-29,0.0,0.65,0.64,0.64,275400,0.0,0.0
1983-09-30,0.0,0.65,0.65,0.65,325800,0.0,0.0
1983-10-03,0.0,0.67,0.66,0.66,275400,0.0,0.0
1983-10-04,0.0,0.67,0.66,0.66,43200,0.0,0.0
1983-10-05,0.0,0.67,0.66,0.66,351000,0.0,0.0
1983-10-06,0.0,0.67,0.66,0.66,259200,0.0,0.0
1983-10-07,0.0,0.67,0.66,0.66,999000,0.0,0.0
1983-10-10,0.0,0.67,0.66,0.66,34200,0.0,0.0
1983-10-11,0.0,0.67,0.66,0.66,100800,0.0,0.0
1983-10-12,0.0,0.66,0.66,0.66,14400,0.0,0.0
1983-10-13,0.0,0.66,0.66,0.66,84600,0.0,0.0
1983-10-14,0.0,0.66,0.65,0.65,75600,0.0,0.0
