Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1998-06-19,0.2,0.21,0.19,0.2,61454400,0.0,0.0
1998-06-22,0.2,0.2,0.2,0.2,6979200,0.0,0.0
1998-06-23,0.2,0.2,0.19,0.2,9638400,0.0,0.0
1998-06-24,0.2,0.21,0.2,0.21,1732800,0.0,0.0
1998-06-25,0.21,0.24,0.21,0.23,18417600,0.0,0.0
1998-06-26,0.23,0.26,0.22,0.24,10267200,0.0,0.0
1998-06-29,0.24,0.26,0.24,0.25,4588800,0.0,0.0
1998-06-30,0.25,0.25,0.24,0.24,4747200,0.0,0.0
1998-07-01,0.24,0.24,0.24,0.24,16401600,0.0,0.0
1998-07-02,0.24,0.24,0.24,0.24,3355200,0.0,0.0
1998-07-06,0.24,0.24,0.24,0.24,2208000,0.0,0.0
1998-07-07,0.24,0.24,0.24,0.24,3652800,0.0,0.0
1998-07-08,0.24,0.24,0.24,0.24,1286400,0.0,0.0
1998-07-09,0.24,0.31,0.24,0.28,14769600,0.0,0.0
1998-07-10,0.28,0.29,0.28,0.29,1291200,0.0,0.0
1998-07-13,0.29,0.3,0.28,0.28,5025600,0.0,0.0
1998-07-14,0.28,0.31,0.28,0.3,5457600,0.0,0.0
1998-07-15,0.31,0.36,0.31,0.32,8016000,0.0,0.0
1998-07-16,0.32,0.33,0.3,0.31,4713600,0.0,0.0
1998-07-17,0.32,0.32,0.31,0.32,974400,0.0,0.0
1998-07-20,0.32,0.35,0.32,0.34,5347200,0.0,0.0
1998-07-21,0.36,0.37,0.35,0.36,10684800,0.0,0.0
1998-07-22,0.37,0.37,0.31,0.35,4641600,0.0,0.0
1998-07-23,0.35,0.36,0.32,0.34,2116800,0.0,0.0
1998-07-24,0.34,0.34,0.31,0.32,1881600,0.0,0.0
1998-07-27,0.32,0.33,0.31,0.32,46747200,0.0,0.0
1998-07-28,0.32,0.32,0.3,0.31,3052800,0.0,0.0
1998-07-29,0.32,0.32,0.3,0.32,2534400,0.0,0.0
1998-07-30,0.32,0.33,0.31,0.33,3014400,0.0,0.0
1998-07-31,0.33,0.33,0.31,0.32,921600,0.0,0.0
1998-08-03,0.32,0.32,0.31,0.32,4032000,0.0,0.0
1998-08-04,0.32,0.33,0.31,0.32,3633600,0.0,0.0
1998-08-05,0.32,0.36,0.32,0.33,8592000,0.0,0.0
1998-08-06,0.32,0.33,0.32,0.32,211200,0.0,0.0
1998-08-07,0.34,0.35,0.33,0.34,3302400,0.0,0.0
1998-08-10,0.36,0.36,0.34,0.34,2184000,0.0,0.0
1998-08-11,0.35,0.35,0.31,0.34,2265600,0.0,0.0
1998-08-12,0.35,0.36,0.34,0.34,1320000,0.0,0.0
1998-08-13,0.35,0.36,0.35,0.35,1699200,0.0,0.0
1998-08-14,0.35,0.36,0.35,0.36,2092800,0.0,0.0
1998-08-17,0.36,0.36,0.35,0.35,2284800,0.0,0.0
1998-08-18,0.36,0.39,0.36,0.38,9902400,0.0,0.0
1998-08-19,0.39,0.39,0.38,0.38,6028800,0.0,0.0
1998-08-20,0.38,0.39,0.37,0.37,1041600,0.0,0.0
1998-08-21,0.36,0.36,0.33,0.36,3796800,0.0,0.0
1998-08-24,0.38,0.38,0.34,0.36,2697600,0.0,0.0
1998-08-25,0.37,0.39,0.37,0.38,4881600,0.0,0.0
1998-08-26,0.36,0.37,0.35,0.35,6859200,0.0,0.0
1998-08-27,0.33,0.35,0.31,0.32,7881600,0.0,0.0
1998-08-28,0.32,0.33,0.3,0.31,4603200,0.0,0.0
1998-08-31,0.32,0.32,0.24,0.24,6499200,0.0,0.0
1998-09-01,0.25,0.32,0.23,0.3,5654400,0.0,0.0
1998-09-02,0.3,0.33,0.29,0.3,4756800,0.0,0.0
1998-09-03,0.26,0.29,0.26,0.29,2174400,0.0,0.0
1998-09-04,0.29,0.31,0.28,0.29,1459200,0.0,0.0
1998-09-08,0.31,0.33,0.29,0.33,2947200,0.0,0.0
1998-09-09,0.32,0.32,0.3,0.31,1368000,0.0,0.0
1998-09-10,0.3,0.31,0.3,0.31,6283200,0.0,0.0
1998-09-11,0.31,0.31,0.3,0.31,403200,0.0,0.0
1998-09-14,0.32,0.33,0.31,0.32,662400,0.0,0.0
1998-09-15,0.32,0.32,0.31,0.31,796800,0.0,0.0
1998-09-16,0.31,0.31,0.3,0.3,1262400,0.0,0.0
1998-09-17,0.29,0.3,0.29,0.29,2899200,0.0,0.0
1998-09-18,0.29,0.3,0.29,0.3,129600,0.0,0.0
1998-09-21,0.29,0.31,0.29,0.31,1377600,0.0,0.0
1998-09-22,0.31,0.31,0.3,0.3,2164800,0.0,0.0
1998-09-23,0.31,0.33,0.3,0.32,3364800,0.0,0.0
1998-09-24,0.31,0.33,0.31,0.31,1651200,0.0,0.0
1998-09-25,0.31,0.33,0.31,0.32,1790400,0.0,0.0
1998-09-28,0.32,0.33,0.32,0.32,1536000,0.0,0.0
1998-09-29,0.32,0.33,0.31,0.32,1684800,0.0,0.0
1998-09-30,0.31,0.32,0.31,0.31,1540800,0.0,0.0
1998-10-01,0.31,0.31,0.3,0.31,1296000,0.0,0.0
1998-10-02,0.31,0.32,0.31,0.32,1065600,0.0,0.0
1998-10-05,0.32,0.32,0.31,0.31,4780800,0.0,0.0
1998-10-06,0.31,0.31,0.26,0.26,3484800,0.0,0.0
1998-10-07,0.24,0.25,0.24,0.25,1200000,0.0,0.0
1998-10-08,0.24,0.24,0.14,0.19,8822400,0.0,0.0
1998-10-09,0.21,0.23,0.21,0.22,2395200,0.0,0.0
1998-10-12,0.24,0.24,0.22,0.22,1507200,0.0,0.0
1998-10-13,0.25,0.29,0.24,0.25,13166400,0.0,0.0
1998-10-14,0.25,0.25,0.23,0.25,2841600,0.0,0.0
1998-10-15,0.26,0.27,0.26,0.26,1128000,0.0,0.0
1998-10-16,0.26,0.27,0.26,0.27,816000,0.0,0.0
1998-10-19,0.27,0.3,0.27,0.29,2203200,0.0,0.0
1998-10-20,0.3,0.32,0.3,0.31,3336000,0.0,0.0
1998-10-21,0.34,0.34,0.32,0.33,23275200,0.0,0.0
1998-10-22,0.35,0.36,0.33,0.35,6619200,0.0,0.0
1998-10-23,0.36,0.39,0.35,0.37,7248000,0.0,0.0
1998-10-26,0.38,0.43,0.38,0.41,12955200,0.0,0.0
1998-10-27,0.48,0.48,0.43,0.46,19128000,0.0,0.0
1998-10-28,0.47,0.48,0.43,0.44,11107200,0.0,0.0
1998-10-29,0.44,0.45,0.4,0.42,10032000,0.0,0.0
1998-10-30,0.41,0.45,0.41,0.45,6288000,0.0,0.0
1998-11-02,0.47,0.47,0.46,0.46,7689600,0.0,0.0
1998-11-03,0.46,0.46,0.45,0.46,3259200,0.0,0.0
1998-11-04,0.47,0.47,0.44,0.45,3868800,0.0,0.0
1998-11-05,0.44,0.45,0.36,0.41,9230400,0.0,0.0
1998-11-06,0.4,0.4,0.36,0.38,10396800,0.0,0.0
1998-11-09,0.39,0.4,0.37,0.4,4819200,0.0,0.0
1998-11-10,0.4,0.4,0.39,0.4,1132800,0.0,0.0
1998-11-11,0.4,0.4,0.38,0.38,3480000,0.0,0.0
1998-11-12,0.39,0.39,0.38,0.38,1761600,0.0,0.0
1998-11-13,0.39,0.4,0.38,0.39,5836800,0.0,0.0
1998-11-16,0.4,0.4,0.38,0.39,1435200,0.0,0.0
1998-11-17,0.4,0.4,0.36,0.39,2880000,0.0,0.0
1998-11-18,0.39,0.39,0.37,0.39,1348800,0.0,0.0
1998-11-19,0.4,0.4,0.39,0.4,1416000,0.0,0.0
1998-11-20,0.4,0.48,0.39,0.44,7670400,0.0,0.0
1998-11-23,0.46,0.47,0.45,0.46,6268800,0.0,0.0
1998-11-24,0.46,0.46,0.44,0.45,2851200,0.0,0.0
1998-11-25,0.46,0.46,0.45,0.45,388800,0.0,0.0
1998-11-27,0.46,0.46,0.44,0.44,806400,0.0,0.0
1998-11-30,0.45,0.45,0.43,0.43,1958400,0.0,0.0
1998-12-01,0.43,0.5,0.43,0.49,7670400,0.0,0.0
1998-12-02,0.5,0.52,0.48,0.49,7838400,0.0,0.0
1998-12-03,0.48,0.49,0.44,0.44,3561600,0.0,0.0
1998-12-04,0.46,0.46,0.44,0.44,1752000,0.0,0.0
1998-12-07,0.46,0.5,0.46,0.48,15384000,0.0,0.0
1998-12-08,0.48,0.49,0.45,0.47,3796800,0.0,0.0
1998-12-09,0.47,0.47,0.45,0.46,1795200,0.0,0.0
1998-12-10,0.47,0.48,0.46,0.48,6076800,0.0,0.0
1998-12-11,0.49,0.49,0.44,0.45,6475200,0.0,0.0
1998-12-14,0.45,0.45,0.42,0.42,2452800,0.0,0.0
1998-12-15,0.44,0.45,0.43,0.44,7406400,0.0,0.0
1998-12-16,0.44,0.46,0.44,0.45,1233600,0.0,0.0
1998-12-17,0.46,0.46,0.42,0.44,2616000,0.0,0.0
1998-12-18,0.44,0.47,0.44,0.46,4372800,0.0,0.0
1998-12-21,0.47,0.55,0.46,0.54,8731200,0.0,0.0
1998-12-22,0.6,0.67,0.55,0.55,5817600,0.0,0.0
1998-12-23,0.54,0.58,0.52,0.57,6705600,0.0,0.0
1998-12-24,0.57,0.58,0.56,0.56,2457600,0.0,0.0
1998-12-28,0.59,0.59,0.53,0.54,4416000,0.0,0.0
1998-12-29,0.55,0.62,0.53,0.59,7080000,0.0,0.0
1998-12-30,0.6,0.62,0.57,0.59,1996800,0.0,0.0
1998-12-31,0.59,0.61,0.59,0.61,1958400,0.0,0.0
1999-01-04,0.61,0.64,0.59,0.6,3513600,0.0,0.0
1999-01-05,0.58,0.62,0.57,0.62,4123200,0.0,0.0
1999-01-06,0.64,0.65,0.62,0.62,1723200,0.0,0.0
1999-01-07,0.62,0.63,0.6,0.61,2443200,0.0,0.0
1999-01-08,0.63,0.64,0.62,0.63,2409600,0.0,0.0
1999-01-11,0.64,0.67,0.63,0.66,3830400,0.0,0.0
1999-01-12,0.66,0.67,0.61,0.61,1180800,0.0,0.0
1999-01-13,0.53,0.62,0.53,0.6,6172800,0.0,0.0
1999-01-14,0.6,0.62,0.6,0.62,1286400,0.0,0.0
1999-01-15,0.62,0.65,0.61,0.65,1968000,0.0,0.0
1999-01-19,0.67,0.7,0.66,0.68,4099200,0.0,0.0
1999-01-20,0.7,0.71,0.69,0.7,2443200,0.0,0.0
1999-01-21,0.7,0.72,0.68,0.72,2414400,0.0,0.0
1999-01-22,0.69,0.74,0.68,0.74,3052800,0.0,0.0
1999-01-25,0.73,0.83,0.72,0.8,9422400,0.0,0.0
1999-01-26,0.8,0.8,0.78,0.78,5985600,0.0,0.0
1999-01-27,0.81,0.82,0.77,0.78,3504000,0.0,0.0
1999-01-28,0.8,0.8,0.78,0.79,1828800,0.0,0.0
1999-01-29,0.79,0.79,0.78,0.78,1680000,0.0,0.0
1999-02-01,0.79,0.8,0.78,0.78,2073600,0.0,0.0
1999-02-02,0.76,0.78,0.73,0.77,4924800,0.0,0.0
1999-02-03,0.76,0.76,0.75,0.75,1516800,0.0,0.0
1999-02-04,0.76,0.76,0.74,0.75,643200,0.0,0.0
1999-02-05,0.76,0.77,0.74,0.76,2956800,0.0,0.0
1999-02-08,0.77,0.79,0.76,0.77,6081600,0.0,0.0
1999-02-09,0.79,0.79,0.77,0.77,3681600,0.0,0.0
1999-02-10,0.79,0.91,0.78,0.88,12009600,0.0,0.0
1999-02-11,0.92,0.93,0.88,0.88,9696000,0.0,0.0
1999-02-12,0.88,0.89,0.85,0.89,2731200,0.0,0.0
1999-02-16,0.89,0.96,0.86,0.86,7286400,0.0,0.0
1999-02-17,0.84,0.85,0.76,0.78,14769600,0.0,0.0
1999-02-18,0.8,0.8,0.75,0.77,17942400,0.0,0.0
1999-02-19,0.76,0.77,0.75,0.77,4521600,0.0,0.0
1999-02-22,0.77,0.85,0.76,0.83,1737600,0.0,0.0
1999-02-23,0.85,0.86,0.82,0.85,1531200,0.0,0.0
1999-02-24,0.85,0.91,0.85,0.89,5438400,0.0,0.0
1999-02-25,0.87,0.91,0.86,0.91,2304000,0.0,0.0
1999-02-26,0.91,0.91,0.86,0.86,3182400,0.0,0.0
1999-03-01,0.86,0.86,0.77,0.79,6950400,0.0,0.0
1999-03-02,0.79,0.8,0.78,0.79,5155200,0.0,0.0
1999-03-03,0.8,0.8,0.77,0.78,12547200,0.0,0.0
1999-03-04,0.77,0.79,0.7,0.72,7795200,0.0,0.0
1999-03-05,0.73,0.77,0.72,0.74,2217600,0.0,0.0
1999-03-08,0.74,0.74,0.71,0.72,5539200,0.0,0.0
1999-03-09,0.71,0.77,0.7,0.74,9518400,0.0,0.0
1999-03-10,0.76,0.85,0.74,0.82,5472000,0.0,0.0
1999-03-11,0.84,0.84,0.78,0.79,10056000,0.0,0.0
1999-03-12,0.79,0.8,0.73,0.76,2822400,0.0,0.0
1999-03-15,0.73,0.76,0.73,0.76,1459200,0.0,0.0
1999-03-16,0.74,0.76,0.73,0.76,2707200,0.0,0.0
1999-03-17,0.74,0.76,0.72,0.74,2745600,0.0,0.0
1999-03-18,0.72,0.74,0.69,0.69,6124800,0.0,0.0
1999-03-19,0.69,0.69,0.58,0.6,48158400,0.0,0.0
1999-03-22,0.59,0.6,0.55,0.57,13132800,0.0,0.0
1999-03-23,0.57,0.57,0.47,0.51,18312000,0.0,0.0
1999-03-24,0.51,0.6,0.47,0.56,37113600,0.0,0.0
1999-03-25,0.59,0.61,0.57,0.6,15624000,0.0,0.0
1999-03-26,0.59,0.6,0.58,0.59,2764800,0.0,0.0
1999-03-29,0.59,0.63,0.59,0.63,6427200,0.0,0.0
1999-03-30,0.62,0.62,0.56,0.57,5265600,0.0,0.0
1999-03-31,0.56,0.57,0.55,0.56,8016000,0.0,0.0
1999-04-01,0.56,0.56,0.5,0.51,3979200,0.0,0.0
1999-04-05,0.49,0.52,0.48,0.52,4915200,0.0,0.0
1999-04-06,0.52,0.52,0.47,0.47,3225600,0.0,0.0
1999-04-07,0.47,0.47,0.39,0.41,7420800,0.0,0.0
1999-04-08,0.41,0.46,0.41,0.45,7368000,0.0,0.0
1999-04-09,0.45,0.46,0.4,0.41,5308800,0.0,0.0
1999-04-12,0.4,0.42,0.4,0.41,2299200,0.0,0.0
1999-04-13,0.41,0.45,0.41,0.43,4593600,0.0,0.0
1999-04-14,0.44,0.49,0.44,0.48,5640000,0.0,0.0
1999-04-15,0.49,0.5,0.48,0.5,3590400,0.0,0.0
1999-04-16,0.5,0.5,0.46,0.48,3955200,0.0,0.0
1999-04-19,0.47,0.49,0.46,0.48,4296000,0.0,0.0
1999-04-20,0.48,0.51,0.48,0.5,4392000,0.0,0.0
1999-04-21,0.49,0.49,0.45,0.48,4430400,0.0,0.0
1999-04-22,0.48,0.5,0.47,0.5,2467200,0.0,0.0
1999-04-23,0.5,0.5,0.47,0.47,1891200,0.0,0.0
1999-04-26,0.48,0.48,0.45,0.45,2044800,0.0,0.0
1999-04-27,0.44,0.46,0.41,0.44,3590400,0.0,0.0
1999-04-28,0.44,0.45,0.43,0.44,816000,0.0,0.0
1999-04-29,0.43,0.45,0.43,0.44,566400,0.0,0.0
1999-04-30,0.44,0.48,0.44,0.45,4972800,0.0,0.0
1999-05-03,0.45,0.47,0.44,0.46,384000,0.0,0.0
1999-05-04,0.47,0.47,0.45,0.46,6489600,0.0,0.0
1999-05-05,0.46,0.46,0.42,0.44,3091200,0.0,0.0
1999-05-06,0.44,0.44,0.42,0.42,888000,0.0,0.0
1999-05-07,0.43,0.44,0.39,0.41,2812800,0.0,0.0
1999-05-10,0.41,0.42,0.4,0.41,787200,0.0,0.0
1999-05-11,0.42,0.44,0.42,0.42,1142400,0.0,0.0
1999-05-12,0.44,0.46,0.42,0.45,1435200,0.0,0.0
1999-05-13,0.46,0.51,0.44,0.48,3340800,0.0,0.0
1999-05-14,0.48,0.49,0.47,0.49,2236800,0.0,0.0
1999-05-17,0.55,0.57,0.52,0.56,9768000,0.0,0.0
1999-05-18,0.57,0.62,0.57,0.6,7497600,0.0,0.0
1999-05-19,0.6,0.61,0.57,0.58,1142400,0.0,0.0
1999-05-20,0.57,0.57,0.53,0.53,4358400,0.0,0.0
1999-05-21,0.53,0.53,0.52,0.53,1550400,0.0,0.0
1999-05-24,0.53,0.53,0.52,0.52,1689600,0.0,0.0
1999-05-25,0.52,0.55,0.52,0.52,5510400,0.0,0.0
1999-05-26,0.53,0.53,0.51,0.51,1526400,0.0,0.0
1999-05-27,0.51,0.51,0.5,0.51,2472000,0.0,0.0
1999-05-28,0.51,0.51,0.49,0.5,3451200,0.0,0.0
1999-06-01,0.5,0.5,0.46,0.46,4036800,0.0,0.0
1999-06-02,0.46,0.46,0.45,0.45,4478400,0.0,0.0
1999-06-03,0.45,0.46,0.45,0.45,1276800,0.0,0.0
1999-06-04,0.46,0.46,0.45,0.46,2308800,0.0,0.0
1999-06-07,0.47,0.53,0.47,0.52,3883200,0.0,0.0
1999-06-08,0.56,0.56,0.52,0.52,1219200,0.0,0.0
1999-06-09,0.54,0.54,0.5,0.53,2217600,0.0,0.0
1999-06-10,0.52,0.52,0.51,0.51,345600,0.0,0.0
1999-06-11,0.51,0.52,0.51,0.51,1646400,0.0,0.0
1999-06-14,0.52,0.52,0.46,0.47,979200,0.0,0.0
1999-06-15,0.48,0.48,0.44,0.46,2025600,0.0,0.0
1999-06-16,0.48,0.5,0.46,0.49,1008000,0.0,0.0
1999-06-17,0.49,0.5,0.48,0.48,388800,0.0,0.0
1999-06-18,0.48,0.5,0.48,0.48,249600,0.0,0.0
1999-06-21,0.49,0.5,0.46,0.47,715200,0.0,0.0
1999-06-22,0.48,0.49,0.47,0.48,720000,0.0,0.0
1999-06-23,0.48,0.5,0.48,0.5,451200,0.0,0.0
1999-06-24,0.49,0.51,0.49,0.5,715200,0.0,0.0
1999-06-25,0.51,0.53,0.5,0.52,494400,0.0,0.0
1999-06-28,0.52,0.53,0.51,0.51,1032000,0.0,0.0
1999-06-29,0.51,0.54,0.51,0.53,2092800,0.0,0.0
1999-06-30,0.54,0.54,0.51,0.52,3115200,0.0,0.0
1999-07-01,0.52,0.52,0.49,0.5,1809600,0.0,0.0
1999-07-02,0.5,0.5,0.48,0.49,2433600,0.0,0.0
1999-07-06,0.5,0.5,0.48,0.48,2107200,0.0,0.0
1999-07-07,0.48,0.48,0.47,0.47,585600,0.0,0.0
1999-07-08,0.47,0.47,0.45,0.45,2020800,0.0,0.0
1999-07-09,0.46,0.46,0.41,0.45,8035200,0.0,0.0
1999-07-12,0.45,0.48,0.45,0.47,3120000,0.0,0.0
1999-07-13,0.47,0.48,0.46,0.46,3633600,0.0,0.0
1999-07-14,0.46,0.46,0.45,0.46,4281600,0.0,0.0
1999-07-15,0.47,0.56,0.46,0.56,9374400,0.0,0.0
1999-07-16,0.56,0.6,0.54,0.56,4766400,0.0,0.0
1999-07-19,0.58,0.61,0.57,0.59,5328000,0.0,0.0
1999-07-20,0.57,0.57,0.5,0.55,9312000,0.0,0.0
1999-07-21,0.55,0.58,0.55,0.56,2356800,0.0,0.0
1999-07-22,0.56,0.57,0.55,0.57,3283200,0.0,0.0
1999-07-23,0.55,0.58,0.55,0.57,1017600,0.0,0.0
1999-07-26,0.57,0.6,0.56,0.57,9115200,0.0,0.0
1999-07-27,0.57,0.57,0.55,0.56,10939200,0.0,0.0
1999-07-28,0.55,0.56,0.54,0.55,3561600,0.0,0.0
1999-07-29,0.54,0.54,0.52,0.53,1939200,0.0,0.0
1999-07-30,0.52,0.54,0.52,0.54,1972800,0.0,0.0
1999-08-02,0.53,0.54,0.51,0.52,1075200,0.0,0.0
1999-08-03,0.53,0.54,0.52,0.54,1334400,0.0,0.0
1999-08-04,0.53,0.54,0.5,0.52,1080000,0.0,0.0
1999-08-05,0.51,0.51,0.49,0.5,1636800,0.0,0.0
1999-08-06,0.51,0.51,0.49,0.5,1012800,0.0,0.0
1999-08-09,0.5,0.52,0.49,0.49,1915200,0.0,0.0
1999-08-10,0.49,0.49,0.45,0.48,1632000,0.0,0.0
