Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1962-01-02,0.06,0.06,0.06,0.06,817400,0.0,0.0
1962-01-03,0.06,0.06,0.06,0.06,778500,0.0,0.0
1962-01-04,0.06,0.06,0.06,0.06,934200,0.0,0.0
1962-01-05,0.06,0.06,0.06,0.06,934200,0.0,0.0
1962-01-08,0.06,0.06,0.06,0.06,1245600,0.0,0.0
1962-01-09,0.06,0.06,0.06,0.06,622800,0.0,0.0
1962-01-10,0.06,0.06,0.06,0.06,661700,0.0,0.0
1962-01-11,0.06,0.06,0.06,0.06,1985200,0.0,0.0
1962-01-12,0.06,0.06,0.06,0.06,1985200,0.0,0.0
1962-01-15,0.06,0.06,0.06,0.06,622800,0.0,0.0
1962-01-16,0.06,0.06,0.06,0.06,350300,0.0,0.0
1962-01-17,0.06,0.06,0.06,0.06,389200,0.0,0.0
1962-01-18,0.06,0.06,0.06,0.06,311400,0.0,0.0
1962-01-19,0.06,0.06,0.06,0.06,428100,0.0,0.0
1962-01-22,0.06,0.06,0.06,0.06,350300,0.0,0.0
1962-01-23,0.06,0.06,0.06,0.06,1167700,0.0,0.0
1962-01-24,0.06,0.06,0.06,0.06,350300,0.0,0.0
1962-01-25,0.06,0.06,0.06,0.06,155700,0.0,0.0
1962-01-26,0.06,0.06,0.06,0.06,350300,0.0,0.0
1962-01-29,0.06,0.06,0.06,0.06,233500,0.0,0.0
1962-01-30,0.06,0.06,0.06,0.06,661700,0.0,0.0
1962-01-31,0.06,0.06,0.06,0.06,311400,0.0,0.0
1962-02-01,0.06,0.06,0.06,0.06,1245600,0.0,0.0
1962-02-02,0.06,0.06,0.06,0.06,622800,0.0,0.0
1962-02-05,0.06,0.06,0.06,0.06,389200,0.0,0.0
1962-02-06,0.06,0.06,0.06,0.06,233500,0.0,0.0
1962-02-07,0.06,0.06,0.06,0.06,1401300,0.0,0.0
1962-02-08,0.06,0.06,0.06,0.06,2063000,0.0,0.0
1962-02-09,0.06,0.06,0.06,0.06,1012000,0.0,0.0
1962-02-12,0.06,0.06,0.06,0.06,622800,0.0,0.0
1962-02-13,0.06,0.06,0.06,0.06,622800,0.0,0.0
1962-02-14,0.06,0.06,0.06,0.06,194600,0.0,0.0
1962-02-15,0.06,0.06,0.06,0.06,467100,0.0,0.0
1962-02-16,0.06,0.06,0.06,0.06,3697900,0.0,0.0
1962-02-19,0.06,0.06,0.06,0.06,817400,0.0,0.0
1962-02-20,0.06,0.06,0.06,0.06,233500,0.0,0.0
1962-02-21,0.06,0.06,0.06,0.06,116700,0.0,0.0
1962-02-23,0.06,0.06,0.06,0.06,428100,0.0,0.0
1962-02-26,0.06,0.06,0.06,0.06,739500,0.0,0.0
1962-02-27,0.06,0.06,0.06,0.06,467100,0.0,0.0
1962-02-28,0.06,0.06,0.06,0.06,272400,0.0,0.0
1962-03-01,0.06,0.06,0.06,0.06,428100,0.0,0.0
1962-03-02,0.06,0.06,0.06,0.06,272400,0.0,0.0
1962-03-05,0.06,0.06,0.06,0.06,428100,0.0,0.0
1962-03-06,0.06,0.06,0.06,0.06,155700,0.0,0.0
1962-03-07,0.06,0.06,0.06,0.06,116700,0.0,0.0
1962-03-08,0.06,0.06,0.06,0.06,350300,0.0,0.0
1962-03-09,0.06,0.06,0.06,0.06,506000,0.0,0.0
1962-03-12,0.06,0.06,0.06,0.06,389200,0.0,0.0
1962-03-13,0.06,0.06,0.06,0.06,350300,0.00025,0.0
1962-03-14,0.06,0.06,0.06,0.06,583800,0.0,0.0
1962-03-15,0.06,0.06,0.06,0.06,272400,0.0,0.0
1962-03-16,0.06,0.06,0.06,0.06,116700,0.0,0.0
1962-03-19,0.06,0.06,0.06,0.06,544900,0.0,0.0
1962-03-20,0.06,0.06,0.06,0.06,233500,0.0,0.0
1962-03-21,0.06,0.06,0.06,0.06,311400,0.0,0.0
1962-03-22,0.06,0.06,0.06,0.06,116700,0.0,0.0
1962-03-23,0.06,0.06,0.06,0.06,428100,0.0,0.0
1962-03-26,0.06,0.06,0.06,0.06,194600,0.0,0.0
1962-03-27,0.06,0.06,0.06,0.06,233500,0.0,0.0
1962-03-28,0.06,0.06,0.06,0.06,233500,0.0,0.0
1962-03-29,0.06,0.06,0.06,0.06,311400,0.0,0.0
1962-03-30,0.06,0.06,0.06,0.06,428100,0.0,0.0
1962-04-02,0.06,0.06,0.06,0.06,272400,0.0,0.0
1962-04-03,0.06,0.06,0.06,0.06,311400,0.0,0.0
1962-04-04,0.06,0.06,0.06,0.06,155700,0.0,0.0
1962-04-05,0.06,0.06,0.06,0.06,311400,0.0,0.0
1962-04-06,0.06,0.06,0.06,0.06,389200,0.0,0.0
1962-04-09,0.06,0.06,0.06,0.06,389200,0.0,0.0
1962-04-10,0.06,0.06,0.06,0.06,116700,0.0,0.0
1962-04-11,0.06,0.06,0.06,0.06,311400,0.0,0.0
1962-04-12,0.06,0.06,0.05,0.05,934200,0.0,0.0
1962-04-13,0.05,0.05,0.05,0.05,1167700,0.0,0.0
1962-04-16,0.05,0.06,0.05,0.06,583800,0.0,0.0
1962-04-17,0.06,0.06,0.06,0.06,622800,0.0,0.0
1962-04-18,0.06,0.06,0.06,0.06,622800,0.0,0.0
1962-04-19,0.06,0.06,0.06,0.06,428100,0.0,0.0
1962-04-23,0.06,0.06,0.06,0.06,583800,0.0,0.0
1962-04-24,0.06,0.06,0.06,0.06,506000,0.0,0.0
1962-04-25,0.06,0.06,0.06,0.06,895200,0.0,0.0
1962-04-26,0.06,0.06,0.06,0.06,389200,0.0,0.0
1962-04-27,0.06,0.06,0.06,0.06,350300,0.0,0.0
1962-04-30,0.06,0.06,0.05,0.05,428100,0.0,0.0
1962-05-01,0.05,0.05,0.05,0.05,467100,0.0,0.0
1962-05-02,0.05,0.06,0.05,0.05,311400,0.0,0.0
1962-05-03,0.05,0.05,0.05,0.05,350300,0.0,0.0
1962-05-04,0.05,0.05,0.05,0.05,233500,0.0,0.0
1962-05-07,0.05,0.05,0.05,0.05,311400,0.0,0.0
1962-05-08,0.05,0.05,0.05,0.05,506000,0.0,0.0
1962-05-09,0.05,0.05,0.05,0.05,817400,0.0,0.0
1962-05-10,0.05,0.05,0.05,0.05,544900,0.0,0.0
1962-05-11,0.05,0.05,0.05,0.05,778500,0.0,0.0
1962-05-14,0.05,0.05,0.05,0.05,700600,0.0,0.0
1962-05-15,0.05,0.05,0.05,0.05,350300,0.0,0.0
1962-05-16,0.05,0.05,0.05,0.05,272400,0.0,0.0
1962-05-17,0.05,0.05,0.05,0.05,272400,0.0,0.0
1962-05-18,0.05,0.05,0.05,0.05,350300,0.0,0.0
1962-05-21,0.05,0.05,0.05,0.05,116700,0.0,0.0
1962-05-22,0.05,0.05,0.05,0.05,661700,0.0,0.0
1962-05-23,0.05,0.05,0.05,0.05,739500,0.0,0.0
1962-05-24,0.05,0.05,0.05,0.05,583800,0.0,0.0
1962-05-25,0.05,0.05,0.05,0.05,1167700,0.0,0.0
1962-05-28,0.05,0.05,0.05,0.05,3775700,0.0,0.0
1962-05-29,0.05,0.05,0.04,0.05,4398500,0.0,0.0
1962-05-31,0.05,0.05,0.05,0.05,2880400,0.0,0.0
1962-06-01,0.05,0.05,0.05,0.05,778500,0.0,0.0
1962-06-04,0.05,0.05,0.05,0.05,661700,0.0,0.0
1962-06-05,0.05,0.05,0.05,0.05,1946200,0.0,0.0
1962-06-06,0.05,0.05,0.05,0.05,467100,0.0,0.0
1962-06-07,0.05,0.05,0.05,0.05,700600,0.0,0.0
1962-06-08,0.05,0.05,0.05,0.05,661700,0.0,0.0
1962-06-11,0.05,0.05,0.05,0.05,272400,0.0,0.0
1962-06-12,0.05,0.05,0.05,0.05,233500,0.00025,0.0
1962-06-13,0.05,0.05,0.05,0.05,700600,0.0,0.0
1962-06-14,0.04,0.04,0.04,0.04,1518000,0.0,0.0
1962-06-15,0.04,0.05,0.04,0.05,1518000,0.0,0.0
1962-06-18,0.05,0.05,0.04,0.05,661700,0.0,0.0
1962-06-19,0.05,0.05,0.04,0.05,389200,0.0,0.0
1962-06-20,0.05,0.05,0.04,0.04,155700,0.0,0.0
1962-06-21,0.04,0.04,0.04,0.04,1012000,0.0,0.0
1962-06-22,0.04,0.04,0.04,0.04,506000,0.0,0.0
1962-06-25,0.04,0.04,0.04,0.04,272400,0.0,0.0
1962-06-26,0.04,0.04,0.04,0.04,544900,0.0,0.0
1962-06-27,0.04,0.04,0.04,0.04,817400,0.0,0.0
1962-06-28,0.04,0.04,0.04,0.04,350300,0.0,0.0
1962-06-29,0.04,0.04,0.04,0.04,622800,0.0,0.0
1962-07-02,0.04,0.04,0.04,0.04,194600,0.0,0.0
1962-07-03,0.04,0.04,0.04,0.04,778500,0.0,0.0
