Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1995-03-07,1.12,1.17,1.05,1.17,33795800,0,0.0
1995-03-08,1.17,1.17,1.07,1.09,6520800,0,0.0
1995-03-09,1.09,1.12,1.09,1.11,2101800,0,0.0
1995-03-10,1.14,1.19,1.11,1.16,2831400,0,0.0
1995-03-13,1.19,1.19,1.15,1.15,981800,0,0.0
1995-03-14,1.19,1.2,1.15,1.17,1029000,0,0.0
1995-03-15,1.17,1.23,1.14,1.2,4979000,0,0.0
1995-03-16,1.23,1.25,1.17,1.17,899400,0,0.0
1995-03-17,1.17,1.2,1.17,1.17,1731000,0,0.0
1995-03-20,1.17,1.21,1.17,1.17,1728000,0,0.0
1995-03-21,1.19,1.22,1.18,1.18,3614400,0,0.0
1995-03-22,1.19,1.22,1.18,1.19,3474800,0,0.0
1995-03-23,1.2,1.2,1.18,1.19,2789000,0,0.0
1995-03-24,1.22,1.22,1.19,1.19,534800,0,0.0
1995-03-27,1.22,1.28,1.19,1.27,772200,0,0.0
1995-03-28,1.27,1.33,1.23,1.33,1257200,0,0.0
1995-03-29,1.33,1.38,1.23,1.28,1634600,0,0.0
1995-03-30,1.28,1.35,1.25,1.32,1085400,0,0.0
1995-03-31,1.35,1.38,1.3,1.35,552600,0,0.0
1995-04-03,1.38,1.5,1.37,1.45,3177800,0,0.0
1995-04-04,1.45,1.48,1.38,1.38,1746000,0,0.0
1995-04-05,1.38,1.45,1.38,1.44,1278200,0,0.0
1995-04-06,1.44,1.44,1.42,1.42,1328400,0,0.0
1995-04-07,1.44,1.44,1.37,1.42,747000,0,0.0
1995-04-10,1.37,1.42,1.37,1.42,213200,0,0.0
1995-04-11,1.42,1.43,1.38,1.43,82800,0,0.0
1995-04-12,1.4,1.43,1.4,1.4,1741400,0,0.0
1995-04-13,1.4,1.43,1.4,1.43,30000,0,0.0
1995-04-17,1.43,1.44,1.4,1.4,200000,0,0.0
1995-04-18,1.4,1.43,1.38,1.38,990800,0,0.0
1995-04-19,1.43,1.43,1.38,1.43,145800,0,0.0
1995-04-20,1.41,1.42,1.37,1.37,175800,0,0.0
1995-04-21,1.37,1.42,1.37,1.37,251400,0,0.0
1995-04-24,1.37,1.37,1.37,1.37,5600,0,0.0
1995-04-25,1.37,1.39,1.34,1.35,911000,0,0.0
1995-04-26,1.34,1.37,1.33,1.34,352200,0,0.0
1995-04-27,1.34,1.4,1.34,1.4,1197200,0,0.0
1995-04-28,1.38,1.5,1.37,1.48,850400,0,0.0
1995-05-01,1.45,1.55,1.45,1.53,944000,0,0.0
1995-05-02,1.55,1.63,1.53,1.58,1326800,0,0.0
1995-05-03,1.63,1.63,1.58,1.61,279800,0,0.0
1995-05-04,1.58,1.61,1.58,1.61,58400,0,0.0
1995-05-05,1.58,1.61,1.56,1.61,717200,0,0.0
1995-05-08,1.56,1.61,1.56,1.59,133400,0,0.0
1995-05-09,1.61,1.61,1.56,1.59,58400,0,0.0
1995-05-10,1.56,1.61,1.56,1.61,9800,0,0.0
1995-05-11,1.56,1.6,1.56,1.56,20600,0,0.0
1995-05-12,1.56,1.66,1.56,1.66,507800,0,0.0
1995-05-15,1.65,1.71,1.65,1.66,571400,0,0.0
1995-05-16,1.7,1.71,1.66,1.69,1142000,0,0.0
1995-05-17,1.68,1.69,1.68,1.69,738800,0,0.0
1995-05-18,1.66,1.67,1.51,1.55,1239600,0,0.0
1995-05-19,1.58,1.58,1.56,1.58,102800,0,0.0
1995-05-22,1.56,1.58,1.53,1.53,155600,0,0.0
1995-05-23,1.53,1.58,1.53,1.58,204200,0,0.0
1995-05-24,1.58,1.58,1.42,1.45,1000200,0,0.0
1995-05-25,1.5,1.5,1.45,1.45,18000,0,0.0
1995-05-26,1.5,1.5,1.45,1.5,48800,0,0.0
