Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,0.72,0.71,0.71,4700,0.0,0.0
1980-03-18,0.0,0.71,0.7,0.71,938000,0.0,0.0
1980-03-19,0.0,0.71,0.7,0.7,202700,0.0,0.0
1980-03-20,0.0,0.7,0.69,0.69,40400,0.0,0.0
1980-03-21,0.0,0.69,0.69,0.69,83400,0.0,0.0
1980-03-24,0.0,0.7,0.69,0.69,398500,0.0,0.0
1980-03-25,0.0,0.69,0.68,0.69,167000,0.0,0.0
1980-03-26,0.0,0.7,0.68,0.68,625300,0.0,0.0
1980-03-27,0.0,0.68,0.67,0.67,143100,0.0,0.0
1980-03-28,0.0,0.69,0.68,0.69,451000,0.0,0.0
1980-03-31,0.0,0.71,0.69,0.71,1515500,0.0,0.0
1980-04-01,0.0,0.72,0.7,0.72,386600,0.0,0.0
1980-04-02,0.0,0.73,0.71,0.72,1885500,0.0,0.0
1980-04-03,0.0,0.74,0.73,0.73,69200,0.0,0.0
1980-04-07,0.0,0.74,0.73,0.73,50000,0.0,0.0
1980-04-08,0.0,0.73,0.71,0.72,303000,0.0,0.0
1980-04-09,0.0,0.74,0.72,0.72,293500,0.0,0.0
1980-04-10,0.0,0.74,0.73,0.73,195600,0.0,0.0
1980-04-11,0.0,0.73,0.73,0.73,644300,0.0,0.0
1980-04-14,0.0,0.73,0.72,0.73,179000,0.0,0.0
1980-04-15,0.0,0.74,0.73,0.73,880700,0.0,0.0
1980-04-16,0.0,0.73,0.73,0.73,214700,0.0,0.0
1980-04-17,0.0,0.73,0.72,0.72,310200,0.0,0.0
1980-04-18,0.0,0.72,0.71,0.71,35700,0.0,0.0
1980-04-21,0.0,0.72,0.7,0.7,436700,0.0,0.0
1980-04-22,0.0,0.73,0.71,0.72,747000,0.0,0.0
1980-04-23,0.0,0.73,0.72,0.73,1546600,0.0,0.0
1980-04-24,0.0,0.74,0.72,0.74,233800,0.0,0.0
1980-04-25,0.0,0.73,0.73,0.73,40400,0.0,0.0
1980-04-28,0.0,0.74,0.73,0.73,355500,0.0,0.0
1980-04-29,0.0,0.74,0.72,0.73,517800,0.0,0.0
1980-04-30,0.0,0.73,0.71,0.73,102600,0.0,0.0
1980-05-01,0.0,0.74,0.71,0.71,465300,0.0,0.0
1980-05-02,0.0,0.72,0.7,0.7,887800,0.0,0.0
1980-05-05,0.0,0.71,0.67,0.68,398500,0.0,0.0
1980-05-06,0.0,0.69,0.67,0.68,88200,0.0,0.0
1980-05-07,0.0,0.69,0.69,0.69,33300,0.0,0.0
1980-05-08,0.0,0.69,0.68,0.69,38100,0.0,0.0
1980-05-09,0.0,0.69,0.68,0.68,62000,0.0,0.0
1980-05-12,0.0,0.69,0.68,0.68,202700,0.0,0.0
1980-05-13,0.0,0.69,0.68,0.68,1613400,0.0,0.0
1980-05-14,0.0,0.7,0.67,0.69,298300,0.0,0.0
1980-05-15,0.0,0.69,0.69,0.69,221900,0.0,0.0
1980-05-16,0.0,0.7,0.69,0.69,30900,0.0,0.0
1980-05-19,0.0,0.69,0.68,0.69,537000,0.0,0.0
1980-05-20,0.0,0.7,0.69,0.7,2861700,0.0,0.0
1980-05-21,0.0,0.7,0.7,0.7,257700,0.0,0.0
1980-05-22,0.0,0.7,0.7,0.7,57100,0.0,0.0
1980-05-23,0.0,0.71,0.7,0.7,463000,0.0,0.0
1980-05-27,0.0,0.71,0.7,0.71,422400,0.0,0.0
1980-05-28,0.0,0.71,0.69,0.69,143100,0.0,0.0
1980-05-29,0.0,0.71,0.69,0.71,231500,0.0,0.0
1980-05-30,0.0,0.7,0.7,0.7,66700,0.0,0.0
1980-06-02,0.0,0.7,0.69,0.7,606200,0.0,0.0
1980-06-03,0.0,0.7,0.69,0.7,398500,0.0,0.0
1980-06-04,0.0,0.7,0.69,0.7,207600,0.0,0.0
1980-06-05,0.0,0.72,0.71,0.71,248200,0.0,0.0
1980-06-06,0.0,0.74,0.72,0.74,580000,0.0,0.0
1980-06-09,0.0,0.77,0.74,0.76,961800,0.0,0.0
1980-06-10,0.0,0.76,0.75,0.76,252900,0.0,0.0
1980-06-11,0.0,0.76,0.75,0.76,594200,0.0,0.0
1980-06-12,0.0,0.77,0.76,0.77,434200,0.0,0.0
1980-06-13,0.0,0.77,0.76,0.76,374600,0.0,0.0
1980-06-16,0.0,0.76,0.74,0.75,334100,0.0,0.0
1980-06-17,0.0,0.77,0.74,0.77,171800,0.0,0.0
1980-06-18,0.0,0.77,0.77,0.77,198000,0.0,0.0
1980-06-19,0.0,0.79,0.76,0.76,186000,0.0,0.0
1980-06-20,0.0,0.77,0.76,0.77,124000,0.0,0.0
