Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-20,48.8,49.49,45.79,46.07,2350800,0.0,0
2019-03-21,46.24,46.25,44.59,45.31,1764700,0.0,0
2019-03-22,45.14,46.21,44.55,44.96,844700,0.0,0
2019-03-25,44.96,45.7,44.4,45.47,440900,0.0,0
2019-03-26,45.33,46.02,44.57,45.19,504700,0.0,0
2019-03-27,45.33,46.97,45.33,46.34,1788600,0.0,0
2019-03-28,47.08,47.18,46.17,47.04,585400,0.0,0
2019-03-29,45.81,48.55,45.49,47.76,1769000,0.0,0
2019-04-01,48.38,50.31,47.41,49.49,19663400,0.0,0
2019-04-02,50.99,53.09,50.23,52.03,17414200,0.0,0
2019-04-03,52.8,52.91,51.35,52.62,15066200,0.0,0
2019-04-04,52.91,55.98,52.82,55.23,13309200,0.0,0
2019-04-05,54.01,54.56,52.05,52.95,17000800,0.0,0
2019-04-08,52.26,54.01,52.05,52.87,10764600,0.0,0
2019-04-09,52.54,52.91,51.88,52.05,9179900,0.0,0
2019-04-10,51.79,52.18,50.97,51.53,9081900,0.0,0
2019-04-11,51.52,52.0,50.72,50.78,7346100,0.0,0
2019-04-12,51.74,53.96,51.74,53.93,9281700,0.0,0
2019-04-15,54.18,54.44,53.0,53.45,5727300,0.0,0
2019-04-16,54.31,54.57,53.5,54.11,6681600,0.0,0
2019-04-17,54.53,54.62,53.84,53.95,6420700,0.0,0
2019-04-18,53.98,54.22,53.24,53.44,5178800,0.0,0
2019-04-22,53.17,54.03,52.97,53.55,4401700,0.0,0
2019-04-23,53.0,53.5,52.73,53.32,5687200,0.0,0
2019-04-24,53.18,53.55,51.68,51.78,5431300,0.0,0
2019-04-25,51.58,51.78,50.71,51.18,6260500,0.0,0
2019-04-26,51.15,51.43,50.83,51.11,4009800,0.0,0
2019-04-29,50.92,51.51,50.69,51.34,5935200,0.0,0
2019-04-30,51.58,52.92,51.43,52.48,6454100,0.0,0
2019-05-01,52.56,53.17,51.69,51.92,7644400,0.0,0
2019-05-02,51.38,52.26,48.13,48.75,13932700,0.0,0
2019-05-03,49.21,49.35,47.84,49.3,7401700,0.0,0
2019-05-06,48.24,49.98,47.82,49.45,6089500,0.0,0
2019-05-07,48.9,49.33,48.7,48.98,7330800,0.0,0
2019-05-08,49.33,49.39,48.39,48.55,5390700,0.0,0
2019-05-09,48.34,49.16,47.69,48.96,4579700,0.0,0
2019-05-10,48.97,49.69,48.55,49.09,4758100,0.0,0
2019-05-13,48.36,48.61,46.95,47.13,4213100,0.0,0
2019-05-14,47.48,49.03,47.03,48.55,4204500,0.0,0
2019-05-15,48.08,49.33,47.8,48.98,2928700,0.0,0
2019-05-16,49.29,49.54,48.78,49.01,3689700,0.0,0
2019-05-17,48.42,48.58,46.86,46.99,4440800,0.0,0
2019-05-20,46.62,46.75,46.18,46.33,5168400,0.0,0
