Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1981-12-31,0.66,0.67,0.65,0.67,428600,0.0,0.0
1982-01-04,0.67,0.68,0.66,0.67,123100,0.0,0.0
1982-01-05,0.67,0.68,0.66,0.66,251100,0.0,0.0
1982-01-06,0.67,0.68,0.66,0.67,318800,0.0,0.0
1982-01-07,0.69,0.7,0.68,0.69,371800,0.0,0.0
1982-01-08,0.71,0.74,0.69,0.74,1734200,0.0,0.0
1982-01-11,0.73,0.75,0.71,0.71,496200,0.0,0.0
1982-01-12,0.69,0.7,0.69,0.69,263200,0.0,0.0
1982-01-13,0.7,0.71,0.69,0.69,149700,0.0,0.0
1982-01-14,0.73,0.75,0.71,0.75,253500,0.0,0.0
1982-01-15,0.75,0.76,0.73,0.75,152100,0.0,0.0
1982-01-18,0.74,0.75,0.73,0.75,218400,0.0,0.0
1982-01-19,0.75,0.75,0.73,0.73,270500,0.0,0.0
1982-01-20,0.75,0.77,0.73,0.77,607300,0.0,0.0
1982-01-21,0.78,0.79,0.76,0.77,486600,0.0,0.0
1982-01-22,0.76,0.77,0.75,0.75,1106100,0.0,0.0
1982-01-25,0.73,0.74,0.71,0.72,183400,0.0,0.0
1982-01-26,0.73,0.73,0.72,0.73,152100,0.0,0.0
1982-01-27,0.73,0.73,0.72,0.73,201600,0.0,0.0
1982-01-28,0.76,0.78,0.73,0.78,570000,0.0,0.0
1982-01-29,0.78,0.78,0.77,0.77,673800,0.0,0.0
1982-02-01,0.75,0.77,0.74,0.74,167800,0.0,0.0
1982-02-02,0.73,0.74,0.73,0.73,245000,0.0,0.0
1982-02-03,0.73,0.73,0.72,0.73,219700,0.0,0.0
1982-02-04,0.72,0.73,0.71,0.71,205300,0.0,0.0
1982-02-05,0.72,0.73,0.71,0.72,223300,0.0,0.0
1982-02-08,0.7,0.72,0.68,0.69,142400,0.0,0.0
1982-02-09,0.68,0.69,0.67,0.67,289800,0.0,0.0
1982-02-10,0.68,0.69,0.67,0.68,531200,0.0,0.0
1982-02-11,0.68,0.68,0.67,0.67,95300,0.0,0.0
1982-02-12,0.67,0.68,0.66,0.67,139900,0.0,0.0
1982-02-16,0.66,0.68,0.65,0.68,253500,0.0,0.0
1982-02-17,0.69,0.7,0.67,0.69,214900,0.0,0.0
1982-02-18,0.7,0.71,0.69,0.71,242600,0.0,0.0
1982-02-19,0.72,0.73,0.71,0.71,298200,0.0,0.0
1982-02-22,0.73,0.73,0.72,0.73,113500,0.0,0.0
1982-02-23,0.71,0.71,0.7,0.7,136400,0.0,0.0
1982-02-24,0.7,0.71,0.69,0.71,150800,0.0,0.0
1982-02-25,0.72,0.74,0.69,0.72,361000,0.0,0.0
1982-02-26,0.71,0.72,0.71,0.71,49400,0.0,0.0
1982-03-01,0.71,0.72,0.71,0.72,109800,0.0,0.0
1982-03-02,0.73,0.73,0.72,0.72,92900,0.0,0.0
1982-03-03,0.71,0.71,0.7,0.7,31300,0.0,0.0
1982-03-04,0.69,0.7,0.69,0.7,120600,0.0,0.0
1982-03-05,0.69,0.7,0.68,0.7,179800,0.0,0.0
1982-03-08,0.69,0.7,0.67,0.67,143600,0.0,0.0
1982-03-09,0.66,0.67,0.65,0.66,234200,0.0,0.0
1982-03-10,0.66,0.67,0.66,0.66,210000,0.0,0.0
1982-03-11,0.66,0.67,0.66,0.66,125500,0.0,0.0
1982-03-12,0.64,0.66,0.61,0.62,515500,0.0,0.0
1982-03-15,0.62,0.62,0.61,0.62,104900,0.0,0.0
1982-03-16,0.63,0.64,0.62,0.64,190700,0.0,0.0
1982-03-17,0.64,0.64,0.63,0.64,141200,0.0,0.0
1982-03-18,0.66,0.66,0.64,0.64,317500,0.0,0.0
1982-03-19,0.65,0.66,0.64,0.64,63900,0.0,0.0
1982-03-22,0.66,0.68,0.64,0.68,408100,0.0,0.0
1982-03-23,0.68,0.68,0.67,0.68,196700,0.0,0.0
1982-03-24,0.68,0.68,0.66,0.66,377800,0.0,0.0
1982-03-25,0.68,0.68,0.66,0.68,301800,0.0,0.0
1982-03-26,0.67,0.68,0.66,0.68,276500,0.0,0.0
1982-03-29,0.66,0.67,0.66,0.67,204000,0.0,0.0
1982-03-30,0.66,0.67,0.65,0.66,206400,0.0,0.0
1982-03-31,0.66,0.68,0.65,0.65,61400,0.0,0.0
1982-04-01,0.66,0.66,0.65,0.66,88000,0.0,0.0
1982-04-02,0.67,0.68,0.66,0.66,204000,0.0,0.0
1982-04-05,0.66,0.67,0.66,0.66,176200,0.0,0.0
1982-04-06,0.66,0.66,0.66,0.66,207600,0.0,0.0
1982-04-07,0.66,0.67,0.66,0.66,170200,0.0,0.0
1982-04-08,0.66,0.66,0.65,0.66,112200,0.0,0.0
1982-04-12,0.66,0.66,0.66,0.66,764400,0.0,0.0
1982-04-13,0.66,0.66,0.66,0.66,113500,0.0,0.0
1982-04-14,0.65,0.66,0.64,0.65,103800,0.0,0.0
1982-04-15,0.63,0.64,0.62,0.63,1493800,0.0,0.0
1982-04-16,0.63,0.64,0.62,0.64,166500,0.0,0.0
1982-04-19,0.63,0.64,0.62,0.63,96500,0.0,0.0
1982-04-20,0.62,0.62,0.61,0.61,731800,0.0,0.0
1982-04-21,0.59,0.61,0.57,0.59,3883900,0.0,0.0
1982-04-22,0.58,0.59,0.57,0.57,404400,0.0,0.0
1982-04-23,0.58,0.59,0.57,0.57,629000,0.0,0.0
1982-04-26,0.59,0.61,0.57,0.61,341700,0.0,0.0
1982-04-27,0.61,0.62,0.61,0.61,269200,0.0,0.0
1982-04-28,0.62,0.62,0.61,0.62,71200,0.0,0.0
1982-04-29,0.62,0.62,0.61,0.62,284900,0.0,0.0
1982-04-30,0.62,0.62,0.62,0.62,57900,0.0,0.0
1982-05-03,0.62,0.63,0.62,0.63,72300,0.0,0.0
1982-05-04,0.62,0.63,0.62,0.62,254700,0.0,0.0
1982-05-05,0.61,0.62,0.61,0.61,265600,0.0,0.0
1982-05-06,0.63,0.64,0.61,0.64,446700,0.0,0.0
1982-05-07,0.65,0.66,0.64,0.65,390000,0.0,0.0
1982-05-10,0.66,0.66,0.65,0.65,74700,0.0,0.0
1982-05-11,0.68,0.69,0.66,0.68,524100,0.0,0.0
1982-05-12,0.68,0.69,0.66,0.68,440700,0.0,0.0
1982-05-13,0.67,0.68,0.66,0.66,143600,0.0,0.0
1982-05-14,0.66,0.66,0.65,0.65,127900,0.0,0.0
1982-05-17,0.64,0.66,0.62,0.62,216100,0.0,0.0
1982-05-18,0.63,0.64,0.62,0.64,67600,0.0,0.0
1982-05-19,0.63,0.64,0.62,0.63,661800,0.0,0.0
1982-05-20,0.61,0.62,0.61,0.61,338100,0.0,0.0
1982-05-21,0.61,0.61,0.61,0.61,112200,0.0,0.0
1982-05-24,0.61,0.62,0.61,0.61,235400,0.0,0.0
1982-05-25,0.62,0.62,0.61,0.61,59000,0.0,0.0
1982-05-26,0.61,0.62,0.61,0.61,131500,0.0,0.0
1982-05-27,0.61,0.61,0.61,0.61,86900,0.0,0.0
1982-05-28,0.62,0.62,0.61,0.61,39700,0.0,0.0
1982-06-01,0.61,0.61,0.61,0.61,127900,0.0,0.0
1982-06-02,0.62,0.62,0.61,0.62,456500,0.0,0.0
1982-06-03,0.61,0.62,0.61,0.62,1201500,0.0,0.0
1982-06-04,0.61,0.61,0.61,0.61,852500,0.0,0.0
1982-06-07,0.62,0.62,0.61,0.61,280000,0.0,0.0
1982-06-08,0.61,0.61,0.6,0.6,911700,0.0,0.0
1982-06-09,0.61,0.61,0.6,0.6,138800,0.0,0.0
1982-06-10,0.61,0.61,0.6,0.61,538500,0.0,0.0
1982-06-11,0.63,0.64,0.61,0.64,359800,0.0,0.0
1982-06-14,0.64,0.64,0.63,0.63,94000,0.0,0.0
1982-06-15,0.61,0.62,0.6,0.61,136400,0.0,0.0
1982-06-16,0.61,0.61,0.61,0.61,210000,0.0,0.0
1982-06-17,0.61,0.61,0.6,0.6,63900,0.0,0.0
1982-06-18,0.59,0.59,0.58,0.59,559100,0.0,0.0
1982-06-21,0.59,0.59,0.57,0.58,431000,0.0,0.0
1982-06-22,0.59,0.59,0.58,0.59,181100,0.0,0.0
1982-06-23,0.61,0.62,0.59,0.62,507100,0.0,0.0
1982-06-24,0.61,0.62,0.6,0.6,229300,0.0,0.0
1982-06-25,0.6,0.6,0.59,0.6,144800,0.0,0.0
1982-06-28,0.61,0.62,0.6,0.62,275200,0.0,0.0
1982-06-29,0.63,0.64,0.62,0.62,55400,0.0,0.0
1982-06-30,0.62,0.63,0.62,0.62,211300,0.0,0.0
1982-07-01,0.62,0.62,0.61,0.61,97700,0.0,0.0
1982-07-02,0.62,0.62,0.61,0.62,39700,0.0,0.0
1982-07-06,0.61,0.62,0.61,0.61,83200,0.0,0.0
1982-07-07,0.61,0.61,0.61,0.61,31300,0.0,0.0
1982-07-08,0.61,0.62,0.61,0.61,400900,0.0,0.0
1982-07-09,0.62,0.64,0.61,0.62,125500,0.0,0.0
1982-07-12,0.66,0.67,0.65,0.66,146100,0.0,0.0
1982-07-13,0.66,0.68,0.65,0.67,289800,0.0,0.0
1982-07-14,0.67,0.67,0.65,0.66,146100,0.0,0.0
1982-07-15,0.66,0.66,0.64,0.64,102600,0.0,0.0
1982-07-16,0.64,0.65,0.64,0.65,56700,0.0,0.0
1982-07-19,0.66,0.66,0.65,0.66,1165300,0.0,0.0
1982-07-20,0.66,0.66,0.65,0.65,39700,0.0,0.0
1982-07-21,0.67,0.68,0.66,0.66,323500,0.0,0.0
1982-07-22,0.66,0.66,0.66,0.66,287300,0.0,0.0
1982-07-23,0.66,0.66,0.64,0.65,199100,0.0,0.0
1982-07-26,0.66,0.66,0.65,0.66,71200,0.0,0.0
1982-07-27,0.68,0.69,0.66,0.68,579600,0.0,0.0
1982-07-28,0.67,0.68,0.66,0.66,251100,0.0,0.0
1982-07-29,0.67,0.68,0.66,0.67,120600,0.0,0.0
1982-07-30,0.68,0.68,0.68,0.68,76000,0.0,0.0
1982-08-02,0.68,0.68,0.66,0.66,339200,0.0,0.0
1982-08-03,0.66,0.67,0.65,0.65,224600,0.0,0.0
1982-08-04,0.65,0.66,0.64,0.64,183400,0.0,0.0
1982-08-05,0.64,0.64,0.64,0.64,72300,0.0,0.0
1982-08-06,0.63,0.64,0.62,0.63,49400,0.0,0.0
1982-08-09,0.61,0.62,0.59,0.59,496200,0.0,0.0
1982-08-10,0.59,0.6,0.59,0.59,138800,0.0,0.0
1982-08-11,0.6,0.6,0.59,0.6,92900,0.0,0.0
1982-08-12,0.61,0.61,0.6,0.6,86900,0.0,0.0
1982-08-13,0.6,0.6,0.59,0.59,60300,0.0,0.0
1982-08-16,0.61,0.61,0.6,0.6,82000,0.0,0.0
1982-08-17,0.61,0.62,0.61,0.62,138800,0.0,0.0
1982-08-18,0.66,0.68,0.64,0.65,557800,0.0,0.0
1982-08-19,0.66,0.68,0.64,0.65,295800,0.0,0.0
1982-08-20,0.69,0.71,0.66,0.71,607300,0.0,0.0
1982-08-23,0.72,0.73,0.7,0.73,371800,0.0,0.0
1982-08-24,0.7,0.73,0.67,0.68,532500,0.0,0.0
1982-08-25,0.68,0.69,0.66,0.69,388700,0.0,0.0
1982-08-26,0.69,0.7,0.68,0.68,1137600,0.0,0.0
1982-08-27,0.69,0.7,0.69,0.7,196700,0.0,0.0
