Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1973-05-03,0.0,0.45,0.44,0.45,56800,0.0,0.0
1973-05-04,0.0,0.46,0.45,0.45,55600,0.0,0.0
1973-05-07,0.0,0.46,0.45,0.45,26400,0.0,0.0
1973-05-08,0.0,0.46,0.45,0.46,66800,0.0,0.0
1973-05-09,0.0,0.46,0.46,0.46,57200,0.0,0.0
1973-05-10,0.0,0.46,0.45,0.45,75200,0.0,0.0
1973-05-11,0.0,0.45,0.45,0.45,22400,0.0,0.0
1973-05-14,0.0,0.45,0.44,0.44,32400,0.0,0.0
1973-05-15,0.0,0.44,0.43,0.44,83200,0.0,0.0
1973-05-16,0.0,0.44,0.44,0.44,81600,0.0,0.0
1973-05-17,0.0,0.44,0.44,0.44,36000,0.0,0.0
1973-05-18,0.0,0.44,0.44,0.44,30000,0.0,0.0
1973-05-21,0.0,0.44,0.43,0.44,48000,0.0,0.0
1973-05-22,0.0,0.44,0.43,0.44,251600,0.0,0.0
1973-05-23,0.0,0.44,0.44,0.44,272000,0.0,0.0
1973-05-24,0.0,0.44,0.44,0.44,28400,0.0,0.0
1973-05-25,0.0,0.44,0.43,0.44,46400,0.0,0.0
1973-05-29,0.0,0.44,0.43,0.44,60000,0.0,0.0
1973-05-30,0.0,0.44,0.44,0.44,12000,0.0,0.0
1973-05-31,0.0,0.44,0.44,0.44,33600,0.0,0.0
1973-06-01,0.0,0.44,0.43,0.44,32400,0.0,0.0
1973-06-04,0.0,0.44,0.43,0.43,73600,0.0,0.0
1973-06-05,0.0,0.44,0.43,0.43,24800,0.0,0.0
1973-06-06,0.0,0.43,0.43,0.43,76400,0.0,0.0
1973-06-07,0.0,0.44,0.43,0.44,48000,0.0,0.0
1973-06-08,0.0,0.44,0.44,0.44,28400,0.0,0.0
1973-06-11,0.0,0.44,0.44,0.44,37600,0.0,0.0
1973-06-12,0.0,0.46,0.44,0.46,38800,0.0,0.0
1973-06-13,0.0,0.46,0.45,0.45,56000,0.0,0.0
1973-06-14,0.0,0.45,0.44,0.44,28400,0.0,0.0
1973-06-15,0.0,0.44,0.44,0.44,64000,0.0,0.0
1973-06-18,0.0,0.43,0.43,0.43,71200,0.0,0.0
1973-06-19,0.0,0.43,0.43,0.43,193200,0.0,0.0
1973-06-20,0.0,0.44,0.43,0.43,47200,0.0,0.0
1973-06-21,0.0,0.43,0.43,0.43,38000,0.0,0.0
1973-06-22,0.0,0.43,0.42,0.43,825600,0.0,0.0
1973-06-25,0.0,0.43,0.42,0.43,43600,0.0,0.0
1973-06-26,0.0,0.43,0.42,0.43,18400,0.0,0.0
1973-06-27,0.0,0.43,0.43,0.43,29600,0.0,0.0
1973-06-28,0.0,0.43,0.42,0.43,44800,0.0975,0.0
1973-06-29,0.0,0.43,0.42,0.43,25200,0.0,0.0
1973-07-02,0.0,0.42,0.42,0.42,96400,0.0,0.0
1973-07-03,0.0,0.42,0.41,0.41,35200,0.0,0.0
1973-07-05,0.0,0.41,0.41,0.41,65200,0.0,0.0
1973-07-06,0.0,0.41,0.4,0.41,86800,0.0,0.0
1973-07-09,0.0,0.41,0.4,0.4,76400,0.0,0.0
1973-07-10,0.0,0.41,0.4,0.4,49200,0.0,0.0
1973-07-11,0.0,0.41,0.41,0.41,58400,0.0,0.0
1973-07-12,0.0,0.41,0.41,0.41,112800,0.0,0.0
1973-07-13,0.0,0.41,0.4,0.4,84000,0.0,0.0
1973-07-16,0.0,0.41,0.4,0.4,100000,0.0,0.0
1973-07-17,0.0,0.4,0.39,0.39,144400,0.0,0.0
1973-07-18,0.0,0.39,0.39,0.39,134400,0.0,0.0
1973-07-19,0.0,0.4,0.39,0.4,87600,0.0,0.0
1973-07-20,0.0,0.4,0.39,0.4,99600,0.0,0.0
1973-07-23,0.0,0.41,0.4,0.41,110000,0.0,0.0
1973-07-24,0.0,0.41,0.4,0.4,78400,0.0,0.0
1973-07-25,0.0,0.41,0.4,0.4,68000,0.0,0.0
1973-07-26,0.0,0.4,0.4,0.4,85200,0.0,0.0
1973-07-27,0.0,0.4,0.4,0.4,29600,0.0,0.0
1973-07-30,0.0,0.4,0.4,0.4,57600,0.0,0.0
1973-07-31,0.0,0.4,0.39,0.4,63600,0.0,0.0
1973-08-01,0.0,0.4,0.39,0.39,115600,0.0,0.0
1973-08-02,0.0,0.39,0.39,0.39,75200,0.0,0.0
1973-08-03,0.0,0.39,0.38,0.38,28000,0.0,0.0
1973-08-06,0.0,0.39,0.38,0.39,85600,0.0,0.0
1973-08-07,0.0,0.39,0.38,0.39,76800,0.0,0.0
1973-08-08,0.0,0.39,0.38,0.38,335200,0.0,0.0
1973-08-09,0.0,0.38,0.38,0.38,60000,0.0,0.0
1973-08-10,0.0,0.38,0.37,0.38,62800,0.0,0.0
1973-08-13,0.0,0.37,0.37,0.37,142400,0.0,0.0
1973-08-14,0.0,0.38,0.37,0.37,54800,0.0,0.0
1973-08-15,0.0,0.38,0.37,0.37,108400,0.0,0.0
1973-08-16,0.0,0.38,0.37,0.38,97600,0.0,0.0
1973-08-17,0.0,0.38,0.38,0.38,36400,0.0,0.0
1973-08-20,0.0,0.38,0.38,0.38,47200,0.0,0.0
1973-08-21,0.0,0.39,0.38,0.39,80800,0.0,0.0
1973-08-22,0.0,0.39,0.39,0.39,36000,0.0,0.0
1973-08-23,0.0,0.39,0.38,0.39,48400,0.0,0.0
1973-08-24,0.0,0.39,0.39,0.39,59600,0.0,0.0
1973-08-27,0.0,0.4,0.39,0.4,35200,0.0,0.0
1973-08-28,0.0,0.4,0.4,0.4,26000,0.0,0.0
1973-08-29,0.0,0.4,0.39,0.39,117200,0.0,0.0
1973-08-30,0.0,0.4,0.39,0.4,45600,0.0,0.0
1973-08-31,0.0,0.4,0.39,0.4,44000,0.0,0.0
1973-09-04,0.0,0.4,0.39,0.4,20000,0.0,0.0
1973-09-05,0.0,0.41,0.4,0.41,44800,0.0,0.0
1973-09-06,0.0,0.42,0.41,0.42,65200,0.0,0.0
1973-09-07,0.0,0.43,0.41,0.43,87200,0.0,0.0
1973-09-10,0.0,0.43,0.42,0.42,50400,0.0,0.0
1973-09-11,0.0,0.42,0.41,0.42,30400,0.0,0.0
1973-09-12,0.0,0.42,0.41,0.41,68000,0.0,0.0
1973-09-13,0.0,0.41,0.4,0.41,85200,0.0,0.0
1973-09-14,0.0,0.41,0.41,0.41,31200,0.0,0.0
1973-09-17,0.0,0.42,0.41,0.41,38800,0.0,0.0
1973-09-18,0.0,0.42,0.41,0.42,42400,0.0,0.0
1973-09-19,0.0,0.42,0.41,0.41,114400,0.0,0.0
1973-09-20,0.0,0.42,0.41,0.42,56000,0.0,0.0
1973-09-21,0.0,0.42,0.41,0.42,34400,0.0,0.0
1973-09-24,0.0,0.42,0.42,0.42,28800,0.0,0.0
1973-09-25,0.0,0.43,0.42,0.42,37600,0.0,0.0
1973-09-26,0.0,0.44,0.43,0.44,165200,0.0,0.0
1973-09-27,0.0,0.46,0.45,0.45,102400,0.0,0.0
1973-09-28,0.0,0.45,0.45,0.45,50800,0.0,0.0
1973-10-01,0.0,0.45,0.44,0.44,160400,0.0975,0.0
1973-10-02,0.0,0.45,0.44,0.44,91600,0.0,0.0
1973-10-03,0.0,0.44,0.43,0.44,52000,0.0,0.0
1973-10-04,0.0,0.44,0.43,0.44,50000,0.0,0.0
1973-10-05,0.0,0.43,0.43,0.43,116800,0.0,0.0
1973-10-08,0.0,0.43,0.43,0.43,81200,0.0,0.0
1973-10-09,0.0,0.43,0.43,0.43,63600,0.0,0.0
1973-10-10,0.0,0.43,0.42,0.42,97600,0.0,0.0
