Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1993-12-14,8.78,9.29,8.75,9.24,1077400.0,0.0,0.0
1993-12-15,9.18,9.18,8.88,9.03,897800.0,0.0,0.0
1993-12-16,9.06,9.06,8.98,9.03,571200.0,0.0,0.0
1993-12-17,9.03,9.03,8.83,8.83,1053000.0,0.0,0.0
1993-12-20,8.83,9.11,8.83,9.11,1284800.0,0.0,0.0
1993-12-21,9.08,9.34,9.08,9.24,882800.0,0.0,0.0
1993-12-22,9.26,9.26,9.16,9.24,200600.0,0.0,0.0
1993-12-23,9.26,9.44,9.26,9.41,195800.0,0.0,0.0
1993-12-27,9.47,9.69,9.47,9.64,68400.0,0.0,0.0
1993-12-28,9.62,9.62,9.54,9.59,273600.0,0.0,0.0
1993-12-29,9.64,9.72,9.64,9.72,264400.0,0.0,0.0
1993-12-30,9.72,9.82,9.72,9.77,156200.0,0.0,0.0
1993-12-31,9.72,9.75,9.64,9.69,133000.0,0.0,0.0
1994-01-03,9.72,9.72,9.44,9.57,467800.0,0.0,0.0
1994-01-04,9.57,9.57,9.11,9.21,2250200.0,0.0,0.0
1994-01-05,8.98,9.06,8.88,9.06,2933400.0,0.0,0.0
1994-01-06,8.98,9.06,8.78,8.88,2753200.0,0.0,0.0
1994-01-07,8.85,8.85,8.47,8.52,3428400.0,0.0,0.0
1994-01-10,8.55,8.78,8.52,8.75,1411000.0,0.0,0.0
1994-01-11,8.78,8.78,8.65,8.73,1185400.0,0.0,0.0
1994-01-12,8.7,8.7,8.52,8.57,2209200.0,0.0,0.0
1994-01-13,8.55,8.57,8.5,8.52,1033400.0,0.0,0.0
1994-01-14,8.55,8.6,8.5,8.55,1366000.0,0.0,0.0
1994-01-17,8.52,8.57,8.47,8.55,1157400.0,0.0,0.0
1994-01-18,8.55,8.55,8.47,8.5,1118400.0,0.0,0.0
1994-01-19,8.47,8.67,8.47,8.62,1327800.0,0.0,0.0
1994-01-20,8.62,8.65,8.5,8.57,1121400.0,0.0,0.0
1994-01-21,8.6,8.6,8.52,8.57,1460800.0,0.0,0.0
1994-01-24,8.57,8.57,8.47,8.5,2101400.0,0.0,0.0
1994-01-25,8.47,8.55,8.42,8.5,1470400.0,0.0,0.0
1994-01-26,8.47,8.52,8.47,8.5,723600.0,0.0,0.0
1994-01-27,8.5,8.55,8.47,8.5,1610600.0,0.0,0.0
1994-01-28,8.55,8.8,8.52,8.78,1285200.0,0.0,0.0
1994-01-31,8.78,9.06,8.78,8.93,1316000.0,0.0,0.0
1994-02-01,8.62,8.67,8.57,8.62,3041400.0,0.0,0.0
1994-02-02,8.6,8.6,8.5,8.57,3352000.0,0.0,0.0
1994-02-03,8.6,8.75,8.57,8.73,2135600.0,0.0,0.0
1994-02-04,8.7,8.83,8.67,8.7,1256600.0,0.0,0.0
1994-02-07,8.7,8.9,8.7,8.88,799400.0,0.0,0.0
1994-02-08,8.78,8.83,8.73,8.75,916600.0,0.0,0.0
1994-02-09,8.7,8.8,8.7,8.8,769800.0,0.0,0.0
1994-02-10,8.78,8.85,8.73,8.73,977600.0,0.0,0.0
1994-02-11,8.73,8.75,8.67,8.73,690800.0,0.0,0.0
1994-02-14,8.75,8.8,8.73,8.78,616800.0,0.0,0.0
1994-02-15,8.75,8.88,8.75,8.8,701200.0,0.0,0.0
1994-02-16,8.8,8.9,8.78,8.85,668800.0,0.0,0.0
1994-02-17,8.9,8.98,8.85,8.85,995000.0,0.0,0.0
1994-02-18,8.85,8.88,8.78,8.8,434000.0,0.0,0.0
1994-02-22,8.67,8.75,8.6,8.67,1151800.0,0.0,0.0
1994-02-23,8.67,8.75,8.67,8.75,1016000.0,0.0,0.0
