Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-08-11,336.18,369.14,316.41,346.07,792500,0.0,0.0
2000-08-14,345.24,346.07,316.41,316.41,80200,0.0,0.0
2000-08-15,320.53,326.29,316.41,319.7,48400,0.0,0.0
2000-08-16,318.05,344.42,318.05,326.29,42100,0.0,0.0
2000-08-17,323.0,329.59,314.76,316.41,47200,0.0,0.0
2000-08-18,330.41,379.03,326.29,377.38,60400,0.0,0.0
2000-08-21,397.16,428.47,367.49,400.45,66500,0.0,0.0
2000-08-22,405.39,413.63,355.96,355.96,33800,0.0,0.0
2000-08-23,357.6,362.55,336.18,342.77,17900,0.0,0.0
2000-08-24,341.12,344.42,318.05,318.05,18400,0.0,0.0
2000-08-25,331.24,341.12,319.7,339.48,20100,0.0,0.0
2000-08-28,353.48,357.19,329.59,346.07,19400,0.0,0.0
2000-08-29,354.31,355.96,332.89,352.66,22700,0.0,0.0
2000-08-30,351.84,387.27,349.36,374.08,19800,0.0,0.0
2000-08-31,397.16,435.06,392.21,426.82,87300,0.0,0.0
2000-09-01,425.17,428.47,395.51,415.28,27700,0.0,0.0
2000-09-05,416.93,428.47,408.69,410.34,23000,0.0,0.0
2000-09-06,425.17,428.47,402.1,408.69,20500,0.0,0.0
2000-09-07,421.87,421.87,352.66,379.03,23900,0.0,0.0
2000-09-08,376.14,382.32,362.55,369.14,15900,0.0,0.0
2000-09-11,364.2,369.14,355.96,365.84,34500,0.0,0.0
2000-09-12,358.43,364.2,339.48,342.77,33800,0.0,0.0
2000-09-13,336.18,346.07,326.29,329.59,10300,0.0,0.0
2000-09-14,365.84,365.84,329.59,334.53,8100,0.0,0.0
2000-09-15,331.24,342.77,329.59,331.24,3600,0.0,0.0
2000-09-18,346.07,349.36,314.76,318.05,18600,0.0,0.0
2000-09-19,345.24,346.07,283.45,296.63,48000,0.0,0.0
2000-09-20,303.22,304.87,257.08,273.56,24100,0.0,0.0
2000-09-21,271.91,283.45,268.62,280.15,25200,0.0,0.0
2000-09-22,252.96,285.09,248.84,278.5,8400,0.0,0.0
2000-09-25,280.15,285.09,247.19,248.84,21000,0.0,0.0
2000-09-26,260.38,262.02,237.3,243.9,19600,0.0,0.0
2000-09-27,248.02,248.84,227.42,246.37,16700,0.0,0.0
2000-09-28,243.9,283.45,240.6,263.67,22000,0.0,0.0
2000-09-29,266.14,266.97,229.89,234.01,19100,0.0,0.0
2000-10-02,247.19,248.02,220.82,224.12,6800,0.0,0.0
2000-10-03,226.59,234.01,204.35,209.29,10100,0.0,0.0
2000-10-04,210.94,212.59,177.98,187.87,14600,0.0,0.0
2000-10-05,182.92,214.23,171.39,173.03,15100,0.0,0.0
2000-10-06,183.33,184.57,156.55,160.67,11400,0.0,0.0
2000-10-09,173.03,176.33,152.44,163.15,10600,0.0,0.0
2000-10-10,166.44,168.09,145.02,149.96,13200,0.0,0.0
2000-10-11,138.43,151.61,107.12,108.76,42400,0.0,0.0
2000-10-12,134.31,138.43,118.65,136.78,37200,0.0,0.0
2000-10-13,149.96,207.64,145.84,199.4,42800,0.0,0.0
2000-10-16,214.23,215.88,194.46,214.23,38500,0.0,0.0
2000-10-17,224.12,225.77,201.05,205.99,11000,0.0,0.0
2000-10-18,204.35,220.82,156.55,212.59,19300,0.0,0.0
2000-10-19,224.12,245.54,177.98,182.1,25900,0.0,0.0
2000-10-20,197.75,197.75,184.57,192.81,21700,0.0,0.0
2000-10-23,194.46,221.65,187.87,217.53,17800,0.0,0.0
2000-10-24,218.76,224.12,214.23,222.47,19700,0.0,0.0
2000-10-25,220.41,224.12,207.64,224.12,13200,0.0,0.0
2000-10-26,223.3,253.78,222.47,238.95,8700,0.0,0.0
2000-10-27,240.19,240.6,227.42,237.3,3300,0.0,0.0
2000-10-30,235.66,247.19,227.42,235.66,7600,0.0,0.0
2000-10-31,240.6,270.26,230.71,257.08,10400,0.0,0.0
2000-11-01,256.67,276.86,252.14,257.08,11500,0.0,0.0
2000-11-02,256.67,260.38,234.01,243.9,7800,0.0,0.0
2000-11-03,236.48,248.84,236.48,240.6,7700,0.0,0.0
2000-11-06,243.9,247.19,229.06,234.01,9700,0.0,0.0
2000-11-07,237.3,237.3,230.71,234.01,6600,0.0,0.0
2000-11-08,234.01,234.01,198.58,212.59,20900,0.0,0.0
2000-11-09,197.75,210.94,197.75,208.47,12600,0.0,0.0
2000-11-10,201.46,204.35,196.11,196.11,18100,0.0,0.0
2000-11-13,182.92,186.22,179.63,186.22,13700,0.0,0.0
2000-11-14,185.39,192.81,171.39,174.68,15700,0.0,0.0
2000-11-15,181.27,182.92,166.44,166.44,20400,0.0,0.0
2000-11-16,171.8,174.68,164.79,167.27,3900,0.0,0.0
2000-11-17,180.45,181.27,168.09,174.68,14100,0.0,0.0
2000-11-20,172.21,173.03,166.44,166.44,5400,0.0,0.0
2000-11-21,167.27,171.39,163.15,163.15,8200,0.0,0.0
2000-11-22,164.79,164.79,158.2,158.2,11400,0.0,0.0
2000-11-24,160.26,161.5,158.2,159.03,1800,0.0,0.0
2000-11-27,168.09,174.68,156.55,158.2,5200,0.0,0.0
2000-11-28,161.5,161.5,141.72,143.37,3900,0.0,0.0
2000-11-29,143.37,146.67,118.65,128.54,17000,0.0,0.0
2000-11-30,125.24,127.72,112.06,115.36,10600,0.0,0.0
2000-12-01,115.36,133.48,114.53,126.89,6800,0.0,0.0
2000-12-04,127.72,135.13,127.72,130.19,2400,0.0,0.0
2000-12-05,133.9,136.78,128.54,133.48,4700,0.0,0.0
2000-12-06,132.66,133.48,120.3,126.89,5100,0.0,0.0
2000-12-07,126.07,136.78,118.65,118.65,13600,0.0,0.0
2000-12-08,125.24,158.2,125.24,145.02,5700,0.0,0.0
2000-12-11,145.84,153.26,145.02,145.02,2500,0.0,0.0
2000-12-12,149.55,192.81,145.02,174.68,10000,0.0,0.0
2000-12-13,194.05,201.05,181.27,186.22,6600,0.0,0.0
2000-12-14,192.4,192.81,179.63,184.57,4900,0.0,0.0
2000-12-15,183.33,185.81,176.33,176.33,2500,0.0,0.0
2000-12-18,187.04,187.87,148.32,154.08,3100,0.0,0.0
2000-12-19,142.55,156.55,135.13,146.67,5000,0.0,0.0
2000-12-20,145.02,147.08,123.6,128.54,8200,0.0,0.0
2000-12-21,118.65,121.95,103.82,107.12,16700,0.0,0.0
2000-12-22,120.71,121.95,105.47,105.47,14100,0.0,0.0
2000-12-26,107.12,117.0,100.52,103.82,10900,0.0,0.0
2000-12-27,103.82,105.47,92.29,100.52,6900,0.0,0.0
2000-12-28,98.88,100.52,85.69,92.29,30800,0.0,0.0
2000-12-29,91.46,125.24,90.64,115.36,16700,0.0,0.0
2001-01-02,116.59,117.0,88.99,93.93,13500,0.0,0.0
2001-01-03,90.64,118.65,85.69,95.58,26100,0.0,0.0
2001-01-04,103.41,110.41,92.29,95.58,9700,0.0,0.0
2001-01-05,98.88,107.12,93.93,105.47,5000,0.0,0.0
2001-01-08,105.47,107.12,98.88,103.82,5200,0.0,0.0
2001-01-09,105.47,105.47,93.93,98.05,2300,0.0,0.0
2001-01-10,99.7,102.17,93.93,100.52,5600,0.0,0.0
2001-01-11,100.52,107.12,94.76,102.17,7700,0.0,0.0
2001-01-12,103.41,121.95,103.41,121.95,17100,0.0,0.0
2001-01-16,125.24,138.43,118.65,131.84,6400,0.0,0.0
2001-01-17,138.43,158.2,136.78,148.32,6900,0.0,0.0
2001-01-18,156.14,161.5,151.61,153.26,6800,0.0,0.0
2001-01-19,154.91,159.85,151.61,154.91,9100,0.0,0.0
2001-01-22,158.2,164.79,151.61,158.2,8400,0.0,0.0
2001-01-23,158.61,171.39,156.55,168.09,4200,0.0,0.0
2001-01-24,178.39,197.75,166.44,184.57,13100,0.0,0.0
2001-01-25,182.92,184.57,171.39,171.39,5700,0.0,0.0
2001-01-26,156.55,161.5,145.02,158.2,7800,0.0,0.0
2001-01-29,162.32,168.09,158.2,159.85,2800,0.0,0.0
2001-01-30,163.15,163.15,154.91,156.55,2500,0.0,0.0
2001-01-31,159.44,164.79,151.61,156.55,8200,0.0,0.0
2001-02-01,156.55,163.15,155.73,158.2,1500,0.0,0.0
2001-02-02,158.2,159.85,154.91,158.2,1200,0.0,0.0
2001-02-05,157.38,157.38,141.72,141.72,2200,0.0,0.0
2001-02-06,131.84,142.55,128.54,139.25,3200,0.0,0.0
2001-02-07,139.25,161.5,136.78,161.5,4100,0.0,0.0
2001-02-08,173.03,184.57,164.79,171.39,15300,0.0,0.0
2001-02-09,177.98,177.98,153.26,163.15,4300,0.0,0.0
2001-02-12,158.2,171.39,154.91,158.2,2300,0.0,0.0
2001-02-13,161.5,163.97,145.84,154.91,5700,0.0,0.0
2001-02-14,154.49,155.73,138.43,143.37,1400,0.0,0.0
2001-02-15,145.02,154.91,135.13,135.13,3200,0.0,0.0
2001-02-16,137.6,138.43,105.47,117.83,39700,0.0,0.0
2001-02-20,118.65,130.19,113.71,115.36,3400,0.0,0.0
2001-02-21,112.06,113.71,103.82,105.47,7100,0.0,0.0
2001-02-22,107.12,109.59,98.88,103.82,4800,0.0,0.0
2001-02-23,104.23,106.29,98.88,103.82,15200,0.0,0.0
2001-02-26,104.64,106.29,98.88,100.52,9600,0.0,0.0
2001-02-27,100.11,101.35,95.58,99.7,11100,0.0,0.0
2001-02-28,99.29,101.35,95.58,98.88,3400,0.0,0.0
2001-03-01,98.05,98.88,81.57,83.22,15700,0.0,0.0
2001-03-02,84.87,86.52,72.51,74.98,10700,0.0,0.0
2001-03-05,78.69,79.93,72.51,76.63,12500,0.0,0.0
2001-03-06,79.51,112.06,75.81,79.1,25200,0.0,0.0
2001-03-07,83.22,83.22,75.81,79.1,7500,0.0,0.0
2001-03-08,80.34,80.75,72.51,77.45,5700,0.0,0.0
2001-03-09,79.1,80.75,72.51,73.33,5000,0.0,0.0
2001-03-12,74.16,74.16,58.09,62.62,18600,0.0,0.0
2001-03-13,54.38,60.97,52.73,59.33,14300,0.0,0.0
2001-03-14,56.44,58.5,52.73,53.56,10600,0.0,0.0
2001-03-15,56.03,59.33,51.09,51.09,14600,0.0,0.0
2001-03-16,52.73,54.38,41.2,46.14,11000,0.0,0.0
2001-03-19,48.61,55.21,48.61,51.09,16300,0.0,0.0
2001-03-20,53.97,54.38,51.91,53.56,19400,0.0,0.0
2001-03-21,53.56,54.38,51.09,52.73,12900,0.0,0.0
2001-03-22,53.56,54.38,52.73,53.56,5400,0.0,0.0
2001-03-23,52.73,54.38,51.09,53.56,10200,0.0,0.0
2001-03-26,53.15,53.56,51.09,52.73,2300,0.0,0.0
2001-03-27,52.73,53.56,42.85,42.85,6700,0.0,0.0
2001-03-28,39.55,46.55,36.25,41.2,15400,0.0,0.0
2001-03-29,43.67,46.14,36.25,37.08,20300,0.0,0.0
2001-03-30,39.55,39.55,28.02,32.96,31200,0.0,0.0
2001-04-02,36.25,37.9,26.37,29.66,17500,0.0,0.0
2001-04-03,31.31,32.96,26.37,28.84,26200,0.0,0.0
2001-04-04,31.31,32.96,26.37,27.19,13100,0.0,0.0
2001-04-05,29.66,29.66,25.54,27.19,25600,0.0,0.0
2001-04-06,27.19,27.19,13.18,15.66,91300,0.0,0.0
2001-04-09,21.88,24.26,18.98,24.26,36300,0.0,0.0
2001-04-10,27.42,34.28,27.42,29.27,51500,0.0,0.0
2001-04-11,32.7,36.39,30.32,35.6,80400,0.0,0.0
2001-04-12,36.91,37.71,32.96,34.28,24800,0.0,0.0
2001-04-16,36.91,38.23,35.6,36.39,26100,0.0,0.0
2001-04-17,34.28,35.33,33.22,34.8,11200,0.0,0.0
2001-04-18,35.86,39.55,35.6,38.5,28700,0.0,0.0
2001-04-19,42.45,48.78,42.19,42.98,41800,0.0,0.0
2001-04-20,45.35,45.62,38.23,39.55,21200,0.0,0.0
2001-04-23,39.55,40.34,31.38,32.43,13900,0.0,0.0
2001-04-24,32.43,34.28,31.64,34.01,9900,0.0,0.0
2001-04-25,33.75,35.86,32.96,33.49,15900,0.0,0.0
2001-04-26,34.01,34.28,32.96,32.96,5600,0.0,0.0
2001-04-27,34.28,36.65,32.7,34.28,16500,0.0,0.0
2001-04-30,35.86,36.39,33.49,34.8,15000,0.0,0.0
2001-05-01,35.6,36.39,33.75,34.8,15500,0.0,0.0
2001-05-02,35.86,50.36,34.8,45.62,25600,0.0,0.0
2001-05-03,46.93,47.2,39.55,44.82,12500,0.0,0.0
2001-05-04,44.82,44.82,40.08,42.71,14200,0.0,0.0
2001-05-07,43.24,43.51,39.29,41.66,14200,0.0,0.0
2001-05-08,41.66,44.82,41.66,42.71,5700,0.0,0.0
2001-05-09,42.98,42.98,39.55,40.34,4500,0.0,0.0
2001-05-10,41.13,41.92,39.02,39.55,6500,0.0,0.0
2001-05-11,41.13,41.13,31.64,36.65,20200,0.0,0.0
2001-05-14,37.44,37.44,26.37,30.59,21000,0.0,0.0
2001-05-15,31.11,34.28,31.11,33.49,12100,0.0,0.0
2001-05-16,32.43,35.6,32.17,34.28,4100,0.0,0.0
2001-05-17,34.54,36.12,31.64,32.96,6200,0.0,0.0
2001-05-18,32.96,33.75,30.59,31.64,18300,0.0,0.0
2001-05-21,31.9,37.71,31.64,36.65,6600,0.0,0.0
2001-05-22,36.91,39.29,34.8,37.97,3900,0.0,0.0
2001-05-23,38.76,38.76,35.6,37.71,5600,0.0,0.0
2001-05-24,37.44,44.82,36.91,40.61,9900,0.0,0.0
2001-05-25,42.19,43.24,38.23,39.55,3900,0.0,0.0
2001-05-29,40.87,41.4,37.97,38.5,4500,0.0,0.0
2001-05-30,39.02,39.29,33.22,34.28,8400,0.0,0.0
2001-05-31,34.8,36.39,32.96,34.28,6100,0.0,0.0
2001-06-01,36.39,36.39,32.7,35.6,7000,0.0,0.0
2001-06-04,38.76,39.55,34.54,39.29,8900,0.0,0.0
2001-06-05,39.55,41.13,38.23,40.08,4900,0.0,0.0
2001-06-06,40.61,40.87,37.97,37.97,1900,0.0,0.0
2001-06-07,37.18,38.76,34.54,35.86,4900,0.0,0.0
2001-06-08,37.44,37.71,34.01,35.6,6500,0.0,0.0
2001-06-11,35.86,36.12,33.75,35.6,2100,0.0,0.0
2001-06-12,34.28,35.6,33.75,34.54,1900,0.0,0.0
2001-06-13,35.6,36.91,35.07,35.07,1000,0.0,0.0
2001-06-14,34.28,35.86,29.79,31.38,8600,0.0,0.0
2001-06-15,32.17,32.17,27.69,30.32,19100,0.0,0.0
2001-06-18,36.12,37.97,31.11,32.17,14000,0.0,0.0
2001-06-19,33.75,33.75,31.64,32.43,14500,0.0,0.0
2001-06-20,32.17,34.01,28.48,30.59,4800,0.0,0.0
2001-06-21,27.69,31.64,26.63,30.06,14200,0.0,0.0
2001-06-22,30.06,30.06,27.42,29.27,3200,0.0,0.0
2001-06-25,30.32,32.96,29.27,29.79,9200,0.0,0.0
2001-06-26,29.27,31.64,28.48,29.79,5100,0.0,0.0
2001-06-27,29.53,30.85,28.48,29.0,10200,0.0,0.0
2001-06-28,29.27,29.27,26.63,28.21,40200,0.0,0.0
2001-06-29,27.16,28.48,26.89,28.21,84400,0.0,0.0
2001-07-02,29.0,29.27,26.89,27.42,7600,0.0,0.0
2001-07-03,27.69,29.53,27.42,29.53,1300,0.0,0.0
2001-07-05,29.53,29.79,26.89,27.42,8200,0.0,0.0
2001-07-06,26.89,28.48,26.63,27.69,1800,0.0,0.0
2001-07-09,28.74,29.0,26.89,27.69,10600,0.0,0.0
2001-07-10,27.69,27.69,26.89,27.16,5000,0.0,0.0
2001-07-11,27.42,27.42,26.37,27.16,8200,0.0,0.0
2001-07-12,27.69,27.95,26.63,27.16,6600,0.0,0.0
2001-07-13,28.21,28.21,26.89,27.16,10200,0.0,0.0
