Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1996-08-16,25.39,27.02,23.23,24.31,2691800,0.0,0.0
1996-08-19,24.85,25.67,23.5,23.64,441500,0.0,0.0
1996-08-20,23.77,24.31,23.5,23.77,240000,0.0,0.0
1996-08-21,23.77,23.77,22.69,22.69,582800,0.0,0.0
1996-08-22,22.96,22.96,22.69,22.69,845600,0.0,0.0
1996-08-23,22.69,22.96,22.69,22.96,136600,0.0,0.0
1996-08-26,22.96,22.96,22.69,22.69,72100,0.0,0.0
1996-08-27,22.69,22.96,22.69,22.69,39800,0.0,0.0
1996-08-28,22.96,22.96,22.69,22.96,52600,0.0,0.0
1996-08-29,22.96,22.96,22.69,22.76,14200,0.0,0.0
1996-08-30,22.69,22.96,22.69,22.69,16000,0.0,0.0
1996-09-03,22.96,22.96,22.56,22.69,139300,0.0,0.0
1996-09-04,22.69,22.96,22.69,22.69,63000,0.0,0.0
1996-09-05,22.96,22.96,22.69,22.69,54000,0.0,0.0
1996-09-06,22.69,22.96,22.69,22.69,49300,0.0,0.0
1996-09-09,22.96,22.96,22.69,22.69,66700,0.0,0.0
1996-09-10,22.69,22.96,22.69,22.69,29700,0.0,0.0
1996-09-11,22.96,22.96,18.91,18.91,293800,0.0,0.0
1996-09-12,19.72,20.26,18.91,19.72,197000,0.0,0.0
1996-09-13,20.26,20.53,19.45,20.26,55100,0.0,0.0
1996-09-16,20.26,20.26,19.45,19.72,71500,0.0,0.0
1996-09-17,19.72,19.72,18.37,18.64,101800,0.0,0.0
1996-09-18,18.64,18.64,17.83,18.1,101900,0.0,0.0
1996-09-19,18.1,18.64,17.83,18.37,74400,0.0,0.0
1996-09-20,18.1,20.8,18.1,20.8,219000,0.0,0.0
1996-09-23,20.8,20.8,19.72,19.99,145000,0.0,0.0
1996-09-24,19.99,19.99,19.18,19.72,80000,0.0,0.0
1996-09-25,19.72,20.53,19.45,20.53,147200,0.0,0.0
1996-09-26,20.53,23.23,20.26,23.23,174600,0.0,0.0
1996-09-27,23.23,27.56,22.96,27.02,245900,0.0,0.0
1996-09-30,27.02,29.99,27.02,28.5,214500,0.0,0.0
1996-10-01,28.64,28.64,23.5,23.77,293400,0.0,0.0
1996-10-02,23.77,24.04,23.77,24.04,61600,0.0,0.0
1996-10-03,24.04,26.21,23.77,25.94,82600,0.0,0.0
1996-10-04,25.94,27.29,25.94,26.75,83700,0.0,0.0
1996-10-07,26.48,28.91,26.21,26.75,163300,0.0,0.0
1996-10-08,26.48,26.75,24.85,25.12,95300,0.0,0.0
1996-10-09,25.39,25.39,23.77,24.85,107300,0.0,0.0
1996-10-10,24.31,26.75,24.31,26.48,127400,0.0,0.0
1996-10-11,26.75,28.64,26.48,27.02,277900,0.0,0.0
1996-10-14,26.75,27.02,26.21,26.48,100000,0.0,0.0
1996-10-15,26.48,27.02,25.67,26.21,90300,0.0,0.0
1996-10-16,26.21,27.29,25.67,26.48,107400,0.0,0.0
1996-10-17,26.48,27.56,26.21,27.02,92000,0.0,0.0
1996-10-18,27.56,27.56,27.02,27.02,104800,0.0,0.0
1996-10-21,27.56,27.56,27.02,27.02,27400,0.0,0.0
1996-10-22,27.56,27.56,25.39,25.39,66600,0.0,0.0
1996-10-23,25.12,25.67,24.58,25.67,99300,0.0,0.0
1996-10-24,25.67,25.94,25.12,25.39,45200,0.0,0.0
1996-10-25,25.39,25.39,24.31,24.45,20500,0.0,0.0
1996-10-28,24.58,24.58,23.23,23.5,97300,0.0,0.0
1996-10-29,23.23,23.77,23.23,23.23,51000,0.0,0.0
1996-10-30,23.5,23.5,23.23,23.5,41400,0.0,0.0
1996-10-31,24.04,24.85,23.77,24.04,195000,0.0,0.0
1996-11-01,24.31,24.31,21.07,21.34,118800,0.0,0.0
1996-11-04,21.34,22.42,20.8,21.07,110400,0.0,0.0
1996-11-05,21.07,21.34,19.45,19.99,87400,0.0,0.0
1996-11-06,19.99,22.15,19.72,21.61,207400,0.0,0.0
1996-11-07,21.61,21.88,20.8,20.8,83000,0.0,0.0
1996-11-08,21.07,21.07,20.26,21.07,29700,0.0,0.0
1996-11-11,21.07,21.07,20.26,20.26,44700,0.0,0.0
1996-11-12,20.26,21.07,18.91,19.45,100500,0.0,0.0
1996-11-13,19.72,19.99,19.18,19.45,63800,0.0,0.0
1996-11-14,19.45,21.34,19.18,20.8,71700,0.0,0.0
1996-11-15,20.8,21.61,20.8,21.34,38300,0.0,0.0
1996-11-18,21.34,21.61,20.8,21.61,51100,0.0,0.0
1996-11-19,21.61,22.15,21.34,21.88,64400,0.0,0.0
1996-11-20,21.61,21.88,21.61,21.88,15200,0.0,0.0
1996-11-21,21.61,23.77,21.61,23.74,84200,0.0,0.0
1996-11-22,23.5,24.31,22.69,22.96,57400,0.0,0.0
1996-11-25,23.5,24.31,22.69,23.23,44600,0.0,0.0
1996-11-26,23.77,23.77,22.96,22.96,27700,0.0,0.0
1996-11-27,23.77,23.77,22.96,22.96,42400,0.0,0.0
1996-11-29,23.77,23.77,22.96,23.64,10900,0.0,0.0
