Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1973-02-21,0.0,1.43,1.41,1.42,3000,0.0,0.0
1973-02-22,0.0,1.41,1.4,1.4,1200,0.0,0.0
1973-02-23,0.0,1.4,1.37,1.37,5000,0.0,0.0
1973-02-26,0.0,1.4,1.38,1.39,3000,0.0,0.0
1973-02-27,0.0,1.39,1.38,1.39,2800,0.0,0.0
1973-02-28,0.0,1.39,1.38,1.39,2400,0.185,0.0
1973-03-01,0.0,1.39,1.38,1.38,1200,0.0,0.0
1973-03-02,0.0,1.38,1.36,1.36,3200,0.0,0.0
1973-03-05,0.0,1.37,1.35,1.36,8600,0.0,0.0
1973-03-06,0.0,1.36,1.35,1.36,1800,0.0,0.0
1973-03-07,0.0,1.38,1.36,1.38,9800,0.0,0.0
1973-03-08,0.0,1.38,1.38,1.38,1400,0.0,0.0
1973-03-09,0.0,1.38,1.36,1.36,2200,0.0,0.0
1973-03-12,0.0,1.38,1.36,1.38,4200,0.0,0.0
1973-03-13,0.0,1.38,1.36,1.36,5800,0.0,0.0
1973-03-14,0.0,1.38,1.36,1.36,1400,0.0,0.0
1973-03-15,0.0,1.36,1.36,1.36,600,0.0,0.0
1973-03-16,0.0,1.36,1.34,1.34,2800,0.0,0.0
1973-03-19,0.0,1.38,1.36,1.38,15200,0.0,0.0
1973-03-20,0.0,1.39,1.37,1.38,8000,0.0,0.0
1973-03-21,0.0,1.39,1.37,1.37,14000,0.0,0.0
1973-03-22,0.0,1.38,1.36,1.36,5200,0.0,0.0
1973-03-23,0.0,1.36,1.36,1.36,1200,0.0,0.0
1973-03-26,0.0,1.36,1.36,1.36,1800,0.0,0.0
1973-03-27,0.0,1.37,1.36,1.37,4800,0.0,0.0
1973-03-28,0.0,1.36,1.35,1.36,12000,0.0,0.0
1973-03-29,0.0,1.38,1.35,1.36,4200,0.0,0.0
1973-03-30,1.36,1.36,1.36,1.36,0,0.0,0.0
1973-04-02,0.0,1.36,1.32,1.33,4400,0.0,0.0
1973-04-03,0.0,1.36,1.34,1.36,1400,0.0,0.0
1973-04-04,0.0,1.38,1.36,1.36,5000,0.0,0.0
1973-04-05,0.0,1.36,1.36,1.36,1400,0.0,0.0
1973-04-06,0.0,1.36,1.36,1.36,4800,0.0,0.0
1973-04-09,0.0,1.35,1.33,1.33,3800,0.0,0.0
1973-04-10,0.0,1.36,1.35,1.36,2400,0.0,0.0
1973-04-11,0.0,1.37,1.35,1.37,7200,0.0,0.0
1973-04-12,0.0,1.38,1.36,1.36,1800,0.0,0.0
1973-04-13,0.0,1.38,1.36,1.36,4200,0.0,0.0
1973-04-16,0.0,1.38,1.37,1.38,1600,0.0,0.0
1973-04-17,0.0,1.38,1.36,1.38,2800,0.0,0.0
1973-04-18,0.0,1.37,1.36,1.37,2400,0.0,0.0
1973-04-19,0.0,1.38,1.38,1.38,1600,0.0,0.0
1973-04-23,0.0,1.38,1.32,1.38,4600,0.0,0.0
1973-04-24,0.0,1.38,1.36,1.36,1200,0.0,0.0
1973-04-25,0.0,1.36,1.34,1.34,30600,0.0,0.0
1973-04-26,0.0,1.36,1.35,1.36,3000,0.0,0.0
1973-04-27,0.0,1.36,1.34,1.36,4200,0.0,0.0
1973-04-30,0.0,1.37,1.36,1.36,4600,0.0,0.0
1973-05-01,0.0,1.36,1.35,1.36,600,0.0,0.0
1973-05-02,0.0,1.36,1.35,1.35,11600,0.0,0.0
1973-05-03,0.0,1.37,1.36,1.37,2400,0.0,0.0
1973-05-04,0.0,1.37,1.36,1.36,2800,0.0,0.0
1973-05-07,0.0,1.36,1.33,1.36,3600,0.0,0.0
1973-05-08,0.0,1.37,1.36,1.37,2200,0.0,0.0
1973-05-09,0.0,1.38,1.34,1.36,16600,0.0,0.0
1973-05-10,0.0,1.37,1.35,1.35,5800,0.0,0.0
1973-05-11,0.0,1.35,1.33,1.35,6400,0.0,0.0
1973-05-14,0.0,1.36,1.35,1.36,600,0.0,0.0
1973-05-15,0.0,1.37,1.35,1.37,3000,0.0,0.0
1973-05-16,0.0,1.36,1.34,1.36,4200,0.0,0.0
1973-05-17,0.0,1.36,1.36,1.36,200,0.0,0.0
1973-05-18,0.0,1.36,1.33,1.36,6400,0.0,0.0
1973-05-21,0.0,1.35,1.32,1.33,7400,0.0,0.0
1973-05-22,0.0,1.35,1.33,1.33,600,0.0,0.0
1973-05-23,0.0,1.36,1.31,1.31,8400,0.0,0.0
1973-05-24,0.0,1.33,1.31,1.32,2400,0.0,0.0
1973-05-25,0.0,1.35,1.33,1.33,6600,0.0,0.0
1973-05-29,1.33,1.33,1.33,1.33,0,0.0,0.0
1973-05-30,0.0,1.33,1.32,1.32,5400,0.0,0.0
1973-05-31,0.0,1.33,1.32,1.33,1800,0.0,0.0
1973-06-01,0.0,1.33,1.33,1.33,200,0.0,0.0
1973-06-04,0.0,1.32,1.31,1.32,1200,0.0,0.0
1973-06-05,0.0,1.34,1.32,1.34,2000,0.0,0.0
1973-06-06,0.0,1.36,1.33,1.36,4000,0.0,0.0
1973-06-07,0.0,1.37,1.33,1.37,5400,0.0,0.0
1973-06-08,0.0,1.37,1.36,1.36,8200,0.0,0.0
1973-06-11,0.0,1.36,1.34,1.34,3400,0.0,0.0
1973-06-12,0.0,1.36,1.35,1.36,8800,0.0,0.0
1973-06-13,0.0,1.37,1.35,1.37,2400,0.0,0.0
1973-06-14,0.0,1.37,1.36,1.37,1000,0.0,0.0
1973-06-15,0.0,1.36,1.34,1.34,2000,0.0,0.0
1973-06-18,0.0,1.37,1.34,1.34,3000,0.0,0.0
1973-06-19,0.0,1.36,1.34,1.36,1800,0.0,0.0
1973-06-20,0.0,1.35,1.34,1.34,1800,0.0,0.0
1973-06-21,0.0,1.35,1.34,1.34,1600,0.0,0.0
1973-06-22,0.0,1.37,1.35,1.37,2000,0.0,0.0
1973-06-25,0.0,1.36,1.34,1.36,2600,0.0,0.0
1973-06-26,0.0,1.35,1.33,1.35,51800,0.0,0.0
