Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2012-10-12,17.37,17.82,17.06,17.06,6467100,0.0,0
2012-10-15,17.1,17.38,17.06,17.3,633100,0.0,0
2012-10-16,17.12,17.49,16.81,17.34,180300,0.0,0
2012-10-17,17.25,17.61,17.06,17.25,121000,0.0,0
2012-10-18,17.15,17.42,17.07,17.25,146100,0.0,0
2012-10-19,17.27,17.35,16.97,16.97,298100,0.0,0
2012-10-22,17.06,17.06,16.5,16.6,359800,0.0,0
2012-10-23,16.42,16.86,16.32,16.69,166100,0.0,0
2012-10-24,16.49,17.03,16.49,16.95,158200,0.0,0
2012-10-25,17.52,17.52,15.84,16.6,206900,0.0,0
2012-10-26,17.06,17.06,16.18,16.7,199500,0.0,0
2012-10-31,16.08,16.6,16.08,16.6,36400,0.0,0
2012-11-01,16.67,17.04,16.09,16.79,203000,0.0,0
2012-11-02,16.56,16.79,16.14,16.57,72100,0.0,0
2012-11-05,16.36,16.57,16.08,16.29,33300,0.0,0
2012-11-06,16.1,17.04,15.68,16.58,370600,0.0,0
2012-11-07,16.32,16.96,16.32,16.63,155800,0.0,0
2012-11-08,15.88,16.83,15.88,16.32,141600,0.0,0
2012-11-09,15.91,16.51,15.91,16.13,209600,0.0,0
2012-11-12,16.04,16.13,15.94,16.08,12800,0.0,0
2012-11-13,16.1,16.33,15.56,15.63,47600,0.0,0
2012-11-14,15.56,16.05,15.25,15.64,123400,0.0,0
2012-11-15,15.96,16.82,15.31,16.28,367000,0.0,0
2012-11-16,16.48,17.24,15.86,16.39,104600,0.0,0
2012-11-19,16.42,16.81,16.08,16.68,77200,0.0,0
2012-11-20,16.7,16.85,16.4,16.69,251400,0.0,0
2012-11-21,16.68,17.04,16.42,16.76,33100,0.0,0
2012-11-23,16.81,17.1,16.63,16.88,94000,0.0,0
2012-11-26,16.86,16.98,16.63,16.82,77400,0.0,0
2012-11-27,16.64,16.89,16.5,16.79,55800,0.0,0
2012-11-28,17.01,17.05,16.55,16.81,94000,0.0,0
2012-11-29,17.02,17.88,16.76,17.7,164400,0.0,0
2012-11-30,17.97,18.01,17.32,17.54,44200,0.0,0
2012-12-03,17.55,18.03,16.95,17.64,47600,0.0,0
2012-12-04,17.77,17.77,16.97,17.38,30100,0.0,0
2012-12-05,17.13,17.64,17.13,17.52,33000,0.0,0
2012-12-06,17.31,17.33,16.88,17.17,41900,0.0,0
2012-12-07,17.23,17.4,17.15,17.3,42500,0.0,0
2012-12-10,17.44,17.46,16.92,17.17,72300,0.0,0
2012-12-11,16.97,17.39,16.76,17.09,72200,0.0,0
2012-12-12,17.03,17.33,17.03,17.19,58000,0.0,0
2012-12-13,16.97,17.52,16.85,17.43,135900,0.0,0
2012-12-14,16.99,17.2,16.81,17.12,44700,0.0,0
2012-12-17,17.21,18.03,17.06,17.52,107600,0.0,0
2012-12-18,17.47,18.76,17.25,18.32,142600,0.0,0
2012-12-19,18.32,19.38,17.67,18.69,192600,0.0,0
2012-12-20,18.47,18.54,17.97,18.54,200500,0.0,0
2012-12-21,18.15,18.69,17.23,18.5,1936500,0.0,0
2012-12-24,18.57,18.96,17.55,18.17,159000,0.0,0
2012-12-26,18.27,18.52,17.81,18.18,81300,0.0,0
2012-12-27,18.1,18.99,17.92,18.07,162100,0.0,0
2012-12-28,17.94,18.44,17.84,18.3,66400,0.0,0
2012-12-31,18.26,18.73,18.1,18.63,125600,0.0,0
2013-01-02,18.97,19.41,18.13,18.75,189700,0.0,0
2013-01-03,18.75,18.97,18.18,18.65,89100,0.0,0
2013-01-04,18.76,19.97,18.49,19.54,173300,0.0,0
2013-01-07,19.38,20.7,19.14,20.24,210300,0.0,0
2013-01-08,20.16,20.56,19.86,20.08,229400,0.0,0
2013-01-09,20.18,20.44,19.88,19.95,171800,0.0,0
2013-01-10,20.02,21.43,19.82,21.08,235200,0.0,0
2013-01-11,21.05,21.23,20.03,21.12,166300,0.0,0
2013-01-14,21.13,21.9,21.13,21.25,130400,0.0,0
2013-01-15,21.12,22.32,20.63,21.17,59300,0.0,0
2013-01-16,20.54,20.97,19.55,20.74,239500,0.0,0
2013-01-17,20.83,21.26,20.23,20.58,129800,0.0,0
2013-01-18,20.63,21.24,19.79,20.02,119400,0.0,0
2013-01-22,20.08,21.33,20.08,21.24,160100,0.0,0
2013-01-23,21.19,21.19,20.42,20.89,42700,0.0,0
2013-01-24,20.7,22.02,20.65,20.89,114500,0.0,0
2013-01-25,21.0,22.13,21.0,21.44,71200,0.0,0
2013-01-28,21.64,21.68,20.8,21.09,91000,0.0,0
2013-01-29,21.13,21.6,21.08,21.57,113700,0.0,0
2013-01-30,21.48,22.3,21.48,22.09,340500,0.0,0
2013-01-31,21.96,21.96,21.0,21.85,260400,0.0,0
2013-02-01,21.99,22.37,21.79,22.12,93600,0.0,0
2013-02-04,22.07,22.13,21.29,21.97,80100,0.0,0
2013-02-05,22.01,22.07,21.6,22.05,38700,0.0,0
2013-02-06,21.92,22.25,21.65,22.05,136100,0.0,0
2013-02-07,21.5,22.11,21.44,21.85,61300,0.0,0
2013-02-08,21.82,22.17,21.48,21.49,96400,0.0,0
2013-02-11,21.57,21.57,20.76,21.01,59100,0.0,0
2013-02-12,20.97,21.21,20.51,21.02,154700,0.0,0
2013-02-13,21.0,21.45,20.69,21.01,321700,0.0,0
2013-02-14,21.0,22.35,21.0,21.44,379500,0.0,0
2013-02-15,21.51,22.07,21.15,21.73,146500,0.0,0
2013-02-19,21.75,22.24,21.66,22.24,102000,0.0,0
2013-02-20,22.23,22.69,20.67,20.74,96200,0.0,0
2013-02-21,20.75,20.75,20.03,20.2,76900,0.0,0
2013-02-22,21.68,22.05,19.72,20.45,310600,0.0,0
2013-02-25,20.47,20.54,19.07,19.24,167600,0.0,0
2013-02-26,19.34,20.0,19.2,19.54,119300,0.0,0
2013-02-27,19.58,20.95,19.35,20.43,158500,0.0,0
2013-02-28,20.45,22.72,19.69,22.13,205000,0.0,0
2013-03-01,21.93,22.23,21.35,21.77,46000,0.0,0
2013-03-04,21.8,22.29,21.27,21.82,39000,0.0,0
2013-03-05,21.84,23.27,21.82,23.1,108700,0.0,0
2013-03-06,23.22,23.42,22.79,22.95,13800,0.0,0
2013-03-07,22.9,24.26,21.96,23.89,129700,0.0,0
2013-03-08,24.14,24.33,23.28,24.27,127200,0.0,0
