Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2011-09-16,10.8,11.73,9.98,11.52,969900,0.0,0
2011-09-19,11.11,12.5,10.89,12.5,665400,0.0,0
2011-09-20,12.68,12.72,12.09,12.43,794800,0.0,0
2011-09-21,12.52,12.7,11.96,12.16,619000,0.0,0
2011-09-22,11.88,12.02,11.25,11.98,1230500,0.0,0
2011-09-23,12.16,12.16,10.9,11.11,406200,0.0,0
2011-09-26,11.24,11.49,10.33,11.49,181900,0.0,0
2011-09-27,11.57,13.01,11.57,12.13,1788000,0.0,0
2011-09-28,12.06,12.43,11.57,11.66,251700,0.0,0
2011-09-29,11.79,12.02,11.49,11.95,222300,0.0,0
2011-09-30,11.82,12.02,10.94,11.25,623100,0.0,0
2011-10-03,10.89,11.5,10.66,11.16,23632200,0.0,0
2011-10-04,11.06,12.02,10.02,11.16,6068200,0.0,0
2011-10-05,10.48,11.16,10.22,11.07,1983000,0.0,0
2011-10-06,10.8,11.78,10.8,11.58,3333600,0.0,0
2011-10-07,11.42,11.79,11.13,11.2,2049900,0.0,0
2011-10-10,11.2,11.29,10.88,11.22,1922500,0.0,0
2011-10-11,10.43,11.58,10.41,11.32,3015200,0.0,0
2011-10-12,11.3,11.61,11.23,11.43,3255100,0.0,0
2011-10-13,11.25,11.58,11.02,11.45,3575300,0.0,0
2011-10-14,11.45,11.86,11.23,11.8,1658700,0.0,0
2011-10-17,11.82,12.46,11.79,12.45,1767600,0.0,0
2011-10-18,12.52,13.83,12.5,13.14,5257400,0.0,0
2011-10-19,13.0,13.83,13.0,13.66,3400100,0.0,0
2011-10-20,13.53,13.83,13.32,13.54,1252900,0.0,0
2011-10-21,13.71,14.05,13.41,13.56,1741300,0.0,0
2011-10-24,13.54,14.88,13.54,14.33,2008800,0.0,0
2011-10-25,14.28,14.36,13.38,13.41,2284900,0.0,0
2011-10-26,13.34,13.91,13.16,13.5,856900,0.0,0
2011-10-27,13.59,14.42,13.58,13.99,1130900,0.0,0
2011-10-28,13.85,13.91,13.39,13.54,1000700,0.0,0
2011-10-31,13.34,13.84,13.12,13.18,1162200,0.0,0
2011-11-01,12.94,13.53,12.8,13.31,1174900,0.0,0
2011-11-02,13.43,14.06,13.26,13.67,1289200,0.0,0
2011-11-03,13.99,14.06,13.15,13.61,2279900,0.0,0
2011-11-04,13.4,13.66,13.35,13.61,611700,0.0,0
2011-11-07,13.5,13.59,13.3,13.42,1102000,0.0,0
2011-11-08,13.45,14.09,13.43,13.69,708800,0.0,0
2011-11-09,13.49,13.74,13.43,13.52,1301400,0.0,0
2011-11-10,13.53,14.34,13.47,14.24,801700,0.0,0
2011-11-11,14.41,14.52,13.72,13.83,476900,0.0,0
2011-11-14,13.71,14.05,13.54,13.64,325900,0.0,0
2011-11-15,13.55,14.26,13.43,14.05,569400,0.0,0
2011-11-16,13.89,14.03,13.56,13.64,703200,0.0,0
2011-11-17,13.56,14.17,13.5,14.09,699100,0.0,0
2011-11-18,14.19,14.23,13.95,14.07,449500,0.0,0
2011-11-21,13.83,13.93,13.59,13.84,706800,0.0,0
2011-11-22,13.74,14.01,13.74,13.94,428700,0.0,0
2011-11-23,13.82,14.01,13.61,13.89,501200,0.0,0
2011-11-25,13.79,14.06,13.74,14.02,96000,0.0,0
2011-11-28,14.34,14.52,14.05,14.49,507600,0.0,0
2011-11-29,14.48,14.87,14.22,14.52,461800,0.0,0
2011-11-30,14.85,15.19,14.71,15.13,2037200,0.0,0
2011-12-01,15.07,15.24,14.46,14.51,664000,0.0,0
2011-12-02,14.69,15.03,14.65,14.99,950600,0.0,0
2011-12-05,15.14,15.28,14.82,14.92,406600,0.0,0
2011-12-06,14.95,15.14,14.79,14.94,787800,0.0,0
2011-12-07,14.75,15.1,14.29,14.92,538800,0.0,0
2011-12-08,14.65,15.01,14.47,14.89,707700,0.0,0
2011-12-09,14.87,15.5,14.81,15.43,787200,0.0,0
2011-12-12,15.3,15.37,14.66,14.81,563300,0.0,0
2011-12-13,14.81,14.95,14.22,14.32,313700,0.0,0
2011-12-14,14.22,14.56,13.97,14.5,377900,0.0,0
2011-12-15,14.62,15.0,14.24,14.43,797700,0.0,0
2011-12-16,14.44,14.49,13.91,14.14,2164400,0.0,0
2011-12-19,14.16,14.44,13.79,13.91,778100,0.0,0
2011-12-20,14.12,14.35,14.09,14.29,513500,0.0,0
2011-12-21,14.23,14.87,14.2,14.7,776000,0.0,0
2011-12-22,14.8,15.0,14.71,14.92,1535500,0.0,0
2011-12-23,14.99,15.28,14.97,15.15,305400,0.0,0
2011-12-27,15.05,15.28,14.99,15.1,172000,0.0,0
2011-12-28,15.06,15.1,14.82,14.87,599000,0.0,0
2011-12-29,14.84,15.17,14.72,15.1,537300,0.0,0
2011-12-30,15.08,15.46,15.08,15.45,402100,0.0,0
2012-01-03,15.66,15.75,15.2,15.26,1442200,0.0,0
2012-01-04,15.2,15.51,15.17,15.45,1958500,0.0,0
2012-01-05,15.36,16.06,15.31,15.72,1579900,0.0,0
2012-01-06,15.76,16.33,15.49,16.01,642200,0.0,0
2012-01-09,16.05,16.27,15.67,16.13,654800,0.0,0
2012-01-10,16.33,16.43,16.08,16.35,691900,0.0,0
2012-01-11,16.24,16.35,16.1,16.31,3590700,0.0,0
2012-01-12,16.62,16.65,16.31,16.59,1250400,0.0,0
2012-01-13,16.49,16.65,16.17,16.53,564300,0.0,0
2012-01-17,16.6,16.67,16.16,16.26,496100,0.0,0
2012-01-18,16.23,16.33,15.95,16.16,1438200,0.0,0
2012-01-19,16.17,16.48,16.12,16.42,596100,0.0,0
2012-01-20,16.44,16.44,16.12,16.23,1201900,0.0,0
2012-01-23,16.2,16.37,15.97,16.13,1738000,0.0,0
2012-01-24,16.07,16.2,15.89,16.2,318800,0.0,0
2012-01-25,16.19,16.24,15.93,16.24,975400,0.0,0
2012-01-26,16.23,16.31,16.06,16.25,667400,0.0,0
2012-01-27,16.21,16.36,16.15,16.28,424900,0.0,0
2012-01-30,16.1,16.65,16.09,16.62,705000,0.0,0
2012-01-31,16.66,16.93,16.66,16.85,703300,0.0,0
2012-02-01,16.82,17.42,16.78,17.14,2145800,0.0,0
2012-02-02,17.12,17.46,16.86,17.46,838000,0.0,0
2012-02-03,17.53,17.99,17.53,17.74,1732900,0.0,0
2012-02-06,17.64,17.64,17.06,17.09,907500,0.0,0
2012-02-07,17.06,17.06,16.58,16.92,1369000,0.0,0
2012-02-08,16.91,17.36,16.79,17.34,1063900,0.0,0
2012-02-09,17.33,17.53,17.18,17.44,957200,0.0,0
2012-02-10,17.29,17.59,17.21,17.55,1215200,0.0,0
2012-02-13,17.61,17.72,17.34,17.71,803200,0.0,0
2012-02-14,17.56,17.96,17.47,17.89,929400,0.0,0
2012-02-15,18.05,18.28,17.54,17.68,1058700,0.0,0
2012-02-16,17.64,17.84,17.51,17.71,650900,0.0,0
2012-02-17,17.74,17.9,17.51,17.53,470300,0.0,0
2012-02-21,17.52,17.82,17.51,17.65,668100,0.0,0
2012-02-22,17.6,17.65,17.42,17.45,922600,0.0,0
2012-02-23,17.38,17.94,17.1,17.92,1001800,0.0,0
2012-02-24,17.85,17.96,17.5,17.61,631900,0.0,0
2012-02-27,17.52,17.74,17.45,17.65,802100,0.0,0
2012-02-28,17.64,17.74,17.44,17.45,1669500,0.0,0
2012-02-29,17.5,17.71,17.45,17.55,1533800,0.0,0
2012-03-01,17.69,17.69,17.41,17.57,1196500,0.0,0
2012-03-02,17.54,17.63,17.24,17.37,979500,0.0,0
2012-03-05,17.34,17.49,17.24,17.46,698400,0.0,0
2012-03-06,17.31,17.35,17.03,17.25,1442800,0.0,0
2012-03-07,17.35,17.71,17.11,17.69,2065500,0.0,0
2012-03-08,17.83,18.36,17.69,18.26,1058500,0.0,0
2012-03-09,18.23,19.03,18.1,19.01,903100,0.0,0
2012-03-12,18.3,19.21,18.3,19.07,1441800,0.0,0
2012-03-13,19.16,19.88,19.1,19.57,1588600,0.0,0
2012-03-14,19.5,19.59,18.93,19.26,724200,0.0,0
2012-03-15,19.26,19.36,19.05,19.32,1316300,0.0,0
2012-03-16,19.35,19.53,18.95,19.42,7184100,0.0,0
2012-03-19,19.47,19.6,19.29,19.46,1483500,0.0,0
2012-03-20,19.32,19.37,19.01,19.2,598700,0.0,0
2012-03-21,19.22,19.28,18.88,19.16,766400,0.0,0
2012-03-22,19.09,19.34,18.92,19.31,1309200,0.0,0
2012-03-23,19.22,19.38,19.02,19.35,2046200,0.0,0
2012-03-26,19.46,19.69,19.43,19.6,804000,0.0,0
2012-03-27,19.57,19.91,19.5,19.64,1284700,0.0,0
2012-03-28,19.59,20.19,19.55,20.19,2144100,0.0,0
2012-03-29,20.03,20.19,19.82,20.14,684700,0.0,0
2012-03-30,20.21,20.25,19.92,20.02,805500,0.0,0
2012-04-02,19.96,19.98,19.69,19.7,1340100,0.0,0
2012-04-03,19.68,19.69,19.47,19.6,1175100,0.0,0
2012-04-04,19.42,19.51,19.04,19.36,1287900,0.0,0
2012-04-05,19.35,19.62,19.2,19.4,1556800,0.0,0
2012-04-09,19.1,19.13,18.94,19.05,1041800,0.0,0
2012-04-10,18.98,19.0,18.19,18.33,1883300,0.0,0
2012-04-11,18.48,18.75,18.32,18.63,652500,0.0,0
2012-04-12,18.62,19.16,18.62,19.04,596700,0.0,0
2012-04-13,18.96,19.11,18.72,18.77,2775200,0.0,0
2012-04-16,18.84,18.91,18.48,18.8,589800,0.0,0
2012-04-17,18.89,19.18,18.76,18.78,2614000,0.0,0
2012-04-18,18.68,18.84,18.53,18.75,1093100,0.0,0
2012-04-19,18.77,18.91,18.32,18.53,766300,0.0,0
2012-04-20,18.57,18.86,18.27,18.78,4173000,0.0,0
2012-04-23,18.5,18.64,18.28,18.5,688300,0.0,0
2012-04-24,18.44,18.7,18.3,18.55,819100,0.0,0
2012-04-25,18.71,18.96,18.65,18.8,2184100,0.0,0
2012-04-26,18.81,19.04,18.66,18.72,2013800,0.0,0
2012-04-27,19.14,20.51,18.53,20.44,10052300,0.0,0
2012-04-30,20.35,20.68,20.29,20.63,1777400,0.0,0
2012-05-01,20.94,21.64,20.42,21.26,3565100,0.0,0
2012-05-02,21.51,21.79,21.22,21.65,2965900,0.0,0
2012-05-03,21.59,21.82,21.08,21.21,1357900,0.0,0
2012-05-04,20.98,21.34,20.95,21.2,887200,0.0,0
2012-05-07,21.11,21.46,21.08,21.23,768000,0.0,0
2012-05-08,21.13,21.13,20.48,20.98,1398500,0.0,0
2012-05-09,20.79,20.94,20.54,20.82,826200,0.0,0
2012-05-10,20.93,21.28,20.84,21.03,1183700,0.0,0
2012-05-11,20.88,21.87,20.88,21.81,1194600,0.0,0
2012-05-14,21.55,21.85,21.2,21.54,1037600,0.0,0
2012-05-15,21.42,21.64,21.07,21.43,1645300,0.0,0
2012-05-16,21.46,21.79,21.23,21.36,979000,0.0,0
2012-05-17,21.41,21.41,20.32,20.41,1165600,0.0,0
2012-05-18,20.47,20.49,19.66,19.76,1891000,0.0,0
2012-05-21,19.81,20.08,19.5,20.06,1507100,0.0,0
2012-05-22,20.1,20.2,19.93,20.0,1569200,0.0,0
2012-05-23,19.83,20.11,19.66,19.96,1240200,0.0,0
2012-05-24,20.04,20.38,19.99,20.29,1269800,0.0,0
2012-05-25,20.38,20.62,20.24,20.5,823300,0.0,0
2012-05-29,20.64,21.07,20.64,20.96,1116500,0.0,0
2012-05-30,20.8,20.87,20.47,20.72,2110300,0.0,0
2012-05-31,20.69,20.69,19.51,20.52,2029900,0.0,0
2012-06-01,20.0,20.0,18.54,19.17,3606600,0.0,0
2012-06-04,19.14,19.14,18.27,18.67,1389200,0.0,0
2012-06-05,18.63,18.81,18.36,18.71,1377400,0.0,0
2012-06-06,18.87,19.37,18.79,19.33,830500,0.0,0
2012-06-07,19.59,19.99,19.44,19.69,1219400,0.0,0
2012-06-08,19.66,20.3,19.41,20.27,868300,0.0,0
2012-06-11,20.47,20.52,19.75,19.78,852800,0.0,0
2012-06-12,19.89,20.07,19.74,19.98,946100,0.0,0
2012-06-13,19.96,19.96,19.36,19.42,1031100,0.0,0
2012-06-14,19.47,19.65,19.26,19.59,759600,0.0,0
2012-06-15,19.69,20.01,19.41,19.93,1242800,0.0,0
2012-06-18,19.78,20.89,19.78,20.76,1461300,0.0,0
2012-06-19,20.82,21.27,20.77,21.06,1323100,0.0,0
2012-06-20,20.96,21.02,20.37,20.66,1002600,0.0,0
2012-06-21,20.22,20.39,18.62,18.64,2574800,0.0,0
2012-06-22,18.66,18.76,18.2,18.57,2682100,0.0,0
2012-06-25,18.25,18.41,17.48,18.28,1176600,0.0,0
2012-06-26,18.33,19.15,18.03,18.73,1316400,0.0,0
2012-06-27,18.78,19.21,18.5,19.2,1331000,0.0,0
2012-06-28,19.01,19.76,18.74,19.76,1798200,0.0,0
2012-06-29,20.12,20.28,19.51,20.2,1413800,0.0,0
2012-07-02,20.34,21.36,20.25,21.2,2206200,0.0,0
2012-07-03,21.17,21.59,20.85,21.26,1669400,0.0,0
2012-07-05,21.22,21.67,21.15,21.41,1311000,0.0,0
2012-07-06,21.16,21.37,20.35,20.84,2053800,0.0,0
2012-07-09,20.83,20.88,20.23,20.51,1398200,0.0,0
2012-07-10,20.91,20.91,19.36,19.59,1291500,0.0,0
2012-07-11,19.62,20.16,19.46,19.79,934900,0.0,0
2012-07-12,19.6,19.87,19.17,19.79,798500,0.0,0
2012-07-13,19.79,20.47,19.79,20.05,1636500,0.0,0
2012-07-16,19.96,20.1,19.28,19.51,1198400,0.0,0
2012-07-17,19.6,19.62,18.7,19.42,1170100,0.0,0
2012-07-18,19.33,20.38,19.27,20.34,1320000,0.0,0
2012-07-19,20.44,20.88,20.34,20.77,1274100,0.0,0
2012-07-20,20.56,20.83,20.33,20.35,982200,0.0,0
2012-07-23,19.8,20.21,19.53,19.91,791200,0.0,0
2012-07-24,19.95,19.96,18.92,19.52,1291800,0.0,0
2012-07-25,19.5,19.55,18.68,18.81,1276600,0.0,0
2012-07-26,19.28,19.93,19.1,19.35,1138500,0.0,0
2012-07-27,19.04,20.68,18.33,20.08,3356400,0.0,0
2012-07-30,20.0,20.41,19.86,20.31,1134800,0.0,0
2012-07-31,20.22,20.58,19.84,20.07,1108500,0.0,0
2012-08-01,20.19,20.56,19.78,19.85,808100,0.0,0
2012-08-02,19.6,19.78,19.28,19.42,1369900,0.0,0
2012-08-03,19.84,20.48,19.5,20.42,676300,0.0,0
2012-08-06,20.41,20.8,20.34,20.6,669000,0.0,0
2012-08-07,20.77,21.1,20.48,20.78,690900,0.0,0
2012-08-08,20.65,21.05,20.38,20.64,564400,0.0,0
2012-08-09,20.66,20.86,20.38,20.48,638800,0.0,0
2012-08-10,20.43,20.55,20.18,20.32,357600,0.0,0
2012-08-13,20.31,20.56,20.19,20.55,593100,0.0,0
2012-08-14,20.61,21.35,20.21,21.24,1656400,0.0,0
2012-08-15,21.06,21.55,21.06,21.48,1152700,0.0,0
2012-08-16,21.46,22.22,21.32,22.02,1111000,0.0,0
2012-08-17,21.75,22.37,21.68,22.34,1092700,0.0,0
