Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1995-07-10,6.77,7.02,6.77,7.02,5438000,0.0,0.0
1995-07-11,7.2,7.2,7.09,7.16,4907000,0.0,0.0
1995-07-12,7.16,7.48,7.12,7.48,1055800,0.0,0.0
1995-07-13,7.45,7.52,7.41,7.48,1373600,0.0,0.0
1995-07-14,7.45,7.48,7.41,7.45,985600,0.0,0.0
1995-07-17,7.45,7.45,7.37,7.41,947600,0.0,0.0
1995-07-18,7.41,7.41,7.2,7.23,727400,0.0,0.0
1995-07-19,7.2,7.2,6.69,6.8,558200,0.0,0.0
1995-07-20,6.73,6.77,6.73,6.77,464600,0.0,0.0
1995-07-21,6.8,6.98,6.8,6.91,721200,0.0,0.0
1995-07-24,6.91,7.02,6.91,6.91,509000,0.0,0.0
1995-07-25,6.94,7.09,6.91,6.94,847000,0.0,0.0
1995-07-26,7.02,7.2,7.02,7.2,1584800,0.0,0.0
1995-07-27,7.16,7.37,7.16,7.37,2082600,0.0,0.0
1995-07-28,7.37,7.84,7.27,7.84,14640800,0.0,0.0
1995-07-31,7.8,7.8,7.59,7.73,2544600,0.0,0.0
1995-08-01,7.7,7.7,7.59,7.62,1956000,0.0,0.0
1995-08-02,7.62,7.62,7.23,7.27,2307600,0.0,0.0
1995-08-03,7.2,7.45,7.2,7.45,1762800,0.0,0.0
1995-08-04,7.37,7.41,7.16,7.27,903800,0.0,0.0
1995-08-07,7.23,7.23,7.12,7.2,837000,0.0,0.0
1995-08-08,7.16,7.2,7.12,7.12,729000,0.0,0.0
1995-08-09,7.12,7.12,6.98,7.02,586600,0.0,0.0
1995-08-10,7.02,7.2,7.02,7.09,1319400,0.0,0.0
1995-08-11,7.09,7.23,7.09,7.16,1152000,0.0,0.0
1995-08-14,7.16,7.16,6.94,7.02,379800,0.0,0.0
1995-08-15,7.02,7.09,7.02,7.05,349600,0.0,0.0
1995-08-16,7.12,7.16,7.05,7.09,440200,0.0,0.0
1995-08-17,7.09,7.2,7.05,7.2,410600,0.0,0.0
1995-08-18,7.2,7.2,6.98,7.02,598800,0.0,0.0
1995-08-21,7.05,7.12,6.94,6.94,440400,0.0,0.0
1995-08-22,6.98,7.02,6.8,6.87,444200,0.0,0.0
1995-08-23,6.91,6.91,6.62,6.77,193200,0.0,0.0
1995-08-24,6.77,6.77,6.62,6.66,1284000,0.0,0.0
1995-08-25,6.66,6.84,6.55,6.77,733400,0.0,0.0
1995-08-28,6.77,6.77,6.59,6.66,447600,0.0,0.0
1995-08-29,6.66,6.66,6.48,6.55,368600,0.0,0.0
1995-08-30,6.48,6.73,6.48,6.62,398000,0.0,0.0
1995-08-31,6.66,6.69,6.62,6.69,417400,0.0,0.0
1995-09-01,6.66,6.77,6.66,6.73,594600,0.0,0.0
1995-09-05,6.8,6.84,6.69,6.77,487600,0.0,0.0
1995-09-06,6.8,6.87,6.77,6.84,476400,0.0,0.0
1995-09-07,6.8,6.8,6.62,6.66,618000,0.0,0.0
1995-09-08,6.66,6.69,6.62,6.66,1015600,0.0,0.0
1995-09-11,6.66,6.87,6.62,6.8,279000,0.0,0.0
1995-09-12,6.8,6.87,6.69,6.87,290000,0.0,0.0
1995-09-13,6.98,7.12,6.98,6.98,325000,0.0,0.0
1995-09-14,6.98,7.02,6.91,7.02,491800,0.0,0.0
1995-09-15,7.09,7.12,7.02,7.09,1108600,0.0,0.0
1995-09-18,7.09,7.12,7.05,7.12,609400,0.0,0.0
1995-09-19,7.09,7.12,7.05,7.12,581600,0.0,0.0
1995-09-20,7.09,7.12,7.05,7.09,597600,0.0,0.0
1995-09-21,7.09,7.12,7.05,7.09,437400,0.0,0.0
1995-09-22,7.02,7.09,6.98,7.05,832200,0.0,0.0
1995-09-25,7.09,7.12,7.02,7.09,436400,0.0,0.0
1995-09-26,7.05,7.12,7.02,7.05,571000,0.0,0.0
1995-09-27,7.09,7.2,7.05,7.05,893200,0.0,0.0
1995-09-28,7.09,7.27,7.09,7.27,728200,0.0,0.0
1995-09-29,7.27,7.45,7.23,7.34,300800,0.0,0.0
1995-10-02,7.37,7.37,7.3,7.37,292800,0.0,0.0
1995-10-03,7.34,7.37,7.23,7.34,197600,0.0,0.0
1995-10-04,7.34,7.34,7.12,7.16,232000,0.0,0.0
1995-10-05,7.23,7.23,7.09,7.12,397000,0.0,0.0
1995-10-06,7.12,7.23,7.09,7.16,124400,0.0,0.0
1995-10-09,7.12,7.16,7.05,7.16,148600,0.0,0.0
1995-10-10,7.2,7.23,7.16,7.2,407600,0.0,0.0
1995-10-11,7.23,7.23,7.12,7.2,251400,0.0,0.0
1995-10-12,7.22,7.3,7.19,7.3,462800,0.1125,0.0
1995-10-13,7.3,7.51,7.3,7.4,666400,0.0,0.0
