Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1986-09-25,0.0,0.28,0.27,0.28,38472000,0,0.0
1986-09-26,0.0,0.28,0.27,0.28,2048800,0,0.0
1986-09-29,0.0,0.28,0.27,0.27,2624400,0,0.0
1986-09-30,0.0,0.28,0.27,0.28,1560400,0,0.0
1986-10-01,0.0,0.29,0.28,0.28,620800,0,0.0
1986-10-02,0.0,0.28,0.28,0.28,2689600,0,0.0
1986-10-03,0.0,0.28,0.28,0.28,493600,0,0.0
1986-10-06,0.0,0.28,0.28,0.28,226800,0,0.0
1986-10-07,0.0,0.28,0.28,0.28,272400,0,0.0
1986-10-08,0.0,0.28,0.28,0.28,126400,0,0.0
1986-10-09,0.0,0.28,0.28,0.28,146400,0,0.0
1986-10-10,0.0,0.28,0.28,0.28,72400,0,0.0
1986-10-13,0.0,0.28,0.28,0.28,25200,0,0.0
1986-10-14,0.0,0.28,0.28,0.28,308400,0,0.0
1986-10-15,0.0,0.28,0.28,0.28,153600,0,0.0
1986-10-16,0.0,0.28,0.28,0.28,73600,0,0.0
1986-10-17,0.0,0.28,0.28,0.28,121200,0,0.0
1986-10-20,0.0,0.28,0.28,0.28,80800,0,0.0
1986-10-21,0.0,0.28,0.28,0.28,134800,0,0.0
1986-10-22,0.0,0.28,0.28,0.28,2734800,0,0.0
1986-10-23,0.0,0.28,0.28,0.28,712800,0,0.0
1986-10-24,0.0,0.29,0.28,0.29,1696000,0,0.0
1986-10-27,0.0,0.3,0.29,0.3,134800,0,0.0
1986-10-28,0.0,0.3,0.29,0.3,864000,0,0.0
1986-10-29,0.0,0.32,0.3,0.31,481200,0,0.0
1986-10-30,0.0,0.32,0.31,0.31,481200,0,0.0
1986-10-31,0.0,0.32,0.31,0.32,61600,0,0.0
1986-11-03,0.0,0.33,0.32,0.33,162400,0,0.0
1986-11-04,0.0,0.33,0.32,0.33,16800,0,0.0
1986-11-05,0.0,0.33,0.32,0.32,181600,0,0.0
1986-11-06,0.0,0.32,0.32,0.32,19600,0,0.0
1986-11-07,0.0,0.33,0.32,0.32,3391200,0,0.0
1986-11-10,0.0,0.33,0.32,0.32,56400,0,0.0
1986-11-11,0.0,0.33,0.32,0.32,153600,0,0.0
1986-11-12,0.0,0.32,0.31,0.32,1514400,0,0.0
1986-11-13,0.0,0.32,0.31,0.32,102400,0,0.0
1986-11-14,0.0,0.32,0.31,0.32,90000,0,0.0
1986-11-17,0.0,0.32,0.32,0.32,7600,0,0.0
1986-11-18,0.0,0.31,0.31,0.31,235600,0,0.0
1986-11-19,0.0,0.32,0.3,0.3,1076800,0,0.0
1986-11-20,0.0,0.31,0.3,0.31,54000,0,0.0
1986-11-21,0.0,0.31,0.3,0.31,910800,0,0.0
1986-11-24,0.0,0.31,0.3,0.31,29200,0,0.0
1986-11-25,0.0,0.31,0.31,0.31,454000,0,0.0
1986-11-26,0.0,0.31,0.3,0.31,126400,0,0.0
1986-11-28,0.0,0.3,0.3,0.3,92400,0,0.0
1986-12-01,0.0,0.31,0.3,0.3,29200,0,0.0
1986-12-02,0.0,0.31,0.29,0.29,4628400,0,0.0
1986-12-03,0.0,0.31,0.3,0.31,493600,0,0.0
1986-12-04,0.0,0.31,0.3,0.31,445200,0,0.0
1986-12-05,0.0,0.3,0.3,0.3,2750800,0,0.0
1986-12-08,0.0,0.31,0.3,0.3,302800,0,0.0
1986-12-09,0.0,0.31,0.3,0.3,170800,0,0.0
1986-12-10,0.0,0.31,0.31,0.31,16800,0,0.0
1986-12-11,0.31,0.31,0.31,0.31,0,0,0.0
1986-12-12,0.0,0.31,0.3,0.31,9120400,0,0.0
1986-12-15,0.0,0.31,0.3,0.31,16800,0,0.0
1986-12-16,0.0,0.31,0.3,0.3,207600,0,0.0
1986-12-17,0.0,0.31,0.3,0.3,454000,0,0.0
1986-12-18,0.0,0.31,0.3,0.31,194400,0,0.0
1986-12-19,0.0,0.31,0.3,0.3,37600,0,0.0
1986-12-22,0.0,0.31,0.3,0.31,126400,0,0.0
1986-12-23,0.0,0.31,0.3,0.31,126400,0,0.0
1986-12-24,0.0,0.31,0.3,0.31,923200,0,0.0
1986-12-26,0.0,0.3,0.3,0.3,400,0,0.0
1986-12-29,0.0,0.31,0.31,0.31,7600,0,0.0
1986-12-30,0.31,0.31,0.31,0.31,0,0,0.0
1986-12-31,0.0,0.31,0.3,0.3,782800,0,0.0
1987-01-02,0.0,0.32,0.31,0.31,230400,0,0.0
1987-01-05,0.0,0.32,0.32,0.32,108400,0,0.0
1987-01-06,0.0,0.32,0.32,0.32,146400,0,0.0
1987-01-07,0.0,0.33,0.32,0.33,92400,0,0.0
1987-01-08,0.0,0.34,0.32,0.32,437200,0,0.0
1987-01-09,0.0,0.34,0.32,0.33,365200,0,0.0
1987-01-12,0.0,0.35,0.33,0.34,275200,0,0.0
1987-01-13,0.0,0.36,0.34,0.36,266800,0,0.0
1987-01-14,0.0,0.36,0.35,0.36,138400,0,0.0
1987-01-15,0.0,0.36,0.35,0.35,211200,0,0.0
1987-01-16,0.0,0.36,0.35,0.35,202000,0,0.0
1987-01-19,0.0,0.35,0.35,0.35,400,0,0.0
1987-01-20,0.0,0.36,0.35,0.35,493600,0,0.0
1987-01-21,0.0,0.36,0.35,0.36,248400,0,0.0
1987-01-22,0.0,0.36,0.36,0.36,7600,0,0.0
1987-01-23,0.0,0.37,0.36,0.36,1366000,0,0.0
1987-01-26,0.0,0.37,0.36,0.37,7600,0,0.0
1987-01-27,0.0,0.37,0.37,0.37,272400,0,0.0
1987-01-28,0.0,0.38,0.37,0.38,345600,0,0.0
1987-01-29,0.0,0.4,0.38,0.38,348000,0,0.0
1987-01-30,0.0,0.4,0.38,0.4,493600,0,0.0
1987-02-02,0.0,0.4,0.38,0.4,61600,0,0.0
1987-02-03,0.0,0.39,0.38,0.39,529600,0,0.0
1987-02-04,0.0,0.39,0.36,0.38,1822000,0,0.0
1987-02-05,0.0,0.38,0.36,0.37,138400,0,0.0
1987-02-06,0.0,0.37,0.36,0.36,230400,0,0.0
1987-02-09,0.0,0.37,0.36,0.36,29200,0,0.0
1987-02-10,0.0,0.37,0.37,0.37,138400,0,0.0
1987-02-11,0.0,0.37,0.37,0.37,7600,0,0.0
1987-02-12,0.0,0.38,0.37,0.38,3142800,0,0.0
1987-02-13,0.0,0.38,0.37,0.38,3288400,0,0.0
1987-02-17,0.0,0.38,0.38,0.38,218400,0,0.0
1987-02-18,0.0,0.39,0.37,0.37,1150000,0,0.0
1987-02-19,0.0,0.39,0.37,0.39,25200,0,0.0
1987-02-20,0.0,0.39,0.37,0.39,65200,0,0.0
1987-02-23,0.0,0.39,0.39,0.39,7600,0,0.0
1987-02-24,0.0,0.39,0.39,0.39,37600,0,0.0
1987-02-25,0.0,0.38,0.37,0.38,29200,0,0.0
1987-02-26,0.0,0.39,0.37,0.39,61600,0,0.0
1987-02-27,0.0,0.4,0.38,0.4,92400,0,0.0
1987-03-02,0.0,0.49,0.41,0.47,955600,0,0.0
1987-03-03,0.0,0.46,0.41,0.43,664000,0,0.0
1987-03-04,0.0,0.44,0.41,0.42,230400,0,0.0
1987-03-05,0.0,0.44,0.42,0.42,5456400,0,0.0
1987-03-06,0.0,0.44,0.42,0.44,134800,0,0.0
1987-03-09,0.0,0.44,0.42,0.42,146400,0,0.0
1987-03-10,0.0,0.44,0.42,0.42,54000,0,0.0
1987-03-11,0.0,0.44,0.44,0.44,80800,0,0.0
1987-03-12,0.0,0.44,0.44,0.44,37600,0,0.0
1987-03-13,0.0,0.44,0.43,0.44,146400,0,0.0
1987-03-16,0.0,0.43,0.43,0.43,48400,0,0.0
1987-03-17,0.0,0.44,0.43,0.43,311200,0,0.0
1987-03-18,0.0,0.44,0.43,0.44,5940400,0,0.0
1987-03-19,0.0,0.44,0.43,0.44,248400,0,0.0
1987-03-20,0.0,0.44,0.43,0.43,84400,0,0.0
1987-03-23,0.0,0.45,0.43,0.45,29200,0,0.0
1987-03-24,0.0,0.45,0.43,0.43,153600,0,0.0
1987-03-25,0.0,0.45,0.43,0.45,510000,0,0.0
1987-03-26,0.0,0.45,0.43,0.43,175200,0,0.0
