Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1993-06-22,1.43,1.43,1.24,1.27,22363200,0.0,0.0
1993-06-23,1.3,1.32,1.27,1.3,3168800,0.0,0.0
1993-06-24,1.3,1.32,1.3,1.3,703200,0.0,0.0
1993-06-25,1.3,1.35,1.3,1.32,1654400,0.0,0.0
1993-06-28,1.32,1.35,1.32,1.32,1398400,0.0,0.0
1993-06-29,1.35,1.35,1.3,1.35,756800,0.0,0.0
1993-06-30,1.3,1.3,1.24,1.24,1027200,0.0,0.0
1993-07-01,1.3,1.3,1.24,1.3,627200,0.0,0.0
1993-07-02,1.3,1.3,1.24,1.24,213600,0.0,0.0
1993-07-06,1.24,1.3,1.24,1.24,141600,0.0,0.0
1993-07-07,1.19,1.21,1.1,1.17,1111200,0.0,0.0
1993-07-08,1.13,1.21,1.13,1.16,648800,0.0,0.0
1993-07-09,1.13,1.19,1.13,1.19,255200,0.0,0.0
1993-07-12,1.13,1.19,1.13,1.16,828000,0.0,0.0
1993-07-13,1.13,1.21,1.13,1.2,182400,0.0,0.0
1993-07-14,1.19,1.32,1.19,1.3,583200,0.0,0.0
1993-07-15,1.3,1.32,1.27,1.32,230400,0.0,0.0
1993-07-16,1.32,1.32,1.27,1.27,128800,0.0,0.0
1993-07-19,1.32,1.32,1.27,1.3,692000,0.0,0.0
1993-07-20,1.27,1.32,1.27,1.3,68800,0.0,0.0
1993-07-21,1.27,1.32,1.27,1.27,35200,0.0,0.0
1993-07-22,1.3,1.32,1.3,1.3,448800,0.0,0.0
1993-07-23,1.3,1.32,1.19,1.23,332800,0.0,0.0
1993-07-26,1.19,1.19,1.13,1.19,286400,0.0,0.0
1993-07-27,1.13,1.19,1.13,1.13,411200,0.0,0.0
1993-07-28,1.16,1.19,1.13,1.13,70400,0.0,0.0
1993-07-29,1.19,1.21,1.13,1.21,144800,0.0,0.0
1993-07-30,1.16,1.21,1.14,1.19,984800,0.0,0.0
1993-08-02,1.16,1.19,1.16,1.16,64000,0.0,0.0
1993-08-03,1.16,1.19,1.16,1.16,64000,0.0,0.0
1993-08-04,1.19,1.19,1.16,1.16,65600,0.0,0.0
1993-08-05,1.16,1.19,1.16,1.16,39200,0.0,0.0
