Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-12-09,21.25,21.92,21.04,21.77,10609700,0.0,0
2010-12-10,21.36,21.61,21.1,21.37,1206800,0.0,0
2010-12-13,21.44,21.61,21.05,21.36,473200,0.0,0
2010-12-14,21.6,21.81,21.07,21.29,358200,0.0,0
2010-12-15,21.21,21.6,21.2,21.4,242200,0.0,0
2010-12-16,21.52,21.56,21.21,21.56,260000,0.0,0
2010-12-17,21.48,21.88,21.44,21.88,69800,0.0,0
2010-12-20,21.91,22.16,21.71,21.94,65900,0.0,0
2010-12-21,21.96,22.64,21.84,22.54,210200,0.0,0
2010-12-22,22.61,23.79,22.58,22.96,103000,0.0,0
2010-12-23,23.14,23.14,22.52,22.69,66100,0.0,0
2010-12-27,22.73,22.89,22.51,22.59,29800,0.0,0
2010-12-28,22.6,22.71,22.46,22.65,90200,0.0,0
2010-12-29,22.8,22.8,22.49,22.67,85300,0.0,0
2010-12-30,22.79,23.35,22.31,22.58,149800,0.0,0
2010-12-31,22.61,22.7,22.48,22.7,68800,0.0,0
2011-01-03,23.0,23.01,22.41,22.59,230900,0.0,0
2011-01-04,22.79,22.79,22.22,22.24,56500,0.0,0
2011-01-05,22.36,22.53,22.06,22.15,178700,0.0,0
2011-01-06,22.31,22.77,22.24,22.61,218600,0.0,0
2011-01-07,24.2,24.33,23.51,23.81,2144000,0.0,0
2011-01-10,24.08,24.43,24.03,24.11,621700,0.0,0
2011-01-11,24.33,24.36,23.71,23.84,330800,0.0,0
2011-01-12,24.0,24.09,23.55,23.62,216500,0.0,0
2011-01-13,23.69,23.98,23.62,23.79,132800,0.0,0
2011-01-14,23.91,24.44,23.85,24.44,269100,0.0,0
2011-01-18,24.44,24.54,23.66,24.08,49400,0.0,0
2011-01-19,23.91,24.04,23.71,23.79,300200,0.0,0
2011-01-20,23.62,24.24,23.37,23.86,155300,0.0,0
2011-01-21,23.94,23.94,23.38,23.56,152300,0.0,0
2011-01-24,23.53,23.73,23.23,23.62,85000,0.0,0
2011-01-25,23.55,23.64,23.39,23.64,54100,0.0,0
2011-01-26,23.6,23.73,23.44,23.66,62600,0.0,0
2011-01-27,23.94,24.17,23.62,23.63,168400,0.0,0
2011-01-28,23.54,23.55,22.84,23.17,311600,0.0,0
2011-01-31,23.22,23.22,23.05,23.18,57400,0.0,0
2011-02-01,23.19,23.28,22.78,22.83,197800,0.0,0
2011-02-02,22.71,22.99,22.65,22.7,100500,0.0,0
2011-02-03,22.68,22.84,22.52,22.53,169600,0.0,0
2011-02-04,22.52,22.78,22.3,22.77,146300,0.0,0
