Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-11-18,8.5,8.75,8.16,8.31,27340800,0,0.0
2009-11-19,8.28,8.56,8.03,8.44,4434600,0,0.0
2009-11-20,8.44,8.48,8.03,8.47,2278000,0,0.0
2009-11-23,8.53,8.59,8.3,8.45,2371600,0,0.0
2009-11-24,8.4,8.52,8.36,8.51,935400,0,0.0
2009-11-25,8.57,8.64,8.48,8.6,856000,0,0.0
2009-11-27,8.39,8.84,8.35,8.44,348000,0,0.0
2009-11-30,8.52,8.66,8.4,8.49,867600,0,0.0
2009-12-01,8.5,8.62,8.31,8.41,825000,0,0.0
2009-12-02,8.45,8.45,8.07,8.31,1920400,0,0.0
2009-12-03,8.31,8.43,8.26,8.34,1139800,0,0.0
2009-12-04,8.43,8.65,8.18,8.64,1625400,0,0.0
2009-12-07,8.56,8.81,8.42,8.46,1046400,0,0.0
2009-12-08,8.48,8.48,8.23,8.27,416000,0,0.0
2009-12-09,8.25,8.62,8.25,8.49,811000,0,0.0
2009-12-10,8.59,8.59,8.39,8.46,152600,0,0.0
2009-12-11,8.41,8.48,8.33,8.47,262400,0,0.0
2009-12-14,8.45,8.6,8.4,8.5,157400,0,0.0
2009-12-15,8.55,8.62,8.43,8.5,489000,0,0.0
2009-12-16,8.5,9.17,8.5,9.12,1564600,0,0.0
2009-12-17,9.15,9.23,8.9,8.98,1343400,0,0.0
2009-12-18,9.09,9.19,8.77,8.79,3898600,0,0.0
2009-12-21,8.82,8.98,8.6,8.81,605600,0,0.0
2009-12-22,8.85,8.89,8.56,8.61,522800,0,0.0
2009-12-23,8.65,9.09,8.6,8.98,804600,0,0.0
2009-12-24,8.99,9.27,8.95,9.18,475200,0,0.0
2009-12-28,9.34,9.39,8.75,8.86,1107400,0,0.0
2009-12-29,8.86,9.2,8.86,9.18,663400,0,0.0
2009-12-30,9.15,9.16,8.95,9.01,234600,0,0.0
2009-12-31,9.03,9.12,8.77,8.78,303600,0,0.0
2010-01-04,8.94,9.1,8.81,9.0,716000,0,0.0
2010-01-05,9.02,9.3,9.0,9.19,822800,0,0.0
2010-01-06,9.44,9.93,9.4,9.7,1873400,0,0.0
2010-01-07,9.77,9.81,9.5,9.73,275200,0,0.0
2010-01-08,9.77,10.3,9.61,10.06,914200,0,0.0
2010-01-11,10.12,10.12,9.85,10.02,375800,0,0.0
2010-01-12,9.94,10.12,9.85,9.9,947400,0,0.0
2010-01-13,9.88,9.94,9.2,9.72,781800,0,0.0
2010-01-14,9.73,10.03,9.62,9.95,706800,0,0.0
2010-01-15,9.98,9.98,9.57,9.81,651000,0,0.0
2010-01-19,9.82,10.24,9.81,9.9,617200,0,0.0
2010-01-20,9.86,10.0,9.44,9.53,463200,0,0.0
2010-01-21,9.57,9.57,9.12,9.19,711000,0,0.0
2010-01-22,9.2,9.42,8.91,8.94,929000,0,0.0
2010-01-25,9.06,9.06,8.85,9.01,491200,0,0.0
2010-01-26,9.0,9.35,9.0,9.15,677200,0,0.0
2010-01-27,9.19,9.4,8.95,9.32,788200,0,0.0
2010-01-28,9.5,9.52,8.63,8.9,2709000,0,0.0
2010-01-29,8.94,9.22,8.06,8.61,1759600,0,0.0
2010-02-01,8.65,8.88,8.5,8.73,361400,0,0.0
2010-02-02,8.75,8.86,8.51,8.56,1300000,0,0.0
2010-02-03,8.57,8.61,8.18,8.22,913600,0,0.0
2010-02-04,8.19,8.27,7.76,7.85,1204000,0,0.0
2010-02-05,7.85,7.95,7.59,7.84,1060800,0,0.0
2010-02-08,7.88,8.04,7.68,7.95,377200,0,0.0
2010-02-09,8.36,8.57,8.14,8.3,878000,0,0.0
2010-02-10,8.27,8.5,8.19,8.43,555200,0,0.0
2010-02-11,8.43,8.44,8.15,8.34,644600,0,0.0
2010-02-12,8.23,8.48,8.21,8.26,410800,0,0.0
2010-02-16,8.33,8.39,8.19,8.26,161800,0,0.0
2010-02-17,8.27,8.46,8.23,8.46,369400,0,0.0
2010-02-18,8.48,8.68,8.43,8.66,281800,0,0.0
2010-02-19,8.66,8.74,8.62,8.66,332600,0,0.0
2010-02-22,8.66,8.68,8.45,8.48,346800,0,0.0
2010-02-23,8.45,8.5,8.26,8.34,255600,0,0.0
2010-02-24,8.41,8.53,8.26,8.28,511000,0,0.0
2010-02-25,8.22,8.42,8.02,8.38,386600,0,0.0
2010-02-26,8.4,8.65,8.25,8.59,421800,0,0.0
2010-03-01,8.66,9.06,8.52,8.99,694000,0,0.0
2010-03-02,9.0,9.12,8.64,8.73,558400,0,0.0
2010-03-03,8.75,8.76,8.52,8.55,312800,0,0.0
2010-03-04,8.6,8.69,8.35,8.44,406800,0,0.0
2010-03-05,8.51,8.69,8.47,8.52,771400,0,0.0
2010-03-08,8.55,8.65,8.55,8.62,631800,0,0.0
2010-03-09,8.56,8.82,8.51,8.51,706600,0,0.0
2010-03-10,8.53,8.56,8.23,8.33,567200,0,0.0
2010-03-11,8.3,8.3,8.11,8.19,389200,0,0.0
2010-03-12,8.25,8.25,8.1,8.17,295800,0,0.0
2010-03-15,8.18,8.44,8.11,8.16,328800,0,0.0
2010-03-16,8.16,8.4,8.02,8.24,472800,0,0.0
2010-03-17,8.27,8.51,8.22,8.47,942400,0,0.0
2010-03-18,8.5,8.77,8.5,8.59,1255200,0,0.0
2010-03-19,8.55,8.62,8.36,8.55,904800,0,0.0
2010-03-22,8.48,8.66,8.48,8.56,1131200,0,0.0
2010-03-23,8.55,8.7,8.52,8.67,513200,0,0.0
2010-03-24,8.65,8.82,8.57,8.6,372800,0,0.0
2010-03-25,8.64,8.79,8.59,8.6,287000,0,0.0
2010-03-26,8.6,8.66,8.44,8.52,675000,0,0.0
2010-03-29,8.52,8.7,8.48,8.7,416000,0,0.0
2010-03-30,8.69,8.85,8.64,8.83,472000,0,0.0
2010-03-31,8.81,8.95,8.76,8.79,424400,0,0.0
