Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-07-05,48.53,53.39,47.55,47.75,6230700,0.0,0
2016-07-06,46.24,47.75,45.48,46.91,6706500,0.0,0
2016-07-07,46.78,47.16,46.51,46.9,5486800,0.0,0
2016-07-08,47.12,49.72,46.7,49.32,4243500,0.0,0
2016-07-11,48.35,50.33,48.12,50.22,6042300,0.0,0
2016-07-12,50.11,50.16,49.38,49.68,5552900,0.0,0
2016-07-13,49.68,50.2,48.96,49.73,4864700,0.0,0
2016-07-14,49.45,50.83,49.07,50.67,3481600,0.0,0
2016-07-15,50.87,51.0,49.72,50.33,3689800,0.0,0
2016-07-18,49.88,50.68,49.62,50.39,1557500,0.0,0
2016-07-19,50.14,50.66,49.56,50.65,1954700,0.0,0
2016-07-20,50.93,51.01,49.13,49.46,3351700,0.0,0
2016-07-21,49.52,49.73,49.11,49.36,3029900,0.0,0
2016-07-22,49.12,49.41,48.43,48.53,2450600,0.0,0
2016-07-25,48.36,48.58,47.02,48.12,3044800,0.0,0
2016-07-26,47.71,48.55,47.43,48.42,1571400,0.0,0
2016-07-27,48.22,48.63,47.86,48.06,1628600,0.0,0
2016-07-28,47.88,48.23,47.5,47.8,2923100,0.0,0
2016-07-29,47.61,47.94,47.17,47.36,4484100,0.0,0
2016-08-01,47.27,47.66,46.76,46.96,2981000,0.0,0
2016-08-02,46.67,47.18,46.35,46.67,3267300,0.0,0
2016-08-03,46.67,48.61,46.52,48.42,4709900,0.0,0
2016-08-04,48.72,49.23,48.61,49.15,3046800,0.0,0
2016-08-05,49.38,50.09,49.38,49.69,2665900,0.0,0
2016-08-08,49.74,49.98,49.06,49.17,2116500,0.0,0
2016-08-09,47.88,49.64,47.57,49.57,1077900,0.0,0
2016-08-10,49.58,49.91,49.22,49.56,1182400,0.0,0
2016-08-11,49.84,51.79,49.81,51.63,1992700,0.0,0
2016-08-12,51.09,51.94,50.89,51.79,1287800,0.0,0
2016-08-15,52.02,52.83,51.93,52.72,1457900,0.0,0
2016-08-16,52.64,53.0,52.34,52.61,1002300,0.0,0
2016-08-17,52.73,52.79,52.4,52.47,1032100,0.0,0
2016-08-18,52.29,52.58,52.0,52.23,874700,0.0,0
2016-08-19,52.02,52.02,50.8,51.01,1196100,0.0,0
2016-08-22,51.01,51.13,50.18,50.36,1081700,0.0,0
2016-08-23,50.46,51.19,50.24,50.99,2513600,0.0,0
2016-08-24,50.43,50.94,49.78,50.54,692800,0.07,0
2016-08-25,50.35,51.05,50.15,50.78,1384900,0.0,0
2016-08-26,50.8,51.49,50.69,51.03,937600,0.0,0
2016-08-29,50.94,51.93,50.72,51.56,1044800,0.0,0
2016-08-30,51.34,52.6,51.34,51.76,952100,0.0,0
2016-08-31,51.62,51.96,51.16,51.82,1653600,0.0,0
2016-09-01,52.1,52.25,51.29,51.78,959400,0.0,0
2016-09-02,52.16,52.6,51.95,52.51,840800,0.0,0
2016-09-06,52.63,52.68,51.44,51.87,1293800,0.0,0
2016-09-07,51.58,52.26,51.18,52.08,1743200,0.0,0
2016-09-08,51.83,52.1,51.42,51.48,1097800,0.0,0
2016-09-09,50.93,51.17,49.73,49.73,2170700,0.0,0
2016-09-12,49.21,50.61,49.05,50.38,1862400,0.0,0
2016-09-13,50.04,50.57,49.16,49.23,1607100,0.0,0
2016-09-14,49.24,49.68,48.83,49.21,1152300,0.0,0
2016-09-15,49.17,49.78,48.7,49.67,1410100,0.0,0
2016-09-16,49.3,49.57,48.62,49.44,2351900,0.0,0
2016-09-19,49.59,50.57,49.56,49.96,975300,0.0,0
2016-09-20,49.96,50.25,49.4,49.44,1070400,0.0,0
2016-09-21,49.65,50.18,49.41,50.15,850800,0.0,0
2016-09-22,50.52,51.15,50.46,50.8,1649200,0.0,0
2016-09-23,50.47,50.74,49.83,50.05,807200,0.0,0
2016-09-26,49.84,50.65,49.48,50.39,1066300,0.0,0
2016-09-27,50.27,50.94,50.22,50.77,1196400,0.0,0
2016-09-28,50.9,50.93,50.52,50.88,905700,0.0,0
2016-09-29,50.26,50.77,49.81,49.88,1458100,0.0,0
2016-09-30,50.29,50.44,49.46,50.07,1952400,0.0,0
2016-10-03,49.79,50.82,49.79,50.56,1360700,0.0,0
2016-10-04,50.43,50.62,49.74,49.99,1212800,0.0,0
2016-10-05,50.19,50.46,49.78,50.11,884500,0.0,0
2016-10-06,50.01,50.14,49.68,49.88,764000,0.0,0
2016-10-07,49.68,49.99,49.06,49.12,1055600,0.0,0
2016-10-10,49.42,49.5,49.09,49.14,1021200,0.0,0
2016-10-11,49.11,49.35,48.23,48.42,1401900,0.0,0
2016-10-12,48.6,48.6,47.86,48.2,1620000,0.0,0
2016-10-13,47.84,48.87,47.22,48.03,1209600,0.0,0
2016-10-14,48.27,49.13,48.02,48.66,872300,0.0,0
2016-10-17,48.76,48.79,48.12,48.26,1116500,0.0,0
2016-10-18,48.84,49.5,48.21,48.29,1152600,0.0,0
2016-10-19,48.47,48.99,47.67,48.59,759900,0.0,0
2016-10-20,48.34,48.38,47.65,47.91,1419300,0.0,0
2016-10-21,47.44,48.1,47.35,47.88,1707000,0.0,0
2016-10-24,48.08,48.46,47.58,47.76,1269600,0.0,0
2016-10-25,47.71,47.71,47.08,47.14,1279400,0.0,0
