Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,1.23,1.22,1.23,111600,0.0,0.0
1980-03-18,0.0,1.27,1.22,1.27,88300,0.0,0.0
1980-03-19,0.0,1.3,1.27,1.3,69000,0.0,0.0
1980-03-20,0.0,1.32,1.3,1.3,36400,0.0,0.0
1980-03-21,0.0,1.3,1.27,1.27,53500,0.0,0.0
1980-03-24,0.0,1.28,1.24,1.24,247200,0.0,0.0
1980-03-25,0.0,1.25,1.23,1.24,21600,0.0,0.0
1980-03-26,0.0,1.3,1.23,1.3,187600,0.0,0.0
1980-03-27,0.0,1.28,1.24,1.27,248400,0.0,0.0
1980-03-28,0.0,1.32,1.27,1.32,174100,0.0,0.0
1980-03-31,0.0,1.32,1.3,1.32,74200,0.0,0.0
1980-04-01,0.0,1.33,1.32,1.33,42700,0.0,0.0
1980-04-02,0.0,1.33,1.3,1.31,63000,0.0,0.0
1980-04-03,0.0,1.33,1.33,1.33,28300,0.0,0.0
1980-04-07,0.0,1.32,1.29,1.3,90000,0.0,0.0
1980-04-08,0.0,1.33,1.31,1.32,15400,0.0,0.0
1980-04-09,0.0,1.33,1.32,1.33,115300,0.0,0.0
1980-04-10,0.0,1.33,1.32,1.33,90400,0.0,0.0
1980-04-11,0.0,1.32,1.28,1.29,135600,0.0,0.0
1980-04-14,0.0,1.29,1.18,1.19,40600,0.0,0.0
1980-04-15,0.0,1.2,1.19,1.2,244900,0.0,0.0
1980-04-16,0.0,1.2,1.18,1.19,91000,0.0,0.0
1980-04-17,0.0,1.19,1.18,1.18,34600,0.0,0.0
1980-04-18,0.0,1.19,1.18,1.19,24300,0.0,0.0
1980-04-21,0.0,1.19,1.17,1.19,101200,0.0,0.0
1980-04-22,0.0,1.2,1.18,1.19,244900,0.0,0.0
1980-04-23,0.0,1.18,1.16,1.16,144000,0.0,0.0
1980-04-24,0.0,1.19,1.16,1.17,102600,0.0,0.0
1980-04-25,0.0,1.18,1.16,1.17,95400,0.0,0.0
1980-04-28,0.0,1.2,1.17,1.18,173400,0.0,0.0
1980-04-29,0.0,1.21,1.19,1.21,349600,0.0,0.0
1980-04-30,0.0,1.2,1.17,1.19,96000,0.0,0.0
1980-05-01,0.0,1.19,1.17,1.17,68800,0.0,0.0
1980-05-02,0.0,1.17,1.16,1.16,47400,0.0,0.0
1980-05-05,0.0,1.17,1.16,1.17,59500,0.0,0.0
1980-05-06,0.0,1.18,1.15,1.18,169300,0.0,0.0
1980-05-07,0.0,1.19,1.16,1.17,91300,0.0,0.0
1980-05-08,0.0,1.18,1.15,1.17,144600,0.0,0.0
1980-05-09,0.0,1.17,1.16,1.16,82300,0.0,0.0
1980-05-12,0.0,1.17,1.15,1.16,12100,0.0,0.0
1980-05-13,0.0,1.22,1.16,1.22,127500,0.0,0.0
1980-05-14,0.0,1.27,1.22,1.26,123700,0.0,0.0
1980-05-15,0.0,1.33,1.27,1.33,64000,0.0,0.0
1980-05-16,0.0,1.33,1.31,1.32,51900,0.0,0.0
1980-05-19,0.0,1.35,1.32,1.33,132900,0.0,0.0
1980-05-20,0.0,1.35,1.33,1.34,160800,0.0,0.0
1980-05-21,0.0,1.34,1.32,1.34,47800,0.0,0.0
1980-05-22,0.0,1.34,1.32,1.33,78300,0.0,0.0
1980-05-23,0.0,1.34,1.31,1.31,20200,0.0,0.0
1980-05-27,0.0,1.33,1.33,1.33,96400,0.0,0.0
1980-05-28,0.0,1.35,1.33,1.35,17500,0.0,0.0
1980-05-29,0.0,1.35,1.33,1.33,83800,0.0,0.0
1980-05-30,0.0,1.32,1.3,1.32,57600,0.0,0.0
1980-06-02,0.0,1.31,1.31,1.31,85900,0.0,0.0
1980-06-03,0.0,1.34,1.31,1.34,89200,0.0,0.0
1980-06-04,0.0,1.34,1.32,1.32,23100,0.0,0.0
1980-06-05,0.0,1.35,1.32,1.34,49500,0.0,0.0
1980-06-06,0.0,1.33,1.3,1.32,97300,0.0,0.0
1980-06-09,0.0,1.38,1.33,1.38,85900,0.0,0.0
1980-06-10,0.0,1.4,1.37,1.39,52600,0.0,0.0
