Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1999-05-04,59.9,60.89,55.18,55.47,22320900,0.0,0
1999-05-05,55.08,55.08,52.22,54.49,7565700,0.0,0
1999-05-06,53.6,54.68,52.86,53.55,2905700,0.0,0
1999-05-07,53.55,59.02,52.61,58.43,4862300,0.0,0
1999-05-10,57.84,57.93,55.37,55.72,2589400,0.0,0
1999-05-11,55.18,56.11,54.78,55.67,1839800,0.0,0
1999-05-12,55.96,59.02,54.49,57.93,2659300,0.0,0
1999-05-13,57.74,59.31,57.15,57.69,1142900,0.0,0
1999-05-14,56.16,56.95,54.44,55.32,2058400,0.0,0
1999-05-17,54.49,55.37,53.6,54.09,2075000,0.0,0
1999-05-18,53.8,55.52,53.7,54.09,1407100,0.0,0
1999-05-19,54.68,55.03,54.19,54.63,727400,0.0,0
1999-05-20,54.83,55.27,53.89,53.89,520800,0.0,0
1999-05-21,53.7,54.24,53.21,53.21,936200,0.0,0
1999-05-24,52.81,53.01,51.23,51.48,1493000,0.0,0
1999-05-25,50.54,51.97,50.45,50.84,1662400,0.0,0
1999-05-26,51.73,52.52,49.71,52.07,1602900,0.0,0
1999-05-27,51.23,53.4,50.99,53.4,1220500,0.0,0
1999-05-28,53.4,54.24,52.81,53.55,901900,0.0,0
1999-06-01,52.52,52.52,50.1,50.59,953900,0.0,0
1999-06-02,50.25,50.5,48.87,49.86,2204300,0.0,0
1999-06-03,50.45,50.59,49.76,50.15,852600,0.0,0
1999-06-04,50.69,52.81,50.69,51.53,1357400,0.0,0
1999-06-07,51.38,53.4,51.38,51.97,891900,0.0,0
1999-06-08,51.53,51.78,50.25,50.25,571700,0.0,0
1999-06-09,50.64,51.63,50.15,51.63,611400,0.0,0
1999-06-10,51.14,51.19,49.9,49.95,664200,0.0,0
1999-06-11,50.4,50.69,49.12,49.86,969300,0.0,0
1999-06-14,50.05,50.45,47.69,48.28,821100,0.0,0
1999-06-15,49.56,49.95,49.07,49.46,831700,0.0,0
1999-06-16,50.4,51.58,50.4,51.43,690300,0.0,0
1999-06-17,50.84,52.71,50.84,51.23,955700,0.0,0
1999-06-18,50.64,51.14,50.05,51.09,613900,0.0,0
1999-06-21,52.56,55.13,52.47,54.78,1811000,0.0,0
1999-06-22,55.27,55.27,53.4,53.6,1165900,0.0,0
1999-06-23,52.86,53.16,51.14,51.23,1351700,0.0,0
1999-06-24,52.07,52.42,50.84,51.28,1408900,0.0,0
1999-06-25,51.63,52.66,51.53,52.22,1111500,0.0,0
1999-06-28,52.37,53.21,51.83,52.47,784600,0.0,0
1999-06-29,52.02,53.99,52.02,53.4,629800,0.0,0
1999-06-30,53.99,56.95,52.12,56.95,2127600,0.0,0
1999-07-01,56.26,56.31,54.98,55.82,813600,0.0,0
1999-07-02,55.62,56.11,54.93,55.91,536900,0.0,0
1999-07-06,55.18,56.11,54.58,55.57,747600,0.0,0
