Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-10-19,9.65,9.65,8.6,8.63,2721200,0.0,0.0
2015-10-20,8.48,8.83,8.48,8.8,1220800,0.0,0.0
2015-10-21,9.0,9.05,8.56,8.6,135200,0.0,0.0
2015-10-22,8.72,8.89,8.47,8.84,189200,0.0,0.0
2015-10-23,9.0,9.0,8.79,8.87,102900,0.0,0.0
2015-10-26,8.93,8.93,8.51,8.57,885600,0.0,0.0
2015-10-27,8.64,8.74,8.14,8.21,1094200,0.0,0.0
2015-10-28,8.29,8.53,8.27,8.49,509700,0.0,0.0
2015-10-29,8.35,8.49,8.11,8.32,499600,0.0,0.0
2015-10-30,8.29,8.4,7.68,7.68,4214100,0.0,0.0
2015-11-02,7.82,7.91,7.23,7.56,70312600,0.0,0.0
2015-11-03,7.34,7.67,7.13,7.49,69176300,0.0,0.0
2015-11-04,7.51,7.57,7.1,7.13,54241800,0.0,0.0
2015-11-05,7.12,7.25,6.84,6.93,38179900,0.0,0.0
2015-11-06,6.88,7.55,6.86,7.51,51702600,0.0,0.0
2015-11-09,7.44,7.55,7.37,7.41,30158000,0.0,0.0
2015-11-10,7.37,7.53,7.31,7.52,25426000,0.0,0.0
2015-11-11,7.41,7.47,7.35,7.36,18942200,0.0,0.0
2015-11-12,7.2,7.21,7.09,7.15,35050600,0.0,0.0
2015-11-13,7.1,7.18,6.86,6.99,25678400,0.0,0.0
2015-11-16,6.97,7.1,6.85,6.98,23712100,0.0,0.0
2015-11-17,6.98,7.04,6.84,6.9,21370500,0.0,0.0
2015-11-18,7.03,7.16,6.88,7.12,22402400,0.0,0.0
2015-11-19,7.06,7.25,7.05,7.19,22662200,0.0,0.0
2015-11-20,7.19,7.63,7.14,7.41,31932300,0.0,0.0
2015-11-23,7.39,7.41,7.08,7.23,26354200,0.0,0.0
2015-11-24,7.08,7.32,7.04,7.14,41484100,0.0,0.0
2015-11-25,7.26,7.75,7.22,7.37,39017100,0.0,0.0
2015-11-27,7.37,7.64,7.33,7.49,10395000,0.0,0.0
2015-11-30,7.42,7.83,7.4,7.75,50075500,0.0,0.0
2015-12-01,7.76,8.28,7.75,8.14,43197200,0.0,0.0
2015-12-02,8.02,8.11,7.76,7.8,21818500,0.0,0.0
2015-12-03,7.83,8.0,7.61,7.63,32527300,0.0,0.0
2015-12-04,7.51,7.98,7.43,7.94,20648400,0.0,0.0
2015-12-07,7.85,8.1,7.81,8.09,16424400,0.03197,0.0
2015-12-08,7.9,8.01,7.65,7.94,19988600,0.0,0.0
2015-12-09,7.85,8.06,7.69,7.77,24538300,0.0,0.0
2015-12-10,7.74,7.75,7.61,7.71,19528600,0.0,0.0
2015-12-11,7.85,8.06,7.4,7.42,18265700,0.0,0.0
2015-12-14,7.49,7.59,7.29,7.56,19834700,0.0,0.0
2015-12-15,7.6,7.84,7.58,7.62,22175600,0.0,0.0
2015-12-16,7.65,7.75,7.62,7.7,13490800,0.0,0.0
2015-12-17,7.65,7.71,7.45,7.49,13118600,0.0,0.0
2015-12-18,7.47,7.53,7.33,7.41,33271400,0.0,0.0
2015-12-21,7.39,7.54,7.26,7.34,16970300,0.0,0.0
2015-12-22,7.35,7.4,7.29,7.36,12547100,0.0,0.0
2015-12-23,7.43,7.84,7.36,7.81,19359600,0.0,0.0
2015-12-24,7.75,7.94,7.74,7.86,3748100,0.0,0.0
2015-12-28,7.8,8.0,7.76,7.97,10203800,0.0,0.0
2015-12-29,8.01,8.08,7.95,7.96,10797800,0.0,0.0
2015-12-30,8.01,8.1,7.93,8.0,10796700,0.0,0.0
2015-12-31,7.97,8.02,7.91,7.96,11644800,0.0,0.0
2016-01-04,7.84,7.93,7.72,7.92,25940400,0.0,0.0
2016-01-05,7.92,7.98,7.82,7.87,17770100,0.0,0.0
2016-01-06,7.65,7.85,7.6,7.75,19468100,0.0,0.0
2016-01-07,7.59,7.62,7.15,7.18,34143900,0.0,0.0
2016-01-08,7.21,7.34,6.97,7.09,28272000,0.0,0.0
2016-01-11,7.03,7.18,6.84,6.94,25998800,0.0,0.0
2016-01-12,6.99,7.03,6.85,6.94,21435500,0.0,0.0
2016-01-13,6.99,6.99,6.56,6.68,30489600,0.0,0.0
2016-01-14,6.68,6.9,6.62,6.81,22973700,0.0,0.0
2016-01-15,6.6,6.7,6.54,6.57,33945600,0.0,0.0
2016-01-19,6.64,6.69,6.39,6.45,22239600,0.0,0.0
2016-01-20,6.28,6.39,6.09,6.31,28630200,0.0,0.0
2016-01-21,6.28,6.57,6.19,6.5,28784100,0.0,0.0
2016-01-22,6.65,7.03,6.62,6.99,26272600,0.0,0.0
2016-01-25,6.96,7.09,6.87,6.98,19241600,0.0,0.0
2016-01-26,6.99,7.19,6.99,7.12,18454700,0.0,0.0
2016-01-27,7.08,7.13,6.78,7.01,31803600,0.0,0.0
2016-01-28,7.04,7.17,6.84,6.91,16989400,0.0,0.0
2016-01-29,7.02,7.27,6.99,7.2,19548700,0.0,0.0
2016-02-01,7.16,7.27,7.08,7.22,16430600,0.0,0.0
2016-02-02,7.17,7.31,6.99,7.04,16650600,0.0,0.0
2016-02-03,7.15,7.21,6.86,7.0,12995300,0.0,0.0
