Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1974-12-17,0.0,2.08,1.87,2.04,310800,0.025,1.02
1974-12-18,0.0,2.18,2.11,2.12,95400,0.0,0.0
1974-12-19,0.0,2.28,2.09,2.23,143100,0.0,0.0
1974-12-20,0.0,2.24,2.17,2.17,75300,0.0,0.0
1974-12-23,0.0,2.25,2.14,2.25,112800,0.0,0.0
1974-12-24,0.0,2.35,2.26,2.3,65700,0.0,0.0
1974-12-26,0.0,2.38,2.28,2.3,40800,0.0,0.0
1974-12-27,0.0,2.28,2.18,2.19,82500,0.0,0.0
1974-12-30,0.0,2.28,2.17,2.28,37800,0.0,0.0
1974-12-31,0.0,2.38,2.31,2.32,74100,0.0,0.0
1975-01-02,0.0,2.51,2.32,2.42,119100,0.0,0.0
1975-01-03,0.0,2.42,2.35,2.36,43800,0.0,0.0
1975-01-06,0.0,2.45,2.35,2.35,137100,0.0,0.0
1975-01-07,0.0,2.34,2.3,2.32,25500,0.0,0.0
1975-01-08,0.0,2.38,2.26,2.28,95100,0.0,0.0
1975-01-09,0.0,2.32,2.22,2.3,128700,0.0,0.0
1975-01-10,0.0,2.46,2.36,2.36,101100,0.0,0.0
1975-01-13,0.0,2.41,2.32,2.32,95700,0.0,0.0
1975-01-14,0.0,2.41,2.32,2.41,145800,0.0,0.0
1975-01-15,0.0,2.46,2.37,2.46,161700,0.0,0.0
1975-01-16,0.0,2.52,2.44,2.44,80100,0.0,0.0
1975-01-17,0.0,2.44,2.32,2.35,61500,0.0,0.0
1975-01-20,0.0,2.39,2.32,2.38,51900,0.0,0.0
1975-01-21,0.0,2.46,2.42,2.42,62400,0.0,0.0
1975-01-22,0.0,2.38,2.32,2.36,57600,0.0,0.0
1975-01-23,0.0,2.44,2.37,2.43,41700,0.0,0.0
1975-01-24,0.0,2.44,2.35,2.42,89700,0.0,0.0
1975-01-27,0.0,2.59,2.51,2.56,99000,0.0,0.0
1975-01-28,0.0,2.63,2.51,2.58,134100,0.0,0.0
1975-01-29,0.0,2.59,2.53,2.56,111900,0.0,0.0
1975-01-30,0.0,2.58,2.44,2.46,71700,0.0,0.0
1975-01-31,0.0,2.58,2.45,2.56,113100,0.0,0.0
1975-02-03,0.0,2.75,2.57,2.7,78300,0.0,0.0
1975-02-04,0.0,2.75,2.58,2.59,74100,0.0,0.0
1975-02-05,0.0,2.7,2.61,2.68,126600,0.0,0.0
1975-02-06,0.0,2.85,2.69,2.69,205800,0.0,0.0
1975-02-07,0.0,2.63,2.58,2.61,85800,0.0,0.0
1975-02-10,0.0,2.64,2.61,2.64,141000,0.0,0.0
1975-02-11,0.0,2.63,2.58,2.58,66900,0.0,0.0
1975-02-12,0.0,2.63,2.56,2.62,316800,0.0,0.0
1975-02-13,0.0,2.7,2.62,2.62,231900,0.0,0.0
1975-02-14,0.0,2.66,2.61,2.62,122400,0.0,0.0
1975-02-18,0.0,2.61,2.51,2.55,67200,0.0,0.0
1975-02-19,0.0,2.57,2.45,2.57,99000,0.0,0.0
1975-02-20,0.0,2.62,2.46,2.62,120900,0.0,0.0
1975-02-21,0.0,2.61,2.51,2.55,151500,0.0,0.0
1975-02-24,0.0,2.62,2.55,2.56,138900,0.0,0.0
1975-02-25,0.0,2.58,2.48,2.51,100500,0.0,0.0
1975-02-26,0.0,2.56,2.5,2.55,99900,0.0,0.0
1975-02-27,0.0,2.61,2.53,2.56,87900,0.0,0.0
