Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1962-01-02,0.0,1.15,1.13,1.13,48600,0.0,0.0
1962-01-03,0.0,1.13,1.11,1.11,50700,0.0,0.0
1962-01-04,0.0,1.13,1.11,1.11,45800,0.0,0.0
1962-01-05,0.0,1.13,1.1,1.12,72600,0.0,0.0
1962-01-08,0.0,1.12,1.07,1.1,88800,0.0,0.0
1962-01-09,0.0,1.11,1.08,1.08,85900,0.0,0.0
1962-01-10,0.0,1.09,1.06,1.07,53500,0.0,0.0
1962-01-11,0.0,1.08,1.06,1.07,48600,0.0,0.0
1962-01-12,0.0,1.09,1.06,1.07,48600,0.0,0.0
1962-01-15,0.0,1.07,1.04,1.05,76600,0.0,0.0
1962-01-16,0.0,1.06,1.04,1.05,40500,0.0,0.0
1962-01-17,0.0,1.05,1.03,1.04,58400,0.0,0.0
1962-01-18,0.0,1.05,1.02,1.04,69700,0.0,0.0
1962-01-19,0.0,1.05,1.03,1.04,60400,0.0,0.0
1962-01-22,0.0,1.05,1.03,1.04,66100,0.0,0.0
1962-01-23,0.0,1.05,1.03,1.04,35200,0.0,0.0
1962-01-24,0.0,1.04,1.02,1.03,47000,0.0,0.0
1962-01-25,0.0,1.04,1.03,1.03,46600,0.0,0.0
1962-01-26,0.0,1.04,1.02,1.02,30400,0.0,0.0
1962-01-29,0.0,1.03,1.02,1.02,22300,0.0,0.0
1962-01-30,0.0,1.04,1.03,1.03,68500,0.0,0.0
1962-01-31,0.0,1.05,1.03,1.04,79400,0.0,0.0
1962-02-01,0.0,1.05,1.03,1.03,42100,0.0,0.0
1962-02-02,0.0,1.05,1.04,1.05,58000,0.0,0.0
1962-02-05,0.0,1.06,1.04,1.04,91600,0.0,0.0
1962-02-06,0.0,1.05,1.03,1.05,55900,0.0,0.0
1962-02-07,0.0,1.08,1.05,1.08,111100,0.0,0.0
1962-02-08,0.0,1.08,1.07,1.08,62800,0.0,0.0
1962-02-09,0.0,1.09,1.07,1.09,38900,0.0,0.0
1962-02-12,0.0,1.1,1.09,1.09,21900,0.0,0.0
1962-02-13,0.0,1.12,1.1,1.12,27500,0.0,0.0
1962-02-14,0.0,1.12,1.1,1.11,30000,0.0,0.0
1962-02-15,0.0,1.12,1.1,1.12,44600,0.0,0.0
1962-02-16,0.0,1.15,1.12,1.12,60400,0.0,0.0
1962-02-19,0.0,1.15,1.12,1.13,39300,0.0,0.0
1962-02-20,0.0,1.15,1.12,1.15,59200,0.06357,0.0
1962-02-21,0.0,1.16,1.13,1.13,92400,0.0,0.0
1962-02-23,0.0,1.14,1.13,1.13,47800,0.0,0.0
1962-02-26,0.0,1.14,1.11,1.12,31600,0.0,0.0
1962-02-27,0.0,1.13,1.12,1.13,183700,0.0,0.0
