Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,0.26,0.26,0.26,43200,0.0,0.0
1980-03-18,0.0,0.26,0.26,0.26,327600,0.0,0.0
1980-03-19,0.0,0.26,0.26,0.26,115200,0.0,0.0
1980-03-20,0.0,0.26,0.26,0.26,28800,0.0,0.0
1980-03-21,0.0,0.26,0.26,0.26,554400,0.0,0.0
1980-03-24,0.0,0.26,0.25,0.25,406800,0.0,0.0
1980-03-25,0.0,0.25,0.25,0.25,64800,0.0,0.0
1980-03-26,0.0,0.25,0.25,0.25,129600,0.0,0.0
1980-03-27,0.0,0.25,0.25,0.25,817200,0.0,0.0
1980-03-28,0.0,0.25,0.25,0.25,25200,0.0,0.0
1980-03-31,0.0,0.26,0.25,0.26,79200,0.0,0.0
1980-04-01,0.0,0.26,0.26,0.26,7200,0.0,0.0
1980-04-02,0.0,0.26,0.26,0.26,525600,0.0,0.0
1980-04-03,0.0,0.26,0.25,0.26,133200,0.0,0.0
1980-04-07,0.0,0.26,0.25,0.25,190800,0.0,0.0
1980-04-08,0.0,0.25,0.25,0.25,64800,0.0,0.0
1980-04-09,0.0,0.25,0.25,0.25,21600,0.0,0.0
1980-04-10,0.0,0.25,0.25,0.25,25200,0.0,0.0
1980-04-11,0.0,0.26,0.25,0.26,18000,0.0,0.0
1980-04-14,0.0,0.26,0.25,0.26,100800,0.0,0.0
1980-04-15,0.0,0.25,0.25,0.25,100800,0.0,0.0
1980-04-16,0.0,0.25,0.25,0.25,64800,0.0,0.0
1980-04-17,0.0,0.25,0.25,0.25,57600,0.0,0.0
1980-04-18,0.0,0.25,0.25,0.25,50400,0.0,0.0
1980-04-21,0.0,0.26,0.25,0.25,93600,0.0,0.0
1980-04-22,0.0,0.26,0.25,0.26,64800,0.0,0.0
1980-04-23,0.0,0.26,0.25,0.25,385200,0.0,0.0
1980-04-24,0.0,0.25,0.25,0.25,82800,0.0,0.0
1980-04-25,0.0,0.25,0.25,0.25,79200,0.0,0.0
1980-04-28,0.0,0.25,0.25,0.25,216000,0.0,0.0
1980-04-29,0.0,0.25,0.25,0.25,176400,0.0,0.0
1980-04-30,0.0,0.25,0.25,0.25,644400,0.0,0.0
1980-05-01,0.0,0.25,0.25,0.25,7200,0.0,0.0
1980-05-02,0.0,0.25,0.25,0.25,79200,0.0,0.0
1980-05-05,0.0,0.25,0.25,0.25,18000,0.0,0.0
1980-05-06,0.0,0.25,0.25,0.25,640800,0.0,0.0
1980-05-07,0.0,0.26,0.25,0.26,356400,0.0,0.0
1980-05-08,0.0,0.26,0.26,0.26,223200,0.0,0.0
1980-05-09,0.0,0.26,0.26,0.26,183600,0.0,0.0
1980-05-12,0.0,0.25,0.25,0.25,79200,0.0,0.0
1980-05-13,0.0,0.26,0.25,0.26,46800,0.0,0.0
1980-05-14,0.0,0.26,0.26,0.26,471600,0.0,0.0
1980-05-15,0.0,0.28,0.26,0.28,126000,0.0,0.0
