Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1996-02-01,1.54,1.54,1.51,1.52,13718000,0.0,0.0
1996-02-02,1.52,1.54,1.51,1.54,3828600,0.0,0.0
1996-02-05,1.54,1.54,1.51,1.51,908000,0.0,0.0
1996-02-06,1.51,1.54,1.51,1.51,509200,0.0,0.0
1996-02-07,1.51,1.54,1.51,1.51,366100,0.0,0.0
1996-02-08,1.51,1.54,1.51,1.51,794600,0.0,0.0
1996-02-09,1.51,1.54,1.51,1.51,515700,0.0,0.0
1996-02-12,1.51,1.54,1.51,1.51,351500,0.0,0.0
1996-02-13,1.51,1.54,1.51,1.51,216800,0.0,0.0
1996-02-14,1.51,1.54,1.51,1.51,460000,0.0,0.0
1996-02-15,1.51,1.51,1.51,1.51,250600,0.0,0.0
1996-02-16,1.51,1.54,1.49,1.49,491700,0.0,0.0
1996-02-20,1.49,1.51,1.37,1.37,769300,0.0,0.0
1996-02-21,1.37,1.42,1.37,1.37,580800,0.0,0.0
1996-02-22,1.37,1.42,1.37,1.37,251800,0.0,0.0
1996-02-23,1.37,1.42,1.37,1.39,486300,0.0,0.0
1996-02-26,1.42,1.46,1.39,1.44,218200,0.0,0.0
1996-02-27,1.44,1.49,1.44,1.49,1286000,0.0,0.0
1996-02-28,1.46,1.49,1.44,1.46,219100,0.0,0.0
1996-02-29,1.49,1.51,1.46,1.5,289200,0.0,0.0
1996-03-01,1.49,1.51,1.49,1.51,528200,0.0,0.0
1996-03-04,1.49,1.51,1.49,1.49,477500,0.0,0.0
1996-03-05,1.49,1.51,1.49,1.49,175200,0.0,0.0
1996-03-06,1.49,1.49,1.42,1.42,1273100,0.0,0.0
1996-03-07,1.42,1.46,1.42,1.43,612600,0.0,0.0
1996-03-08,1.42,1.44,1.35,1.35,657300,0.0,0.0
1996-03-11,1.39,1.39,1.35,1.37,346100,0.0,0.0
1996-03-12,1.37,1.42,1.37,1.42,297100,0.0,0.0
1996-03-13,1.37,1.42,1.37,1.42,135700,0.0,0.0
1996-03-14,1.41,1.42,1.37,1.37,405500,0.0,0.0
1996-03-15,1.37,1.39,1.37,1.37,57800,0.0,0.0
1996-03-18,1.37,1.44,1.37,1.37,278100,0.0,0.0
1996-03-19,1.37,1.44,1.37,1.44,21800,0.0,0.0
1996-03-20,1.44,1.44,1.35,1.37,1378000,0.0,0.0
1996-03-21,1.35,1.39,1.35,1.39,24000,0.0,0.0
1996-03-22,1.35,1.38,1.35,1.35,72100,0.0,0.0
1996-03-25,1.39,1.39,1.3,1.3,203900,0.0,0.0
1996-03-26,1.3,1.35,1.3,1.3,1286000,0.0,0.0
1996-03-27,1.35,1.35,1.3,1.35,119700,0.0,0.0
1996-03-28,1.32,1.42,1.32,1.37,1144600,0.0,0.0
1996-03-29,1.42,1.44,1.37,1.44,52600,0.0,0.0
1996-04-01,1.44,1.51,1.44,1.46,124100,0.0,0.0
1996-04-02,1.46,1.49,1.46,1.46,59400,0.0,0.0
1996-04-03,1.46,1.49,1.46,1.46,78000,0.0,0.0
1996-04-04,1.46,1.49,1.46,1.46,45800,0.0,0.0
1996-04-08,1.44,1.46,1.44,1.44,61400,0.0,0.0
1996-04-09,1.46,1.46,1.37,1.41,72100,0.0,0.0
1996-04-10,1.37,1.42,1.37,1.37,33100,0.0,0.0
1996-04-11,1.38,1.42,1.37,1.42,182100,0.0,0.0
1996-04-12,1.42,1.42,1.37,1.39,69200,0.0,0.0
1996-04-15,1.37,1.39,1.37,1.38,343200,0.0,0.0
1996-04-16,1.37,1.42,1.37,1.42,85300,0.0,0.0
1996-04-17,1.42,1.42,1.37,1.37,110400,0.0,0.0
1996-04-18,1.37,1.41,1.37,1.37,408900,0.0,0.0
1996-04-19,1.37,1.42,1.37,1.41,162300,0.0,0.0
1996-04-22,1.37,1.42,1.37,1.42,122600,0.0,0.0
1996-04-23,1.42,1.42,1.37,1.37,28300,0.0,0.0
1996-04-24,1.37,1.42,1.37,1.42,80900,0.0,0.0
