Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1987-09-28,0.74,0.74,0.73,0.73,353000.0,0.0,2.0
1987-09-29,0.73,0.74,0.73,0.74,289600.0,0.0,0.0
1987-09-30,0.74,0.74,0.73,0.73,191200.0,0.0,0.0
1987-10-01,0.73,0.74,0.73,0.74,680800.0,0.0,0.0
1987-10-02,0.74,0.75,0.74,0.75,110900.0,0.0,0.0
1987-10-05,0.75,0.76,0.74,0.75,760300.0,0.0,0.0
1987-10-06,0.75,0.75,0.72,0.73,240000.0,0.0,0.0
1987-10-07,0.73,0.73,0.7,0.7,828700.0,0.0,0.0
1987-10-08,0.7,0.72,0.69,0.72,280400.0,0.0,0.0
1987-10-09,0.72,0.75,0.72,0.74,249300.0,0.0,0.0
1987-10-12,0.73,0.73,0.71,0.71,81700.0,0.0,0.0
1987-10-13,0.71,0.72,0.7,0.71,164800.0,0.0,0.0
1987-10-14,0.7,0.7,0.68,0.68,245800.0,0.0,0.0
1987-10-15,0.68,0.69,0.64,0.65,917400.0,0.0,0.0
1987-10-16,0.65,0.66,0.6,0.6,479800.0,0.0,0.0
1987-10-19,0.59,0.59,0.47,0.47,1466500.0,0.0,0.0
1987-10-20,0.47,0.57,0.46,0.53,1985600.0,0.0,0.0
1987-10-21,0.53,0.58,0.53,0.57,1081100.0,0.0,0.0
1987-10-22,0.57,0.57,0.51,0.52,592300.0,0.0,0.0
1987-10-23,0.52,0.52,0.47,0.49,807600.0,0.0,0.0
1987-10-26,0.47,0.47,0.43,0.45,1093400.0,0.0,0.0
1987-10-27,0.47,0.48,0.47,0.47,1003800.0,0.0,0.0
1987-10-28,0.47,0.48,0.45,0.48,832900.0,0.0,0.0
1987-10-29,0.52,0.54,0.52,0.52,940100.0,0.0,0.0
1987-10-30,0.55,0.6,0.55,0.57,1018800.0,0.0,0.0
1987-11-02,0.57,0.57,0.55,0.57,472100.0,0.0,0.0
1987-11-03,0.57,0.57,0.56,0.57,474000.0,0.0,0.0
1987-11-04,0.57,0.57,0.56,0.56,268900.0,0.0,0.0
1987-11-05,0.56,0.58,0.56,0.58,496700.0,0.0,0.0
1987-11-06,0.58,0.59,0.57,0.57,421400.0,0.0,0.0
1987-11-09,0.55,0.55,0.53,0.53,615100.0,0.0,0.0
1987-11-10,0.53,0.53,0.52,0.53,704900.0,0.0,0.0
1987-11-11,0.53,0.58,0.53,0.57,422500.0,0.0,0.0
1987-11-12,0.58,0.59,0.58,0.59,200100.0,0.0,0.0
1987-11-13,0.59,0.59,0.57,0.59,150600.0,0.0,0.0
1987-11-16,0.59,0.61,0.59,0.59,528300.0,0.0,0.0
1987-11-17,0.58,0.58,0.56,0.57,493600.0,0.0,0.0
1987-11-18,0.57,0.57,0.56,0.57,177800.0,0.0,0.0
1987-11-19,0.57,0.57,0.56,0.57,184000.0,0.0,0.0
1987-11-20,0.57,0.57,0.56,0.57,226600.0,0.0,0.0
1987-11-23,0.57,0.57,0.56,0.56,188900.0,0.0,0.0
1987-11-24,0.56,0.58,0.56,0.57,124000.0,0.0,0.0
1987-11-25,0.57,0.59,0.57,0.59,126700.0,0.0,0.0
1987-11-27,0.59,0.6,0.58,0.6,135900.0,0.0,0.0
1987-11-30,0.57,0.57,0.53,0.54,579300.0,0.0,0.0
1987-12-01,0.55,0.56,0.55,0.56,160500.0,0.0,0.0
1987-12-02,0.56,0.58,0.56,0.58,232400.0,0.0,0.0
1987-12-03,0.58,0.58,0.55,0.55,600100.0,0.0,0.0
1987-12-04,0.55,0.55,0.52,0.53,315800.0,0.0,0.0
1987-12-07,0.56,0.57,0.56,0.57,329600.0,0.2748,0.0
1987-12-08,0.57,0.57,0.56,0.57,282300.0,0.0,0.0
1987-12-09,0.57,0.59,0.57,0.57,492800.0,0.0,0.0
1987-12-10,0.57,0.58,0.56,0.58,305000.0,0.0,0.0
1987-12-11,0.58,0.59,0.57,0.57,321900.0,0.0,0.0
1987-12-14,0.57,0.59,0.57,0.59,225000.0,0.0,0.0
