Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1987-11-05,0.5,0.5,0.49,0.49,55000,0.0,0.0
1987-11-06,0.5,0.5,0.49,0.49,212000,0.0,0.0
1987-11-09,0.49,0.5,0.48,0.48,107600,0.0,0.0
1987-11-10,0.49,0.5,0.48,0.49,61600,0.0,0.0
1987-11-11,0.49,0.5,0.49,0.49,65600,0.0,0.0
1987-11-12,0.5,0.53,0.5,0.52,102000,0.0,0.0
1987-11-13,0.52,0.53,0.51,0.52,30200,0.0,0.0
1987-11-16,0.52,0.53,0.51,0.52,53400,0.0,0.0
1987-11-17,0.52,0.53,0.51,0.51,29800,0.0,0.0
1987-11-18,0.51,0.51,0.49,0.5,38400,0.0,0.0
1987-11-19,0.49,0.49,0.47,0.47,422800,0.0,0.0
1987-11-20,0.48,0.48,0.46,0.47,111200,0.0,0.0
1987-11-23,0.48,0.48,0.47,0.47,31800,0.0,0.0
1987-11-24,0.5,0.52,0.49,0.51,198200,0.3,0.0
1987-11-25,0.51,0.51,0.5,0.5,96000,0.0,0.0
1987-11-27,0.5,0.5,0.5,0.5,31000,0.0,0.0
1987-11-30,0.5,0.5,0.49,0.49,74600,0.0,0.0
1987-12-01,0.49,0.5,0.49,0.5,96800,0.0,0.0
1987-12-02,0.5,0.5,0.5,0.5,78200,0.0,0.0
1987-12-03,0.5,0.5,0.49,0.49,29000,0.0,0.0
1987-12-04,0.48,0.49,0.48,0.48,73200,0.0,0.0
1987-12-07,0.48,0.48,0.47,0.47,46200,0.0,0.0
1987-12-08,0.47,0.5,0.47,0.5,84000,0.0,0.0
1987-12-09,0.49,0.49,0.47,0.48,111200,0.0,0.0
1987-12-10,0.47,0.47,0.47,0.47,63800,0.0,0.0
1987-12-11,0.47,0.48,0.46,0.47,48400,0.0,0.0
1987-12-14,0.47,0.48,0.47,0.48,92600,0.0,0.0
1987-12-15,0.47,0.49,0.47,0.48,67800,0.0,0.0
1987-12-16,0.49,0.49,0.48,0.48,131800,0.0,0.0
1987-12-17,0.48,0.51,0.48,0.49,295600,0.0,0.0
1987-12-18,0.5,0.51,0.49,0.51,198800,0.0,0.0
1987-12-21,0.51,0.52,0.49,0.5,109400,0.0,0.0
1987-12-22,0.51,0.51,0.5,0.51,114200,0.0,0.0
1987-12-23,0.51,0.54,0.5,0.53,135200,0.07746,0.0
