Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2011-02-11,21.47,21.76,20.82,21.03,50610600.0,0.0,0.0
2011-02-14,21.03,21.19,20.79,20.79,6275900.0,0.0,0.0
2011-02-15,20.92,21.09,20.81,20.95,4337800.0,0.0,0.0
2011-02-16,21.03,21.29,20.76,20.8,4627100.0,0.0,0.0
2011-02-17,20.77,21.05,20.66,20.69,3290700.0,0.0,0.0
2011-02-18,20.77,21.25,20.59,21.24,2583800.0,0.0,0.0
2011-02-22,21.09,21.28,20.79,20.8,2454300.0,0.0,0.0
2011-02-23,20.83,20.92,20.48,20.6,2671200.0,0.0,0.0
2011-02-24,20.69,20.75,20.52,20.63,1698000.0,0.0,0.0
2011-02-25,20.67,20.82,20.52,20.65,2225900.0,0.0,0.0
2011-02-28,20.7,20.85,20.6,20.65,2380400.0,0.0,0.0
2011-03-01,20.75,20.84,20.47,20.62,1908000.0,0.0,0.0
2011-03-02,20.7,20.78,20.49,20.7,2197000.0,0.0,0.0
2011-03-03,20.77,20.84,20.67,20.84,1901800.0,0.0,0.0
2011-03-04,20.86,20.95,20.76,20.89,892300.0,0.0,0.0
2011-03-07,20.95,21.02,20.79,20.92,1049600.0,0.0,0.0
2011-03-08,20.86,21.02,20.86,20.97,827400.0,0.0,0.0
2011-03-09,20.92,20.98,20.82,20.82,294100.0,0.0,0.0
2011-03-10,20.79,20.79,20.14,20.38,2715200.0,0.0,0.0
2011-03-11,20.38,20.64,20.29,20.38,1896900.0,0.0,0.0
2011-03-14,20.31,20.46,20.18,20.31,1967700.0,0.0,0.0
2011-03-15,20.19,20.45,20.04,20.23,1968400.0,0.0,0.0
2011-03-16,20.24,20.42,20.15,20.35,2062200.0,0.0,0.0
2011-03-17,20.45,20.59,20.35,20.42,1511400.0,0.0,0.0
2011-03-18,20.46,20.65,20.37,20.65,1906600.0,0.0,0.0
2011-03-21,20.67,20.99,20.59,20.87,1253000.0,0.0,0.0
2011-03-22,20.92,20.98,20.7,20.79,1014700.0,0.0,0.0
2011-03-23,20.67,20.77,20.28,20.33,2570500.0,0.0,0.0
2011-03-24,20.38,20.48,20.25,20.35,1411600.0,0.0,0.0
2011-03-25,20.32,20.38,19.98,19.99,2687100.0,0.0,0.0
2011-03-28,20.14,20.27,20.02,20.06,1552900.0,0.0,0.0
2011-03-29,20.14,20.24,20.0,20.17,1313800.0,0.0,0.0
2011-03-30,20.23,20.24,20.03,20.1,769700.0,0.0,0.0
2011-03-31,20.18,20.23,19.98,20.07,884400.0,0.0,0.0
2011-04-01,20.17,20.21,19.97,19.98,1869200.0,0.0,0.0
2011-04-04,19.93,20.11,19.81,19.93,1177900.0,0.0,0.0
2011-04-05,19.97,20.07,19.64,19.93,1021200.0,0.0,0.0
2011-04-06,19.95,19.97,19.78,19.95,725100.0,0.0,0.0
2011-04-07,19.99,20.02,19.73,19.79,1226100.0,0.0,0.0
2011-04-08,19.79,19.92,19.72,19.86,934800.0,0.0,0.0
2011-04-11,19.84,19.91,19.68,19.81,1160900.0,0.0,0.0
2011-04-12,19.7,19.8,19.14,19.45,1278100.0,0.0,0.0
2011-04-13,19.46,19.65,19.41,19.52,2766900.0,0.0,0.0
2011-04-14,19.49,19.75,19.35,19.72,785800.0,0.0,0.0
2011-04-15,19.71,19.74,19.43,19.56,863900.0,0.0,0.0
2011-04-18,19.49,19.53,19.12,19.31,882400.0,0.0,0.0
2011-04-19,19.36,19.54,19.32,19.49,1121200.0,0.0,0.0
2011-04-20,19.62,20.04,19.49,19.94,2054000.0,0.0,0.0
2011-04-21,19.85,20.27,19.68,20.06,1516900.0,0.0,0.0
2011-04-25,20.19,20.19,19.68,19.88,604100.0,0.0,0.0
2011-04-26,20.0,20.04,19.67,19.72,1100000.0,0.0,0.0
2011-04-27,19.84,19.97,19.47,19.54,1479600.0,0.0,0.0
2011-04-28,19.62,19.7,19.52,19.62,1041000.0,0.14,0.0
2011-04-29,19.76,19.93,19.29,19.45,1843400.0,0.0,0.0
2011-05-02,19.55,19.73,19.31,19.61,1036600.0,0.0,0.0
2011-05-03,19.62,19.66,19.09,19.18,1158700.0,0.0,0.0
2011-05-04,19.19,19.3,18.58,19.03,2537800.0,0.0,0.0
2011-05-05,19.07,19.23,18.65,19.04,1618300.0,0.0,0.0
2011-05-06,19.11,19.33,18.95,19.05,653600.0,0.0,0.0
2011-05-09,19.13,19.36,19.06,19.25,752100.0,0.0,0.0
2011-05-10,19.24,19.52,19.11,19.41,777800.0,0.0,0.0
2011-05-11,19.41,19.48,19.06,19.26,1400100.0,0.0,0.0
2011-05-12,19.19,19.36,18.93,19.36,1800000.0,0.0,0.0
2011-05-13,19.3,19.3,18.88,19.0,1344100.0,0.0,0.0
2011-05-16,19.09,19.38,18.64,18.74,1737600.0,0.0,0.0
2011-05-17,18.78,18.86,18.28,18.71,2404600.0,0.0,0.0
2011-05-18,18.9,18.97,18.66,18.75,895200.0,0.0,0.0
2011-05-19,18.83,19.28,18.73,19.25,1096500.0,0.0,0.0
2011-05-20,19.22,19.66,19.03,19.39,1535400.0,0.0,0.0
2011-05-23,19.33,19.44,19.18,19.28,2927600.0,0.0,0.0
2011-05-24,19.41,19.77,19.37,19.77,2587700.0,0.0,0.0
2011-05-25,19.72,19.92,19.6,19.75,3304700.0,0.0,0.0
2011-05-26,19.8,19.88,19.47,19.52,1507000.0,0.0,0.0
2011-05-27,19.66,19.86,19.39,19.86,1896600.0,0.0,0.0
2011-05-31,20.09,20.25,19.73,19.93,5489900.0,0.0,0.0
2011-06-01,20.0,20.05,19.63,19.73,1042800.0,0.0,0.0
2011-06-02,19.83,19.99,19.35,19.99,978400.0,0.0,0.0
2011-06-03,19.77,20.25,19.55,20.24,1566400.0,0.0,0.0
2011-06-06,20.14,20.26,19.9,20.09,1402100.0,0.0,0.0
2011-06-07,20.13,20.39,20.02,20.27,1980000.0,0.0,0.0
2011-06-08,20.13,20.32,20.05,20.23,766800.0,0.0,0.0
2011-06-09,20.22,20.34,20.17,20.2,1215900.0,0.0,0.0
2011-06-10,20.24,20.31,20.03,20.09,895800.0,0.0,0.0
2011-06-13,20.15,20.37,19.87,20.04,901900.0,0.0,0.0
2011-06-14,20.01,20.32,19.77,20.07,760200.0,0.0,0.0
2011-06-15,20.02,20.18,19.66,19.98,1149000.0,0.0,0.0
2011-06-16,20.0,20.03,19.78,19.88,792100.0,0.0,0.0
2011-06-17,19.98,20.24,19.83,20.21,2448200.0,0.0,0.0
2011-06-20,20.15,20.19,20.0,20.15,866700.0,0.0,0.0
2011-06-21,20.21,20.21,19.96,20.15,631300.0,0.0,0.0
2011-06-22,20.15,20.39,20.04,20.15,1587400.0,0.0,0.0
2011-06-23,20.13,20.13,19.67,19.8,1963100.0,0.0,0.0
2011-06-24,19.86,19.94,19.45,19.46,11554800.0,0.0,0.0
2011-06-27,19.52,19.59,19.2,19.23,1889000.0,0.0,0.0
2011-06-28,19.32,19.51,19.12,19.26,2235400.0,0.0,0.0
2011-06-29,19.38,19.6,19.27,19.32,1592100.0,0.0,0.0
2011-06-30,19.34,19.58,19.26,19.55,809500.0,0.0,0.0
2011-07-01,19.51,19.92,19.3,19.92,846600.0,0.0,0.0
