Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,0.04,0.04,0.04,156000,0.0,0.0
1980-03-18,0.0,0.04,0.04,0.04,43200,0.0,0.0
1980-03-19,0.0,0.04,0.04,0.04,72000,0.0,0.0
1980-03-20,0.0,0.04,0.04,0.04,16800,0.0,0.0
1980-03-21,0.0,0.04,0.04,0.04,12000,0.0,0.0
1980-03-24,0.0,0.04,0.04,0.04,21600,0.0,0.0
1980-03-25,0.0,0.04,0.04,0.04,81600,0.0,0.0
1980-03-26,0.0,0.04,0.04,0.04,204000,0.0,0.0
1980-03-27,0.0,0.04,0.04,0.04,38400,0.0,0.0
1980-03-28,0.0,0.04,0.04,0.04,43200,0.0,0.0
1980-03-31,0.0,0.04,0.04,0.04,33600,0.0,0.0
1980-04-01,0.0,0.04,0.04,0.04,7200,0.0,0.0
1980-04-02,0.0,0.04,0.04,0.04,14400,0.0,0.0
1980-04-03,0.0,0.04,0.04,0.04,4800,0.0,0.0
1980-04-07,0.0,0.04,0.04,0.04,43200,0.0,0.0
1980-04-08,0.0,0.04,0.04,0.04,21600,0.0,0.0
1980-04-09,0.0,0.04,0.04,0.04,52800,0.0,0.0
1980-04-10,0.0,0.04,0.04,0.04,115200,0.0,0.0
1980-04-11,0.0,0.04,0.04,0.04,12000,0.0,0.0
1980-04-14,0.04,0.04,0.04,0.04,0,0.0,0.0
1980-04-15,0.0,0.04,0.04,0.04,7200,0.0,0.0
1980-04-16,0.0,0.04,0.04,0.04,24000,0.0,0.0
1980-04-17,0.0,0.04,0.04,0.04,134400,0.0,0.0
1980-04-18,0.0,0.04,0.04,0.04,2400,0.0,0.0
1980-04-21,0.0,0.04,0.04,0.04,31200,0.0,0.0
1980-04-22,0.0,0.04,0.04,0.04,182400,0.0,0.0
1980-04-23,0.04,0.04,0.04,0.04,0,0.0,0.0
1980-04-24,0.0,0.04,0.04,0.04,38400,0.0,0.0
1980-04-25,0.0,0.04,0.04,0.04,26400,0.0,0.0
1980-04-28,0.0,0.04,0.04,0.04,26400,0.0,0.0
1980-04-29,0.0,0.04,0.04,0.04,12000,0.0,0.0
1980-04-30,0.0,0.04,0.04,0.04,33600,0.0,0.0
1980-05-01,0.0,0.04,0.04,0.04,19200,0.0,0.0
