Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1981-12-31,3.43,3.49,3.38,3.48,180700,0.0,0.0
1982-01-04,3.43,3.48,3.38,3.4,80800,0.0,0.0
1982-01-05,3.35,3.38,3.32,3.32,152400,0.0,0.0
1982-01-06,3.28,3.34,3.21,3.26,364000,0.0,0.0
1982-01-07,3.26,3.29,3.21,3.28,362400,0.0,0.0
1982-01-08,3.21,3.23,3.19,3.21,270500,0.0,0.0
1982-01-11,3.13,3.21,3.03,3.03,453800,0.0,0.0
1982-01-12,3.08,3.12,3.02,3.12,175600,0.0,0.0
1982-01-13,3.09,3.13,3.04,3.08,154900,0.0,0.0
1982-01-14,3.05,3.06,3.03,3.06,262900,0.0,0.0
1982-01-15,3.04,3.06,3.01,3.06,393700,0.0,0.0
1982-01-18,3.04,3.06,3.02,3.06,83800,0.0,0.0
1982-01-19,3.05,3.1,3.0,3.02,574000,0.0,0.0
1982-01-20,2.96,3.03,2.87,2.9,791200,0.0,0.0
1982-01-21,2.82,2.93,2.71,2.72,296700,0.0,0.0
1982-01-22,2.72,2.77,2.66,2.66,690900,0.0,0.0
1982-01-25,2.59,2.63,2.54,2.6,483400,0.0,0.0
1982-01-26,2.64,2.68,2.6,2.62,330600,0.0,0.0
1982-01-27,2.69,2.75,2.63,2.74,201900,0.0,0.0
1982-01-28,2.87,2.98,2.76,2.98,270900,0.0,0.0
1982-01-29,2.96,3.01,2.9,3.0,206100,0.0,0.0
1982-02-01,2.87,2.94,2.81,2.83,266200,0.0,0.0
1982-02-02,2.87,2.92,2.83,2.9,202300,0.0,0.0
1982-02-03,2.87,2.9,2.85,2.85,37600,0.0,0.0
1982-02-04,2.83,2.85,2.81,2.84,347100,0.0,0.0
1982-02-05,2.91,2.95,2.86,2.91,174800,0.0,0.0
1982-02-08,2.89,2.94,2.83,2.85,85500,0.0,0.0
1982-02-09,2.84,2.86,2.81,2.83,120200,0.0,0.0
1982-02-10,2.89,2.92,2.84,2.86,80800,0.0,0.0
1982-02-11,2.85,2.87,2.83,2.87,76200,0.0,0.0
1982-02-12,2.9,2.92,2.86,2.89,234500,0.0,0.0
1982-02-16,2.84,2.86,2.81,2.84,246800,0.0,0.0
1982-02-17,2.89,2.91,2.86,2.89,215900,0.0,0.0
1982-02-18,2.9,2.92,2.87,2.89,185800,0.0,0.0
1982-02-19,2.84,2.87,2.8,2.81,530400,0.0,0.0
1982-02-22,2.83,2.87,2.79,2.79,106600,0.0,0.0
1982-02-23,2.79,2.82,2.76,2.82,127400,0.0,0.0
1982-02-24,2.76,2.79,2.72,2.79,372900,0.0,0.0
1982-02-25,2.79,2.81,2.77,2.78,265800,0.0,0.0
1982-02-26,2.76,2.78,2.74,2.75,163800,0.0,0.0
1982-03-01,2.61,2.73,2.48,2.61,578300,0.0,0.0
1982-03-02,2.5,2.58,2.43,2.45,591000,0.0,0.0
1982-03-03,2.39,2.43,2.33,2.39,327600,0.05196,0.0
1982-03-04,2.36,2.41,2.32,2.41,160000,0.0,0.0
1982-03-05,2.43,2.45,2.4,2.45,295000,0.0,0.0
1982-03-08,2.47,2.53,2.4,2.41,144700,0.0,0.0
1982-03-09,2.47,2.53,2.4,2.51,116800,0.0,0.0
1982-03-10,2.49,2.51,2.47,2.48,108300,0.0,0.0
1982-03-11,2.47,2.49,2.44,2.46,72300,0.0,0.0
1982-03-12,2.45,2.47,2.42,2.44,213300,0.0,0.0
