Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1977-01-03,0.35,0.35,0.35,0.35,165200.0,0.0,0.0
1977-01-04,0.35,0.36,0.33,0.35,179800.0,0.0,0.0
1977-01-05,0.35,0.36,0.35,0.36,189600.0,0.0,0.0
1977-01-06,0.36,0.38,0.36,0.38,384200.0,0.0,0.0
1977-01-07,0.38,0.38,0.37,0.38,345200.0,0.0,0.0
1977-01-10,0.38,0.39,0.38,0.38,311000.0,0.0,0.0
1977-01-11,0.38,0.38,0.37,0.37,155400.0,0.0,0.0
1977-01-12,0.37,0.37,0.36,0.37,198400.0,0.0,0.0
1977-01-13,0.37,0.37,0.36,0.36,155400.0,0.0,0.0
1977-01-14,0.36,0.37,0.36,0.36,116200.0,0.0,0.0
1977-01-17,0.37,0.38,0.37,0.37,222000.0,0.0,0.0
1977-01-18,0.37,0.38,0.37,0.38,112400.0,0.0,0.0
1977-01-19,0.38,0.38,0.37,0.37,149600.0,0.0,0.0
1977-01-20,0.37,0.38,0.37,0.37,179800.0,0.0,0.0
1977-01-21,0.37,0.37,0.37,0.37,185800.0,0.0,0.0
1977-01-24,0.38,0.4,0.38,0.4,850800.0,0.0,0.0
1977-01-25,0.4,0.41,0.39,0.4,502600.0,0.0,0.0
1977-01-26,0.4,0.4,0.39,0.39,263000.0,0.0,0.0
1977-01-27,0.39,0.4,0.38,0.39,258000.0,0.0,0.0
1977-01-28,0.39,0.4,0.38,0.39,122200.0,0.0,0.0
1977-01-31,0.39,0.39,0.38,0.38,114400.0,0.0,0.0
1977-02-01,0.38,0.38,0.38,0.38,81000.0,0.0,0.0
1977-02-02,0.38,0.38,0.37,0.37,112400.0,0.0,0.0
1977-02-03,0.37,0.37,0.36,0.37,153400.0,0.0,0.0
1977-02-04,0.37,0.38,0.37,0.37,121200.0,0.0,0.0
1977-02-07,0.38,0.39,0.38,0.38,82000.0,0.0,0.0
1977-02-08,0.38,0.38,0.37,0.37,115400.0,0.0,0.0
1977-02-09,0.37,0.38,0.37,0.37,283600.0,0.0,0.0
1977-02-10,0.37,0.37,0.37,0.37,74200.0,0.0,0.0
1977-02-11,0.37,0.37,0.36,0.36,152400.0,0.0,0.0
1977-02-14,0.35,0.35,0.35,0.35,143600.0,0.0,0.0
1977-02-15,0.35,0.36,0.35,0.36,175000.0,0.0,0.0
1977-02-16,0.36,0.37,0.36,0.36,225800.0,0.0,0.0
1977-02-17,0.36,0.38,0.36,0.37,1001400.0,0.0,0.0
1977-02-18,0.37,0.39,0.37,0.38,472200.0,0.0,0.0
1977-02-22,0.38,0.39,0.38,0.38,275600.0,0.0,0.0
1977-02-23,0.38,0.39,0.38,0.38,81000.0,0.0,0.0
1977-02-24,0.38,0.38,0.37,0.37,228800.0,0.0,0.0
1977-02-25,0.37,0.37,0.37,0.37,355000.0,0.0,0.0
1977-02-28,0.37,0.37,0.37,0.37,86000.0,0.0,0.0
1977-03-01,0.37,0.39,0.37,0.38,293400.0,0.0,0.0
1977-03-02,0.38,0.38,0.37,0.37,243400.0,0.0,0.0
1977-03-03,0.37,0.37,0.37,0.37,52800.0,0.0,0.0
1977-03-04,0.37,0.37,0.37,0.37,45800.0,0.0,0.0
1977-03-07,0.37,0.37,0.36,0.36,65400.0,0.0,0.0
1977-03-08,0.36,0.37,0.36,0.36,59600.0,0.0,0.0
1977-03-09,0.36,0.37,0.36,0.36,68400.0,0.0,0.0
1977-03-10,0.36,0.37,0.36,0.37,203400.0,0.0,0.0
1977-03-11,0.37,0.37,0.37,0.37,158400.0,0.0,0.0
1977-03-14,0.37,0.39,0.37,0.38,328600.0,0.0,0.0
1977-03-15,0.38,0.38,0.38,0.38,112400.0,0.0,0.0
1977-03-16,0.38,0.38,0.37,0.38,149600.0,0.0,0.0
1977-03-17,0.38,0.38,0.37,0.37,59600.0,0.0,0.0
1977-03-18,0.38,0.38,0.37,0.37,59600.0,0.0,0.0
1977-03-21,0.37,0.37,0.37,0.37,139800.0,0.0,0.0
1977-03-22,0.37,0.37,0.36,0.36,105600.0,0.0,0.0
1977-03-23,0.36,0.36,0.36,0.36,85000.0,0.0,0.0
1977-03-24,0.36,0.36,0.35,0.35,177800.0,0.0,0.0
1977-03-25,0.35,0.35,0.35,0.35,71200.0,0.0,0.0
1977-03-28,0.35,0.35,0.35,0.35,103600.0,0.0,0.0
1977-03-29,0.35,0.35,0.35,0.35,164200.0,0.0,0.0
1977-03-30,0.35,0.36,0.35,0.36,133800.0,0.0,0.0
1977-03-31,0.36,0.36,0.35,0.35,84000.0,0.0,0.0
1977-04-01,0.35,0.37,0.35,0.36,256200.0,0.0,0.0
1977-04-04,0.37,0.37,0.37,0.37,248400.0,0.0,0.0
1977-04-05,0.37,0.37,0.37,0.37,151400.0,0.0,0.0
1977-04-06,0.37,0.37,0.37,0.37,427200.0,0.0,0.0
1977-04-07,0.37,0.37,0.36,0.37,354000.0,0.0,0.0
1977-04-11,0.36,0.36,0.35,0.35,139800.0,0.0,0.0
1977-04-12,0.35,0.36,0.35,0.35,39000.0,0.0,0.0
1977-04-13,0.35,0.36,0.35,0.36,169000.0,0.0,0.0
1977-04-14,0.36,0.36,0.35,0.36,87000.0,0.0,0.0
1977-04-15,0.36,0.37,0.35,0.37,323600.0,0.0,0.0
1977-04-18,0.37,0.37,0.36,0.36,449800.0,0.0,0.0
1977-04-19,0.36,0.36,0.35,0.36,253200.0,0.0,0.0
1977-04-20,0.35,0.35,0.35,0.35,60600.0,0.0,0.0
1977-04-21,0.35,0.36,0.35,0.36,604400.0,0.0,0.0
1977-04-22,0.36,0.36,0.35,0.35,163200.0,0.0,0.0
1977-04-25,0.35,0.35,0.34,0.34,103600.0,0.0,0.0
1977-04-26,0.34,0.34,0.34,0.34,147600.0,0.0,0.0
