Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,2.79,2.77,2.77,41600.0,0.0,0.0
1980-03-18,0.0,2.77,2.76,2.76,29200.0,0.0,0.0
1980-03-19,0.0,2.81,2.76,2.81,25600.0,0.0,0.0
1980-03-20,0.0,2.85,2.81,2.82,48000.0,0.0,0.0
1980-03-21,0.0,2.83,2.77,2.78,87600.0,0.0,0.0
1980-03-24,0.0,2.8,2.77,2.77,25600.0,0.0,0.0
1980-03-25,0.0,2.76,2.75,2.75,72400.0,0.0,0.0
1980-03-26,0.0,2.75,2.68,2.7,20400.0,0.0,0.0
1980-03-27,0.0,2.65,2.5,2.52,44800.0,0.0,0.0
1980-03-28,0.0,2.58,2.54,2.54,40000.0,0.0,0.0
1980-03-31,0.0,2.56,2.48,2.56,48400.0,0.0,0.0
1980-04-01,0.0,2.6,2.52,2.6,60000.0,0.0,0.0
1980-04-02,0.0,2.65,2.59,2.65,42000.0,0.0,0.0
1980-04-03,0.0,2.62,2.58,2.61,20800.0,0.0,0.0
1980-04-07,0.0,2.64,2.58,2.58,32400.0,0.0,0.0
1980-04-08,0.0,2.64,2.58,2.64,27600.0,0.0,0.0
1980-04-09,0.0,2.65,2.61,2.65,18000.0,0.0,0.0
1980-04-10,0.0,2.71,2.67,2.7,29200.0,0.0,0.0
1980-04-11,0.0,2.75,2.7,2.75,28000.0,0.0,0.0
1980-04-14,0.0,2.75,2.69,2.69,29200.0,0.0,0.0
1980-04-15,0.0,2.69,2.62,2.64,25600.0,0.0,0.0
1980-04-16,0.0,2.64,2.6,2.6,40400.0,0.0,0.0
1980-04-17,0.0,2.64,2.56,2.64,29200.0,0.0,0.0
1980-04-18,0.0,2.69,2.63,2.65,30400.0,0.0,0.0
1980-04-21,0.0,2.69,2.65,2.65,8800.0,0.0,0.0
1980-04-22,0.0,2.74,2.65,2.74,26400.0,0.0,0.0
1980-04-23,0.0,2.77,2.73,2.75,5600.0,0.0,0.0
1980-04-24,0.0,2.81,2.73,2.8,86800.0,0.0,0.0
1980-04-25,0.0,2.8,2.78,2.8,4800.0,0.0,0.0
1980-04-28,0.0,2.78,2.73,2.75,15200.0,0.0,0.0
1980-04-29,0.0,2.79,2.73,2.76,17600.0,0.0,0.0
1980-04-30,0.0,2.78,2.74,2.76,29600.0,0.0,0.0
1980-05-01,0.0,2.78,2.7,2.7,19200.0,0.0,0.0
1980-05-02,0.0,2.75,2.7,2.73,83200.0,0.0,0.0
1980-05-05,0.0,2.73,2.71,2.73,79600.0,0.0,0.0
1980-05-06,0.0,2.81,2.74,2.81,79200.0,0.0,0.0
1980-05-07,0.0,2.93,2.83,2.9,173600.0,0.0,0.0
1980-05-08,0.0,2.91,2.83,2.85,112400.0,0.0,0.0
1980-05-09,0.0,2.85,2.76,2.76,34400.0,0.0,0.0
1980-05-12,0.0,2.79,2.75,2.77,12800.0,0.0,0.0
1980-05-13,0.0,2.8,2.75,2.75,34800.0,0.0,0.0
1980-05-14,0.0,2.82,2.74,2.81,48400.0,0.0,0.0
1980-05-15,0.0,2.81,2.8,2.81,26400.0,0.0,0.0
1980-05-16,0.0,2.81,2.77,2.8,30800.0,0.0,0.0
1980-05-19,0.0,2.8,2.78,2.78,20800.0,0.0,0.0
1980-05-20,0.0,2.81,2.8,2.8,65600.0,0.0,0.0
1980-05-21,0.0,2.83,2.79,2.8,47200.0,0.0,0.0
1980-05-22,0.0,2.83,2.8,2.82,32800.0,0.0,0.0
1980-05-23,0.0,2.92,2.84,2.91,46000.0,0.0,0.0
1980-05-27,0.0,2.96,2.9,2.92,76400.0,0.0,0.0
1980-05-28,0.0,2.94,2.92,2.93,72000.0,0.0,0.0
1980-05-29,0.0,2.95,2.92,2.92,223600.0,0.0,0.0
1980-05-30,0.0,2.95,2.92,2.94,58800.0,0.0,0.0
1980-06-02,0.0,2.95,2.92,2.92,26800.0,0.0,0.0
1980-06-03,0.0,2.95,2.91,2.95,12000.0,0.0,0.0
1980-06-04,0.0,2.99,2.94,2.98,87200.0,0.0,0.0
1980-06-05,0.0,3.02,2.99,3.0,47200.0,0.0,0.0
1980-06-06,0.0,3.03,2.98,3.03,40400.0,0.0,0.0
1980-06-09,0.0,3.05,3.0,3.02,24400.0,0.0,0.0
1980-06-10,0.0,3.08,3.05,3.05,56800.0,0.0,0.0
1980-06-11,0.0,3.09,3.05,3.08,24400.0,0.0,0.0
1980-06-12,0.0,3.19,3.08,3.11,56400.0,0.0,0.0
1980-06-13,0.0,3.2,3.1,3.2,28800.0,0.0,0.0
1980-06-16,0.0,3.2,3.19,3.2,56800.0,0.0,0.0
1980-06-17,0.0,3.24,3.2,3.23,48400.0,0.0,0.0
1980-06-18,0.0,3.21,3.2,3.21,20000.0,0.0,0.0
1980-06-19,0.0,3.21,3.2,3.2,24400.0,0.0,0.0
1980-06-20,0.0,3.2,3.17,3.17,91200.0,0.0,0.0
1980-06-23,0.0,3.17,3.15,3.15,20000.0,0.0,0.0
1980-06-24,0.0,3.2,3.15,3.18,13600.0,0.0,0.0
1980-06-25,0.0,3.2,3.17,3.2,17600.0,0.0,0.0
1980-06-26,0.0,3.21,3.15,3.16,20000.0,0.0,0.0
1980-06-27,0.0,3.16,3.14,3.16,10400.0,0.0,0.0
1980-06-30,0.0,3.17,3.13,3.13,43600.0,0.0,0.0
1980-07-01,0.0,3.19,3.13,3.17,78800.0,0.0,0.0
1980-07-02,0.0,3.22,3.15,3.2,20800.0,0.0,0.0
1980-07-03,0.0,3.19,3.17,3.17,26400.0,0.0,0.0
1980-07-07,0.0,3.19,3.17,3.17,20800.0,0.0,0.0
1980-07-08,0.0,3.22,3.2,3.22,30800.0,0.0,0.0
1980-07-09,0.0,3.24,3.2,3.22,111600.0,0.0,0.0
1980-07-10,0.0,3.2,3.17,3.17,24800.0,0.0,0.0
1980-07-11,0.0,3.19,3.14,3.19,90400.0,0.0,0.0
1980-07-14,0.0,3.22,3.18,3.22,12800.0,0.0,0.0
1980-07-15,0.0,3.3,3.23,3.26,50400.0,0.0,0.0
1980-07-16,0.0,3.3,3.22,3.3,46000.0,0.0,0.0
1980-07-17,0.0,3.3,3.26,3.26,5200.0,0.0,0.0
1980-07-18,0.0,3.3,3.26,3.29,44800.0,0.0,0.0
1980-07-21,0.0,3.29,3.26,3.27,38800.0,0.0,0.0
1980-07-22,0.0,3.32,3.26,3.26,58400.0,0.0,0.0
1980-07-23,0.0,3.47,3.25,3.42,72000.0,0.0,0.0
1980-07-24,0.0,3.58,3.43,3.45,62400.0,0.0,0.0
1980-07-25,0.0,3.41,3.33,3.36,76000.0,0.0,0.0
1980-07-28,0.0,3.34,3.29,3.34,95200.0,0.0,0.0
1980-07-29,0.0,3.37,3.32,3.32,21600.0,0.0,0.0
1980-07-30,0.0,3.31,3.28,3.28,51200.0,0.0,0.0
1980-07-31,0.0,3.26,3.23,3.26,200000.0,0.0,0.0
1980-08-01,0.0,3.3,3.24,3.24,31600.0,0.0,0.0
1980-08-04,0.0,3.32,3.22,3.32,146000.0,0.0,0.0
1980-08-05,0.0,3.38,3.31,3.38,29200.0,0.0,0.0
1980-08-06,0.0,3.41,3.39,3.41,19200.0,0.0,0.0
1980-08-07,0.0,3.49,3.41,3.45,70400.0,0.0,0.0
1980-08-08,0.0,3.5,3.34,3.34,112800.0,0.0,0.0
1980-08-11,0.0,3.36,3.32,3.32,46400.0,0.0,0.0
1980-08-12,0.0,3.38,3.33,3.36,37200.0,0.0,0.0
1980-08-13,0.0,3.39,3.33,3.33,57600.0,0.0,0.0
1980-08-14,0.0,3.41,3.3,3.41,101200.0,0.0,0.0
1980-08-15,0.0,3.44,3.39,3.39,45600.0,0.0,0.0
1980-08-18,0.0,3.41,3.36,3.39,17600.0,0.0,0.0
1980-08-19,0.0,3.38,3.27,3.28,55200.0,0.0,0.0
1980-08-20,0.0,3.26,3.22,3.23,48000.0,0.0,0.0
1980-08-21,0.0,3.34,3.26,3.33,62000.0,0.0,0.0
1980-08-22,0.0,3.39,3.35,3.36,21200.0,0.0,0.0
1980-08-25,0.0,3.38,3.29,3.3,28800.0,0.0,0.0
1980-08-26,0.0,3.34,3.26,3.26,62000.0,0.0,0.0
1980-08-27,0.0,3.24,3.22,3.22,53600.0,0.0,0.0
1980-08-28,0.0,3.22,3.2,3.22,4800.0,0.0,0.0
1980-08-29,0.0,3.22,3.15,3.19,31200.0,0.0,0.0
1980-09-02,0.0,3.19,3.13,3.15,26000.0,0.0,0.0
1980-09-03,0.0,3.2,3.15,3.19,65200.0,0.0,0.0
1980-09-04,0.0,3.22,3.2,3.2,24400.0,0.0,0.0
1980-09-05,0.0,3.22,3.2,3.2,35200.0,0.0,0.0
1980-09-08,0.0,3.21,3.19,3.19,21600.0,0.0,0.0
1980-09-09,0.0,3.17,3.13,3.16,66400.0,0.0,0.0
1980-09-10,0.0,3.21,3.17,3.2,67600.0,0.0,0.0
1980-09-11,0.0,3.22,3.17,3.19,284800.0,0.0,0.0
1980-09-12,0.0,3.22,3.18,3.22,18800.0,0.0,0.0
1980-09-15,0.0,3.25,3.21,3.24,29600.0,0.0,0.0
1980-09-16,0.0,3.27,3.21,3.21,66400.0,0.0,0.0
1980-09-17,0.0,3.25,3.2,3.24,23600.0,0.0,0.0
1980-09-18,0.0,3.25,3.2,3.2,67600.0,0.0,0.0
1980-09-19,0.0,3.2,3.17,3.19,89200.0,0.0,0.0
1980-09-22,0.0,3.22,3.18,3.19,369600.0,0.0,0.0
1980-09-23,0.0,3.22,3.18,3.22,110000.0,0.0,0.0
1980-09-24,0.0,3.22,3.2,3.2,22400.0,0.0,0.0
1980-09-25,0.0,3.22,3.19,3.19,34800.0,0.0,0.0
1980-09-26,0.0,3.17,3.1,3.13,170400.0,0.0,0.0
1980-09-29,0.0,3.15,3.12,3.13,9600.0,0.0,0.0
1980-09-30,0.0,3.17,3.13,3.14,20400.0,0.0,0.0
1980-10-01,0.0,3.15,3.13,3.13,10800.0,0.0,0.0
1980-10-02,0.0,3.13,3.09,3.13,91600.0,0.0,0.0
1980-10-03,0.0,3.18,3.11,3.18,34400.0,0.0,0.0
1980-10-06,0.0,3.21,3.15,3.2,34400.0,0.0,0.0
1980-10-07,0.0,3.21,3.19,3.21,42800.0,0.0,0.0
1980-10-08,0.0,3.2,3.16,3.16,33600.0,0.0,0.0
1980-10-09,0.0,3.19,3.16,3.19,20800.0,0.0,0.0
1980-10-10,0.0,3.19,3.14,3.14,54000.0,0.0,0.0
1980-10-13,0.0,3.13,3.11,3.11,21200.0,0.0,0.0
1980-10-14,0.0,3.15,3.11,3.14,43600.0,0.0,0.0
1980-10-15,0.0,3.13,3.1,3.12,271200.0,0.0,0.0
1980-10-16,0.0,3.12,3.05,3.08,70000.0,0.0,0.0
1980-10-17,0.0,3.07,3.01,3.01,26800.0,0.0,0.0
1980-10-20,0.0,3.02,2.99,3.01,65600.0,0.0,0.0
1980-10-21,0.0,2.99,2.94,2.98,48000.0,0.0,0.0
1980-10-22,0.0,3.03,2.98,3.0,298400.0,0.0,0.0
1980-10-23,0.0,3.02,3.0,3.0,21600.0,0.0,0.0
1980-10-24,0.0,3.0,2.96,2.98,42800.0,0.0,0.0
1980-10-27,0.0,2.98,2.93,2.98,24000.0,0.0,0.0
1980-10-28,0.0,3.03,2.92,3.0,476400.0,0.0,0.0
1980-10-29,0.0,3.02,2.97,3.01,36400.0,0.0,0.0
1980-10-30,0.0,3.02,3.0,3.01,14800.0,0.0,0.0
1980-10-31,0.0,3.02,2.99,3.01,30000.0,0.0,0.0
1980-11-03,0.0,3.09,3.01,3.09,36800.0,0.0,0.0
1980-11-05,0.0,3.09,2.98,2.98,82400.0,0.0,0.0
1980-11-06,0.0,3.02,2.99,2.99,88400.0,0.0,0.0
1980-11-07,0.0,3.03,2.99,3.03,15200.0,0.0,0.0
1980-11-10,0.0,3.05,3.02,3.03,26800.0,0.0,0.0
1980-11-11,0.0,3.03,3.0,3.02,9200.0,0.0,0.0
1980-11-12,0.0,3.07,3.03,3.05,58800.0,0.0,0.0
1980-11-13,0.0,3.1,3.05,3.05,49600.0,0.0,0.0
1980-11-14,0.0,3.13,3.05,3.05,214000.0,0.0,0.0
1980-11-17,0.0,3.06,3.02,3.02,25200.0,0.0,0.0
1980-11-18,0.0,3.04,3.0,3.0,37200.0,0.0,0.0
1980-11-19,0.0,3.02,3.01,3.02,9600.0,0.0,0.0
1980-11-20,0.0,3.02,3.0,3.0,60800.0,0.0,0.0
1980-11-21,0.0,3.03,2.98,2.98,114400.0,0.0,0.0
1980-11-24,0.0,2.93,2.89,2.89,18000.0,0.0,0.0
1980-11-25,0.0,2.89,2.8,2.84,30800.0,0.0,0.0
1980-11-26,0.0,2.88,2.79,2.81,168400.0,0.0,0.0
1980-11-28,0.0,2.85,2.79,2.85,14000.0,0.0,0.0
1980-12-01,0.0,2.85,2.83,2.85,73200.0,0.0,0.0
1980-12-02,0.0,2.86,2.83,2.84,62400.0,0.0,0.0
1980-12-03,0.0,2.88,2.84,2.87,14000.0,0.0,0.0
1980-12-04,0.0,2.97,2.88,2.97,58400.0,0.0,0.0
1980-12-05,0.0,2.97,2.89,2.94,68000.0,0.0,0.0
1980-12-08,0.0,2.98,2.9,2.98,116800.0,0.0,0.0
1980-12-09,0.0,2.97,2.88,2.88,23200.0,0.0,0.0
1980-12-10,0.0,2.9,2.83,2.83,58400.0,0.0,0.0
1980-12-11,0.0,2.85,2.81,2.83,127600.0,0.0,0.0
1980-12-12,0.0,2.84,2.83,2.84,13200.0,0.0,0.0
1980-12-15,0.0,2.84,2.82,2.82,147200.0,0.0,0.0
1980-12-16,0.0,2.81,2.77,2.78,36800.0,0.0,0.0
1980-12-17,0.0,2.79,2.75,2.78,66800.0,0.0,0.0
1980-12-18,0.0,2.84,2.76,2.83,60000.0,0.0,0.0
1980-12-19,0.0,2.96,2.84,2.94,76800.0,0.0,0.0
1980-12-22,0.0,3.05,2.94,3.0,81200.0,0.0,0.0
1980-12-23,0.0,3.02,2.97,2.97,34000.0,0.0,0.0
1980-12-24,0.0,2.96,2.9,2.92,50400.0,0.0,0.0
1980-12-26,0.0,3.02,2.92,3.02,38000.0,0.0,0.0
1980-12-29,0.0,3.03,2.96,2.96,28400.0,0.0,0.0
1980-12-30,0.0,3.0,2.93,2.98,21600.0,0.0,0.0
1980-12-31,0.0,3.03,2.97,3.03,24800.0,0.0,0.0
1981-01-02,0.0,3.05,3.02,3.05,17200.0,0.0,0.0
1981-01-05,0.0,3.08,3.02,3.07,90400.0,0.0,0.0
1981-01-06,0.0,3.2,3.07,3.17,51600.0,0.0,0.0
1981-01-07,0.0,3.15,3.03,3.03,154000.0,0.0,0.0
1981-01-08,0.0,3.03,3.0,3.02,55600.0,0.0,0.0
1981-01-09,0.0,3.06,3.01,3.02,69200.0,0.0,0.0
1981-01-12,0.0,3.05,2.98,3.05,76000.0,0.0,0.0
1981-01-13,0.0,3.05,3.02,3.03,4400.0,0.0,0.0
1981-01-14,0.0,3.06,3.03,3.06,24000.0,0.0,0.0
1981-01-15,0.0,3.11,3.07,3.09,19600.0,0.0,0.0
1981-01-16,0.0,3.1,3.05,3.05,50800.0,0.0,0.0
1981-01-19,0.0,3.08,3.04,3.04,37600.0,0.0,0.0
1981-01-20,0.0,3.07,3.02,3.03,13600.0,0.0,0.0
1981-01-21,0.0,3.05,3.03,3.03,21600.0,0.0,0.0
1981-01-22,0.0,3.02,2.96,2.96,19600.0,0.0,0.0
1981-01-23,0.0,3.01,2.97,2.98,22400.0,0.0,0.0
1981-01-26,0.0,3.02,2.96,2.98,70000.0,0.0,0.0
1981-01-27,0.0,3.02,3.0,3.0,18800.0,0.0,0.0
1981-01-28,0.0,2.98,2.96,2.96,14400.0,0.0,0.0
1981-01-29,0.0,3.0,2.96,3.0,30400.0,0.0,0.0
1981-01-30,0.0,3.02,3.0,3.0,38400.0,0.0,0.0
1981-02-02,0.0,3.02,2.97,2.97,72800.0,0.0,0.0
1981-02-03,0.0,3.0,2.96,2.98,50000.0,0.0,0.0
1981-02-04,0.0,3.0,2.97,3.0,714400.0,0.0,0.0
1981-02-05,0.0,3.0,2.97,2.98,28400.0,0.0,0.0
1981-02-06,0.0,2.98,2.96,2.96,15600.0,0.0,0.0
1981-02-09,0.0,2.98,2.96,2.96,55200.0,0.0,0.0
1981-02-10,0.0,2.99,2.97,2.97,428000.0,0.0,0.0
1981-02-11,0.0,2.98,2.95,2.97,68000.0,0.0,0.0
1981-02-12,0.0,2.96,2.9,2.92,55200.0,0.0,0.0
1981-02-13,0.0,2.9,2.86,2.88,45600.0,0.0,0.0
1981-02-17,0.0,2.88,2.84,2.84,44000.0,0.0,0.0
1981-02-18,0.0,2.9,2.85,2.88,27200.0,0.0,0.0
1981-02-19,0.0,2.9,2.84,2.84,45200.0,0.0,0.0
1981-02-20,0.0,2.9,2.84,2.88,14800.0,0.0,0.0
1981-02-23,0.0,2.88,2.83,2.88,26800.0,0.0,0.0
1981-02-24,0.0,2.9,2.88,2.89,180000.0,0.0,0.0
1981-02-25,0.0,2.95,2.88,2.93,36400.0,0.0,0.0
1981-02-26,0.0,2.94,2.86,2.88,22400.0,0.0,0.0
1981-02-27,0.0,2.94,2.88,2.94,74800.0,0.0,0.0
1981-03-02,0.0,2.96,2.94,2.95,32800.0,0.0,0.0
1981-03-03,0.0,2.96,2.9,2.91,43200.0,0.0,0.0
1981-03-04,0.0,2.96,2.91,2.94,73200.0,0.0,0.0
1981-03-05,0.0,3.01,2.95,2.96,114800.0,0.0,0.0
1981-03-06,0.0,2.97,2.93,2.96,52400.0,0.0,0.0
1981-03-09,0.0,3.02,2.97,3.02,57600.0,0.0,0.0
1981-03-10,0.0,3.11,3.02,3.1,142400.0,0.0,0.0
1981-03-11,0.0,3.12,3.08,3.09,58000.0,0.0,0.0
1981-03-12,0.0,3.13,3.07,3.11,56800.0,0.0,0.0
1981-03-13,0.0,3.22,3.17,3.2,148400.0,0.0,0.0
1981-03-16,0.0,3.28,3.21,3.28,96400.0,0.0,0.0
1981-03-17,0.0,3.35,3.24,3.24,163200.0,0.0,0.0
1981-03-18,0.0,3.26,3.22,3.26,19600.0,0.0,0.0
1981-03-19,0.0,3.3,3.24,3.3,168800.0,0.0,0.0
1981-03-20,0.0,3.38,3.32,3.36,62400.0,0.0,0.0
1981-03-23,0.0,3.4,3.33,3.35,38800.0,0.0,0.0
1981-03-24,0.0,3.38,3.34,3.36,38000.0,0.0,0.0
1981-03-25,0.0,3.36,3.29,3.35,68800.0,0.0,0.0
1981-03-26,0.0,3.35,3.23,3.25,36800.0,0.0,0.0
1981-03-27,0.0,3.27,3.21,3.21,24400.0,0.0,0.0
1981-03-30,0.0,3.29,3.21,3.29,12000.0,0.0,0.0
1981-03-31,0.0,3.36,3.33,3.36,60000.0,0.0,0.0
1981-04-01,0.0,3.41,3.38,3.39,93200.0,0.0,0.0
1981-04-02,0.0,3.43,3.35,3.35,48000.0,0.0,0.0
1981-04-03,0.0,3.34,3.28,3.28,98800.0,0.0,0.0
1981-04-06,0.0,3.24,3.17,3.17,40800.0,0.0,0.0
1981-04-07,0.0,3.19,3.17,3.17,9200.0,0.0,0.0
1981-04-08,0.0,3.21,3.17,3.2,44000.0,0.0,0.0
1981-04-09,0.0,3.23,3.19,3.19,40800.0,0.0,0.0
1981-04-10,0.0,3.2,3.17,3.19,35600.0,0.0,0.0
1981-04-13,0.0,3.17,3.13,3.15,31600.0,0.0,0.0
1981-04-14,0.0,3.16,3.14,3.15,67200.0,0.0,0.0
1981-04-15,0.0,3.19,3.15,3.18,15200.0,0.0,0.0
1981-04-16,0.0,3.21,3.19,3.2,42400.0,0.0,0.0
1981-04-20,0.0,3.25,3.18,3.25,67200.0,0.0,0.0
1981-04-21,0.0,3.25,3.19,3.22,72400.0,0.0,0.0
1981-04-22,0.0,3.24,3.2,3.2,42000.0,0.0,0.0
1981-04-23,0.0,3.26,3.2,3.22,54800.0,0.0,0.0
1981-04-24,0.0,3.26,3.21,3.23,54800.0,0.0,0.0
1981-04-27,0.0,3.27,3.24,3.24,68400.0,0.0,0.0
1981-04-28,0.0,3.25,3.2,3.23,122400.0,0.0,0.0
1981-04-29,0.0,3.21,3.2,3.2,74800.0,0.0,0.0
1981-04-30,0.0,3.2,3.18,3.2,36400.0,0.0,0.0
1981-05-01,0.0,3.2,3.18,3.2,64000.0,0.0,0.0
1981-05-04,0.0,3.19,3.17,3.17,22000.0,0.0,0.0
1981-05-05,0.0,3.18,3.16,3.18,27200.0,0.0,0.0
1981-05-06,0.0,3.2,3.17,3.17,52800.0,0.0,0.0
1981-05-07,0.0,3.18,3.17,3.17,26400.0,0.0,0.0
1981-05-08,0.0,3.17,3.16,3.16,58400.0,0.0,0.0
1981-05-11,0.0,3.16,3.16,3.16,15200.0,0.0,0.0
1981-05-12,0.0,3.18,3.14,3.15,27200.0,0.0,0.0
1981-05-13,0.0,3.17,3.15,3.17,16000.0,0.0,0.0
1981-05-14,0.0,3.2,3.17,3.2,16800.0,0.0,0.0
1981-05-15,0.0,3.21,3.17,3.19,45600.0,0.0,0.0
1981-05-18,0.0,3.17,3.15,3.15,23200.0,0.0,0.0
1981-05-19,0.0,3.18,3.14,3.14,24400.0,0.0,0.0
1981-05-20,0.0,3.13,3.05,3.05,84800.0,0.0,0.0
1981-05-21,0.0,3.11,3.05,3.11,60800.0,0.0,0.0
1981-05-22,0.0,3.11,3.03,3.03,39200.0,0.0,0.0
1981-05-26,0.0,3.06,3.04,3.05,14400.0,0.0,0.0
1981-05-27,0.0,3.19,3.07,3.19,97200.0,0.0,0.0
1981-05-28,0.0,3.25,3.2,3.23,33200.0,0.0,0.0
1981-05-29,0.0,3.34,3.24,3.34,227600.0,0.0,0.0
1981-06-01,0.0,3.39,3.35,3.39,37200.0,0.0,0.0
1981-06-02,0.0,3.4,3.38,3.38,49200.0,0.0,0.0
1981-06-03,0.0,3.38,3.3,3.34,570800.0,0.0,0.0
1981-06-04,0.0,3.38,3.3,3.36,28400.0,0.0,0.0
1981-06-05,0.0,3.38,3.32,3.38,18800.0,0.0,0.0
1981-06-08,0.0,3.34,3.3,3.3,71600.0,0.0,0.0
1981-06-09,0.0,3.38,3.3,3.35,56400.0,0.0,0.0
1981-06-10,0.0,3.34,3.28,3.32,40000.0,0.0,0.0
1981-06-11,0.0,3.36,3.3,3.31,26400.0,0.0,0.0
1981-06-12,0.0,3.35,3.3,3.32,40000.0,0.0,0.0
1981-06-15,0.0,3.42,3.34,3.38,83600.0,0.0,0.0
1981-06-16,0.0,3.42,3.38,3.4,54800.0,0.0,0.0
