Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-11-10,30.58,30.88,28.46,28.95,35019100,0.0,0
2016-11-11,28.44,28.72,27.54,28.53,6020100,0.0,0
2016-11-14,28.01,29.05,27.44,28.82,4481900,0.0,0
2016-11-15,28.29,29.3,28.27,29.05,3667200,0.0,0
2016-11-16,29.37,30.58,29.22,30.26,4342300,0.0,0
2016-11-17,29.97,31.56,29.24,31.03,5252000,0.0,0
2016-11-18,30.68,31.59,30.34,31.19,4253400,0.0,0
2016-11-21,30.79,31.02,29.87,30.3,5036700,0.0,0
2016-11-22,30.09,31.64,29.05,31.21,5601700,0.0,0
2016-11-23,31.21,31.95,31.02,31.52,3619500,0.0,0
2016-11-25,31.27,31.29,30.8,31.11,827800,0.0,0
2016-11-28,30.8,31.98,30.71,31.25,1928500,0.0,0
2016-11-29,31.55,31.84,31.23,31.68,2139500,0.0,0
2016-11-30,31.75,32.74,31.5,31.96,2764900,0.0,0
2016-12-01,31.54,31.75,30.72,31.03,2914900,0.0,0
2016-12-02,30.7,31.7,30.55,31.49,1213100,0.0,0
2016-12-05,31.38,32.22,31.26,32.12,2004700,0.0,0
2016-12-06,31.93,32.32,31.7,32.28,1622900,0.0,0
2016-12-07,32.52,33.39,32.45,33.17,3809400,0.0,0
2016-12-08,33.32,34.36,33.04,34.3,2603000,0.0,0
2016-12-09,34.19,34.85,33.98,34.73,1993100,0.0,0
2016-12-12,34.73,35.52,34.66,35.06,1258300,0.0,0
2016-12-13,35.29,35.4,34.05,34.92,1814000,0.0,0
2016-12-14,34.95,35.32,33.38,33.55,3886300,0.0,0
2016-12-15,33.47,33.66,32.6,32.82,1555100,0.0,0
2016-12-16,32.78,33.86,32.72,33.66,3784000,0.0,0
2016-12-19,33.7,34.21,32.71,32.91,1983200,0.0,0
2016-12-20,32.66,33.51,32.64,33.36,944900,0.0,0
2016-12-21,33.06,33.62,32.89,33.43,703600,0.0,0
2016-12-22,33.41,34.95,33.22,34.68,1438500,0.0,0
2016-12-23,34.75,35.38,34.33,35.17,888300,0.0,0
2016-12-27,34.98,35.79,34.95,35.64,822200,0.0,0
2016-12-28,35.56,35.95,35.33,35.54,533800,0.0,0
2016-12-29,35.67,36.23,35.45,36.05,658500,0.0,0
2016-12-30,36.02,36.77,35.96,36.13,773000,0.0,0
2017-01-03,35.99,36.84,35.66,35.78,2007000,0.0,0
2017-01-04,35.96,36.66,34.77,35.3,1712300,0.0,0
2017-01-05,35.3,35.99,34.82,34.95,1099600,0.0,0
2017-01-06,34.76,35.28,34.42,35.16,1368000,0.0,0
2017-01-09,35.14,35.4,34.46,35.21,1333800,0.0,0
2017-01-10,37.03,37.19,34.54,35.16,3712600,0.0,0
2017-01-11,35.03,35.51,34.38,35.21,2185900,0.0,0
2017-01-12,35.02,35.33,34.48,35.28,1235200,0.0,0
2017-01-13,35.21,35.6,34.89,35.53,1010200,0.0,0
2017-01-17,35.45,35.53,35.08,35.21,1907200,0.0,0
2017-01-18,35.08,35.2,34.75,34.97,1214200,0.0,0
2017-01-19,35.12,35.32,34.68,35.28,890400,0.0,0
2017-01-20,35.27,35.85,35.1,35.42,1337000,0.0,0
2017-01-23,35.3,35.72,34.81,35.1,2035300,0.0,0
2017-01-24,34.99,35.96,34.93,35.78,1199600,0.0,0
2017-01-25,35.75,36.08,34.78,35.0,1183300,0.0,0
2017-01-26,34.91,35.37,34.78,34.86,1015300,0.188,0
2017-01-27,34.92,35.06,34.36,34.96,1088400,0.0,0
2017-01-30,34.73,35.43,34.73,35.29,912300,0.0,0
2017-01-31,35.19,36.03,35.19,35.84,1625200,0.0,0
2017-02-01,36.06,36.43,35.65,36.24,2212200,0.0,0
2017-02-02,36.17,37.24,36.08,36.86,2496300,0.0,0
2017-02-03,36.93,37.87,36.9,37.32,1495200,0.0,0
2017-02-06,37.54,37.75,37.15,37.65,1097600,0.0,0
2017-02-07,37.66,38.19,37.4,37.81,1362100,0.0,0
2017-02-08,37.69,38.08,37.02,37.57,1575200,0.0,0
2017-02-09,37.57,37.92,37.12,37.49,1138900,0.0,0
2017-02-10,37.42,37.97,37.03,37.68,868900,0.0,0
2017-02-13,37.65,38.1,37.26,37.83,1128300,0.0,0
2017-02-14,37.73,38.13,37.66,38.04,1098400,0.0,0
2017-02-15,37.9,38.14,37.61,38.02,1387700,0.0,0
2017-02-16,37.97,38.53,37.96,38.28,1034800,0.0,0
2017-02-17,38.16,38.33,37.71,38.01,1488000,0.0,0
2017-02-21,37.96,38.5,37.71,38.01,1295400,0.0,0
2017-02-22,37.81,38.38,37.81,38.23,800800,0.0,0
2017-02-23,38.33,38.33,37.68,37.9,564200,0.0,0
2017-02-24,37.9,38.05,37.73,37.97,374900,0.0,0
2017-02-27,38.09,38.09,37.49,37.88,603400,0.0,0
2017-02-28,37.84,38.18,37.6,37.6,653800,0.0,0
2017-03-01,37.51,38.42,37.49,38.33,734400,0.0,0
2017-03-02,38.09,38.75,37.95,38.59,818900,0.0,0
2017-03-03,38.45,38.83,37.93,38.76,1254100,0.0,0
2017-03-06,38.73,38.96,38.44,38.78,1784400,0.0,0
2017-03-07,38.63,39.39,38.42,39.09,1684000,0.0,0
2017-03-08,39.0,39.41,38.78,39.07,1926500,0.0,0
2017-03-09,39.14,39.43,38.9,39.32,1533800,0.0,0
2017-03-10,39.36,39.91,39.21,39.72,1544100,0.0,0
2017-03-13,39.71,39.92,39.63,39.85,1383900,0.0,0
2017-03-14,39.82,40.54,39.65,40.5,992300,0.0,0
2017-03-15,40.72,41.71,40.57,40.64,2309500,0.0,0
2017-03-16,40.57,40.78,40.06,40.29,1065300,0.0,0
2017-03-17,40.24,40.67,39.98,40.54,1609000,0.0,0
2017-03-20,40.59,40.9,40.38,40.76,1693200,0.0,0
2017-03-21,40.86,41.38,40.81,41.13,1640100,0.0,0
2017-03-22,41.28,41.72,40.71,40.72,1391700,0.0,0
2017-03-23,40.68,41.52,40.51,41.27,1135600,0.0,0
2017-03-24,41.26,41.48,40.94,40.94,1338300,0.0,0
2017-03-27,40.8,41.28,40.51,41.22,812700,0.0,0
2017-03-28,41.12,41.45,40.93,41.18,901800,0.0,0
