Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-04-28,10.75,10.75,10.49,10.63,5244400,0.0,0
2010-04-29,10.63,11.24,10.58,11.12,8773600,0.0,0
2010-04-30,11.09,11.12,10.75,10.78,1644400,0.0,0
2010-05-03,10.99,11.09,10.95,11.02,3302700,0.0,0
2010-05-04,11.02,11.02,10.39,10.39,2276500,0.0,0
2010-05-05,10.63,10.63,9.67,9.95,6999200,0.0,0
2010-05-06,9.91,9.93,8.92,9.4,8029400,0.0,0
2010-05-07,9.42,9.45,8.65,8.99,3881500,0.0,0
2010-05-10,9.54,9.59,9.04,9.19,3861100,0.0,0
2010-05-11,9.06,9.32,9.06,9.13,2626900,0.0,0
2010-05-12,9.28,9.68,9.28,9.57,5714300,0.0,0
2010-05-13,9.59,9.71,9.47,9.5,2475900,0.0,0
2010-05-14,9.33,9.38,9.06,9.06,3133400,0.0,0
2010-05-17,9.18,9.28,9.04,9.11,10117000,0.0,0
2010-05-18,9.21,9.34,8.82,9.08,6219800,0.0,0
2010-05-19,9.13,9.15,8.48,8.55,6227700,0.0,0
2010-05-20,8.28,8.28,7.83,8.17,10248400,0.0,0
2010-05-21,7.9,8.27,7.85,8.0,4560800,0.0,0
2010-05-24,8.07,8.29,8.06,8.17,1761300,0.0,0
2010-05-25,8.11,8.11,7.83,8.01,4649600,0.0,0
2010-05-26,8.21,8.41,8.12,8.29,2079300,0.0,0
2010-05-27,8.53,8.7,8.53,8.65,3156100,0.0,0
2010-05-28,8.65,8.65,7.85,8.59,222200,0.0,0
2010-06-01,8.53,8.6,8.31,8.46,900800,0.0,0
2010-06-02,8.51,8.53,8.32,8.37,829900,0.0,0
2010-06-03,8.43,8.46,8.29,8.37,2173600,0.0,0
2010-06-04,8.24,8.26,8.09,8.24,3147200,0.0,0
2010-06-07,8.29,8.31,8.09,8.16,2826800,0.0,0
2010-06-08,8.23,8.23,7.97,8.09,2037700,0.0,0
2010-06-09,8.11,8.26,8.07,8.11,1410200,0.0,0
2010-06-10,8.2,8.25,8.14,8.2,1401000,0.0,0
2010-06-11,8.19,8.31,8.19,8.28,452500,0.0,0
2010-06-14,8.31,8.5,8.31,8.45,1008500,0.0,0
2010-06-15,8.45,8.7,8.38,8.68,1974300,0.0,0
2010-06-16,8.66,8.68,8.52,8.52,1041500,0.0,0
2010-06-17,8.54,8.58,8.28,8.36,1090600,0.0,0
2010-06-18,8.37,8.38,8.29,8.32,1373700,0.0,0
2010-06-21,8.43,8.47,8.26,8.26,514100,0.0,0
2010-06-22,8.26,8.26,8.12,8.14,1502900,0.0,0
2010-06-23,8.17,8.19,8.02,8.05,1125700,0.0,0
2010-06-24,8.07,8.18,7.9,8.12,2151600,0.0,0
2010-06-25,8.17,8.18,8.07,8.13,612000,0.0,0
2010-06-28,8.15,8.15,8.07,8.15,355800,0.0,0
2010-06-29,8.09,8.09,7.85,7.85,2561000,0.0,0
2010-06-30,7.86,7.97,7.8,7.8,1534100,0.0,0
2010-07-01,7.85,7.88,7.44,7.51,4006100,0.0,0
2010-07-02,7.53,7.58,7.44,7.48,231700,0.0,0
2010-07-06,7.49,7.53,7.2,7.28,833700,0.0,0
2010-07-07,7.27,7.32,7.18,7.25,2137200,0.0,0
2010-07-08,7.22,7.32,7.22,7.27,2422200,0.0,0
2010-07-09,7.3,7.74,7.25,7.64,1478700,0.0,0
2010-07-12,7.65,7.74,7.64,7.65,786100,0.0,0
2010-07-13,7.65,7.97,7.65,7.93,1647300,0.0,0
2010-07-14,7.93,7.95,7.85,7.93,1537200,0.0,0
2010-07-15,7.94,7.94,7.73,7.91,905900,0.0,0
2010-07-16,7.88,7.88,7.73,7.83,624700,0.0,0
2010-07-19,7.82,8.07,7.79,7.95,497300,0.0,0
2010-07-20,7.94,7.94,7.8,7.82,1244700,0.0,0
2010-07-21,7.82,7.88,7.82,7.85,1801200,0.0,0
2010-07-22,7.86,8.02,7.86,8.0,1126300,0.0,0
2010-07-23,8.0,8.11,7.98,8.11,1415100,0.0,0
2010-07-26,8.22,8.55,8.22,8.53,3400400,0.0,0
2010-07-27,8.66,8.86,8.34,8.81,5778800,0.0,0
2010-07-28,8.81,8.81,8.61,8.66,2440000,0.0,0
2010-07-29,8.75,8.77,8.62,8.67,1598500,0.0,0
2010-07-30,8.66,8.73,8.54,8.7,2023100,0.0,0
2010-08-02,8.77,8.82,8.72,8.73,1543000,0.0,0
2010-08-03,8.74,8.76,8.55,8.65,1558700,0.0,0
2010-08-04,8.65,8.92,8.65,8.84,4194300,0.0,0
2010-08-05,8.84,8.84,8.8,8.81,252300,0.0,0
2010-08-06,8.81,8.82,8.66,8.7,500600,0.0,0
2010-08-09,8.7,8.77,8.69,8.72,1252900,0.0,0
2010-08-10,8.72,8.72,8.65,8.69,1056300,0.0,0
2010-08-11,8.6,8.6,8.51,8.51,2021000,0.0,0
2010-08-12,8.52,8.52,8.41,8.46,3260500,0.0,0
2010-08-13,8.46,8.71,8.46,8.71,2973700,0.0,0
2010-08-16,9.11,9.33,9.01,9.04,10729700,0.0,0
2010-08-17,9.16,9.28,9.16,9.22,4572800,0.0,0
2010-08-18,9.23,9.69,9.23,9.57,3564800,0.0,0
2010-08-19,9.61,9.71,9.18,9.57,5313000,0.0,0
2010-08-20,9.57,9.67,9.55,9.61,3292700,0.0,0
2010-08-23,9.62,9.79,9.62,9.69,2222900,0.0,0
2010-08-24,9.57,9.69,9.52,9.66,5178500,0.0,0
2010-08-25,9.64,9.69,9.6,9.63,3994300,0.0,0
2010-08-26,9.64,9.91,9.64,9.67,2807100,0.0,0
2010-08-27,9.73,9.88,9.66,9.88,1984200,0.0,0
2010-08-30,9.86,10.05,9.77,9.77,1728000,0.0,0
2010-08-31,9.77,9.91,9.77,9.91,2316300,0.0,0
2010-09-01,9.91,10.29,9.9,10.16,5464700,0.0,0
2010-09-02,10.17,10.17,10.03,10.12,1548700,0.0,0
2010-09-03,10.14,10.29,10.14,10.21,1072600,0.0,0
2010-09-07,10.21,10.21,10.05,10.13,1540000,0.0,0
2010-09-08,10.12,10.21,10.12,10.14,2135400,0.0,0
2010-09-09,10.15,10.22,9.99,10.0,2958400,0.0,0
2010-09-10,10.01,10.06,10.0,10.05,806500,0.0,0
2010-09-13,10.04,10.35,10.04,10.33,3431400,0.0,0
2010-09-14,10.34,10.42,10.3,10.4,2403900,0.0,0
2010-09-15,10.4,10.46,10.37,10.42,1302100,0.0,0
2010-09-16,10.51,10.77,10.51,10.56,4179800,0.0,0
2010-09-17,10.72,10.75,10.64,10.75,2845700,0.0,0
2010-09-20,10.75,10.76,10.72,10.73,1651400,0.0,0
2010-09-21,10.73,10.76,10.71,10.73,3081900,0.0,0
2010-09-22,10.75,10.77,10.56,10.6,1636900,0.0,0
2010-09-23,10.56,10.61,10.44,10.56,1356500,0.0,0
2010-09-24,10.63,10.86,10.63,10.85,2632000,0.0,0
2010-09-27,10.97,11.17,10.97,11.16,4341200,0.0,0
2010-09-28,11.16,11.42,11.13,11.33,2932200,0.0,0
2010-09-29,11.3,11.57,11.29,11.41,3805000,0.0,0
2010-09-30,11.43,11.57,11.24,11.55,4344600,0.0,0
2010-10-01,11.56,11.63,11.46,11.54,6646000,0.0,0
2010-10-04,11.61,11.79,11.56,11.64,3833700,0.0,0
2010-10-05,11.62,12.08,11.61,11.98,7091600,0.0,0
2010-10-06,12.01,12.02,11.57,11.7,1901200,0.0,0
2010-10-07,11.72,11.86,11.69,11.82,2172800,0.0,0
2010-10-08,11.94,12.22,11.94,12.2,6419900,0.0,0
2010-10-11,12.17,12.85,12.14,12.64,8024800,0.0,0
2010-10-12,12.61,12.73,12.3,12.71,7003500,0.0,0
2010-10-13,12.76,13.11,12.71,13.03,12316200,0.0,0
2010-10-14,13.03,13.36,11.82,13.06,9197400,0.0,0
2010-10-15,13.1,13.1,12.81,12.81,3207600,0.0,0
2010-10-18,12.85,13.07,12.76,12.93,4034900,0.0,0
2010-10-19,13.04,13.04,12.78,12.82,7782900,0.0,0
2010-10-20,12.9,13.14,12.88,13.11,6081700,0.0,0
2010-10-21,13.14,13.53,13.1,13.32,6521800,0.0,0
2010-10-22,13.34,13.38,13.19,13.31,2442100,0.0,0
2010-10-25,13.45,13.66,13.4,13.51,3935100,0.0,0
2010-10-26,13.57,13.59,12.81,13.4,5532600,0.0,0
2010-10-27,13.45,13.45,12.98,13.15,3619200,0.0,0
2010-10-28,13.23,13.43,13.04,13.29,3821600,0.0,0
2010-10-29,13.46,13.65,12.85,12.98,7190600,0.0,0
2010-11-01,12.93,13.13,12.42,12.56,4165000,0.0,0
2010-11-02,12.71,12.95,12.65,12.87,3387900,0.0,0
2010-11-03,13.0,13.28,12.73,13.02,3338400,0.0,0
2010-11-04,13.17,13.32,13.04,13.25,5118300,0.0,0
2010-11-05,13.27,13.79,12.93,13.7,7669000,0.0,0
2010-11-08,13.77,13.94,13.65,13.94,4110700,0.0,0
2010-11-09,14.02,14.06,13.61,13.74,2267300,0.0,0
2010-11-10,13.72,13.77,13.41,13.7,2717000,0.0,0
2010-11-11,13.59,13.92,13.54,13.67,2478300,0.0,0
2010-11-12,13.69,13.71,13.21,13.24,4365200,0.0,0
2010-11-15,13.17,13.53,13.14,13.37,4142500,0.0,0
2010-11-16,13.32,13.36,12.69,12.9,2919300,0.0,0
2010-11-17,12.92,13.2,12.73,13.16,3193800,0.0,0
2010-11-18,13.56,13.64,13.31,13.38,3376600,0.0,0
2010-11-19,13.42,13.96,13.29,13.89,17483400,0.0,0
2010-11-22,13.84,14.41,13.8,14.34,6153800,0.0,0
2010-11-23,14.14,14.14,13.92,13.99,4384400,0.0,0
2010-11-24,14.06,14.28,13.95,14.26,3341100,0.0,0
2010-11-26,14.11,14.28,14.09,14.2,740600,0.0,0
2010-11-29,14.45,14.48,13.95,14.38,3414900,0.0,0
2010-11-30,14.13,14.26,14.04,14.12,2831300,0.0,0
2010-12-01,14.35,14.52,14.32,14.44,7132500,0.0,0
2010-12-02,14.6,14.74,14.21,14.73,7641100,0.0,0
2010-12-03,14.52,14.84,14.27,14.75,5584300,0.0,0
2010-12-06,14.8,15.04,14.74,15.02,4628200,0.0,0
2010-12-07,15.22,15.34,14.95,15.27,6296400,0.0,0
2010-12-08,15.27,15.39,14.85,14.91,3558100,0.0,0
2010-12-09,15.09,15.15,14.3,14.79,4306200,0.0,0
2010-12-10,14.77,15.06,14.72,15.03,3383400,0.0,0
2010-12-13,15.02,15.45,15.0,15.4,38066400,0.0,0
2010-12-14,15.28,15.69,15.02,15.46,3875100,0.0,0
2010-12-15,15.46,15.56,15.23,15.34,1458700,0.0,0
2010-12-16,15.47,15.5,14.94,15.08,2498500,0.0,0
2010-12-17,15.05,15.46,14.85,15.4,3980000,0.0,0
2010-12-20,15.42,15.52,15.28,15.51,2500900,0.0,0
2010-12-21,15.46,15.74,15.46,15.73,3301200,0.0,0
2010-12-22,15.63,15.94,15.63,15.92,3212600,0.0,0
2010-12-23,15.92,15.95,15.85,15.91,724400,0.0,0
2010-12-27,15.79,15.96,15.78,15.93,679600,0.0,0
2010-12-28,15.92,16.09,15.87,16.08,1111600,0.0,0
