Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1994-01-28,4.28,4.58,4.23,4.41,719200,0.0,0
1994-01-31,4.38,4.41,4.3,4.35,86900,0.0,0
1994-02-01,4.33,4.35,4.3,4.33,56900,0.0,0
1994-02-02,4.33,4.38,4.33,4.33,43600,0.0,0
1994-02-03,4.33,4.38,4.33,4.38,42900,0.0,0
1994-02-04,4.33,4.38,4.3,4.3,56500,0.0,0
1994-02-07,4.3,4.38,4.3,4.35,40900,0.0,0
1994-02-08,4.38,4.53,4.38,4.48,205400,0.0,0
1994-02-09,4.51,4.63,4.51,4.53,76900,0.0,0
1994-02-10,4.53,4.69,4.53,4.69,42500,0.0,0
1994-02-11,4.66,4.86,4.66,4.79,49400,0.0,0
1994-02-14,4.74,4.99,4.74,4.86,97400,0.0,0
1994-02-15,4.84,4.89,4.71,4.71,62100,0.0,0
1994-02-16,4.71,4.81,4.71,4.76,26700,0.0,0
1994-02-17,4.81,4.91,4.81,4.91,8900,0.0,0
1994-02-18,4.91,4.97,4.89,4.94,27900,0.0,0
1994-02-22,4.89,4.91,4.84,4.84,25000,0.0,0
1994-02-23,4.89,4.89,4.74,4.76,48100,0.0,0
1994-02-24,4.74,4.86,4.69,4.74,48500,0.0,0
1994-02-25,4.69,4.69,4.63,4.66,36000,0.0,0
1994-02-28,4.71,4.71,4.58,4.61,14500,0.0,0
1994-03-01,4.61,4.74,4.58,4.69,74900,0.0,0
1994-03-02,4.74,4.84,4.69,4.79,21700,0.0,0
1994-03-03,4.79,4.79,4.69,4.69,8600,0.0,0
1994-03-04,4.74,4.74,4.63,4.69,5000,0.0,0
1994-03-07,4.63,4.71,4.63,4.66,13200,0.0,0
1994-03-08,4.63,4.63,4.53,4.61,9800,0.0,0
1994-03-09,4.61,4.61,4.58,4.58,38700,0.0,0
1994-03-10,4.56,4.58,4.53,4.58,28800,0.0,0
1994-03-11,4.51,4.51,4.48,4.48,5800,0.0,0
1994-03-14,4.48,4.84,4.48,4.74,59900,0.0,0
1994-03-15,4.79,4.79,4.66,4.66,4400,0.0,0
1994-03-16,4.69,4.79,4.69,4.76,10800,0.0,0
1994-03-17,4.74,4.79,4.74,4.79,18900,0.0,0
