Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1993-10-13,4.41,4.43,4.35,4.39,553600,0.0,0.0
1993-10-14,4.36,4.36,4.22,4.28,812000,0.0,0.0
1993-10-15,4.28,4.3,4.24,4.26,615300,0.0,0.0
1993-10-18,4.26,4.36,4.26,4.34,1029200,0.0,0.0
1993-10-19,4.28,4.51,4.28,4.47,849000,0.0,0.0
1993-10-20,4.47,4.47,4.41,4.43,678500,0.0,0.0
1993-10-21,4.43,4.45,4.41,4.43,567800,0.0,0.0
1993-10-22,4.43,4.43,4.28,4.28,806500,0.0,0.0
1993-10-25,4.24,4.26,4.22,4.22,1183500,0.0,0.0
1993-10-26,4.24,4.28,4.22,4.24,921900,0.0,0.0
1993-10-27,4.24,4.34,4.24,4.34,494500,0.0,0.0
1993-10-28,4.34,4.43,4.3,4.38,1411300,0.0,0.0
1993-10-29,4.38,4.38,4.3,4.32,1052700,0.0,0.0
1993-11-01,4.28,4.38,4.28,4.38,453200,0.0,0.0
1993-11-02,4.36,4.36,4.3,4.32,394800,0.0,0.0
1993-11-03,4.32,4.36,4.24,4.26,838400,0.0,0.0
1993-11-04,4.24,4.24,4.08,4.1,487400,0.0,0.0
1993-11-05,4.06,4.1,4.01,4.1,693300,0.0,0.0
1993-11-08,4.1,4.1,4.03,4.03,312900,0.0,0.0
1993-11-09,4.08,4.12,4.03,4.06,443300,0.0,0.0
1993-11-10,4.08,4.24,4.08,4.2,884300,0.0,0.0
1993-11-11,4.16,4.18,4.12,4.16,643200,0.0,0.0
1993-11-12,4.16,4.2,4.14,4.18,617600,0.0,0.0
1993-11-15,4.14,4.16,4.06,4.1,531500,0.0,0.0
1993-11-16,4.08,4.1,4.03,4.08,303600,0.0,0.0
1993-11-17,4.06,4.06,3.93,3.97,785600,0.0,0.0
1993-11-18,3.97,3.97,3.87,3.89,1038000,0.0,0.0
1993-11-19,3.89,3.89,3.83,3.87,652500,0.0,0.0
1993-11-22,3.83,3.85,3.75,3.79,546100,0.0,0.0
1993-11-23,3.79,3.99,3.77,3.91,1059200,0.0,0.0
1993-11-24,3.93,3.97,3.91,3.91,863700,0.0,0.0
1993-11-26,3.93,3.95,3.91,3.95,209900,0.0,0.0
1993-11-29,3.95,3.97,3.79,3.79,537800,0.0,0.0
1993-11-30,3.81,3.99,3.79,3.99,482300,0.0,0.0
1993-12-01,4.1,4.18,4.01,4.12,688300,0.0,0.0
1993-12-02,4.16,4.26,4.14,4.26,1442400,0.0,0.0
1993-12-03,4.26,4.26,4.2,4.24,1172900,0.0,0.0
1993-12-06,4.2,4.2,4.08,4.1,605500,0.0,0.0
1993-12-07,4.08,4.12,4.03,4.12,1014800,0.0,0.0
1993-12-08,4.3,4.45,4.3,4.43,2686800,0.0,0.0
1993-12-09,4.41,4.65,4.41,4.57,1005300,0.0,0.0
1993-12-10,4.53,4.57,4.45,4.57,1508600,0.0,0.0
1993-12-13,4.55,4.63,4.53,4.63,1091200,0.0,0.0
1993-12-14,4.63,4.71,4.61,4.71,983800,0.0,0.0
1993-12-15,4.69,4.69,4.55,4.55,747500,0.0,0.0
1993-12-16,4.57,4.63,4.57,4.59,524900,0.0,0.0
1993-12-17,4.61,4.63,4.57,4.57,617800,0.0,0.0
1993-12-20,4.56,4.58,4.4,4.42,482800,0.0,0.0
1993-12-21,4.46,4.6,4.37,4.58,433100,0.0,0.0
1993-12-22,4.56,4.62,4.54,4.62,594300,0.0,0.0
1993-12-23,4.6,4.68,4.58,4.64,742800,0.0,0.0
1993-12-27,4.64,4.68,4.62,4.68,249200,0.0,0.0
1993-12-28,4.66,4.79,4.66,4.75,779800,0.0,0.0
1993-12-29,4.75,4.77,4.68,4.71,483400,0.0,0.0
1993-12-30,4.71,4.77,4.66,4.75,1262000,0.0,0.0
1993-12-31,4.77,4.79,4.68,4.79,290500,0.0,0.0
1994-01-03,4.71,4.75,4.64,4.71,804800,0.0,0.0
1994-01-04,4.68,4.75,4.64,4.75,1027600,0.0,0.0
1994-01-05,4.73,4.73,4.62,4.64,642500,0.0,0.0
