Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-04-05,8.51,9.24,8.4,9.1,77084700,0.0,0.0
2000-04-06,9.02,9.32,8.95,9.13,17167700,0.0,0.0
2000-04-07,9.02,9.13,8.88,8.99,15131500,0.0,0.0
2000-04-10,9.06,9.1,8.95,9.06,6324900,0.0,0.0
2000-04-11,8.99,9.02,8.84,8.88,6087800,0.0,0.0
2000-04-12,8.95,9.83,8.88,9.5,12169800,0.0,0.0
2000-04-13,9.54,10.13,9.35,9.98,11922400,0.0,0.0
2000-04-14,9.94,9.98,9.28,9.32,10659300,0.0,0.0
2000-04-17,9.39,9.65,9.39,9.46,3951900,0.0,0.0
2000-04-18,9.5,9.57,9.1,9.46,6083900,0.0,0.0
2000-04-19,9.5,9.5,9.24,9.39,6001300,0.0,0.0
2000-04-20,9.24,9.35,9.02,9.06,7755200,0.0,0.0
2000-04-24,9.1,9.39,9.06,9.35,3494800,0.0,0.0
2000-04-25,9.35,9.5,9.32,9.39,8311100,0.0,0.0
2000-04-26,9.35,9.43,9.32,9.43,6666500,0.0,0.0
2000-04-27,9.35,9.39,9.1,9.35,2788000,0.0,0.0
2000-04-28,9.35,9.91,9.02,9.72,6977400,0.0,0.0
2000-05-01,10.05,10.57,9.91,10.57,6605300,0.0,0.0
2000-05-02,10.35,10.53,10.2,10.46,3514700,0.0,0.0
2000-05-03,10.42,10.46,10.13,10.27,2223500,0.0,0.0
2000-05-04,10.2,10.27,9.5,10.27,3848200,0.0,0.0
2000-05-05,10.13,10.46,10.02,10.31,2043700,0.0,0.0
2000-05-08,10.49,10.9,10.46,10.57,3250900,0.0,0.0
2000-05-09,10.68,10.79,9.83,10.05,4750800,0.0,0.0
2000-05-10,9.98,10.46,9.98,10.31,3684000,0.0,0.0
2000-05-11,10.35,10.75,10.2,10.57,3363000,0.0,0.0
2000-05-12,10.64,10.9,10.6,10.82,2162300,0.0,0.0
2000-05-15,11.15,11.3,10.93,11.12,3025800,0.0,0.0
2000-05-16,11.15,11.48,11.04,11.19,5590500,0.0,0.0
2000-05-17,11.19,11.56,10.79,11.19,1769600,0.0,0.0
2000-05-18,11.15,11.23,10.97,11.11,3207300,0.0,0.0
2000-05-19,10.86,10.86,10.49,10.68,4300100,0.0,0.0
2000-05-22,10.71,10.79,10.2,10.71,1921600,0.0,0.0
2000-05-23,10.71,11.15,10.71,11.08,2349300,0.0,0.0
2000-05-24,11.08,11.45,10.93,11.37,1765000,0.0,0.0
2000-05-25,11.34,11.37,11.01,11.26,1944000,0.0,0.0
2000-05-26,11.23,11.63,11.12,11.59,2967200,0.0,0.0
2000-05-30,11.7,11.81,11.45,11.67,3622900,0.0,0.0
2000-05-31,11.67,12.03,11.37,12.03,3982600,0.0,0.0
2000-06-01,12.0,12.03,11.7,11.74,3229500,0.0,0.0
