Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2004-11-05,11.35,15.68,11.35,15.57,8150300,0.0,0
2004-11-08,15.25,16.81,14.69,16.65,1113400,0.0,0
2004-11-09,16.68,17.45,15.42,16.53,521600,0.0,0
2004-11-10,16.34,18.91,16.04,17.94,709500,0.0,0
2004-11-11,18.43,21.73,18.13,18.69,1757100,0.0,0
2004-11-12,19.72,20.03,18.69,19.05,580900,0.0,0
2004-11-15,19.27,20.56,18.33,19.24,638900,0.0,0
2004-11-16,19.75,20.0,18.65,19.76,457500,0.0,0
2004-11-17,19.41,20.7,19.41,19.58,442500,0.0,0
2004-11-18,19.42,19.58,18.26,18.55,273900,0.0,0
2004-11-19,18.52,19.36,17.35,19.14,597300,0.0,0
2004-11-22,18.81,20.47,18.77,19.78,290400,0.0,0
2004-11-23,20.34,20.34,18.38,18.86,436800,0.0,0
2004-11-24,19.14,19.19,18.03,18.74,182600,0.0,0
2004-11-26,18.83,18.92,18.61,18.69,61100,0.0,0
2004-11-29,19.32,19.36,17.55,18.01,317800,0.0,0
2004-11-30,18.19,18.48,17.37,17.45,282900,0.0,0
2004-12-01,17.71,17.89,17.14,17.84,317000,0.0,0
2004-12-02,17.8,20.0,17.8,19.26,486600,0.0,0
2004-12-03,19.27,20.36,18.77,19.09,222000,0.0,0
2004-12-06,19.28,19.65,18.2,18.25,147000,0.0,0
2004-12-07,18.69,18.69,16.5,17.31,414200,0.0,0
2004-12-08,17.27,17.52,16.65,17.27,82500,0.0,0
2004-12-09,17.31,18.16,16.78,17.8,142900,0.0,0
2004-12-10,17.98,18.55,17.85,18.17,209100,0.0,0
2004-12-13,17.95,18.13,17.14,17.27,66500,0.0,0
2004-12-14,17.27,17.72,15.98,16.28,319600,0.0,0
2004-12-15,16.25,16.36,15.18,15.32,511400,0.0,0
2004-12-16,15.16,15.36,13.95,14.32,339100,0.0,0
2004-12-17,14.46,15.1,13.99,14.18,485700,0.0,0
2004-12-20,14.47,15.0,14.11,14.35,134400,0.0,0
2004-12-21,14.29,15.54,14.29,15.11,123500,0.0,0
2004-12-22,15.27,15.27,14.91,15.08,50100,0.0,0
2004-12-23,15.12,15.42,15.01,15.3,106800,0.0,0
2004-12-27,15.3,15.41,14.53,15.12,58400,0.0,0
2004-12-28,15.18,15.18,14.69,15.05,48200,0.0,0
2004-12-29,14.91,15.31,14.73,14.92,86500,0.0,0
2004-12-30,15.08,15.29,14.96,15.29,27600,0.0,0
2004-12-31,15.25,15.25,14.88,15.14,47500,0.0,0
2005-01-03,14.91,15.27,14.19,14.2,87400,0.0,0
2005-01-04,14.38,14.48,13.62,13.85,178100,0.0,0
2005-01-05,13.73,14.61,13.61,13.89,121500,0.0,0
2005-01-06,13.8,14.0,13.46,13.6,44000,0.0,0
2005-01-07,13.58,14.4,13.55,13.8,55000,0.0,0
2005-01-10,13.8,14.24,13.41,13.8,39300,0.0,0
2005-01-11,13.8,14.25,13.7,14.17,128500,0.0,0
2005-01-12,14.07,14.18,13.72,14.14,45200,0.0,0
2005-01-13,13.8,14.01,13.33,13.42,54100,0.0,0
2005-01-14,13.31,13.65,13.31,13.53,35500,0.0,0
2005-01-18,13.66,13.75,13.3,13.34,64200,0.0,0
2005-01-19,13.44,13.44,13.13,13.29,19400,0.0,0
2005-01-20,13.09,13.24,12.82,13.07,70900,0.0,0
2005-01-21,12.87,13.15,12.12,12.94,111200,0.0,0
2005-01-24,12.6,13.59,12.55,12.55,32900,0.0,0
2005-01-25,12.66,12.9,12.55,12.82,78800,0.0,0
2005-01-26,12.98,13.02,12.6,12.77,33700,0.0,0
2005-01-27,12.69,12.91,12.61,12.66,19100,0.0,0
2005-01-28,12.6,12.82,12.6,12.67,29700,0.0,0
2005-01-31,12.55,12.83,12.35,12.45,71500,0.0,0
2005-02-01,12.34,12.69,12.33,12.43,87500,0.0,0
2005-02-02,12.42,12.44,12.12,12.3,34800,0.0,0
2005-02-03,12.11,12.11,10.76,10.76,256200,0.0,0
2005-02-04,10.67,11.08,9.64,10.24,778700,0.0,0
2005-02-07,10.01,10.82,10.01,10.15,227800,0.0,0
2005-02-08,10.07,10.59,10.01,10.1,216400,0.0,0
2005-02-09,11.22,11.47,10.17,10.66,451900,0.0,0
2005-02-10,11.39,11.57,11.04,11.13,221300,0.0,0
2005-02-11,11.33,11.33,11.04,11.11,89300,0.0,0
2005-02-14,11.17,11.17,10.72,10.86,83800,0.0,0
2005-02-15,10.77,11.86,10.77,11.62,213300,0.0,0
2005-02-16,11.97,12.24,11.75,12.2,101700,0.0,0
2005-02-17,12.36,12.51,11.39,11.52,149500,0.0,0
2005-02-18,11.69,12.18,11.68,11.72,57200,0.0,0
2005-02-22,11.84,11.84,11.44,11.57,95600,0.0,0
2005-02-23,11.7,11.7,11.4,11.4,25600,0.0,0
2005-02-24,11.35,11.4,10.87,11.25,72700,0.0,0
2005-02-25,11.08,11.22,10.73,11.11,59000,0.0,0
2005-02-28,11.19,11.19,10.5,10.52,84500,0.0,0
2005-03-01,10.82,10.82,10.64,10.68,78200,0.0,0
2005-03-02,10.68,10.69,10.58,10.68,44100,0.0,0
2005-03-03,10.5,10.67,10.14,10.18,96700,0.0,0
2005-03-04,10.1,10.33,10.1,10.18,33600,0.0,0
2005-03-07,10.24,10.29,10.09,10.15,22400,0.0,0
2005-03-08,10.09,10.41,9.73,9.89,65300,0.0,0
2005-03-09,9.77,9.86,9.49,9.85,79800,0.0,0
2005-03-10,9.85,10.17,9.85,9.99,70100,0.0,0
2005-03-11,9.91,10.19,9.54,9.83,41600,0.0,0
2005-03-14,9.79,10.01,9.74,9.97,113700,0.0,0
2005-03-15,10.07,10.07,9.7,9.78,64600,0.0,0
2005-03-16,9.69,9.95,9.67,9.79,178700,0.0,0
2005-03-17,9.79,9.94,9.67,9.75,43900,0.0,0
2005-03-18,9.63,9.93,9.63,9.74,49400,0.0,0
2005-03-21,9.72,9.87,9.44,9.53,56400,0.0,0
2005-03-22,9.43,9.88,9.42,9.72,29400,0.0,0
2005-03-23,9.59,9.67,9.25,9.35,38500,0.0,0
2005-03-24,9.33,9.42,9.15,9.27,70400,0.0,0
2005-03-28,9.13,9.29,8.92,9.13,81200,0.0,0
2005-03-29,9.08,9.24,8.68,8.8,47000,0.0,0
2005-03-30,8.63,8.82,8.17,8.58,176400,0.0,0
2005-03-31,8.47,10.19,8.47,9.94,438300,0.0,0
2005-04-01,10.76,11.56,10.58,11.51,344000,0.0,0
2005-04-04,11.6,11.6,10.77,11.36,93900,0.0,0
2005-04-05,11.39,11.39,10.81,10.81,110200,0.0,0
2005-04-06,10.76,10.9,10.66,10.68,90100,0.0,0
2005-04-07,10.77,10.84,10.46,10.72,81900,0.0,0
2005-04-08,10.68,10.8,10.63,10.65,153800,0.0,0
2005-04-11,10.68,11.32,10.68,10.9,70700,0.0,0
2005-04-12,10.9,11.3,10.77,11.18,99100,0.0,0
2005-04-13,11.13,11.9,11.13,11.59,162200,0.0,0
2005-04-14,11.82,12.4,11.56,12.11,171100,0.0,0
2005-04-15,12.12,12.12,11.84,12.04,131100,0.0,0
2005-04-18,12.3,12.77,11.95,12.32,217300,0.0,0
2005-04-19,12.6,12.6,12.29,12.35,152000,0.0,0
2005-04-20,12.28,12.28,11.76,11.76,117900,0.0,0
2005-04-21,11.77,12.18,11.75,12.11,155600,0.0,0
2005-04-22,12.1,12.1,11.36,11.36,963100,0.0,0
2005-04-25,11.44,11.57,10.92,11.08,192600,0.0,0
2005-04-26,11.12,11.13,10.68,10.73,237200,0.0,0
2005-04-27,10.7,10.88,10.56,10.77,157100,0.0,0
2005-04-28,10.77,11.19,10.73,10.76,130500,0.0,0
2005-04-29,11.07,11.07,10.68,10.91,159700,0.0,0
2005-05-02,10.97,11.19,10.61,10.89,137700,0.0,0
2005-05-03,10.83,11.3,10.83,11.07,198700,0.0,0
2005-05-04,10.46,10.46,9.48,10.06,977200,0.0,0
2005-05-05,9.85,10.24,9.73,9.79,586100,0.0,0
2005-05-06,9.69,10.0,9.53,10.0,555200,0.0,0
2005-05-09,9.89,10.01,9.33,9.88,619900,0.0,0
2005-05-10,9.88,9.88,9.73,9.79,311000,0.0,0
2005-05-11,9.79,9.79,9.5,9.61,274900,0.0,0
2005-05-12,9.47,9.59,9.1,9.36,212900,0.0,0
2005-05-13,9.34,9.39,9.1,9.1,65600,0.0,0
2005-05-16,9.08,9.28,8.45,9.17,398400,0.0,0
2005-05-17,9.19,9.36,8.96,9.35,174500,0.0,0
2005-05-18,9.25,9.7,8.84,9.08,211000,0.0,0
2005-05-19,9.08,9.33,8.9,8.99,101900,0.0,0
2005-05-20,9.04,9.04,8.7,8.81,130900,0.0,0
2005-05-23,8.75,9.88,8.75,9.55,249100,0.0,0
2005-05-24,9.65,9.79,9.41,9.66,126400,0.0,0
2005-05-25,9.69,9.7,9.15,9.28,237700,0.0,0
2005-05-26,9.26,9.32,9.17,9.29,154200,0.0,0
2005-05-27,9.19,9.52,8.99,9.21,148900,0.0,0
2005-05-31,9.33,9.33,8.67,8.9,194200,0.0,0
2005-06-01,8.8,8.9,8.45,8.75,329100,0.0,0
2005-06-02,8.75,8.96,8.64,8.96,135700,0.0,0
2005-06-03,8.95,9.28,8.9,9.15,117000,0.0,0
2005-06-06,9.06,9.18,8.79,9.17,129800,0.0,0
2005-06-07,9.2,9.22,9.07,9.12,129100,0.0,0
2005-06-08,9.06,9.06,8.78,8.84,45700,0.0,0
2005-06-09,8.94,8.98,8.76,8.98,115700,0.0,0
2005-06-10,8.94,9.28,8.93,9.08,189300,0.0,0
2005-06-13,9.1,9.53,9.1,9.44,244200,0.0,0
2005-06-14,9.5,10.24,9.41,10.18,413500,0.0,0
2005-06-15,10.38,10.42,9.67,9.94,108100,0.0,0
2005-06-16,9.83,10.31,9.71,10.28,142700,0.0,0
2005-06-17,10.22,10.33,10.1,10.11,198200,0.0,0
2005-06-20,10.36,10.36,10.02,10.09,52100,0.0,0
2005-06-21,10.09,10.26,10.06,10.19,181400,0.0,0
2005-06-22,10.23,10.44,10.17,10.37,385500,0.0,0
2005-06-23,10.48,10.48,10.17,10.24,1232600,0.0,0
2005-06-24,10.24,10.39,9.36,10.31,1340700,0.0,0
2005-06-27,10.36,10.36,10.15,10.25,280900,0.0,0
2005-06-28,10.26,10.33,9.89,10.24,244900,0.0,0
2005-06-29,10.24,10.43,9.61,10.12,496000,0.0,0
2005-06-30,10.01,10.18,9.82,10.06,273100,0.0,0
2005-07-01,10.09,10.09,9.7,9.81,161000,0.0,0
2005-07-05,9.72,9.93,9.58,9.66,118100,0.0,0
2005-07-06,9.57,9.83,9.56,9.69,238000,0.0,0
2005-07-07,9.59,9.69,9.08,9.36,345200,0.0,0
2005-07-08,9.27,9.42,9.24,9.38,460200,0.0,0
2005-07-11,9.44,10.65,9.36,10.06,494300,0.0,0
2005-07-12,10.09,10.14,9.77,9.84,123900,0.0,0
2005-07-13,9.88,9.88,9.63,9.67,64300,0.0,0
2005-07-14,9.78,10.01,9.69,9.69,181100,0.0,0
2005-07-15,9.57,9.79,9.44,9.68,178700,0.0,0
2005-07-18,9.67,9.86,9.53,9.75,123500,0.0,0
2005-07-19,9.87,9.87,9.56,9.77,126400,0.0,0
2005-07-20,9.71,10.22,9.69,10.18,143200,0.0,0
2005-07-21,10.18,10.21,9.74,9.85,93500,0.0,0
2005-07-22,9.85,10.17,9.81,10.14,67100,0.0,0
2005-07-25,10.05,10.05,9.75,9.81,55800,0.0,0
2005-07-26,9.81,9.91,9.58,9.72,116600,0.0,0
2005-07-27,9.75,9.95,9.4,9.78,101000,0.0,0
2005-07-28,9.74,9.95,9.55,9.67,80000,0.0,0
2005-07-29,9.61,9.79,9.61,9.75,61000,0.0,0
2005-08-01,9.77,9.8,9.57,9.58,127900,0.0,0
2005-08-02,9.55,9.58,9.44,9.58,121500,0.0,0
2005-08-03,9.5,9.81,9.37,9.65,97700,0.0,0
2005-08-04,9.62,9.62,9.4,9.4,64900,0.0,0
2005-08-05,9.44,9.49,9.39,9.41,78000,0.0,0
2005-08-08,8.93,9.21,8.93,9.1,148500,0.0,0
2005-08-09,9.14,9.86,8.96,9.65,168000,0.0,0
2005-08-10,9.69,9.79,8.92,9.15,168000,0.0,0
2005-08-11,9.14,9.2,8.79,8.9,129200,0.0,0
2005-08-12,8.87,9.02,8.73,8.94,67900,0.0,0
2005-08-15,8.96,9.22,8.87,9.22,85600,0.0,0
2005-08-16,9.2,9.2,8.83,8.9,129300,0.0,0
2005-08-17,8.83,8.98,8.77,8.89,42200,0.0,0
2005-08-18,8.8,9.03,8.79,8.89,47900,0.0,0
2005-08-19,8.85,9.04,8.81,8.96,67800,0.0,0
2005-08-22,9.04,9.12,8.86,8.96,74200,0.0,0
2005-08-23,9.02,9.08,8.86,9.01,122900,0.0,0
2005-08-24,8.96,9.38,8.93,9.35,129800,0.0,0
2005-08-25,9.33,9.93,9.33,9.8,183500,0.0,0
