Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1994-02-17,17.51,17.76,16.82,16.91,4478600,0.0,0
1994-02-18,16.99,17.16,16.65,16.91,777900,0.0,0
1994-02-22,16.65,16.82,16.48,16.73,361900,0.0,0
1994-02-23,16.73,16.82,15.96,15.96,284500,0.0,0
1994-02-24,15.88,15.96,15.62,15.79,494600,0.0,0
1994-02-25,15.79,16.39,15.79,16.3,102000,0.0,0
1994-02-28,16.39,16.48,16.3,16.39,115200,0.0,0
1994-03-01,16.3,16.48,15.88,15.96,246600,0.0,0
1994-03-02,15.62,15.7,15.53,15.62,355900,0.0,0
1994-03-03,15.62,15.79,15.62,15.7,51500,0.0,0
1994-03-04,15.79,16.05,15.62,15.88,145500,0.0,0
1994-03-07,15.88,15.96,15.79,15.79,102200,0.0,0
1994-03-08,15.79,15.88,15.7,15.79,34700,0.0,0
1994-03-09,15.88,15.88,15.7,15.7,101100,0.0,0
1994-03-10,15.7,15.79,15.19,15.27,220400,0.0,0
1994-03-11,15.19,15.36,15.1,15.36,42100,0.0,0
1994-03-14,15.27,15.45,15.19,15.27,11900,0.0,0
1994-03-15,15.62,15.79,15.45,15.62,128500,0.0,0
1994-03-16,15.62,15.7,15.45,15.62,93800,0.0,0
1994-03-17,15.7,15.7,15.45,15.53,43700,0.0,0
1994-03-18,15.45,15.7,15.45,15.7,125000,0.0,0
1994-03-21,15.62,15.88,15.62,15.88,81100,0.0,0
1994-03-22,15.79,16.22,15.79,16.13,91800,0.0,0
1994-03-23,16.65,17.08,16.65,16.65,332700,0.0,0
1994-03-24,16.73,16.73,16.48,16.48,113300,0.0,0
1994-03-25,16.48,16.65,16.48,16.48,54700,0.0,0
1994-03-28,16.65,16.65,16.3,16.48,67900,0.0,0
1994-03-29,16.39,16.48,15.45,15.45,174400,0.0,0
1994-03-30,15.27,15.27,15.1,15.19,198000,0.0,0
1994-03-31,15.27,15.36,14.76,15.1,201000,0.0,0
1994-04-04,14.85,14.85,14.42,14.76,206600,0.0,0
1994-04-05,14.76,15.62,14.76,15.62,40500,0.0,0
1994-04-06,15.62,15.7,15.45,15.7,31700,0.0,0
1994-04-07,15.7,15.7,15.53,15.7,14500,0.0,0
1994-04-08,15.7,15.7,15.19,15.45,29900,0.0,0
1994-04-11,15.62,15.62,15.27,15.53,28900,0.0,0
1994-04-12,15.45,15.45,15.1,15.19,56200,0.0,0
1994-04-13,15.27,15.36,14.59,14.93,48100,0.0,0
1994-04-14,14.76,14.76,14.59,14.67,81800,0.0,0
1994-04-15,14.67,14.67,14.59,14.67,23400,0.0,0
1994-04-18,14.67,14.67,14.07,14.07,119100,0.0,0
1994-04-19,14.07,14.07,13.73,13.82,23100,0.0,0
1994-04-20,13.82,13.82,13.39,13.56,72900,0.0,0
1994-04-21,13.47,13.64,13.39,13.56,67100,0.0,0
1994-04-22,13.39,13.56,13.39,13.56,8000,0.0,0
1994-04-25,13.39,13.47,12.53,13.47,130900,0.0,0
1994-04-26,13.47,14.42,13.47,14.25,172800,0.0,0
1994-04-28,14.42,14.5,14.25,14.33,73900,0.0,0
1994-04-29,14.42,15.79,14.42,15.79,166100,0.0,0
1994-05-02,15.62,16.3,15.53,16.3,87800,0.0,0
1994-05-03,16.13,16.3,15.96,16.05,55000,0.0,0
1994-05-04,16.13,16.48,16.05,16.13,81500,0.0,0
1994-05-05,15.96,16.13,15.96,16.05,14200,0.0,0
1994-05-06,15.88,15.96,15.36,15.45,67900,0.0,0
1994-05-09,15.27,15.45,14.93,15.1,65200,0.0,0
1994-05-10,15.1,15.1,14.93,15.02,18000,0.0,0
1994-05-11,15.02,15.02,14.67,14.67,24200,0.0,0
1994-05-12,14.76,14.76,14.59,14.59,18400,0.0,0
1994-05-13,14.59,14.59,14.33,14.33,68700,0.0,0
1994-05-16,14.25,14.25,13.73,13.82,13800,0.0,0
1994-05-17,13.82,13.82,13.64,13.64,18300,0.0,0
1994-05-18,13.64,13.64,13.39,13.56,40900,0.0,0
1994-05-19,13.39,13.47,12.36,13.04,772400,0.0,0
1994-05-20,12.96,13.73,12.96,13.64,58400,0.0,0
1994-05-23,13.73,13.9,13.73,13.82,12600,0.0,0
1994-05-24,13.9,13.9,13.64,13.73,92000,0.0,0
1994-05-25,13.56,13.73,13.56,13.73,36600,0.0,0
1994-05-26,13.82,13.9,13.82,13.9,3700,0.0,0
1994-05-27,13.9,13.9,13.47,13.56,15800,0.0,0
1994-05-31,13.39,13.39,13.3,13.3,3000,0.0,0
1994-06-01,13.22,13.3,13.22,13.3,17900,0.0,0
1994-06-02,13.47,13.73,13.47,13.73,25300,0.0,0
1994-06-03,13.9,14.42,13.9,14.33,60300,0.0,0
1994-06-06,14.25,14.33,14.16,14.25,55400,0.0,0
1994-06-07,14.33,14.42,14.33,14.42,34300,0.0,0
1994-06-08,14.42,14.42,14.33,14.42,3600,0.0,0
1994-06-09,14.42,14.42,14.33,14.33,3600,0.0,0
1994-06-10,14.25,14.5,14.25,14.42,10600,0.0,0
1994-06-13,14.42,14.5,14.33,14.42,9200,0.0,0
1994-06-14,14.42,14.42,13.9,14.07,51500,0.0,0
1994-06-15,14.59,14.85,14.59,14.85,63100,0.0,0
1994-06-16,14.93,14.93,14.85,14.93,11600,0.0,0
1994-06-17,15.1,15.27,15.02,15.27,25400,0.0,0
1994-06-20,15.1,15.1,14.93,15.1,14400,0.0,0
1994-06-21,15.1,15.1,14.76,14.93,30200,0.0,0
1994-06-22,15.1,15.45,15.1,15.45,22600,0.0,0
1994-06-23,15.27,15.27,15.02,15.02,4800,0.0,0
1994-06-24,15.1,15.1,14.93,14.93,7800,0.0,0
1994-06-27,14.76,14.93,14.76,14.93,6400,0.0,0
1994-06-28,14.76,14.76,14.5,14.76,18000,0.0,0
1994-06-29,14.59,14.59,14.42,14.59,15800,0.0,0
1994-06-30,14.76,15.1,14.67,15.1,38000,0.0,0
1994-07-01,15.1,15.1,14.76,14.76,13700,0.0,0
1994-07-05,14.76,15.02,14.76,15.02,4800,0.0,0
1994-07-06,14.93,15.1,14.85,14.93,39900,0.0,0
1994-07-07,14.93,14.93,14.93,14.93,11100,0.0,0
1994-07-08,15.02,15.1,14.93,15.02,16200,0.0,0
1994-07-11,14.93,15.02,14.85,15.02,37700,0.0,0
1994-07-12,15.1,15.1,15.02,15.1,16100,0.0,0
1994-07-13,15.1,15.1,14.93,14.93,1200,0.0,0
1994-07-14,15.02,15.27,15.02,15.1,28200,0.0,0
1994-07-15,15.19,15.19,15.1,15.19,6000,0.0,0
1994-07-18,15.02,15.1,14.85,14.85,17500,0.0,0
1994-07-19,14.93,15.02,14.85,14.93,4600,0.0,0
1994-07-20,14.93,15.1,14.93,15.1,15800,0.0,0
1994-07-21,14.93,14.93,14.59,14.76,33100,0.0,0
1994-07-22,14.76,14.76,14.59,14.67,5400,0.0,0
1994-07-25,14.85,14.93,14.76,14.85,5600,0.0,0
1994-07-26,14.76,15.1,14.76,15.1,26600,0.0,0
1994-07-27,14.93,14.93,14.76,14.76,10800,0.0,0
1994-07-28,14.85,15.02,14.85,15.02,29400,0.0,0
1994-07-29,15.02,15.19,14.93,15.1,23600,0.0,0
1994-08-01,15.02,15.1,15.02,15.1,36100,0.0,0
1994-08-02,14.93,15.1,14.93,15.1,65500,0.0,0
1994-08-03,15.02,15.02,15.02,15.02,1300,0.0,0
1994-08-04,15.1,15.1,14.93,15.02,4500,0.0,0
1994-08-05,15.02,15.02,15.02,15.02,1200,0.0,0
1994-08-08,15.02,15.02,14.76,14.85,2700,0.0,0
1994-08-09,14.67,14.76,14.59,14.59,1900,0.0,0
1994-08-10,14.5,14.67,14.5,14.67,9400,0.0,0
1994-08-11,14.67,14.67,14.42,14.42,5600,0.0,0
1994-08-12,14.42,14.59,14.42,14.42,16300,0.0,0
1994-08-15,14.5,14.5,14.25,14.25,3000,0.0,0
1994-08-16,14.16,14.16,13.04,13.56,174700,0.0,0
1994-08-17,13.73,13.9,13.64,13.73,43300,0.0,0
1994-08-18,13.56,13.73,13.39,13.47,29200,0.0,0
1994-08-19,13.64,13.73,13.56,13.64,40300,0.0,0
1994-08-22,13.64,13.73,13.56,13.56,1200,0.0,0
1994-08-23,13.73,13.9,13.64,13.82,31100,0.0,0
1994-08-24,13.9,13.99,13.82,13.99,5500,0.0,0
1994-08-25,13.99,13.99,13.82,13.82,40900,0.0,0
1994-08-26,13.98,13.98,13.29,13.37,92900,0.11,0
1994-08-29,13.46,13.81,13.46,13.81,12700,0.0,0
1994-08-30,13.81,13.81,13.63,13.72,4100,0.0,0
1994-08-31,13.81,13.81,13.46,13.46,18700,0.0,0
1994-09-01,13.63,13.63,13.55,13.63,34600,0.0,0
1994-09-02,13.72,13.72,13.63,13.72,44300,0.0,0
1994-09-06,13.81,13.98,13.81,13.98,9100,0.0,0
1994-09-07,13.98,13.98,13.72,13.81,17300,0.0,0
1994-09-08,13.89,13.98,13.81,13.81,10900,0.0,0
1994-09-09,13.81,13.81,13.72,13.72,1700,0.0,0
1994-09-12,13.63,13.72,13.63,13.63,2900,0.0,0
1994-09-13,13.55,13.63,13.46,13.46,51600,0.0,0
1994-09-14,13.63,13.63,13.46,13.46,88500,0.0,0
1994-09-15,13.46,13.72,13.46,13.72,3500,0.0,0
1994-09-16,13.55,13.81,13.55,13.72,29000,0.0,0
1994-09-19,13.72,13.81,13.55,13.72,4100,0.0,0
1994-09-20,13.72,13.72,13.2,13.46,83300,0.0,0
1994-09-21,13.29,13.46,13.29,13.46,16700,0.0,0
1994-09-22,13.55,13.55,13.03,13.12,13200,0.0,0
1994-09-23,13.12,13.29,13.12,13.12,647600,0.0,0
1994-09-26,13.12,13.37,12.94,13.37,19700,0.0,0
1994-09-27,13.46,13.46,13.12,13.12,12300,0.0,0
1994-09-28,13.29,13.37,13.29,13.37,2500,0.0,0
1994-09-29,13.37,13.55,13.37,13.46,86100,0.0,0
1994-09-30,13.46,13.81,13.46,13.81,80500,0.0,0
1994-10-03,13.81,13.89,13.81,13.89,74600,0.0,0
1994-10-04,13.81,13.98,13.81,13.89,20000,0.0,0
1994-10-05,13.98,13.98,13.81,13.98,38900,0.0,0
1994-10-06,13.89,14.32,13.89,14.32,148300,0.0,0
1994-10-07,14.24,14.41,14.24,14.32,1800,0.0,0
1994-10-10,14.5,14.67,14.5,14.67,5600,0.0,0
1994-10-11,14.75,15.1,14.67,15.1,30900,0.0,0
1994-10-12,15.01,15.1,14.93,15.1,1100,0.0,0
1994-10-13,15.19,15.36,15.19,15.19,11900,0.0,0
1994-10-14,15.27,15.45,15.1,15.45,4900,0.0,0
1994-10-17,15.36,15.36,15.19,15.19,1400,0.0,0
1994-10-18,15.01,15.01,14.75,14.93,6700,0.0,0
1994-10-19,14.84,14.93,14.84,14.93,1000,0.0,0
1994-10-20,14.75,14.75,14.32,14.32,33300,0.0,0
1994-10-21,14.41,14.41,14.24,14.24,93300,0.0,0
1994-10-24,14.15,14.32,14.15,14.32,2100,0.0,0
1994-10-25,14.32,14.32,13.98,13.98,13400,0.0,0
1994-10-26,14.06,14.15,13.98,13.98,2300,0.0,0
1994-10-27,14.06,14.15,13.98,14.06,3800,0.0,0
1994-10-28,14.15,14.32,14.15,14.32,3700,0.0,0
1994-10-31,14.15,14.24,14.15,14.24,12700,0.0,0
1994-11-01,14.06,14.06,13.81,13.81,24300,0.0,0
1994-11-02,13.89,13.89,13.81,13.81,17700,0.0,0
1994-11-03,13.81,13.81,13.63,13.63,24700,0.0,0
1994-11-04,13.63,13.98,13.63,13.72,17800,0.0,0
1994-11-07,13.81,13.81,13.63,13.63,9100,0.0,0
1994-11-08,13.63,13.81,13.63,13.81,13800,0.0,0
1994-11-09,13.81,13.81,13.63,13.63,13300,0.0,0
1994-11-10,13.81,13.81,13.63,13.63,30100,0.0,0
1994-11-11,13.46,13.46,13.2,13.29,120800,0.0,0
1994-11-14,13.37,13.37,13.2,13.29,3300,0.0,0
1994-11-15,13.29,13.46,13.29,13.29,4400,0.0,0
1994-11-16,13.2,13.29,13.12,13.29,10800,0.0,0
1994-11-17,13.12,13.37,13.12,13.12,54200,0.0,0
1994-11-18,13.12,13.29,13.03,13.29,6900,0.0,0
1994-11-21,13.29,13.37,13.29,13.29,1300,0.0,0
1994-11-22,13.2,13.29,13.2,13.2,1200,0.0,0
1994-11-23,13.37,13.46,13.12,13.12,18700,0.0,0
1994-11-25,13.19,13.28,12.93,13.28,11700,0.11,0
1994-11-28,13.1,13.1,13.02,13.1,12300,0.0,0
1994-11-29,13.1,13.19,12.93,12.93,52700,0.0,0
1994-11-30,12.84,12.93,12.41,12.5,164200,0.0,0
1994-12-01,12.67,12.76,12.58,12.67,2900,0.0,0
1994-12-02,12.67,12.76,12.67,12.76,14000,0.0,0
1994-12-05,12.84,12.93,12.76,12.93,97800,0.0,0
1994-12-06,12.84,12.93,12.76,12.76,5100,0.0,0
1994-12-07,12.84,12.84,12.76,12.76,8100,0.0,0
1994-12-08,12.76,12.76,12.67,12.67,9200,0.0,0
1994-12-09,12.58,12.76,12.58,12.76,6600,0.0,0
1994-12-12,12.84,12.84,12.67,12.76,2200,0.0,0
1994-12-13,12.84,12.84,12.76,12.76,4300,0.0,0
1994-12-14,12.76,12.76,12.58,12.76,23200,0.0,0
1994-12-15,12.67,12.67,11.8,12.15,213900,0.0,0
1994-12-16,12.32,12.41,12.15,12.32,32400,0.0,0
1994-12-19,12.41,12.41,12.15,12.24,18300,0.0,0
1994-12-20,12.24,12.5,12.24,12.24,11300,0.0,0
1994-12-21,12.32,12.32,11.89,11.89,101200,0.0,0
1994-12-22,11.8,11.98,11.8,11.8,38900,0.0,0
1994-12-23,11.8,12.06,11.8,12.06,4800,0.0,0
1994-12-27,12.15,12.32,11.98,12.32,17100,0.0,0
1994-12-28,12.15,12.32,12.15,12.32,5800,0.0,0
