Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1973-02-21,0.65,0.65,0.65,0.65,164400,0.0,0.0
1973-02-22,0.66,0.66,0.66,0.66,188400,0.0,0.0
1973-02-23,0.66,0.66,0.66,0.66,222000,0.0,0.0
1973-02-26,0.64,0.64,0.64,0.64,61200,0.0,0.0
1973-02-27,0.62,0.62,0.62,0.62,368400,0.0,0.0
1973-02-28,0.62,0.62,0.62,0.62,414000,0.0,0.0
1973-03-01,0.58,0.58,0.58,0.58,444000,0.0,0.0
1973-03-02,0.59,0.59,0.59,0.59,109200,0.0,0.0
1973-03-05,0.62,0.62,0.62,0.62,135600,0.0,0.0
1973-03-06,0.64,0.64,0.64,0.64,202800,0.0,0.0
1973-03-07,0.64,0.64,0.64,0.64,184800,0.0,0.0
1973-03-08,0.65,0.65,0.65,0.65,64800,0.0,0.0
1973-03-09,0.62,0.62,0.62,0.62,290400,0.0,0.0
1973-03-12,0.62,0.62,0.62,0.62,312000,0.0,0.0
1973-03-13,0.62,0.62,0.62,0.62,50400,0.0,0.0
1973-03-14,0.61,0.61,0.61,0.61,73200,0.0,0.0
1973-03-15,0.59,0.59,0.59,0.59,147600,0.0,0.0
1973-03-16,0.59,0.59,0.59,0.59,73200,0.0,0.0
1973-03-19,0.59,0.59,0.59,0.59,109200,0.0,0.0
1973-03-20,0.58,0.58,0.58,0.58,169200,0.0,0.0
1973-03-21,0.58,0.58,0.58,0.58,168000,0.0,0.0
1973-03-22,0.58,0.58,0.58,0.58,108000,0.0,0.0
1973-03-23,0.57,0.57,0.57,0.57,231600,0.0,0.0
1973-03-26,0.6,0.6,0.6,0.6,80400,0.0,0.0
1973-03-27,0.6,0.6,0.6,0.6,1088400,0.0,0.0
1973-03-28,0.61,0.61,0.61,0.61,162000,0.0,0.0
1973-03-29,0.62,0.62,0.62,0.62,124800,0.0,0.0
1973-03-30,0.62,0.62,0.62,0.62,150000,0.0,0.0
1973-04-02,0.61,0.61,0.61,0.61,97200,0.0,0.0
1973-04-03,0.6,0.6,0.6,0.6,60000,0.0,0.0
1973-04-04,0.61,0.61,0.61,0.61,54000,0.0,0.0
1973-04-05,0.61,0.61,0.61,0.61,106800,0.0,0.0
1973-04-06,0.61,0.61,0.61,0.61,97200,0.0,0.0
1973-04-09,0.61,0.61,0.61,0.61,116400,0.0,0.0
1973-04-10,0.6,0.6,0.6,0.6,322800,0.0,0.0
1973-04-11,0.63,0.63,0.63,0.63,346800,0.0,0.0
1973-04-12,0.65,0.65,0.65,0.65,164400,0.0,0.0
1973-04-13,0.65,0.65,0.65,0.65,183600,0.0,0.0
1973-04-16,0.64,0.64,0.64,0.64,69600,0.0,0.0
1973-04-17,0.65,0.65,0.65,0.65,213600,0.0,0.0
1973-04-18,0.65,0.65,0.65,0.65,52800,0.0,0.0
1973-04-19,0.69,0.69,0.69,0.69,348000,0.0,0.0
1973-04-23,0.67,0.67,0.67,0.67,175200,0.0,0.0
1973-04-24,0.64,0.64,0.64,0.64,327600,0.0,0.0
1973-04-25,0.63,0.63,0.63,0.63,164400,0.0,0.0
1973-04-26,0.64,0.64,0.64,0.64,489600,0.0,0.0
1973-04-27,0.63,0.63,0.63,0.63,118800,0.0,0.0
1973-04-30,0.65,0.65,0.65,0.65,44400,0.0,0.0
1973-05-01,0.64,0.64,0.64,0.64,44400,0.0,0.0
1973-05-02,0.63,0.63,0.63,0.63,90000,0.0,0.0
1973-05-03,0.0,0.64,0.62,0.64,256800,0.0,0.0
1973-05-04,0.0,0.64,0.63,0.63,84000,0.0,0.0
1973-05-07,0.0,0.64,0.62,0.63,145200,0.0,0.0
1973-05-08,0.0,0.64,0.63,0.64,158400,0.0,0.0
1973-05-09,0.0,0.64,0.62,0.62,141600,0.0,0.0
1973-05-10,0.0,0.63,0.61,0.63,88800,0.0,0.0
