Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2011-06-24,15.01,15.16,14.27,14.43,1675400,0.0,0.0
2011-06-27,14.21,14.7,14.17,14.58,895200,0.0,0.0
2011-06-28,14.85,15.49,14.6,14.99,4151800,0.0,0.0
2011-06-29,15.11,15.87,14.99,15.52,3695200,0.0,0.0
2011-06-30,15.75,16.27,15.56,16.03,3025600,0.0,0.0
2011-07-01,15.96,18.37,15.88,16.34,8334200,0.0,0.0
2011-07-05,16.35,16.65,16.13,16.35,11823000,0.0,0.0
2011-07-06,16.11,16.36,15.88,16.22,10983000,0.0,0.0
2011-07-07,16.34,16.76,16.16,16.18,16707600,0.0,0.0
2011-07-08,15.8,16.5,15.69,16.04,16417000,0.0,0.0
2011-07-11,15.8,15.8,15.3,15.53,9495200,0.0,0.0
2011-07-12,15.44,15.88,15.28,15.68,8011200,0.0,0.0
2011-07-13,15.69,15.97,15.2,15.48,11642800,0.0,0.0
2011-07-14,15.48,15.5,14.8,14.97,11528400,0.0,0.0
2011-07-15,15.11,15.29,14.76,15.17,9938400,0.0,0.0
2011-07-18,15.0,15.33,14.62,15.15,8311600,0.0,0.0
2011-07-19,15.21,15.47,15.16,15.39,6423000,0.0,0.0
2011-07-20,15.41,15.47,15.26,15.31,5449000,0.0,0.0
2011-07-21,15.31,15.59,15.15,15.53,7249200,0.0,0.0
2011-07-22,15.6,15.81,15.46,15.71,6645600,0.0,0.0
2011-07-25,15.98,16.31,15.74,16.02,8898600,0.0,0.0
2011-07-26,16.03,16.93,15.98,16.67,11324200,0.0,0.0
2011-07-27,16.66,16.77,16.26,16.29,6998400,0.0,0.0
2011-07-28,16.43,16.63,16.34,16.57,6654600,0.0,0.0
2011-07-29,16.4,17.28,16.26,16.96,10709600,0.0,0.0
2011-08-01,17.44,17.58,17.04,17.42,11518400,0.0,0.0
2011-08-02,17.25,17.39,16.36,16.4,10995600,0.0,0.0
2011-08-03,16.76,17.58,15.11,16.05,13413800,0.0,0.0
2011-08-04,15.77,15.77,14.42,14.88,15377800,0.0,0.0
2011-08-05,15.07,15.19,12.95,14.45,12348600,0.0,0.0
2011-08-08,13.65,13.94,11.42,12.52,16543000,0.0,0.0
2011-08-09,12.81,14.1,12.56,13.98,12054200,0.0,0.0
2011-08-10,13.77,14.27,13.22,13.6,9682600,0.0,0.0
