Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2007-11-15,21.44,26.52,20.56,24.33,11770500,0.0,0
2007-11-16,24.22,24.22,22.0,23.27,1242900,0.0,0
2007-11-19,23.04,24.0,22.87,24.0,469500,0.0,0
2007-11-20,23.7,27.23,23.55,25.47,522200,0.0,0
2007-11-21,25.17,25.29,24.18,24.84,167500,0.0,0
2007-11-23,25.45,26.41,25.0,25.54,100700,0.0,0
2007-11-26,26.09,27.49,25.66,25.92,438300,0.0,0
2007-11-27,26.32,26.8,24.5,25.15,305800,0.0,0
2007-11-28,25.28,25.75,24.87,25.45,273600,0.0,0
2007-11-29,24.81,26.09,24.8,25.45,110600,0.0,0
2007-11-30,25.73,26.75,25.26,25.78,524000,0.0,0
2007-12-03,25.82,26.29,25.54,26.07,83600,0.0,0
2007-12-04,25.83,27.73,25.39,27.36,387400,0.0,0
2007-12-05,30.46,30.46,26.93,27.3,207200,0.0,0
2007-12-06,27.03,27.43,26.51,26.95,97700,0.0,0
2007-12-07,27.09,27.13,26.57,26.92,82500,0.0,0
2007-12-10,26.65,27.92,26.65,27.03,177900,0.0,0
2007-12-11,27.03,27.41,26.34,27.03,236200,0.0,0
2007-12-12,27.37,27.37,26.38,26.55,64700,0.0,0
2007-12-13,26.04,27.03,26.04,26.98,78000,0.0,0
2007-12-14,26.88,26.98,26.41,26.77,118200,0.0,0
2007-12-17,26.05,27.09,25.79,26.08,128600,0.0,0
2007-12-18,26.1,26.85,26.1,26.57,132400,0.0,0
2007-12-19,26.62,27.36,26.62,26.99,197600,0.0,0
2007-12-20,26.99,27.04,26.93,26.93,197800,0.0,0
2007-12-21,27.5,32.0,27.41,31.43,498600,0.0,0
2007-12-24,31.32,32.07,30.34,31.62,142000,0.0,0
2007-12-26,31.62,33.56,31.51,32.02,228300,0.0,0
2007-12-27,32.02,34.67,31.51,34.07,194600,0.0,0
2007-12-28,33.98,35.68,33.56,34.79,165900,0.0,0
2007-12-31,34.91,35.8,33.56,35.8,136200,0.0,0
2008-01-02,35.26,35.38,30.88,31.56,442900,0.0,0
2008-01-03,31.56,31.56,28.49,28.7,395900,0.0,0
2008-01-04,26.79,28.9,26.2,28.11,354100,0.0,0
2008-01-07,27.73,27.73,25.87,26.23,383000,0.0,0
2008-01-08,26.1,26.24,24.25,24.83,183900,0.0,0
2008-01-09,25.45,27.73,23.06,25.88,383400,0.0,0
2008-01-10,27.31,29.27,24.98,27.63,531500,0.0,0
2008-01-11,27.43,30.55,27.23,28.37,121900,0.0,0
2008-01-14,28.06,28.43,27.73,28.43,198300,0.0,0
2008-01-15,28.43,28.83,27.71,28.63,74200,0.0,0
2008-01-16,28.68,28.68,26.57,27.31,123700,0.0,0
2008-01-17,27.45,27.45,26.71,27.03,122400,0.0,0
2008-01-18,27.7,27.73,27.03,27.33,238900,0.0,0
2008-01-22,26.24,27.22,25.48,26.94,193000,0.0,0
2008-01-23,27.02,30.27,26.46,29.05,193100,0.0,0
2008-01-24,28.69,30.76,28.19,29.99,305000,0.0,0
2008-01-25,30.2,30.37,29.02,29.63,148700,0.0,0
2008-01-28,29.18,31.7,27.99,30.82,222500,0.0,0
2008-01-29,30.46,31.19,30.16,30.56,142600,0.0,0
2008-01-30,30.55,30.76,28.9,30.48,117300,0.0,0
2008-01-31,30.3,30.76,29.92,30.74,114800,0.0,0
2008-02-01,30.74,33.53,30.2,32.25,134600,0.0,0
2008-02-04,32.25,32.53,30.76,31.21,75300,0.0,0
2008-02-05,31.21,31.21,29.81,30.64,109100,0.0,0
2008-02-06,30.48,30.5,28.98,29.24,146000,0.0,0
2008-02-07,29.27,29.83,27.52,27.7,128000,0.0,0
2008-02-08,28.11,29.21,28.1,29.21,103400,0.0,0
2008-02-11,29.23,29.78,28.9,29.3,94600,0.0,0
2008-02-12,29.13,29.78,28.37,29.18,147800,0.0,0
2008-02-13,29.09,31.57,29.09,31.54,114200,0.0,0
2008-02-14,31.31,31.51,29.97,31.02,103100,0.0,0
2008-02-15,31.02,31.06,28.27,29.59,142700,0.0,0
2008-02-19,29.55,30.24,28.3,29.92,183500,0.0,0
2008-02-20,29.68,32.01,28.84,30.03,181300,0.0,0
2008-02-21,30.11,31.69,29.46,31.32,207100,0.0,0
2008-02-22,31.23,31.84,30.28,31.44,123500,0.0,0
2008-02-25,31.46,31.85,30.62,30.85,158500,0.0,0
2008-02-26,31.08,32.96,30.41,31.62,186100,0.0,0
2008-02-27,31.46,31.97,29.2,29.83,220300,0.0,0
2008-02-28,30.34,30.34,27.2,28.98,344100,0.0,0
