Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,1.33,1.23,1.23,2700,0.0,0.0
1980-03-18,0.0,1.26,1.17,1.17,21600,0.0,0.0
1980-03-19,0.0,1.23,1.14,1.14,4000,0.0,0.0
1980-03-20,0.0,1.23,1.14,1.14,6700,0.0,0.0
1980-03-21,0.0,1.23,1.14,1.14,4000,0.0,0.0
1980-03-24,0.0,1.2,1.11,1.11,1300,0.0,0.0
1980-03-25,0.0,1.11,1.01,1.01,10000,0.0,0.0
1980-03-26,0.0,1.11,1.01,1.01,1900,0.0,0.0
1980-03-27,0.0,1.04,0.95,0.95,13500,0.0,0.0
1980-03-28,0.0,1.04,0.95,0.95,2700,0.0,0.0
1980-03-31,0.0,1.07,0.98,0.98,6000,0.0,0.0
1980-04-01,0.0,1.11,1.01,1.01,4600,0.0,0.0
1980-04-02,1.01,1.01,1.01,1.01,0,0.0,0.0
1980-04-03,1.01,1.01,1.01,1.01,0,0.0,0.0
1980-04-07,0.0,1.14,1.04,1.04,17500,0.0,0.0
1980-04-08,0.0,1.07,0.98,0.98,18100,0.0,0.0
1980-04-09,0.0,1.07,0.98,0.98,6700,0.0,0.0
1980-04-10,0.98,0.98,0.98,0.98,0,0.0,0.0
1980-04-11,0.0,1.07,0.98,0.98,2700,0.0,0.0
1980-04-14,0.0,1.07,0.98,0.98,27600,0.0,0.0
1980-04-15,0.0,1.04,0.95,0.95,14800,0.0,0.0
1980-04-16,0.0,1.04,0.95,0.95,7300,0.0,0.0
1980-04-17,0.0,1.01,0.92,0.92,1300,0.0,0.0
1980-04-18,0.0,1.01,0.92,0.92,10000,0.0,0.0
1980-04-21,0.0,1.01,0.92,0.92,1300,0.0,0.0
1980-04-22,0.0,1.01,0.92,0.92,3300,0.0,0.0
1980-04-23,0.0,1.07,0.98,0.98,29700,0.0,0.0
1980-04-24,0.0,1.04,0.95,0.95,7300,0.0,0.0
1980-04-25,0.0,1.07,0.98,0.98,12700,0.0,0.0
1980-04-28,0.0,1.04,0.95,0.95,32400,0.0,0.0
1980-04-29,0.0,1.07,0.98,0.98,21600,0.0,0.0
1980-04-30,0.0,1.07,0.98,0.98,600,0.0,0.0
1980-05-01,0.0,1.07,0.98,0.98,8700,0.0,0.0
1980-05-02,0.0,1.07,0.98,0.98,9400,0.0,0.0
1980-05-05,0.98,0.98,0.98,0.98,0,0.0,0.0
1980-05-06,0.0,1.11,1.01,1.01,12700,0.0,0.0
1980-05-07,0.0,1.23,1.14,1.14,20800,0.0,0.0
1980-05-08,0.0,1.17,1.07,1.07,8100,0.0,0.0
1980-05-09,1.07,1.07,1.07,1.07,0,0.0,0.0
1980-05-12,1.07,1.07,1.07,1.07,0,0.0,0.0
1980-05-13,0.0,1.2,1.11,1.11,7300,0.0,0.0
1980-05-14,0.0,1.17,1.07,1.07,18900,0.0,0.0
1980-05-15,1.07,1.07,1.07,1.07,0,0.0,0.0
1980-05-16,0.0,1.17,1.07,1.07,6000,0.0,0.0
1980-05-19,1.07,1.07,1.07,1.07,0,0.0,0.0
1980-05-20,0.0,1.17,1.07,1.07,6000,0.0,0.0
1980-05-21,0.0,1.14,1.04,1.04,9400,0.0,0.0
1980-05-22,0.0,1.14,1.04,1.04,4600,0.0,0.0
1980-05-23,0.0,1.17,1.07,1.07,12700,0.0,0.0
1980-05-27,0.0,1.23,1.14,1.14,9400,0.0,0.0
1980-05-28,0.0,1.23,1.14,1.14,8700,0.0,0.0
1980-05-29,0.0,1.23,1.14,1.14,13500,0.0,0.0
1980-05-30,0.0,1.26,1.17,1.17,22200,0.0,0.0
